# starting wavelength: 5713.382
# ending wavelength: 7212.485
# wav flux eflux
5.715195934426883468e+03 9.826160633400466970e-01 2.638906376923346730e-01
5.720911130361312644e+03 9.290895492853746829e-01 1.946756738227939654e-01
5.726632041491675409e+03 9.290179909077488363e-01 1.425838294790606753e-01
5.732358673533169167e+03 9.353887524879389570e-01 1.066621027434109664e-01
5.738091032206703858e+03 9.418090774817107214e-01 8.177362055324338685e-02
5.743829123238912871e+03 9.277218426704769705e-01 6.278412350226418581e-02
5.749572952362153046e+03 9.037134586412297610e-01 4.904730963072107680e-02
5.755322525314517407e+03 8.750135603868040013e-01 3.878196238532577445e-02
5.761077847839834249e+03 8.458693676194649624e-01 3.135654472843850404e-02
5.766838925687675328e+03 8.188280873774805846e-01 2.591605056274885396e-02
5.772605764613364954e+03 7.948836852491153460e-01 2.222215547934551852e-02
5.778378370377980900e+03 7.766215360064349094e-01 1.959399660167186405e-02
5.784156748748360769e+03 7.618080675591267781e-01 1.795532295524055952e-02
5.789940905497111089e+03 7.537450926627651260e-01 1.691407979822776714e-02
5.795730846402610041e+03 7.584637737016375336e-01 1.633218965855686572e-02
5.801526577249013826e+03 7.658548124226329801e-01 1.623080294849993041e-02
5.807328103826264851e+03 7.752033312440813617e-01 1.622303861079648843e-02
5.813135431930093546e+03 8.047916561548161818e-01 1.650796258385374415e-02
5.818948567362025642e+03 8.695835813767259781e-01 1.670309045312923235e-02
5.824767515929389447e+03 9.406794929970065944e-01 1.773254468257214403e-02
5.830592283445320390e+03 1.041516576017537554e+00 1.964236488284725607e-02
5.836422875728768304e+03 1.145356102726513781e+00 2.000195633345217341e-02
5.842259298604498326e+03 1.224515994058034574e+00 2.064578094679841297e-02
5.848101557903105459e+03 1.279468548407399542e+00 2.179138406101096062e-02
5.853949659461010015e+03 1.341208531987696073e+00 2.274641633089834192e-02
5.859803609120473084e+03 1.407653104328322691e+00 2.418671333711929980e-02
5.865663412729595620e+03 1.462928699864198601e+00 2.577153286225839987e-02
5.871529076142326630e+03 1.536753619036277829e+00 2.558583096626347239e-02
5.877400605218471355e+03 1.630727384128610957e+00 2.597470255599963751e-02
5.883278005823691274e+03 1.726244500991268804e+00 2.622020970068539986e-02
5.889161283829516833e+03 1.818066642276516598e+00 2.692487178745114201e-02
5.895050445113348360e+03 1.906637667044476903e+00 2.728723806109798269e-02
5.900945495558464245e+03 1.974344247669181041e+00 2.701368036602626310e-02
5.906846441054024581e+03 2.018289379735959788e+00 2.622790654397395144e-02
5.912753287495080258e+03 2.026471182603780896e+00 2.515739376905931288e-02
5.918666040782577511e+03 1.979630542127963189e+00 2.547527435772427989e-02
5.924584706823361557e+03 1.903193425736296795e+00 2.579733972438494338e-02
5.930509291530187511e+03 1.782686922397295648e+00 2.578457612932229595e-02
5.936439800821719473e+03 1.624714378169767048e+00 2.533579253259403419e-02
5.942376240622543264e+03 1.425895611414139896e+00 2.224575657824682390e-02
5.948318616863167335e+03 1.273503126292039100e+00 1.925671671152662245e-02
5.954266935480032771e+03 1.201125059533539208e+00 1.938677514731110274e-02
5.960221202415515108e+03 1.183089013482897078e+00 1.875731082724299906e-02
5.966181423617932523e+03 1.178215270423914163e+00 1.886637107696996843e-02
5.972147605041552197e+03 1.175781949584221220e+00 1.865562018008698128e-02
5.978119752646595771e+03 1.184518346253869092e+00 1.847524047520252705e-02
5.984097872399243897e+03 1.194082776407235924e+00 1.866795178019769325e-02
5.990081970271645332e+03 1.204947234885164864e+00 1.816575810037081989e-02
5.996072052241918755e+03 1.194466112915635758e+00 1.769549089296798203e-02
6.002068124294162772e+03 1.168611732000401471e+00 1.723534720352037572e-02
6.008070192418459555e+03 1.126098623512905794e+00 1.709294143683137701e-02
6.014078262610879392e+03 1.067016220348610211e+00 1.708353341503934114e-02
6.020092340873492503e+03 1.017067934389869643e+00 1.675536095483209226e-02
6.026112433214368139e+03 9.658724570243762964e-01 1.637444331082552745e-02
6.032138545647584579e+03 9.117347748522803830e-01 1.647801039396570508e-02
6.038170684193233683e+03 8.794815956239446786e-01 1.624366617481148162e-02
6.044208854877429076e+03 8.709151080908132947e-01 1.603114370576013900e-02
6.050253063732308874e+03 8.901360759489174157e-01 1.559549152077680141e-02
6.056303316796042964e+03 8.985421287056455375e-01 1.573985945668511521e-02
