# starting wavelength: 3624.988
# ending wavelength: 6927.933
# wav flux eflux
3.626818904944963379e+03 2.385982021220695692e+00 1.921350808712060099e-01
3.630445723849909427e+03 2.361443860094946334e+00 1.870239535474892412e-01
3.634076169573760581e+03 2.432284012887507618e+00 1.698290678975994117e-01
3.637710245743335690e+03 2.448959109613344509e+00 1.633299195142499383e-01
3.641347955989080219e+03 2.518686637102220072e+00 1.564227993825280660e-01
3.644989303945070333e+03 2.559677788676488319e+00 1.523026973517025151e-01
3.648634293249016537e+03 2.597725535483488279e+00 1.407874395640437426e-01
3.652282927542266862e+03 2.618236895278008181e+00 1.350353216683014557e-01
3.655935210469810499e+03 2.554804933991580373e+00 1.337694888097648305e-01
3.659591145680281443e+03 2.417593369894462274e+00 1.317332858840747634e-01
3.663250736825963031e+03 2.331361642791804467e+00 1.199745393467387816e-01
3.666913987562790226e+03 2.257347076394251140e+00 1.140332515314238654e-01
3.670580901550354156e+03 2.240528941767898186e+00 1.151147790200299365e-01
3.674251482451905758e+03 2.214014208491333680e+00 1.073614757157759642e-01
3.677925733934358959e+03 2.139559391082618056e+00 1.077180096804666726e-01
3.681603659668294313e+03 2.163081215872721508e+00 1.068201896691874236e-01
3.685285263327964003e+03 2.185710596082719448e+00 1.022036467805862714e-01
3.688970548591293209e+03 2.268953761713906836e+00 9.876241195826759856e-02
3.692659519139885560e+03 2.301735060899018581e+00 9.219284856670094397e-02
3.696352178659026777e+03 2.268849832931868260e+00 9.177601634040821743e-02
3.700048530837686940e+03 2.367315643709407613e+00 9.219919239525622978e-02
3.703748579368525952e+03 2.295231043882828281e+00 9.781544074527188937e-02
3.707452327947895355e+03 2.355754003953700604e+00 9.563520866196524584e-02
3.711159780275844696e+03 2.376169046983870548e+00 9.079166593425379295e-02
3.714870940056121526e+03 2.340125039150241726e+00 8.881252321332823441e-02
3.718585810996179134e+03 2.283763372639566747e+00 8.563571500755221000e-02
3.722304396807176545e+03 2.186213087205454819e+00 8.578757800377818932e-02
3.726026701203984885e+03 2.145627660198536901e+00 8.200559997321077432e-02
3.729752727905190113e+03 2.147729820484910235e+00 8.566188228340797239e-02
3.733482480633096657e+03 2.133384307346255948e+00 8.528827582710633848e-02
3.737215963113731050e+03 2.119103246862247047e+00 8.331164182810732455e-02
3.740953179076846027e+03 2.114303615814145498e+00 8.114835711645738969e-02
3.744694132255923705e+03 2.146778855512966100e+00 8.351209083776091335e-02
3.748438826388181042e+03 2.126362455606055413e+00 7.971901127848118884e-02
3.752187265214570289e+03 2.115475146992538580e+00 7.829142849945947003e-02
3.755939452479786269e+03 2.101947198128632621e+00 7.651295138969763099e-02
3.759695391932267285e+03 2.133090732814459045e+00 7.336686743244895392e-02
3.763455087324201031e+03 2.155404253772667644e+00 7.135793859236323755e-02
3.767218542411526414e+03 2.138050363161782652e+00 7.215592322636808775e-02
3.770985760953939007e+03 2.123245312427478382e+00 7.235054411507267635e-02
3.774756746714894234e+03 2.061809264373005490e+00 7.141343923387441506e-02
3.778531503461610555e+03 1.983568265550763821e+00 6.863711212001992468e-02
3.782310034965073100e+03 1.920272361545137585e+00 6.596298464560863828e-02
3.786092345000039586e+03 1.904650873376142695e+00 5.991683153676282542e-02
3.789878437345040766e+03 1.876996031918114927e+00 5.949271730130328839e-02
3.793668315782387253e+03 1.864193160419992612e+00 5.902012907060105729e-02
3.797461984098170888e+03 1.861268504319254946e+00 6.330624317184446737e-02
3.801259446082270188e+03 1.751076641935306988e+00 6.845102161221640336e-02
3.805060705528353537e+03 1.731238376385905386e+00 6.845582208646656952e-02
3.808865766233883278e+03 1.661316027500726822e+00 6.723697855943862323e-02
3.812674632000118436e+03 1.619952286007223297e+00 6.716639577544962492e-02
3.816487306632119726e+03 1.616726554351089140e+00 6.511308880756896955e-02
3.820303793938753188e+03 1.635850179541005645e+00 6.290336322350112419e-02
3.824124097732693372e+03 1.629288979461860132e+00 6.214902425883730985e-02
3.827948221830427428e+03 1.621234694152760891e+00 6.051000994273366546e-02
3.831776170052258749e+03 1.612090317039573062e+00 6.009630305062717281e-02
3.835607946222312421e+03 1.594327750715416547e+00 6.328426370103276688e-02
3.839443554168536139e+03 1.616142868256262854e+00 6.258894141679133272e-02
3.843282997722705659e+03 1.657820105112113973e+00 6.143323245771541152e-02
3.847126280720429804e+03 1.706925210225219258e+00 6.162653604215215242e-02
3.850973407001151372e+03 1.771981106207651813e+00 6.354340014422586724e-02
3.854824380408153957e+03 1.784319859674658115e+00 6.439723060741443794e-02
3.858679204788563311e+03 1.795747498326138336e+00 6.433986462617086177e-02
3.862537883993353262e+03 1.816682498745563867e+00 6.519954630137471396e-02
3.866400421877347981e+03 1.844087582785767676e+00 6.365854333829258638e-02
3.870266822299226533e+03 1.904561746638351982e+00 6.011723167384595140e-02
3.874137089121526969e+03 1.904598149801264073e+00 5.722311408645271158e-02
3.878011226210649966e+03 1.934236845399722071e+00 5.384682271026159511e-02
3.881889237436861549e+03 1.929298285757300668e+00 5.354823774726420044e-02
3.885771126674299921e+03 1.903553735696803528e+00 5.107745036529604682e-02
3.889656897800975457e+03 1.898134139524431774e+00 5.120016019073356933e-02
3.893546554698777527e+03 1.898619515355231213e+00 5.251492683357524005e-02
3.897440101253477678e+03 1.911341747949294234e+00 5.130955274661619381e-02
3.901337541354732366e+03 1.902454052245049487e+00 5.238942611453149129e-02
3.905238878896088409e+03 1.914105436285871598e+00 5.147596480566681010e-02
3.909144117774985716e+03 1.903429431623373524e+00 5.010252919377831959e-02
3.913053261892762293e+03 1.884904568666132096e+00 5.172365207152836153e-02
3.916966315154656058e+03 1.828575153753266180e+00 5.164371262916479105e-02
3.920883281469812118e+03 1.761926710227871951e+00 5.285830815492820883e-02
3.924804164751283224e+03 1.726582389172498733e+00 4.959231806844555807e-02
3.928728968916035683e+03 1.701958042333905796e+00 5.061212331287806565e-02
3.932657697884953450e+03 1.647603567780690836e+00 5.162362673597884616e-02
3.936590355582839493e+03 1.550597946388717174e+00 5.345810405176981694e-02
3.940526945938423523e+03 1.446429953343553176e+00 5.929934413326767156e-02
3.944467472884363360e+03 1.406166720229881761e+00 5.881058426322569727e-02
3.948411940357249023e+03 1.436607656625674023e+00 6.078194460403695681e-02
3.952360352297607733e+03 1.484286768393767275e+00 6.226048120071705355e-02
3.956312712649906643e+03 1.542451838272472120e+00 6.290918112140995999e-02
3.960269025362557841e+03 1.676017727157461445e+00 6.446017892728411747e-02
3.964229294387921527e+03 1.789760868791944182e+00 6.828508763535064141e-02
3.968193523682310570e+03 1.920330816018912756e+00 6.447887203064325834e-02
3.972161717205994591e+03 1.963354977559036429e+00 6.205406697349594852e-02
3.976133878923201792e+03 1.923136866373496456e+00 6.413264997497472586e-02
3.980110012802126221e+03 1.869161402266161343e+00 6.688299826887503241e-02
3.984090122814929600e+03 1.796538659361336165e+00 6.869753782731727321e-02
3.988074212937745870e+03 1.739098182559127403e+00 6.924372657290750466e-02
3.992062287150684824e+03 1.682285988827043166e+00 6.756920533723601019e-02
3.996054349437837118e+03 1.589997357107983067e+00 5.653952369803610239e-02
4.000050403787276082e+03 1.564124063118035535e+00 5.673320466260927536e-02
4.004050454191064546e+03 1.596432220888811315e+00 5.572096436081179494e-02
4.008054504645257111e+03 1.669820627950681535e+00 4.372192458035186607e-02
4.012062559149903791e+03 1.702661020084514032e+00 4.270424113186337828e-02
4.016074621709055009e+03 1.715942886804479039e+00 4.247007201440503033e-02
4.020090696330765240e+03 1.724578644923223880e+00 4.155558106835351845e-02
4.024110787027097558e+03 1.737361572279926714e+00 3.982589838406223881e-02
4.028134897814125907e+03 1.718380619321087766e+00 3.871637161558719870e-02
4.032163032711941469e+03 1.654153261818789744e+00 3.202256188663010067e-02
4.036195195744654484e+03 1.582936921310710510e+00 2.117013797964448565e-02
4.040231390940400615e+03 1.572025669410787696e+00 1.897198189042605121e-02
4.044271622331342314e+03 1.566682467324211014e+00 1.807098759955887146e-02
4.048315893953675186e+03 1.570268435138134855e+00 1.650958928666441949e-02
4.052364209847629809e+03 1.560198823918985678e+00 1.769352376444932942e-02
4.056416574057479011e+03 1.559983546372461838e+00 1.833161220689991447e-02
4.060472990631537868e+03 1.590396152617115977e+00 2.843337219553760190e-02
4.064533463622170530e+03 1.563999811288717678e+00 2.966949661476750086e-02
4.068597997085794304e+03 1.524458100121848902e+00 4.101995759255813029e-02
4.072666595082881486e+03 1.546026382055317283e+00 4.115031551153552902e-02
4.076739261677965715e+03 1.581094318465314785e+00 4.091050034205286762e-02
4.080816000939644709e+03 1.643487209110858549e+00 4.155471178074022359e-02
4.084896816940585722e+03 1.705272973885292975e+00 4.169971734942357067e-02
4.088981713757527814e+03 1.794708068658328770e+00 4.333112240930556136e-02
4.093070695471286854e+03 1.872797806996138181e+00 4.355993880787634859e-02
4.097163766166759160e+03 1.920909532685361798e+00 4.188705285537275280e-02
4.101260929932927866e+03 1.950069138021743420e+00 4.179423700699669286e-02
4.105362190862862008e+03 1.957042642089743989e+00 4.105091042137805346e-02
4.109467553053726078e+03 1.932161223405798989e+00 4.126042614709157091e-02
4.113577020606780934e+03 1.876252104817348165e+00 4.110306031018325784e-02
4.117690597627389252e+03 1.801478810799768127e+00 4.063662291017152567e-02
4.121808288225018259e+03 1.722646863678206408e+00 3.962758533041840087e-02
4.125930096513244280e+03 1.639390882778525294e+00 3.902136413749270061e-02
4.130056026609759101e+03 1.545116232190535399e+00 3.670739482688046423e-02
4.134186082636369974e+03 1.494234412708811410e+00 3.623145331487011983e-02
4.138320268719007800e+03 1.490414335190527240e+00 2.818283428795851850e-02
4.142458588987728035e+03 1.481818355020471767e+00 2.103607774830930713e-02
4.146601047576717065e+03 1.439508835734694792e+00 1.534800776662535379e-02
4.150747648624294925e+03 1.426575731427404348e+00 1.431521601096147692e-02
