# starting wavelength: 3684.896
# ending wavelength: 6831.820
# wav flux eflux
3.685285263327964003e+03 1.732247047681648722e-01 3.176033719412315048e-01
3.688970548591293209e+03 1.413059428131716588e-01 2.247394210591180386e-01
3.692659519139885560e+03 1.271936848735580328e-01 1.690704867100396303e-01
3.696352178659026777e+03 1.388843385947431397e-01 1.334706766489504037e-01
3.700048530837686940e+03 1.466284943261249585e-01 1.024649394626627463e-01
3.703748579368525952e+03 1.587674130009564533e-01 8.109958970986000382e-02
3.707452327947895355e+03 1.726653096548525779e-01 8.400321803613933214e-02
3.711159780275844696e+03 1.744394342818981480e-01 6.753020581626632823e-02
3.714870940056121526e+03 1.680718043217008795e-01 6.262779110806232508e-02
3.718585810996179134e+03 1.643630152091835328e-01 5.243111786469045049e-02
3.722304396807176545e+03 1.598158255756938206e-01 4.682456057664090981e-02
3.726026701203984885e+03 1.588669476426344818e-01 4.136463236884378725e-02
3.729752727905190113e+03 1.626798831417808344e-01 3.827386517764655438e-02
3.733482480633096657e+03 1.671234866672874630e-01 3.563365815032905337e-02
3.737215963113731050e+03 1.754538273632874068e-01 3.369984890099947394e-02
3.740953179076846027e+03 1.857012958753571918e-01 3.263757156307176693e-02
3.744694132255923705e+03 1.980702511226437035e-01 3.128986100281715838e-02
3.748438826388181042e+03 2.145416346575909350e-01 3.114339938845255354e-02
3.752187265214570289e+03 2.300146696813772651e-01 3.250575473000156396e-02
3.755939452479786269e+03 2.542519504935968899e-01 3.268145845228558055e-02
3.759695391932267285e+03 2.713302231306442547e-01 3.507232644218759993e-02
3.763455087324201031e+03 3.031414061679456595e-01 3.589295836212104407e-02
3.767218542411526414e+03 3.229218513618689612e-01 3.573205298087321624e-02
3.770985760953939007e+03 3.455053906257392060e-01 3.775039943316785274e-02
3.774756746714894234e+03 3.681276301402394147e-01 4.015270892213086695e-02
3.778531503461610555e+03 3.865045503758588463e-01 3.919245895856647566e-02
3.782310034965073100e+03 4.217697860606148264e-01 3.569423767079727555e-02
3.786092345000039586e+03 4.470922289873172639e-01 3.233339873328082426e-02
3.789878437345040766e+03 4.517563690682244171e-01 3.230877079834183069e-02
3.793668315782387253e+03 4.542167955051315542e-01 3.408544921284495377e-02
3.797461984098170888e+03 4.235481793011290907e-01 2.824097083584743012e-02
3.801259446082270188e+03 4.104202676878584977e-01 2.703618806154120188e-02
3.805060705528353537e+03 3.699137875466515513e-01 2.232694934841644024e-02
3.808865766233883278e+03 3.547410265094981807e-01 2.399445200809904519e-02
3.812674632000118436e+03 3.319978132788406477e-01 2.939383292250139640e-02
3.816487306632119726e+03 3.204166115355181477e-01 3.064099526566710710e-02
3.820303793938753188e+03 3.077322014883721035e-01 3.058873712703242750e-02
3.824124097732693372e+03 3.162081353993407840e-01 3.052986187012377353e-02
3.827948221830427428e+03 3.477247765721575568e-01 3.311805726417785950e-02
3.831776170052258749e+03 3.469380371274498054e-01 3.090438849939907209e-02
3.835607946222312421e+03 3.785150966219478219e-01 3.543446022606699247e-02
3.839443554168536139e+03 3.945708076696201605e-01 3.820546922175056814e-02
3.843282997722705659e+03 4.376371115809001289e-01 3.933922098795472611e-02
3.847126280720429804e+03 4.642843310688595238e-01 3.839760514565833394e-02
3.850973407001151372e+03 5.024661854827356944e-01 3.595495449045842812e-02
3.854824380408153957e+03 5.270797896573690133e-01 3.523287350798198075e-02
3.858679204788563311e+03 5.419004022768184603e-01 3.518743964172540983e-02
3.862537883993353262e+03 5.432763138973425443e-01 3.982985802613585313e-02
3.866400421877347981e+03 5.595780593366882494e-01 4.262709628693021197e-02
3.870266822299226533e+03 5.622877038658353754e-01 4.056277262686754093e-02
3.874137089121526969e+03 5.611553207845478841e-01 4.378969644597656419e-02
3.878011226210649966e+03 5.386603334278790012e-01 4.027798409910274269e-02
3.881889237436861549e+03 5.366144870646881726e-01 3.802248629896868432e-02
3.885771126674299921e+03 5.184103371184133335e-01 3.921130560595090242e-02
3.889656897800975457e+03 5.079404582303047588e-01 3.949886460219251966e-02
3.893546554698777527e+03 4.968539435465167409e-01 4.241933974995666656e-02
3.897440101253477678e+03 4.904578681412789520e-01 4.012312839912998697e-02
3.901337541354732366e+03 5.019007467508898035e-01 4.317608582387526261e-02
3.905238878896088409e+03 5.354827481809737444e-01 3.591835451610198016e-02
3.909144117774985716e+03 5.544641517857054058e-01 3.597911266294669119e-02
3.913053261892762293e+03 5.857077929437286556e-01 3.596712732363777781e-02
3.916966315154656058e+03 5.797439526161483059e-01 3.452750321724516042e-02
3.920883281469812118e+03 5.964005862347202536e-01 3.895428556797415204e-02
3.924804164751283224e+03 5.848158985051192804e-01 3.927552042542109545e-02
3.928728968916035683e+03 5.814051555717177910e-01 4.078092356006084163e-02
3.932657697884953450e+03 5.550342610010047251e-01 4.003641403750872463e-02
3.936590355582839493e+03 5.453597228751660975e-01 4.308089549222322845e-02
3.940526945938423523e+03 5.117827315944695199e-01 5.131437307367098244e-02
3.944467472884363360e+03 5.038985669468341033e-01 5.638924549226365796e-02
3.948411940357249023e+03 4.948485466032153113e-01 5.223761866715740526e-02
3.952360352297607733e+03 4.802953285428968044e-01 5.062036665226665733e-02
3.956312712649906643e+03 4.556178427370227157e-01 4.634810615173443754e-02
3.960269025362557841e+03 4.723552416990476899e-01 4.576137321540638125e-02
3.964229294387921527e+03 4.817142912746342764e-01 5.034986344920756168e-02
3.968193523682310570e+03 5.187170831906956492e-01 5.285203624318031423e-02
3.972161717205994591e+03 5.720758816844585537e-01 4.706048699912613459e-02
3.976133878923201792e+03 5.982476540513846919e-01 4.333564637673133213e-02
3.980110012802126221e+03 6.564857047639141019e-01 3.609302290468383023e-02
3.984090122814929600e+03 6.638506018141323572e-01 3.815442635885766404e-02
3.988074212937745870e+03 6.744776737109499098e-01 3.557194536119988315e-02
3.992062287150684824e+03 6.588620386775217996e-01 2.738892438494625742e-02
3.996054349437837118e+03 6.497559794775742414e-01 2.264816086174815946e-02
4.000050403787276082e+03 6.480116333155280239e-01 2.275254915248288087e-02
4.004050454191064546e+03 6.621525044721240372e-01 1.977336396562873536e-02
4.008054504645257111e+03 6.776970493682802354e-01 1.700575574047060237e-02
4.012062559149903791e+03 6.884290684095002444e-01 1.696782099846657135e-02
4.016074621709055009e+03 7.017308560007846641e-01 1.659639011296784594e-02
4.020090696330765240e+03 6.960346348486111667e-01 8.945095569802618413e-03
4.024110787027097558e+03 7.039183092415227661e-01 8.868203139092539419e-03
4.028134897814125907e+03 7.273740604299171464e-01 1.973691036792197748e-02
4.032163032711941469e+03 7.333639676827310439e-01 2.155539123026002646e-02
4.036195195744654484e+03 7.287288512067212620e-01 2.063698399449239232e-02
4.040231390940400615e+03 7.340624231932365573e-01 2.010651690778709338e-02
4.044271622331342314e+03 7.308069657507137995e-01 2.031251754918006122e-02
4.048315893953675186e+03 7.184130097874354970e-01 2.893272426358372770e-02
4.052364209847629809e+03 7.156385362446558984e-01 2.788468370654330689e-02
4.056416574057479011e+03 7.147156406311694354e-01 2.802700960835106947e-02
4.060472990631537868e+03 7.244202904317348368e-01 3.866021515337786374e-02
4.064533463622170530e+03 7.122539670733626371e-01 3.928691975850244489e-02
4.068597997085794304e+03 7.013507987799317833e-01 3.930583516304712866e-02
4.072666595082881486e+03 6.852975635224285433e-01 4.541872657662603119e-02
4.076739261677965715e+03 6.788396685927310381e-01 4.607115785471122688e-02
4.080816000939644709e+03 6.891925501480345995e-01 4.590323156754748390e-02
4.084896816940585722e+03 7.044766116477947371e-01 4.612381528237199935e-02
4.088981713757527814e+03 7.288230430782569602e-01 4.810316092016266726e-02
4.093070695471286854e+03 7.490635529580463858e-01 4.775266144581620520e-02
4.097163766166759160e+03 7.678711296802955832e-01 4.751917684698683114e-02
4.101260929932927866e+03 7.954226686584585648e-01 4.387476770421908784e-02
4.105362190862862008e+03 8.393396216294165546e-01 4.200825673714241731e-02
4.109467553053726078e+03 8.620154054641036012e-01 4.249794977517220435e-02
4.113577020606780934e+03 8.819906592434350046e-01 3.870137626607735026e-02
4.117690597627389252e+03 9.021174082735526900e-01 4.073714405548833212e-02
4.121808288225018259e+03 8.738252259589150972e-01 2.997841070259782761e-02
4.125930096513244280e+03 8.600530425131461820e-01 2.756048544041158829e-02
4.130056026609759101e+03 8.274761156413222851e-01 2.903772654636662884e-02
4.134186082636369974e+03 8.251325581606450132e-01 1.611238989274267966e-02
