# starting wavelength: 3665.027
# ending wavelength: 7543.944
# wav flux eflux
3.666913987562790226e+03 1.614261896963289367e-01 3.783633147164644939e+00
3.670580901550354156e+03 1.010995889830379024e+00 2.917462136021672148e+00
3.674251482451905758e+03 1.236755677193694281e+00 2.327812215620071346e+00
3.677925733934358959e+03 1.484009863347695912e+00 1.813233345070473845e+00
3.681603659668294313e+03 1.669801242131372376e+00 1.557471629958820269e+00
3.685285263327964003e+03 2.204147245540372779e+00 1.266454303302525064e+00
3.688970548591293209e+03 2.628232298583252025e+00 1.099519335643603934e+00
3.692659519139885560e+03 3.048191610632406068e+00 9.438513448276142359e-01
3.696352178659026777e+03 3.582492443963642526e+00 8.269181043107722839e-01
3.700048530837686940e+03 4.006911064690990898e+00 7.213555818326592428e-01
3.703748579368525952e+03 4.408604393560214163e+00 6.415293312853922458e-01
3.707452327947895355e+03 4.489760145163624649e+00 5.901890065540045249e-01
3.711159780275844696e+03 4.483659083330885586e+00 5.486868298343028361e-01
3.714870940056121526e+03 4.423781155480861926e+00 5.156944570417628659e-01
3.718585810996179134e+03 4.359880343105632328e+00 4.892809832221047261e-01
3.722304396807176545e+03 4.205762494260993023e+00 4.710210159731225699e-01
3.726026701203984885e+03 3.886134129405335536e+00 4.598708780551624686e-01
3.729752727905190113e+03 3.712377197087366021e+00 4.622031313194412960e-01
3.733482480633096657e+03 3.298277508648193468e+00 4.604093360583138561e-01
3.737215963113731050e+03 2.745886678998366470e+00 4.774121276258067037e-01
3.740953179076846027e+03 2.030238185773297843e+00 5.393827547425856794e-01
3.744694132255923705e+03 1.254861488547890147e+00 5.754271079478053830e-01
3.748438826388181042e+03 5.116898450921136821e-01 5.928422976656053667e-01
3.752187265214570289e+03 1.216101724964522290e-01 5.953234833913165769e-01
3.755939452479786269e+03 -3.872625458540528420e-01 5.653587712790939523e-01
3.759695391932267285e+03 -7.312040566146609244e-01 5.659160886197219797e-01
3.763455087324201031e+03 -8.458927220234984112e-01 5.788875468806270463e-01
3.767218542411526414e+03 -8.457703030467933480e-01 5.984154725661738894e-01
3.770985760953939007e+03 -6.487259692872873185e-01 6.035952193241039820e-01
3.774756746714894234e+03 -1.929569193994289389e-01 6.268035404271425914e-01
3.778531503461610555e+03 3.849276439731335042e-01 6.159871135161301137e-01
3.782310034965073100e+03 1.275569125179543128e+00 5.816066456795366824e-01
3.786092345000039586e+03 1.509531797161390854e+00 5.866872136976987173e-01
3.789878437345040766e+03 1.702576712006306447e+00 5.929349982725553581e-01
3.793668315782387253e+03 1.927514497810965954e+00 5.899290625644407760e-01
3.797461984098170888e+03 2.380723983174637404e+00 5.962919746235035845e-01
3.801259446082270188e+03 2.811055052947288413e+00 5.866691817019016320e-01
3.805060705528353537e+03 3.144268654175866651e+00 5.890729788601465344e-01
3.808865766233883278e+03 3.408210296009979157e+00 5.901433788702765693e-01
3.812674632000118436e+03 3.387259514733336196e+00 5.955884466710664737e-01
3.816487306632119726e+03 2.702424119228984623e+00 5.549098851803084820e-01
3.820303793938753188e+03 2.589466378314019046e+00 5.385973682467487533e-01
3.824124097732693372e+03 2.368892121109611004e+00 5.434497822600629080e-01
3.827948221830427428e+03 1.823825331634428171e+00 5.371327914657368918e-01
3.831776170052258749e+03 1.407115042607275379e+00 5.279033440193267035e-01
3.835607946222312421e+03 7.816462128262202658e-01 4.884966757116131486e-01
3.839443554168536139e+03 4.147681157222282700e-01 4.780233709147356791e-01
3.843282997722705659e+03 2.664069729141946841e-01 4.803235079191093271e-01
3.847126280720429804e+03 4.073292117496627451e-01 4.796733891000767303e-01
3.850973407001151372e+03 6.907062469140339278e-01 4.552040196153477880e-01
3.854824380408153957e+03 1.058499927482585701e+00 3.991558958956799574e-01
3.858679204788563311e+03 1.082026613564114115e+00 3.812162548895118297e-01
3.862537883993353262e+03 1.027025235636063405e+00 3.479646045834128287e-01
3.866400421877347981e+03 1.096556371454467049e+00 3.468308196862990855e-01
3.870266822299226533e+03 1.155931032676183801e+00 3.433019954271900875e-01
3.874137089121526969e+03 1.354820496786480755e+00 3.327826164257227659e-01
3.878011226210649966e+03 1.756924795699783992e+00 3.454448107080172470e-01
3.881889237436861549e+03 1.632327454539086453e+00 3.676018684838556205e-01
3.885771126674299921e+03 1.364700890066214756e+00 3.977739601086743848e-01
3.889656897800975457e+03 1.287814248464645317e+00 4.119809885266924598e-01
3.893546554698777527e+03 1.399791785314986381e+00 4.056123368239785143e-01
3.897440101253477678e+03 1.313390022236935462e+00 4.070396707896514754e-01
3.901337541354732366e+03 1.093960932416410126e+00 3.530532765775858950e-01
3.905238878896088409e+03 9.139710863274715935e-01 3.271183278682738282e-01
3.909144117774985716e+03 1.154298532590117832e+00 3.497697575549649218e-01
3.913053261892762293e+03 1.323923707024575069e+00 3.568271576380960264e-01
3.916966315154656058e+03 1.582445470776006058e+00 3.515346448002573121e-01
3.920883281469812118e+03 1.947172038713192554e+00 3.334188118179732263e-01
3.924804164751283224e+03 2.052559028910577954e+00 3.358138492104834616e-01
