# starting wavelength: 3230.070
# ending wavelength: 8795.730
# wav flux eflux
3.233009350810239084e+03 -1.175105314038513704e-01 1.297925920960747526e+01
3.236242360161050783e+03 3.029823041069618306e+00 9.522007296246812302e+00
3.239478602521212906e+03 5.345541312366034248e+00 7.191214702946084891e+00
3.242718081123734919e+03 6.484708941915837244e+00 5.535800954905274907e+00
3.245960799204859995e+03 5.914786620169616427e+00 5.035135238685767511e+00
3.249206760004065927e+03 6.216477559434869349e+00 4.015631115830768039e+00
3.252455966764071036e+03 6.334519059570564714e+00 3.297533514792390985e+00
3.255708422730835991e+03 6.156790899743863399e+00 2.735510523653587267e+00
3.258964131153567905e+03 5.961582700948008906e+00 2.356256675113066912e+00
3.262223095284722604e+03 5.553085141141855807e+00 2.049433824498811063e+00
3.265485318380008266e+03 5.244376305266022165e+00 1.811166418647754073e+00
3.268750803698389518e+03 4.991712588087972691e+00 1.649807184078701416e+00
3.272019554502088795e+03 4.593180105641399003e+00 1.514961405668707295e+00
3.275291574056592253e+03 4.102957364688251118e+00 1.427825073461441496e+00
3.278566865630649772e+03 3.390973934818203972e+00 1.365868591165329216e+00
3.281845432496281319e+03 2.988018799434162709e+00 1.311182830317852765e+00
3.285127277928778767e+03 2.341418172512100160e+00 1.263367311130615622e+00
3.288412405206708627e+03 1.997484692111090476e+00 1.231886242564407707e+00
3.291700817611916591e+03 2.040060017904560929e+00 1.239189733078712718e+00
3.294992518429529355e+03 2.332121559605139893e+00 1.154911003871678110e+00
3.298287510947960072e+03 2.390069310634141520e+00 1.149767881902709066e+00
3.301585798458909267e+03 2.630535312065555242e+00 1.140323282627238033e+00
3.304887384257369376e+03 2.111328900403120823e+00 1.098392300523291620e+00
3.308192271641627485e+03 1.526123921020647423e+00 1.108371595140787313e+00
3.311500463913270323e+03 1.873340305733350419e+00 1.069654135544509277e+00
3.314811964377184722e+03 1.461810841895223589e+00 1.068958960573772821e+00
3.318126776341563072e+03 1.219718314724942410e+00 1.063847108811554198e+00
3.321444903117905596e+03 1.130175856852666527e+00 1.095175983863603486e+00
3.324766348021024896e+03 1.330694923074523750e+00 1.061359485110788148e+00
3.328091114369046863e+03 1.100702183639407528e+00 1.066696240951904739e+00
3.331419205483417045e+03 1.206396409542998871e+00 1.062839275900527403e+00
3.334750624688901553e+03 1.249600394800199021e+00 1.074471773166175037e+00
3.338085375313591612e+03 1.368325587200015736e+00 1.079134800058661803e+00
3.341423460688906289e+03 1.065913155187492301e+00 1.107425447179704703e+00
3.344764884149596128e+03 1.210573061126765104e+00 1.151331054189714154e+00
3.348109649033746791e+03 6.254284240611358570e-01 1.131170342723510025e+00
3.351457758682781787e+03 1.071302046946795539e+00 1.098581439385865277e+00
3.354809216441465651e+03 7.614764929650572611e-01 1.106806010356850445e+00
3.358164025657908041e+03 5.281810153364691063e-01 1.093720960320024860e+00
3.361522189683567376e+03 2.299552612397131046e-01 1.090473499660886691e+00
3.364883711873251741e+03 5.850632973184139995e-01 1.024406369657902660e+00
3.368248595585126168e+03 7.881558278485285562e-01 9.971602763074277620e-01
3.371616844180712633e+03 4.681834506015385422e-01 9.678493903774542106e-01
3.374988461024894150e+03 3.207009864204144467e-01 1.006615242214307093e+00
3.378363449485920228e+03 1.971053163706704137e-01 1.047527205317809296e+00
3.381741812935407324e+03 2.020480473746566474e-01 1.046510679002641053e+00
3.385123554748343849e+03 7.060614276621135499e-01 1.040016887965694137e+00
3.388508678303093347e+03 1.039314345787546223e+00 1.055087944406915890e+00
3.391897186981397681e+03 9.266807289820762072e-01 1.063191997852744430e+00
3.395289084168380214e+03 1.519519218257959325e+00 1.080270214810786555e+00
3.398684373252549449e+03 2.090945447291375103e+00 1.103412535323009536e+00
3.402083057625803121e+03 2.790036068668444891e+00 1.171959125837511273e+00
3.405485140683430018e+03 3.278222536372433105e+00 1.172014989400705698e+00
3.408890625824114522e+03 3.850246756244079194e+00 1.130038397591732746e+00
3.412299516449939802e+03 3.706658590063906189e+00 1.109296156216796891e+00
3.415711815966390986e+03 3.877784340391147389e+00 1.092198806950635648e+00
3.419127527782358356e+03 3.840786532964563182e+00 1.149602261715485074e+00
3.422546655310141887e+03 3.412077429609271739e+00 1.153001056332472407e+00
3.425969201965453522e+03 3.607665760736317839e+00 1.174947566627998929e+00
3.429395171167419903e+03 3.354738732710824678e+00 1.144397000179936397e+00
3.432824566338588284e+03 3.171298499914265712e+00 1.127441365888911307e+00
3.436257390904928343e+03 2.930409474878738152e+00 1.148660651730915916e+00
3.439693648295834464e+03 2.353440247039707778e+00 1.126574266685532066e+00
3.443133341944131189e+03 2.050022654232287689e+00 1.123537667579233679e+00
3.446576475286076402e+03 1.844604857712897283e+00 1.118755517152743684e+00
3.450023051761363604e+03 1.204396369199139727e+00 1.107318009811322668e+00
3.453473074813126004e+03 3.851778406176875613e-01 1.055887897216057469e+00
3.456926547887940615e+03 5.701319295129898546e-01 1.063256495771053300e+00
3.460383474435829612e+03 3.058840201216872501e-01 1.046170168207116724e+00
3.463843857910266706e+03 4.146433449524160597e-01 1.043006137005321854e+00
3.467307701768178049e+03 4.565011158556200321e-01 1.049685225684092282e+00
3.470775009469947236e+03 1.030016737128940152e+00 9.960711394287876663e-01
3.474245784479418489e+03 1.436292687141004443e+00 9.900918684424627747e-01
3.477720030263898934e+03 1.674312654800721445e+00 9.911161582017613547e-01
3.481197750294164052e+03 2.163348505093460439e+00 1.022115878160337443e+00
3.484678948044459503e+03 1.373210943919900062e+00 9.973858879902363084e-01
3.488163626992504760e+03 1.083123935717476671e+00 9.947140015042915673e-01
3.491651790619498570e+03 1.097225404629580625e+00 9.955841677130021772e-01
