# starting wavelength: 3626.705
# ending wavelength: 6727.724
# wav flux eflux
3.626818904944963379e+03 4.991303909862585542e-01 3.658567935671903637e-01
3.630445723849909427e+03 5.821015430407225910e-01 3.528963339694929369e-01
3.634076169573760581e+03 6.497544399957819738e-01 2.660398269368036694e-01
3.637710245743335690e+03 6.634121754574801022e-01 2.078021004578930186e-01
3.641347955989080219e+03 6.753721755658728121e-01 1.599365639330820044e-01
3.644989303945070333e+03 6.723071276584070555e-01 1.242952173344891581e-01
3.648634293249016537e+03 6.567584125730765443e-01 1.009130208384667882e-01
3.652282927542266862e+03 6.394382132025682175e-01 8.143109563826539388e-02
3.655935210469810499e+03 6.246481937795634876e-01 7.253653180043941051e-02
3.659591145680281443e+03 6.077601215699236503e-01 6.102815258715809515e-02
3.663250736825963031e+03 5.911734671990923617e-01 5.347972945202709300e-02
3.666913987562790226e+03 5.748984948688309338e-01 4.748843024306025756e-02
3.670580901550354156e+03 5.768113266120381555e-01 4.611903882357457074e-02
3.674251482451905758e+03 5.657199418354186271e-01 4.310285461131170559e-02
3.677925733934358959e+03 5.596120254107045389e-01 4.009034015893987724e-02
3.681603659668294313e+03 5.522538226073662182e-01 3.889168877534576046e-02
3.685285263327964003e+03 5.380246437281962502e-01 3.769345985306599145e-02
3.688970548591293209e+03 5.377385329486450427e-01 3.749401050121925483e-02
3.692659519139885560e+03 5.457984756889013855e-01 3.601352622305755563e-02
3.696352178659026777e+03 5.633607176876131994e-01 3.589102745030894881e-02
3.700048530837686940e+03 5.939148533092839521e-01 4.372365586138896032e-02
3.703748579368525952e+03 5.903217990367527479e-01 4.245208144092881691e-02
3.707452327947895355e+03 6.037526847179841560e-01 4.423779800725040345e-02
3.711159780275844696e+03 5.919743485823423246e-01 4.872330838315727664e-02
3.714870940056121526e+03 6.058658304963188135e-01 4.876340005048270670e-02
3.718585810996179134e+03 6.261115392422423875e-01 4.846356490031017428e-02
3.722304396807176545e+03 6.375401468742766253e-01 5.080028551686906896e-02
3.726026701203984885e+03 6.636282485322887448e-01 4.905693341713456002e-02
3.729752727905190113e+03 6.844785226380701859e-01 5.170318813515071416e-02
3.733482480633096657e+03 6.915375480116152662e-01 4.947898020563112204e-02
3.737215963113731050e+03 7.055135510342896987e-01 4.973715685449924678e-02
3.740953179076846027e+03 7.162543772312068846e-01 4.947558835792601611e-02
3.744694132255923705e+03 7.395312406196422605e-01 4.844838671194021812e-02
3.748438826388181042e+03 7.609045302240616815e-01 4.841750143624544422e-02
3.752187265214570289e+03 7.962112346738555724e-01 4.712667561753001305e-02
