# starting wavelength: 3295.113
# ending wavelength: 6977.993
# wav flux eflux
3.298287510947960072e+03 4.915663686828049550e-01 8.623556361908598644e-01
3.301585798458909267e+03 4.036307323434363825e-01 7.557529541478664736e-01
3.304887384257369376e+03 5.610818138602403637e-01 7.372535942642366447e-01
3.308192271641627485e+03 8.414457574260137962e-01 7.199721637193344792e-01
3.311500463913270323e+03 9.097083459051218401e-01 5.799660851687253871e-01
3.314811964377184722e+03 8.499243177888700096e-01 4.615700897061110752e-01
3.318126776341563072e+03 7.400146999614533039e-01 3.760987859701249714e-01
3.321444903117905596e+03 6.209420081563581384e-01 3.101458503739134565e-01
3.324766348021024896e+03 5.263512891545479855e-01 2.657905851205353276e-01
3.328091114369046863e+03 4.831462436627109724e-01 2.370785931547981784e-01
3.331419205483417045e+03 4.362342432071677489e-01 2.085706580591895343e-01
3.334750624688901553e+03 4.566962765389354084e-01 1.929657526180429683e-01
3.338085375313591612e+03 4.695850403788802696e-01 1.786695010515071680e-01
3.341423460688906289e+03 5.299937360054733926e-01 1.705083377031633429e-01
3.344764884149596128e+03 5.822554850553103289e-01 1.620913915405533257e-01
3.348109649033746791e+03 6.276896771973091704e-01 1.572647797168094941e-01
3.351457758682781787e+03 6.307657512811304379e-01 1.508742978175228733e-01
3.354809216441465651e+03 6.403956437532062340e-01 1.476163463473582349e-01
3.358164025657908041e+03 6.799292826499272469e-01 1.436551385846293882e-01
3.361522189683567376e+03 7.271585626300962613e-01 1.420502676721698554e-01
3.364883711873251741e+03 7.438857732488952657e-01 1.429292649590993836e-01
3.368248595585126168e+03 8.271358168699327607e-01 1.361817842235654163e-01
3.371616844180712633e+03 8.476913886417631883e-01 1.352369043639082835e-01
3.374988461024894150e+03 8.580621646221563426e-01 1.376123495519686324e-01
3.378363449485920228e+03 8.953246424981259333e-01 1.362683781385403137e-01
3.381741812935407324e+03 9.098383534539823403e-01 1.358523830728685378e-01
3.385123554748343849e+03 9.238157611473323261e-01 1.343362263345825869e-01
3.388508678303093347e+03 8.467462922495883060e-01 1.373719619556016125e-01
3.391897186981397681e+03 7.905367499229895012e-01 1.385047203021540219e-01
3.395289084168380214e+03 7.660400806408452778e-01 1.369951790952691761e-01
3.398684373252549449e+03 6.624677438164016108e-01 1.335070300900785267e-01
3.402083057625803121e+03 5.817436854912567679e-01 1.289178336002079206e-01
3.405485140683430018e+03 5.559247734597849711e-01 1.292821132481958013e-01
3.408890625824114522e+03 5.203305946039767926e-01 1.308015658150265825e-01
3.412299516449939802e+03 5.359279876794587061e-01 1.274391999249940843e-01
3.415711815966390986e+03 5.756776320565435423e-01 1.206497602639854810e-01
3.419127527782358356e+03 6.405409791171282619e-01 1.119385011732552115e-01
3.422546655310141887e+03 6.995260630047138717e-01 9.854232621155317728e-02
3.425969201965453522e+03 6.716643721653130505e-01 7.955328308203633847e-02
3.429395171167419903e+03 6.942231180938217561e-01 8.061134117415964806e-02
3.432824566338588284e+03 7.112523940260542243e-01 8.046640579530989212e-02
3.436257390904928343e+03 7.475120471088120278e-01 8.180763174872361654e-02
3.439693648295834464e+03 7.676871649428790301e-01 8.254823295952427864e-02
3.443133341944131189e+03 7.936428306100757890e-01 8.174538930005111059e-02
3.446576475286076402e+03 7.861014918252967609e-01 8.341631101238111690e-02
3.450023051761363604e+03 8.032549154103924005e-01 8.115062325439346969e-02
3.453473074813126004e+03 8.284692393940775723e-01 8.216124954101174105e-02
3.456926547887940615e+03 8.498695257569034434e-01 7.885742065551820668e-02
3.460383474435829612e+03 8.119321558172308828e-01 8.129756260417558833e-02
3.463843857910266706e+03 7.788553965339066743e-01 7.750919090493578467e-02
3.467307701768178049e+03 7.292538283900923402e-01 7.613765102395612938e-02
3.470775009469947236e+03 7.108634707677867759e-01 7.670313493765311408e-02
3.474245784479418489e+03 6.795515909847824609e-01 7.567332057541799328e-02
3.477720030263898934e+03 6.442520919532985779e-01 7.627245795113980764e-02
3.481197750294164052e+03 6.204140872684679175e-01 7.454899085060953667e-02
3.484678948044459503e+03 6.074833695570873715e-01 7.391806393901566297e-02
3.488163626992504760e+03 6.377000659889777712e-01 7.070730436020673804e-02
3.491651790619498570e+03 6.548907343340536480e-01 7.137128074619880636e-02
3.495143442410119405e+03 6.097214641819537206e-01 7.333896744008966406e-02
3.498638585852530468e+03 6.408098576197970297e-01 7.300027329031583134e-02
3.502137224438384237e+03 6.930257723259706237e-01 7.079840209136727125e-02
3.505639361662823831e+03 7.438737658994758473e-01 7.396538445141855045e-02
3.509145001024487556e+03 7.896031571268102844e-01 6.956165194773707150e-02
3.512654146025513455e+03 7.720067404839910941e-01 6.907747343319432798e-02
3.516166800171540217e+03 7.874581469472348161e-01 6.845196734337191669e-02
3.519682966971712631e+03 7.810002671741874680e-01 6.608915391857157762e-02
3.523202649938685681e+03 7.859121047694819229e-01 6.416795515698224539e-02
3.526725852588625457e+03 8.031569068766658548e-01 6.401100008281741804e-02
3.530252578441215064e+03 7.814012436069480705e-01 6.581777729579277314e-02
3.533782831019657806e+03 7.382800524863384339e-01 7.027656145597202531e-02
3.537316613850678550e+03 7.121694974570524916e-01 7.121292353269949305e-02
3.540853930464530094e+03 7.070061767454574042e-01 7.144651034320430305e-02
3.544394784394995895e+03 7.164695844076761633e-01 7.304580739700897163e-02
3.547939179179392340e+03 6.965437009042321215e-01 7.096918034901784911e-02
3.551487118358572843e+03 7.068980770664132773e-01 7.201090388307052059e-02
3.555038605476932389e+03 7.068909763674251501e-01 6.866738374714120852e-02
3.558593644082410719e+03 6.973813111417219712e-01 7.183021449321795593e-02
3.562152237726494150e+03 6.991582796282889145e-01 7.221832639774572460e-02
3.565714389964221937e+03 7.481662341344207379e-01 7.536266624795609492e-02
3.569280104354187188e+03 7.812756105143651153e-01 7.678555851507913588e-02
3.572849384458542772e+03 7.684184756953763573e-01 7.918484918171296572e-02
3.576422233843002232e+03 8.087191652107280637e-01 8.093467260175986333e-02
3.579998656076846601e+03 8.320241172930801232e-01 8.077562545043664999e-02
3.583578654732924406e+03 7.921958810359974734e-01 8.492784798667817048e-02
3.587162233387658489e+03 7.738118009389040042e-01 8.093291079459567772e-02
3.590749395621047370e+03 7.695632517545001328e-01 8.186794423896165407e-02
3.594340145016669794e+03 7.943705540624739214e-01 8.099709542202386536e-02
3.597934485161687462e+03 8.024909742727865947e-01 8.134573092164157360e-02
3.601532419646850485e+03 7.940096259100974940e-01 8.243105946347174806e-02
3.605133952066498296e+03 7.900090464007557545e-01 8.267002737535242285e-02
3.608739086018566013e+03 7.691414154091896771e-01 8.274893002723304747e-02
3.612347825104585809e+03 7.690986171600657784e-01 8.428560755725808540e-02
3.615960172929691907e+03 7.332978309420490337e-01 8.004451581716565123e-02
3.619576133102622407e+03 6.961274242168931092e-01 7.954224142241178575e-02
3.623195709235726554e+03 7.040378613541200536e-01 8.664233561447041987e-02
3.626818904944963379e+03 7.513626195605385139e-01 8.524518090081148469e-02
3.630445723849909427e+03 7.388268207755572803e-01 8.716374765686374371e-02
3.634076169573760581e+03 7.356754781484007299e-01 8.921125186105828553e-02
3.637710245743335690e+03 7.320037170426080264e-01 8.879427026820281565e-02
3.641347955989080219e+03 7.749863552068422257e-01 8.816259120567493390e-02
3.644989303945070333e+03 8.079253295845142402e-01 8.466248199177098255e-02
3.648634293249016537e+03 8.728961615392809570e-01 8.026906630633967588e-02
3.652282927542266862e+03 8.810975116275341357e-01 8.128735102639597643e-02
3.655935210469810499e+03 9.251657103701540485e-01 7.571225753370811051e-02
3.659591145680281443e+03 9.553000207926067855e-01 7.688568787646930802e-02
3.663250736825963031e+03 9.097345314795154403e-01 7.660466084335371129e-02
3.666913987562790226e+03 8.392409714414030830e-01 8.428165482354903204e-02
3.670580901550354156e+03 8.333663485947437888e-01 8.386192430218333826e-02
3.674251482451905758e+03 8.654984704167250076e-01 8.279073511110775219e-02
3.677925733934358959e+03 8.184255042470910402e-01 8.641986610800674040e-02
3.681603659668294313e+03 8.195084519895681208e-01 8.555824303885328774e-02
3.685285263327964003e+03 7.800251528762206510e-01 8.336385370309749854e-02
3.688970548591293209e+03 7.867852020607219998e-01 8.319786056006638064e-02
3.692659519139885560e+03 7.907005070948331937e-01 8.358813204143479558e-02
3.696352178659026777e+03 8.543856354272345577e-01 7.785584650949436969e-02
3.700048530837686940e+03 9.287256009380162602e-01 7.406920781621295635e-02
3.703748579368525952e+03 9.819626652023225599e-01 7.132934572843362131e-02
3.707452327947895355e+03 9.433425373961410454e-01 7.375072435562424200e-02
3.711159780275844696e+03 9.303143684050817486e-01 7.447893884054850033e-02
3.714870940056121526e+03 8.828953722513459557e-01 8.073326881797436572e-02
3.718585810996179134e+03 8.205279957587260364e-01 8.406426275358348799e-02
3.722304396807176545e+03 7.720038734601022412e-01 8.188755993710934711e-02
3.726026701203984885e+03 7.578919180365603081e-01 7.956967887124569150e-02
3.729752727905190113e+03 8.457033122319295160e-01 8.481530052693678212e-02
3.733482480633096657e+03 8.715751181295067207e-01 8.453946697041982150e-02
3.737215963113731050e+03 8.850546515738119124e-01 8.037693525834180286e-02
3.740953179076846027e+03 9.714515568713449900e-01 8.044298884476228095e-02
3.744694132255923705e+03 1.047838356634444246e+00 7.639375189148392420e-02
3.748438826388181042e+03 1.072785669809209530e+00 7.497661512203059042e-02
3.752187265214570289e+03 1.122333707077363352e+00 7.142743531026765624e-02
3.755939452479786269e+03 1.120595283939890274e+00 7.163203422450117874e-02
3.759695391932267285e+03 1.079607002771421520e+00 7.432541251016638872e-02
3.763455087324201031e+03 1.037332558620774448e+00 7.232941230624685691e-02
3.767218542411526414e+03 9.903208005679865478e-01 7.090615862075941300e-02
3.770985760953939007e+03 9.403451190406975080e-01 7.053342308549168105e-02
3.774756746714894234e+03 9.100087856058434177e-01 6.861600930387011521e-02
3.778531503461610555e+03 8.428153246862845061e-01 7.033786914861235584e-02
3.782310034965073100e+03 8.452629261905834079e-01 6.547014684775120941e-02
3.786092345000039586e+03 8.063747020451395020e-01 6.660272915067730337e-02
3.789878437345040766e+03 7.829582414868629936e-01 6.758248979557382463e-02
3.793668315782387253e+03 8.023420145331640052e-01 6.730274423843561615e-02
3.797461984098170888e+03 8.378059619521781576e-01 6.731618374579752262e-02
3.801259446082270188e+03 9.346579847888772941e-01 6.923346489994647301e-02
3.805060705528353537e+03 9.911707554849249480e-01 7.260583218626008584e-02
3.808865766233883278e+03 1.043767109482453881e+00 6.976432885130877393e-02
3.812674632000118436e+03 1.118390624584984172e+00 6.510773199706151870e-02
3.816487306632119726e+03 1.128697787406526931e+00 6.527183392905597237e-02
