# starting wavelength: 3687.915
# ending wavelength: 7475.463
# wav flux eflux
3.688970548591293209e+03 1.614560936110469580e+00 2.368776763931137730e-01
3.692659519139885560e+03 1.657134233988321492e+00 1.752479757036569386e-01
3.696352178659026777e+03 1.678188563662279087e+00 1.309786091934663776e-01
3.700048530837686940e+03 1.688640868550455254e+00 1.025135858321200438e-01
3.703748579368525952e+03 1.668053401865050578e+00 8.116554574547255041e-02
3.707452327947895355e+03 1.639443031005283213e+00 6.633703252272367401e-02
3.711159780275844696e+03 1.610912330599233444e+00 5.823827457134781588e-02
3.714870940056121526e+03 1.587412020413752511e+00 4.803097312257403190e-02
3.718585810996179134e+03 1.559490631679686157e+00 4.030011826338677355e-02
3.722304396807176545e+03 1.532529206901575902e+00 3.456515094139545746e-02
3.726026701203984885e+03 1.503201355065647116e+00 3.073398311760985185e-02
3.729752727905190113e+03 1.471609530913172481e+00 2.774288662271784042e-02
3.733482480633096657e+03 1.445563510593576240e+00 2.541664932888958520e-02
3.737215963113731050e+03 1.430035258832680789e+00 2.395723952857513675e-02
3.740953179076846027e+03 1.414767800772838369e+00 2.274071318519127818e-02
3.744694132255923705e+03 1.399224681408702597e+00 2.172905126522638175e-02
3.748438826388181042e+03 1.386278802017641976e+00 2.098471121742097670e-02
3.752187265214570289e+03 1.381511258804829501e+00 2.060629206994072510e-02
3.755939452479786269e+03 1.383613129323841173e+00 2.107805392788097976e-02
3.759695391932267285e+03 1.382340369575883576e+00 2.118380727622213439e-02
3.763455087324201031e+03 1.391630595861769626e+00 2.077892359354900284e-02
3.767218542411526414e+03 1.406888513720694345e+00 2.007569391908610446e-02
3.770985760953939007e+03 1.399784903957755455e+00 2.038105550001320654e-02
3.774756746714894234e+03 1.411371896674637583e+00 2.079192252636058794e-02
3.778531503461610555e+03 1.437294985122787416e+00 2.124676918914052137e-02
3.782310034965073100e+03 1.451817961218044184e+00 1.991435556953382452e-02
3.786092345000039586e+03 1.476981431942514966e+00 1.999122869265062413e-02
3.789878437345040766e+03 1.502083393245212894e+00 2.025543529682635735e-02
3.793668315782387253e+03 1.522126318681063184e+00 2.010982247351853283e-02
3.797461984098170888e+03 1.554829364696318272e+00 2.106344530008188651e-02
3.801259446082270188e+03 1.599129817865710956e+00 2.243742682407554381e-02
3.805060705528353537e+03 1.631307443587195261e+00 2.368064244428423615e-02
3.808865766233883278e+03 1.652435755400430750e+00 2.309154585576644533e-02
3.812674632000118436e+03 1.656037063306228907e+00 2.480565112118550755e-02
3.816487306632119726e+03 1.654144894837711099e+00 2.670053573732066726e-02
3.820303793938753188e+03 1.664792565255047041e+00 2.709495648736366322e-02
3.824124097732693372e+03 1.669980012637306332e+00 2.800065603935851175e-02
3.827948221830427428e+03 1.673020739343106245e+00 2.695191413466645203e-02
3.831776170052258749e+03 1.678489806277851715e+00 2.642696969753736622e-02
