# starting wavelength: 3687.915
# ending wavelength: 7475.463
# wav flux eflux
3.688970548591293209e+03 1.388891095241724827e+00 1.247866884141579230e-01
3.692659519139885560e+03 1.373503905981880768e+00 9.409468555532798928e-02
3.696352178659026777e+03 1.372769939549673301e+00 7.106061558604352679e-02
3.700048530837686940e+03 1.376069388054912856e+00 5.485986872802161435e-02
3.703748579368525952e+03 1.386716385705056398e+00 4.376428055649976556e-02
3.707452327947895355e+03 1.396377717149743125e+00 3.488722522602093895e-02
3.711159780275844696e+03 1.405753254710175870e+00 2.868392762642445193e-02
3.714870940056121526e+03 1.413603627171567734e+00 2.390835853131850763e-02
3.718585810996179134e+03 1.420233923931280673e+00 2.018095313777509489e-02
3.722304396807176545e+03 1.423566232122258191e+00 1.765375917044841036e-02
3.726026701203984885e+03 1.426556058334758292e+00 1.574614374161852071e-02
3.729752727905190113e+03 1.428770585493269518e+00 1.417798112565495788e-02
3.733482480633096657e+03 1.432553020696886614e+00 1.307666808243305653e-02
3.737215963113731050e+03 1.434927272580448498e+00 1.234119250886752707e-02
3.740953179076846027e+03 1.432750381169014542e+00 1.178601477198468542e-02
3.744694132255923705e+03 1.432000794068111427e+00 1.134388317299634373e-02
3.748438826388181042e+03 1.430994342515041096e+00 1.098332023345948566e-02
3.752187265214570289e+03 1.427075913959337194e+00 1.080425507746910624e-02
3.755939452479786269e+03 1.423214971036813603e+00 1.074924945193334209e-02
3.759695391932267285e+03 1.412485527194297541e+00 1.012733434621242504e-02
3.763455087324201031e+03 1.409580735536313689e+00 1.026708116197933701e-02
3.767218542411526414e+03 1.402723415963010201e+00 9.632314909431987510e-03
3.770985760953939007e+03 1.401862287973985710e+00 9.877435766487727836e-03
3.774756746714894234e+03 1.402888818659519421e+00 1.003233349454161864e-02
3.778531503461610555e+03 1.411075763214703960e+00 1.012885448563542734e-02
3.782310034965073100e+03 1.414572620188901286e+00 9.950085843829552246e-03
3.786092345000039586e+03 1.427801461547985262e+00 9.277487370829493041e-03
3.789878437345040766e+03 1.432463816436261084e+00 9.019237661835254397e-03
3.793668315782387253e+03 1.434042265753242340e+00 8.941887032270782326e-03
3.797461984098170888e+03 1.438865307437492858e+00 9.190972450093605126e-03
3.801259446082270188e+03 1.452618388427610041e+00 1.107292061140700834e-02
3.805060705528353537e+03 1.465701381327581210e+00 1.089836022655640141e-02
3.808865766233883278e+03 1.461229530390750986e+00 1.211380940236274698e-02
3.812674632000118436e+03 1.459218045474971470e+00 1.305584317399026764e-02
3.816487306632119726e+03 1.459614246250864333e+00 1.357254766488596651e-02
3.820303793938753188e+03 1.463670938373697661e+00 1.406629698524185235e-02
3.824124097732693372e+03 1.465830789337690065e+00 1.416283938102219121e-02
3.827948221830427428e+03 1.473794200402426036e+00 1.420497291845576951e-02
3.831776170052258749e+03 1.486091634760891234e+00 1.444807164576017086e-02
3.835607946222312421e+03 1.490901637496840904e+00 1.434008712142396079e-02
3.839443554168536139e+03 1.499808707933436569e+00 1.456168157541625624e-02
3.843282997722705659e+03 1.507987112889419556e+00 1.486002913518386787e-02
3.847126280720429804e+03 1.518475196438046293e+00 1.553750080169869971e-02
3.850973407001151372e+03 1.524164264921685330e+00 1.564265900638027798e-02
3.854824380408153957e+03 1.533080845415844662e+00 1.554033595210217202e-02
3.858679204788563311e+03 1.546160105744856406e+00 1.535512119263078047e-02
3.862537883993353262e+03 1.555551174201664777e+00 1.523198590357743507e-02
3.866400421877347981e+03 1.560805317350716370e+00 1.545463940884982297e-02
3.870266822299226533e+03 1.569579727414839754e+00 1.510804449014709928e-02
3.874137089121526969e+03 1.570909449072282138e+00 1.573212944929451573e-02
3.878011226210649966e+03 1.571057059391319122e+00 1.589022815082927545e-02
3.881889237436861549e+03 1.573180104548442815e+00 1.570285898911455078e-02
3.885771126674299921e+03 1.575449457496755468e+00 1.581333935061422086e-02
3.889656897800975457e+03 1.574883750981935115e+00 1.555125781889571401e-02
3.893546554698777527e+03 1.574791081089788713e+00 1.571839154925634696e-02
3.897440101253477678e+03 1.574976203807576969e+00 1.571716438040219807e-02
3.901337541354732366e+03 1.568358782035444321e+00 1.554993501427873875e-02
3.905238878896088409e+03 1.568647977245589908e+00 1.570152750387531632e-02
