# starting wavelength: 3687.915
# ending wavelength: 7475.463
# wav flux eflux
3.688970548591293209e+03 1.322756554059445921e+00 1.761571258567093956e+00
3.692659519139885560e+03 1.836510927654058323e+00 1.288292867719232904e+00
3.696352178659026777e+03 2.063826275926716747e+00 9.565993984643303971e-01
3.700048530837686940e+03 2.052180361148131738e+00 7.387142620444256957e-01
3.703748579368525952e+03 1.972284144017118823e+00 5.836742523000538752e-01
3.707452327947895355e+03 1.929282046033930609e+00 4.621570035781822350e-01
3.711159780275844696e+03 1.846844258265358585e+00 3.709997681861788577e-01
3.714870940056121526e+03 1.746124076218893428e+00 3.100432306622982193e-01
3.718585810996179134e+03 1.671980186987755301e+00 2.572229170426682532e-01
3.722304396807176545e+03 1.650022753031008094e+00 2.354016498834587690e-01
3.726026701203984885e+03 1.657235613856863576e+00 2.090990730847056278e-01
3.729752727905190113e+03 1.631790356428068911e+00 1.854516760534322684e-01
3.733482480633096657e+03 1.591620441132947983e+00 1.686728758153400176e-01
3.737215963113731050e+03 1.590985922705582922e+00 1.550608107416498460e-01
3.740953179076846027e+03 1.554822697044826896e+00 1.469661762726259813e-01
3.744694132255923705e+03 1.566238839703959052e+00 1.408417708425779846e-01
3.748438826388181042e+03 1.526700439578740465e+00 1.358946125599611865e-01
3.752187265214570289e+03 1.512155027988951961e+00 1.317383078235351002e-01
3.755939452479786269e+03 1.523734905187876798e+00 1.283846569923973169e-01
3.759695391932267285e+03 1.598911660535362600e+00 1.266842679682758932e-01
3.763455087324201031e+03 1.653110417754926065e+00 1.207060783048728159e-01
3.767218542411526414e+03 1.671138780115275946e+00 1.195346513718590076e-01
3.770985760953939007e+03 1.662280518939260876e+00 1.162312992069796519e-01
3.774756746714894234e+03 1.689057001214108844e+00 1.167600063101894015e-01
3.778531503461610555e+03 1.666470760192197087e+00 1.180048563770537406e-01
3.782310034965073100e+03 1.668176363130877471e+00 1.168487946893349561e-01
3.786092345000039586e+03 1.546924097427589739e+00 1.085423714253331839e-01
3.789878437345040766e+03 1.483306005003342420e+00 1.059099909338639123e-01
3.793668315782387253e+03 1.518721074337910482e+00 1.058867032431864696e-01
3.797461984098170888e+03 1.455437466236212396e+00 1.057133178020480957e-01
3.801259446082270188e+03 1.441883172961701876e+00 1.062090203867845084e-01
3.805060705528353537e+03 1.424667104477491009e+00 1.043677023861856873e-01
3.808865766233883278e+03 1.452680076617892890e+00 1.018139314505074056e-01
3.812674632000118436e+03 1.362991255440676008e+00 9.737886548397770015e-02
3.816487306632119726e+03 1.408419367132272448e+00 1.027242579812744083e-01
3.820303793938753188e+03 1.393873641003351205e+00 1.032926901403178471e-01
3.824124097732693372e+03 1.399431986529211525e+00 1.034234087719453909e-01
3.827948221830427428e+03 1.377169130217995585e+00 1.018469762120824407e-01
3.831776170052258749e+03 1.396970541462913662e+00 1.012469910887580510e-01
3.835607946222312421e+03 1.379875672544324638e+00 1.020942505435114972e-01
3.839443554168536139e+03 1.335909421922764517e+00 9.786369878888602492e-02
3.843282997722705659e+03 1.369870315258805205e+00 1.002690109704592325e-01
3.847126280720429804e+03 1.416198365514849344e+00 1.016752363216513327e-01
3.850973407001151372e+03 1.465403109273593740e+00 9.174130462243396122e-02
3.854824380408153957e+03 1.440694386859162623e+00 9.111893234594477253e-02
3.858679204788563311e+03 1.406690454218792796e+00 9.149173507058075416e-02
3.862537883993353262e+03 1.387496210339061786e+00 9.531734094142994829e-02
3.866400421877347981e+03 1.373248672754868727e+00 9.376631301871417301e-02
3.870266822299226533e+03 1.381862566313381890e+00 9.012193459078134128e-02
3.874137089121526969e+03 1.385143906133878611e+00 8.668055486942578824e-02
3.878011226210649966e+03 1.404032095149880588e+00 8.982225840146040863e-02
3.881889237436861549e+03 1.483970914662640972e+00 9.253415534866936409e-02
3.885771126674299921e+03 1.518539699578064228e+00 9.386492680088906471e-02
3.889656897800975457e+03 1.557444495061349077e+00 9.297197866936462995e-02
3.893546554698777527e+03 1.619442497905143830e+00 9.233443836147169070e-02
3.897440101253477678e+03 1.660915454390317736e+00 9.183007762756700831e-02
3.901337541354732366e+03 1.753796914396217765e+00 9.579419962231221219e-02
3.905238878896088409e+03 1.789520776525161061e+00 9.497843619944788818e-02
3.909144117774985716e+03 1.818415027245233073e+00 9.270506219626058197e-02
3.913053261892762293e+03 1.824713027238458185e+00 9.109536673001188134e-02
3.916966315154656058e+03 1.781718799804069553e+00 8.771306344882193184e-02
3.920883281469812118e+03 1.729438713678308925e+00 8.675677537072103152e-02
3.924804164751283224e+03 1.611735645886276380e+00 9.594182063115742898e-02
3.928728968916035683e+03 1.566750993847452422e+00 9.409637048587222996e-02
3.932657697884953450e+03 1.531199917779106467e+00 9.291295636101390421e-02
3.936590355582839493e+03 1.452267298921150251e+00 8.585549151289230407e-02
3.940526945938423523e+03 1.451411647278350703e+00 8.765614765735733893e-02
3.944467472884363360e+03 1.437282583248460588e+00 8.827990811234320834e-02
3.948411940357249023e+03 1.465450820609554006e+00 9.163713838318937599e-02
3.952360352297607733e+03 1.496360004295924195e+00 8.923827156316155307e-02
3.956312712649906643e+03 1.508633158274336195e+00 9.341183666933326746e-02
3.960269025362557841e+03 1.582478669088405621e+00 9.373181433572227994e-02
3.964229294387921527e+03 1.661893098953315162e+00 1.000043653721876952e-01
