# starting wavelength: 3890.480
# ending wavelength: 7073.190
# wav flux eflux
3.893546554698777527e+03 1.936092845047905131e+00 9.930958538635570321e-02
3.897440101253477678e+03 1.941539744056903105e+00 7.612704716005350147e-02
3.901337541354732366e+03 1.930385857784813419e+00 5.714028150187965005e-02
3.905238878896088409e+03 1.907791022003174186e+00 4.482240102602733783e-02
3.909144117774985716e+03 1.888098809325706062e+00 3.529074858654231150e-02
3.913053261892762293e+03 1.875509296457579689e+00 2.864645269742063100e-02
3.916966315154656058e+03 1.861647712832944723e+00 2.357892975584601619e-02
3.920883281469812118e+03 1.846708737731055150e+00 1.955526382901407595e-02
3.924804164751283224e+03 1.835752769244541671e+00 1.661216416007592345e-02
3.928728968916035683e+03 1.827008641146343315e+00 1.432913305298129034e-02
3.932657697884953450e+03 1.823410095690350730e+00 1.266121458817230649e-02
3.936590355582839493e+03 1.818738666209583688e+00 1.144982664088081172e-02
3.940526945938423523e+03 1.819233239892802390e+00 1.054354057941769840e-02
3.944467472884363360e+03 1.822324926555077385e+00 9.895664430666006525e-03
3.948411940357249023e+03 1.831208420141205995e+00 9.443713886385178211e-03
3.952360352297607733e+03 1.841317700072285790e+00 9.050318810674482309e-03
3.956312712649906643e+03 1.858487885419044527e+00 9.279124589089277064e-03
3.960269025362557841e+03 1.873559633025802862e+00 9.211835483641234515e-03
3.964229294387921527e+03 1.887906445849913517e+00 8.978680902847164386e-03
3.968193523682310570e+03 1.903926748092192200e+00 8.619445329551703519e-03
3.972161717205994591e+03 1.918760577458724637e+00 8.139830151271166409e-03
3.976133878923201792e+03 1.928156302606213846e+00 8.223849250985812084e-03
3.980110012802126221e+03 1.935075321438050500e+00 8.242168830647225719e-03
3.984090122814929600e+03 1.938819276369741829e+00 8.157962870136405142e-03
3.988074212937745870e+03 1.942093885904046857e+00 7.950382693210276269e-03
3.992062287150684824e+03 1.952098741285846595e+00 7.848413310735590301e-03
3.996054349437837118e+03 1.950930017216238044e+00 7.763744270831239754e-03
4.000050403787276082e+03 1.949457120398770282e+00 7.809323431605975745e-03
4.004050454191064546e+03 1.950998198669939843e+00 7.851244987588082772e-03
4.008054504645257111e+03 1.950197174446634651e+00 7.800287582080246349e-03
4.012062559149903791e+03 1.943818304523443619e+00 7.604416595017658535e-03
4.016074621709055009e+03 1.935348714087619770e+00 7.422384161081338992e-03
4.020090696330765240e+03 1.923788724072848400e+00 7.419115949084530148e-03
4.024110787027097558e+03 1.918903759992297342e+00 7.534481614515703071e-03
4.028134897814125907e+03 1.905927123807459322e+00 7.291382091139153414e-03
4.032163032711941469e+03 1.899796757061763319e+00 7.186497246022984994e-03
4.036195195744654484e+03 1.898413605880288291e+00 7.287480944021407746e-03
4.040231390940400615e+03 1.900488951139495342e+00 7.256760514988128651e-03
4.044271622331342314e+03 1.898123149528860631e+00 7.291673323669184588e-03
4.048315893953675186e+03 1.888500808855707147e+00 7.168424471441894701e-03
4.052364209847629809e+03 1.884853304447487998e+00 6.845234635209233691e-03
4.056416574057479011e+03 1.878707959907093938e+00 6.734472560650828742e-03
