# starting wavelength: 3654.224
# ending wavelength: 7407.171
# wav flux eflux
3.655935210469810499e+03 1.744079461634054251e+00 9.715146565389207178e-02
3.659591145680281443e+03 1.741131425506849073e+00 7.283303351567627093e-02
3.663250736825963031e+03 1.744482283024161973e+00 5.671121315934296581e-02
3.666913987562790226e+03 1.751274800576423152e+00 4.451281291332159773e-02
3.670580901550354156e+03 1.753450808907809799e+00 3.483905137710938821e-02
3.674251482451905758e+03 1.757756367507619988e+00 2.793560390721285674e-02
3.677925733934358959e+03 1.764340164511213116e+00 2.288580808876006234e-02
3.681603659668294313e+03 1.770665297144023098e+00 1.888772142622345551e-02
3.685285263327964003e+03 1.780759185953366242e+00 1.680624578621339044e-02
3.688970548591293209e+03 1.789551547728349234e+00 1.440717906500068972e-02
3.692659519139885560e+03 1.797325834565924652e+00 1.267782924487571676e-02
3.696352178659026777e+03 1.804838546294899704e+00 1.142248936778137401e-02
3.700048530837686940e+03 1.813400293841117561e+00 1.059370071504403023e-02
3.703748579368525952e+03 1.821017869228314989e+00 9.957959366203061533e-03
3.707452327947895355e+03 1.824681337982387408e+00 9.421180018473388970e-03
3.711159780275844696e+03 1.829203574620860806e+00 9.198340968395338907e-03
3.714870940056121526e+03 1.828412647673001601e+00 8.908127193092882021e-03
3.718585810996179134e+03 1.825006528621396340e+00 8.702290962069378702e-03
3.722304396807176545e+03 1.817329781574662073e+00 9.142657431311578681e-03
3.726026701203984885e+03 1.806773300634460844e+00 9.439812578269327070e-03
3.729752727905190113e+03 1.801105405478990562e+00 9.742379205145876644e-03
3.733482480633096657e+03 1.793673474396844991e+00 9.718143667979600719e-03
3.737215963113731050e+03 1.786157521783951596e+00 9.790323111315413565e-03
3.740953179076846027e+03 1.775276877412346410e+00 9.461939588543041499e-03
3.744694132255923705e+03 1.765746829898923176e+00 9.356286427963772176e-03
3.748438826388181042e+03 1.758235608346575773e+00 9.547908312979540638e-03
3.752187265214570289e+03 1.750611247298901496e+00 9.708164904173361212e-03
3.755939452479786269e+03 1.743865410973897134e+00 9.674898629732113162e-03
3.759695391932267285e+03 1.738944853270210533e+00 9.647319051879122212e-03
3.763455087324201031e+03 1.727625025000911974e+00 9.032346635865691822e-03
3.767218542411526414e+03 1.728080867245219698e+00 9.034080240669256981e-03
3.770985760953939007e+03 1.726897177958220508e+00 8.962882115095084645e-03
3.774756746714894234e+03 1.729183851949532169e+00 9.422653532404652935e-03
3.778531503461610555e+03 1.734626423255725580e+00 9.758920768476777793e-03
3.782310034965073100e+03 1.740340896442509555e+00 9.579123931186856941e-03
3.786092345000039586e+03 1.743791526183433582e+00 9.456998747868854832e-03
3.789878437345040766e+03 1.746307941005046604e+00 9.028029921421879683e-03
3.793668315782387253e+03 1.746747792802233912e+00 9.005014045589751145e-03
3.797461984098170888e+03 1.741711948908786001e+00 8.957869901560996245e-03
3.801259446082270188e+03 1.737831608935846317e+00 9.017937616399827189e-03
3.805060705528353537e+03 1.729149901382655008e+00 9.509003983311076907e-03
3.808865766233883278e+03 1.722506295692635581e+00 9.378631543425388142e-03
3.812674632000118436e+03 1.722048331369879781e+00 9.404617725213395077e-03
3.816487306632119726e+03 1.712605796315434636e+00 8.822693339786413791e-03
3.820303793938753188e+03 1.702335999998016769e+00 8.857730367136430055e-03
3.824124097732693372e+03 1.699017299951070203e+00 9.350366029309052293e-03
3.827948221830427428e+03 1.705685880952040989e+00 9.761795121051727864e-03
3.831776170052258749e+03 1.721482367061717422e+00 1.239717823470764396e-02
3.835607946222312421e+03 1.734020122958360721e+00 1.261971962259025686e-02
3.839443554168536139e+03 1.739136265768987055e+00 1.287314387442114669e-02
3.843282997722705659e+03 1.733031598894018144e+00 1.291679607617831661e-02
3.847126280720429804e+03 1.731103556041661218e+00 1.319300035015941175e-02
3.850973407001151372e+03 1.731781299437392230e+00 1.300054472263349921e-02
3.854824380408153957e+03 1.735982978718934699e+00 1.297080209526543272e-02
3.858679204788563311e+03 1.740639639432935093e+00 1.297789439042393300e-02
3.862537883993353262e+03 1.739129671704122693e+00 1.299052018171083928e-02
3.866400421877347981e+03 1.744075818466208627e+00 1.311784425349413891e-02
3.870266822299226533e+03 1.737003707053599522e+00 1.329890912419568437e-02
3.874137089121526969e+03 1.730800124217742209e+00 1.332637566736415841e-02
3.878011226210649966e+03 1.728977261512389951e+00 1.288852153665498088e-02
3.881889237436861549e+03 1.729416997770495179e+00 1.290890567116983328e-02
3.885771126674299921e+03 1.737464007170566482e+00 1.443458471062527247e-02
3.889656897800975457e+03 1.745340254500489907e+00 1.491250298888961191e-02
3.893546554698777527e+03 1.746276469543756260e+00 1.484823238880768510e-02
3.897440101253477678e+03 1.743731841233380431e+00 1.488093493409264716e-02
3.901337541354732366e+03 1.739395843488860116e+00 1.444960764136019732e-02
3.905238878896088409e+03 1.731750189544291718e+00 1.472624983424001936e-02
3.909144117774985716e+03 1.710275569980687305e+00 1.636195809590113362e-02
3.913053261892762293e+03 1.693569800604950215e+00 1.763698352353603588e-02
3.916966315154656058e+03 1.685739867549393090e+00 1.784115305668643528e-02
3.920883281469812118e+03 1.681255408454470190e+00 1.825814424604120870e-02
3.924804164751283224e+03 1.664881853019887004e+00 1.835008906977428009e-02
3.928728968916035683e+03 1.638089005724746805e+00 1.729737318666947285e-02
3.932657697884953450e+03 1.623625216266633364e+00 1.709616401759702156e-02
3.936590355582839493e+03 1.621227192716419907e+00 1.604629185771015709e-02
3.940526945938423523e+03 1.611617802471385641e+00 1.629928020026901597e-02
3.944467472884363360e+03 1.606639118187713988e+00 1.635935141226903949e-02
3.948411940357249023e+03 1.606905716216282087e+00 1.634596244219596248e-02
3.952360352297607733e+03 1.615240539526018759e+00 1.627086225818273960e-02
3.956312712649906643e+03 1.624206473790000826e+00 1.622052330177008866e-02
3.960269025362557841e+03 1.638077273879446016e+00 1.659342666181073261e-02
3.964229294387921527e+03 1.646439473954555366e+00 1.684977034030907608e-02
3.968193523682310570e+03 1.649444512840444244e+00 1.589602428936934611e-02
3.972161717205994591e+03 1.650824250280105154e+00 1.566700582653484525e-02
3.976133878923201792e+03 1.664252955475784335e+00 1.596056227424712606e-02
3.980110012802126221e+03 1.676822056171577424e+00 1.550112676249130496e-02
3.984090122814929600e+03 1.691016452185566177e+00 1.450075487078223910e-02
3.988074212937745870e+03 1.700819357921216524e+00 1.423175970751633032e-02
3.992062287150684824e+03 1.702446759556738076e+00 1.421796254542605220e-02
3.996054349437837118e+03 1.689934130113820210e+00 1.453333858747516728e-02
4.000050403787276082e+03 1.667517859973733030e+00 1.108998405690769622e-02
4.004050454191064546e+03 1.646498551097506091e+00 9.022634481220224989e-03
4.008054504645257111e+03 1.645123103213833815e+00 8.752072890661490370e-03
4.012062559149903791e+03 1.645323271699665524e+00 7.254553209855543056e-03
4.016074621709055009e+03 1.641336030295175608e+00 6.859194316027724704e-03
4.020090696330765240e+03 1.636536206011024897e+00 6.845715920974727517e-03
4.024110787027097558e+03 1.633574390079842953e+00 6.959817903072814532e-03
4.028134897814125907e+03 1.631741062598222269e+00 7.054602303706877450e-03
4.032163032711941469e+03 1.626453075021995431e+00 7.267083372235861628e-03
4.036195195744654484e+03 1.625210852112451754e+00 7.205612696701669574e-03
4.040231390940400615e+03 1.626228313326223640e+00 7.275446706304113803e-03
4.044271622331342314e+03 1.632365792482535882e+00 7.230844574295624237e-03
4.048315893953675186e+03 1.630968800575915978e+00 7.049899146251284617e-03
4.052364209847629809e+03 1.625682275947636812e+00 8.652535032189125758e-03
4.056416574057479011e+03 1.635799764303236037e+00 9.599483690050137491e-03
4.060472990631537868e+03 1.658335673981621072e+00 1.400316978582697748e-02
4.064533463622170530e+03 1.661410577573809055e+00 1.391020659057159124e-02
4.068597997085794304e+03 1.652330834401382287e+00 1.499897604570158555e-02
4.072666595082881486e+03 1.630119209718946305e+00 1.829528383367291441e-02
4.076739261677965715e+03 1.618282327066200343e+00 1.822713751239280616e-02
4.080816000939644709e+03 1.625728366756432175e+00 1.781698625231191088e-02
4.084896816940585722e+03 1.641140378737727890e+00 1.766307576276867838e-02
4.088981713757527814e+03 1.664413508130109687e+00 1.842801029945437610e-02
