# starting wavelength: 3364.188
# ending wavelength: 10411.068
# wav flux eflux
3.364883711873251741e+03 5.026802531303207200e-01 1.798160087439728272e-01
3.368248595585126168e+03 5.549136261274832949e-01 1.338056279066227039e-01
3.371616844180712633e+03 5.882072282253835160e-01 9.878361098983749755e-02
3.374988461024894150e+03 6.094048593418832649e-01 7.514533561631416003e-02
3.378363449485920228e+03 6.196086202799272469e-01 5.839361240374476431e-02
3.381741812935407324e+03 6.228147192754276418e-01 4.691719231148352293e-02
3.385123554748343849e+03 6.262658386654471609e-01 3.793119328901375237e-02
3.388508678303093347e+03 6.267186693230888395e-01 3.096232301353707417e-02
3.391897186981397681e+03 6.284352826057405528e-01 2.660045860566243384e-02
3.395289084168380214e+03 6.314458398728011179e-01 2.279349996902558032e-02
3.398684373252549449e+03 6.261760607371971155e-01 2.159180293841621301e-02
3.402083057625803121e+03 6.384359482654009543e-01 2.148730739357710556e-02
3.405485140683430018e+03 6.487789671666398528e-01 2.030929271880738129e-02
3.408890625824114522e+03 6.689755959925814954e-01 2.100671715772185755e-02
3.412299516449939802e+03 6.833988409147637721e-01 2.043331941892674239e-02
3.415711815966390986e+03 6.890381680317192448e-01 1.947763683575413213e-02
3.419127527782358356e+03 6.910647772507712006e-01 1.861687419819782474e-02
3.422546655310141887e+03 6.861032252017347233e-01 1.825666838798278846e-02
3.425969201965453522e+03 6.813476608303036253e-01 1.836959389811301108e-02
3.429395171167419903e+03 6.761669423745214624e-01 1.827579017091240238e-02
3.432824566338588284e+03 6.781880180561987714e-01 1.838695403625169658e-02
3.436257390904928343e+03 6.819383320831693407e-01 1.851898812622480850e-02
3.439693648295834464e+03 6.804973539249905556e-01 1.861041868418699188e-02
3.443133341944131189e+03 6.781411128975438629e-01 1.902575361432385162e-02
3.446576475286076402e+03 6.730328069898046106e-01 1.990755931532326925e-02
3.450023051761363604e+03 6.671942134123520773e-01 1.979831633996103832e-02
3.453473074813126004e+03 6.639365438851866363e-01 1.984075955969914415e-02
3.456926547887940615e+03 6.598231104636489430e-01 1.989927922973943816e-02
3.460383474435829612e+03 6.539706315091050604e-01 1.964249608764984112e-02
3.463843857910266706e+03 6.462916923842512151e-01 1.929165712237105104e-02
3.467307701768178049e+03 6.453346675967883694e-01 1.929944127104180063e-02
3.470775009469947236e+03 6.505344038198559442e-01 1.926959201075272021e-02
3.474245784479418489e+03 6.512400578398880313e-01 1.926542835090582287e-02
3.477720030263898934e+03 6.512855740452145881e-01 1.879761630174729345e-02
3.481197750294164052e+03 6.519615797738250729e-01 1.886887341923209130e-02
3.484678948044459503e+03 6.683244038593447733e-01 1.809853531769913329e-02
