# starting wavelength: 3702.598
# ending wavelength: 7505.225
# wav flux eflux
3.703748579368525952e+03 7.761498180516454015e-01 1.482009201819788069e-01
3.707452327947895355e+03 7.384246939263739984e-01 1.136669805876648065e-01
3.711159780275844696e+03 7.400413442012115928e-01 9.056606659970678486e-02
3.714870940056121526e+03 7.592787474781279577e-01 7.274144903445145527e-02
3.718585810996179134e+03 7.749399348602777904e-01 5.822190423516519775e-02
3.722304396807176545e+03 7.868181906972915307e-01 4.881206955408323722e-02
3.726026701203984885e+03 7.889764805456556118e-01 4.155273352408931503e-02
3.729752727905190113e+03 7.828165343185597980e-01 3.439545577026439233e-02
3.733482480633096657e+03 7.789561035294156888e-01 2.904350468331912127e-02
3.737215963113731050e+03 7.763534932294515745e-01 2.482209405421574588e-02
3.740953179076846027e+03 7.743869539296809323e-01 2.216039349254239968e-02
3.744694132255923705e+03 7.700300667026294121e-01 1.986966666254020436e-02
3.748438826388181042e+03 7.712922995146909155e-01 1.811696110020858189e-02
3.752187265214570289e+03 7.730408060318434416e-01 1.682630484219762787e-02
3.755939452479786269e+03 7.799089621298070929e-01 1.591374854835676464e-02
3.759695391932267285e+03 7.890640815053114876e-01 1.526160861224462942e-02
3.763455087324201031e+03 7.982267805429976715e-01 1.464037353280816904e-02
3.767218542411526414e+03 8.082311538477513491e-01 1.422921330536693237e-02
3.770985760953939007e+03 8.253082453668231233e-01 1.461478849449797737e-02
3.774756746714894234e+03 8.445463639832033742e-01 1.621843921419446194e-02
3.778531503461610555e+03 8.539712113910936653e-01 1.650855308868618559e-02
3.782310034965073100e+03 8.683046923002826212e-01 1.640282360112233287e-02
3.786092345000039586e+03 8.843789803648330894e-01 1.598877481929360939e-02
3.789878437345040766e+03 8.981189848804228548e-01 1.568941456733012954e-02
3.793668315782387253e+03 9.072665328541313912e-01 1.543615072082618438e-02
3.797461984098170888e+03 9.063844984675448746e-01 1.585430229334341273e-02
3.801259446082270188e+03 9.079620473842304751e-01 1.592093049630467425e-02
3.805060705528353537e+03 9.092299721054672990e-01 1.599924776322000572e-02
3.808865766233883278e+03 8.952457753085496517e-01 1.587727549554726961e-02
3.812674632000118436e+03 8.833615772457913407e-01 1.630378229093175022e-02
3.816487306632119726e+03 8.751480178907127261e-01 1.656928174053650185e-02
3.820303793938753188e+03 8.534867878746590364e-01 1.558697617336929526e-02
3.824124097732693372e+03 8.321044262721344342e-01 1.406756607050007636e-02
3.827948221830427428e+03 8.241930754596934472e-01 1.400145525705542328e-02
3.831776170052258749e+03 8.340119043119470499e-01 1.612582676369794105e-02
3.835607946222312421e+03 8.440641024553247052e-01 1.544457732710280071e-02
3.839443554168536139e+03 8.457819375737936074e-01 1.533850477355707190e-02
3.843282997722705659e+03 8.457025006678783319e-01 1.533827270673992355e-02
3.847126280720429804e+03 8.477208103258225824e-01 1.548938956045251003e-02
3.850973407001151372e+03 8.463193181464457870e-01 1.551970979027759642e-02
3.854824380408153957e+03 8.412324088400472410e-01 1.554216512169397969e-02
3.858679204788563311e+03 8.513305621145641489e-01 1.509231187824834446e-02
3.862537883993353262e+03 8.668093685169282470e-01 1.434390897773782023e-02
3.866400421877347981e+03 8.733652424861324537e-01 1.425571438759500043e-02
3.870266822299226533e+03 8.711415531751088848e-01 1.457434794650231194e-02
3.874137089121526969e+03 8.648929819008788211e-01 1.517613902669315458e-02
