# starting wavelength: 3702.598
# ending wavelength: 7505.225
# wav flux eflux
3.703748579368525952e+03 4.452548265596887322e-01 3.953606702039330067e-01
3.707452327947895355e+03 5.028635507176263397e-01 2.924503290159977120e-01
3.711159780275844696e+03 5.285350733458454853e-01 2.184419958885611968e-01
3.714870940056121526e+03 5.184948664617258229e-01 1.746835049102793413e-01
3.718585810996179134e+03 5.149570350987666689e-01 1.347667331578967509e-01
3.722304396807176545e+03 5.046357586110497007e-01 1.070947214039869033e-01
3.726026701203984885e+03 4.750587872815685841e-01 8.763352699821903846e-02
3.729752727905190113e+03 4.547174261967850128e-01 7.143877417002519881e-02
3.733482480633096657e+03 4.410712797837881283e-01 6.070431672055404126e-02
3.737215963113731050e+03 4.350732122942697067e-01 5.181844440229912280e-02
3.740953179076846027e+03 4.252688257554848583e-01 4.545896242727757303e-02
3.744694132255923705e+03 4.174908503119473258e-01 4.044667179402609836e-02
3.748438826388181042e+03 4.162650074242256193e-01 3.670963265109446899e-02
3.752187265214570289e+03 4.364256509254101357e-01 3.477249938528354650e-02
3.755939452479786269e+03 4.433427596704363483e-01 3.263797609951699791e-02
3.759695391932267285e+03 4.568122438204472724e-01 3.098822926818253776e-02
3.763455087324201031e+03 4.833687825010374306e-01 2.974206620916516539e-02
3.767218542411526414e+03 5.071331834916912307e-01 2.883156978929881167e-02
3.770985760953939007e+03 5.415648384527074199e-01 2.905798858795867468e-02
3.774756746714894234e+03 5.782684656113888932e-01 2.862038696645358149e-02
3.778531503461610555e+03 6.077910731905119546e-01 2.864678084482002313e-02
3.782310034965073100e+03 6.395093316111309933e-01 2.794268981895274909e-02
3.786092345000039586e+03 6.653011776441919434e-01 2.715414321948182025e-02
3.789878437345040766e+03 6.920875811221764984e-01 2.529516266084860451e-02
3.793668315782387253e+03 7.068358377361949607e-01 2.507871621877136997e-02
3.797461984098170888e+03 7.041353276620183621e-01 2.520101644869570182e-02
3.801259446082270188e+03 7.045526933544248305e-01 2.535859120673434816e-02
3.805060705528353537e+03 6.976565417072795316e-01 2.544136006128355776e-02
3.808865766233883278e+03 6.875047747271093579e-01 2.494888332650841214e-02
3.812674632000118436e+03 6.785409996543672051e-01 2.513234306181755598e-02
3.816487306632119726e+03 6.655829715300556337e-01 2.518567560275510042e-02
3.820303793938753188e+03 6.562437952961466259e-01 2.463640757335190667e-02
3.824124097732693372e+03 6.345519155098978681e-01 2.296201567978074787e-02
3.827948221830427428e+03 6.203492717267369283e-01 2.239652217845271992e-02
3.831776170052258749e+03 6.085579715345529328e-01 2.134933867122153911e-02
3.835607946222312421e+03 5.939816264511960098e-01 2.162916916019979804e-02
3.839443554168536139e+03 5.783878957308705715e-01 2.130725116557567050e-02
3.843282997722705659e+03 5.742476572598342877e-01 2.092897990515177678e-02
3.847126280720429804e+03 5.729654071243853730e-01 2.018215051210149949e-02
3.850973407001151372e+03 5.599892122907395020e-01 1.908641889897511393e-02
3.854824380408153957e+03 5.618028458270392100e-01 1.893755660347421280e-02
3.858679204788563311e+03 5.806978759800985879e-01 1.886755970429708842e-02
3.862537883993353262e+03 5.961341394821857431e-01 1.783659951365824947e-02
3.866400421877347981e+03 5.877095081419323463e-01 1.888151900191878743e-02
3.870266822299226533e+03 5.769421615865056863e-01 2.029002056624168784e-02
3.874137089121526969e+03 5.839781465347001488e-01 2.201139081527317756e-02
3.878011226210649966e+03 6.005524465844553905e-01 2.362816247144422857e-02
3.881889237436861549e+03 6.007797131692715897e-01 2.405030075039114867e-02
3.885771126674299921e+03 5.936153568235046363e-01 2.397063436417167306e-02
