# starting wavelength: 3692.308
# ending wavelength: 7484.367
# wav flux eflux
3.692659519139885560e+03 2.192012546901914494e+00 2.287301165678217729e-01
3.696352178659026777e+03 2.192971629647154863e+00 1.650006356566400545e-01
3.700048530837686940e+03 2.193772427222972610e+00 1.224282757595928639e-01
3.703748579368525952e+03 2.183724174265597728e+00 9.347026903597376035e-02
3.707452327947895355e+03 2.181784929679747354e+00 7.665636616275911530e-02
3.711159780275844696e+03 2.162011405506722994e+00 6.049280926835991917e-02
3.714870940056121526e+03 2.137108711785576265e+00 4.855058391321347144e-02
3.718585810996179134e+03 2.109020126040704213e+00 4.018224629523252378e-02
3.722304396807176545e+03 2.080680721299871916e+00 3.391260586684151368e-02
3.726026701203984885e+03 2.045223819200721938e+00 3.055978045947636834e-02
3.729752727905190113e+03 2.014350270049188207e+00 2.660764552369886127e-02
3.733482480633096657e+03 2.000435766832175943e+00 2.538088762116273711e-02
3.737215963113731050e+03 1.983164108259518166e+00 2.316544162996635875e-02
3.740953179076846027e+03 1.972220745378888695e+00 2.182532495131951286e-02
3.744694132255923705e+03 1.962854204489036469e+00 2.067903884884845361e-02
3.748438826388181042e+03 1.953393312564928541e+00 1.968363115559726775e-02
3.752187265214570289e+03 1.941995112145453728e+00 1.911519149185795033e-02
3.755939452479786269e+03 1.942871534746634321e+00 1.884604495482214426e-02
3.759695391932267285e+03 1.940671073728325036e+00 1.825174444231157309e-02
3.763455087324201031e+03 1.948612564559178972e+00 1.833240350629130114e-02
3.767218542411526414e+03 1.954182073365004602e+00 1.831939960448969798e-02
3.770985760953939007e+03 1.967973329158415829e+00 1.801457799033968563e-02
3.774756746714894234e+03 1.982243014925108682e+00 1.723197831461750068e-02
3.778531503461610555e+03 1.994835255028199583e+00 1.680470390172319681e-02
3.782310034965073100e+03 2.003210513386125768e+00 1.670113310028548126e-02
3.786092345000039586e+03 2.009259029229934601e+00 1.621166105528435569e-02
3.789878437345040766e+03 2.017346537906995696e+00 1.630051847891519218e-02
