# starting wavelength: 3692.308
# ending wavelength: 7484.367
# wav flux eflux
3.692659519139885560e+03 1.247932139018508302e+00 1.055644239312692800e+00
3.696352178659026777e+03 7.882429416203027284e-01 7.999285221993069905e-01
3.700048530837686940e+03 6.720154937051484589e-01 6.148340393693220163e-01
3.703748579368525952e+03 6.797531895106833089e-01 4.748502562526053516e-01
3.707452327947895355e+03 6.855709931740183727e-01 3.622299377296619438e-01
3.711159780275844696e+03 7.709924151659763858e-01 2.958190996872895329e-01
3.714870940056121526e+03 7.945238812992200250e-01 2.352619184573305489e-01
3.718585810996179134e+03 8.093997826614036661e-01 1.907942674016389617e-01
3.722304396807176545e+03 8.306598657363118976e-01 1.595215030987969240e-01
3.726026701203984885e+03 8.453664730721666132e-01 1.352509394436568202e-01
3.729752727905190113e+03 8.597090983543440590e-01 1.163500654536291645e-01
3.733482480633096657e+03 8.687441896662030372e-01 1.026419200484967181e-01
3.737215963113731050e+03 8.945715233928526189e-01 9.286889739136175437e-02
3.740953179076846027e+03 9.030332025513855276e-01 8.509798443897335918e-02
3.744694132255923705e+03 8.934872979295430673e-01 8.126913230562977930e-02
3.748438826388181042e+03 9.244200786310515783e-01 7.744387758347417994e-02
3.752187265214570289e+03 9.716681521300807312e-01 7.633753491704253769e-02
3.755939452479786269e+03 9.913559660396993323e-01 7.374864375632163294e-02
3.759695391932267285e+03 9.803079854544873850e-01 7.112113622836198357e-02
3.763455087324201031e+03 9.622257811883986323e-01 7.028311349247998163e-02
3.767218542411526414e+03 9.572079712595599199e-01 6.948906943924620938e-02
3.770985760953939007e+03 9.341918734332039786e-01 6.712645348313389659e-02
3.774756746714894234e+03 9.118771909657822361e-01 6.701421467790136255e-02
3.778531503461610555e+03 9.063386513072486661e-01 6.425834881150407907e-02
3.782310034965073100e+03 9.401710120407166249e-01 6.097362963925372775e-02
3.786092345000039586e+03 9.568596369402230239e-01 5.981708013043714883e-02
3.789878437345040766e+03 9.251920921694645195e-01 6.040204012730285288e-02
3.793668315782387253e+03 9.298258972630092378e-01 5.951317646101775272e-02
3.797461984098170888e+03 9.243363079409263605e-01 5.945142098223485383e-02
3.801259446082270188e+03 9.172932539070309810e-01 5.552792487628648715e-02
3.805060705528353537e+03 9.379786299146989359e-01 5.651939341905531933e-02
3.808865766233883278e+03 1.001163696280274795e+00 6.158091292764712732e-02
3.812674632000118436e+03 1.026610336069872176e+00 6.134155004135821015e-02
3.816487306632119726e+03 1.063240373845350417e+00 5.987599670265162516e-02
3.820303793938753188e+03 1.133817035296373232e+00 5.560935198707754601e-02
3.824124097732693372e+03 1.205140694740921115e+00 5.631145042403893491e-02
3.827948221830427428e+03 1.224558732217618129e+00 5.509473525344922573e-02
3.831776170052258749e+03 1.244473505001895353e+00 5.465940096208877358e-02
3.835607946222312421e+03 1.248536253037752397e+00 5.374649207154465202e-02
3.839443554168536139e+03 1.250027099349136916e+00 5.321003778997215189e-02
3.843282997722705659e+03 1.240244758332289088e+00 5.269103872709876568e-02
3.847126280720429804e+03 1.214105002865292438e+00 5.202103492071102897e-02
3.850973407001151372e+03 1.177166214417109780e+00 5.151719776660227540e-02
3.854824380408153957e+03 1.124021764160490156e+00 5.337511602196905874e-02
3.858679204788563311e+03 1.075653713581555815e+00 5.215199128300419124e-02
3.862537883993353262e+03 1.037636157036425200e+00 5.168024641097952038e-02
3.866400421877347981e+03 9.937942341316415851e-01 5.068783111235285188e-02
3.870266822299226533e+03 9.383313493935646621e-01 4.946136609180634691e-02
3.874137089121526969e+03 9.150132374718872308e-01 4.739171110994864350e-02
3.878011226210649966e+03 9.038607695515386009e-01 4.716341015715255075e-02
3.881889237436861549e+03 8.689422148686027914e-01 4.704814605250243198e-02
3.885771126674299921e+03 8.487719809011791128e-01 4.674111920301747547e-02
3.889656897800975457e+03 8.471643019633154914e-01 4.552412598098039276e-02
3.893546554698777527e+03 8.445262791794008184e-01 4.564022542305221780e-02
3.897440101253477678e+03 8.476947650866660799e-01 4.559430157969762698e-02
3.901337541354732366e+03 8.771294674972750505e-01 4.375555147145894497e-02
3.905238878896088409e+03 8.864586410701543739e-01 4.302848804997616572e-02
3.909144117774985716e+03 8.892703656075762186e-01 4.186365000944454462e-02
3.913053261892762293e+03 8.733801783184729217e-01 3.926199296657634924e-02
3.916966315154656058e+03 8.705084583877574778e-01 3.902177881592319014e-02
3.920883281469812118e+03 8.461301380062901112e-01 3.869819862042248731e-02
3.924804164751283224e+03 8.614344018557938965e-01 3.560908039822953397e-02
3.928728968916035683e+03 8.529225434748586299e-01 3.330585454837251685e-02
3.932657697884953450e+03 8.637797505891902095e-01 3.234136528793020438e-02
3.936590355582839493e+03 8.669396230330711495e-01 3.245626263594523359e-02
3.940526945938423523e+03 8.688395044537725598e-01 3.340006282935748666e-02
3.944467472884363360e+03 8.742559815930394107e-01 3.319522311132334924e-02
3.948411940357249023e+03 8.771614338489834850e-01 3.300637951845378920e-02
3.952360352297607733e+03 8.970795464780927375e-01 3.303789904691673690e-02
3.956312712649906643e+03 9.138557667858122624e-01 3.364053001435696189e-02
3.960269025362557841e+03 9.105922176970079329e-01 3.554908711845545383e-02
3.964229294387921527e+03 9.149860299386630702e-01 3.571816808538500615e-02
3.968193523682310570e+03 9.615718716498797836e-01 3.462137518401740138e-02
3.972161717205994591e+03 1.002680682018632252e+00 3.555914399263805648e-02
3.976133878923201792e+03 1.043093649332707429e+00 3.442533317121470454e-02
3.980110012802126221e+03 1.087175840526942938e+00 3.321073620692893691e-02
3.984090122814929600e+03 1.108952342027186289e+00 3.318642994958055648e-02
3.988074212937745870e+03 1.133505684033085936e+00 3.378927673133090559e-02
3.992062287150684824e+03 1.131666889248540420e+00 3.420578304831287109e-02
3.996054349437837118e+03 1.134424059098786408e+00 3.300972289568905593e-02
4.000050403787276082e+03 1.131442345909129621e+00 3.368929223320144689e-02
4.004050454191064546e+03 1.147388914661001902e+00 3.368466990838661634e-02
4.008054504645257111e+03 1.137572682309411665e+00 3.495807611981385093e-02
4.012062559149903791e+03 1.118672578367752468e+00 3.591014450297067701e-02
4.016074621709055009e+03 1.120219072061647392e+00 3.712181850180262116e-02
4.020090696330765240e+03 1.136047004890662571e+00 4.060420418364313333e-02
4.024110787027097558e+03 1.169339241111445382e+00 4.322594216531756850e-02
4.028134897814125907e+03 1.169174961782567301e+00 4.359789958219045802e-02
4.032163032711941469e+03 1.138960277870445958e+00 4.832703921388541851e-02
4.036195195744654484e+03 1.133110476589566096e+00 4.738269897524744617e-02
4.040231390940400615e+03 1.147394414423304365e+00 4.853999186279617239e-02
4.044271622331342314e+03 1.148711493141799433e+00 4.954970610873469378e-02
4.048315893953675186e+03 1.126148068582176309e+00 4.943832378167686142e-02
4.052364209847629809e+03 1.111683150896473959e+00 4.820163267676403490e-02
4.056416574057479011e+03 1.084010244978875992e+00 4.742654256896158133e-02
4.060472990631537868e+03 1.082254068326946150e+00 4.733899397396179598e-02
4.064533463622170530e+03 1.084577506807433700e+00 4.808245488023901726e-02
4.068597997085794304e+03 1.059283590258356611e+00 4.866233446660283429e-02
4.072666595082881486e+03 1.079666187920631515e+00 5.069215361008842097e-02
4.076739261677965715e+03 1.094287027919629285e+00 4.826895871387745784e-02
4.080816000939644709e+03 1.078359076612882106e+00 4.845543713329531627e-02
4.084896816940585722e+03 1.077698114921077810e+00 4.889481192110160107e-02
4.088981713757527814e+03 1.076314776263734618e+00 4.948388647834938564e-02
4.093070695471286854e+03 1.032220499196762065e+00 4.644800342506078678e-02
4.097163766166759160e+03 1.003704410414168136e+00 4.427447177118672833e-02
4.101260929932927866e+03 1.019656838046915981e+00 4.100174987698630008e-02
4.105362190862862008e+03 1.035486871209648774e+00 3.952914141903620532e-02
4.109467553053726078e+03 1.066698029298942973e+00 4.115436051012639346e-02
4.113577020606780934e+03 1.070259214626463118e+00 4.130213943835133600e-02
4.117690597627389252e+03 1.077890230282565920e+00 3.610481482920225443e-02
4.121808288225018259e+03 1.101021474376301157e+00 3.323589112531911277e-02
4.125930096513244280e+03 1.111372392810443754e+00 3.348670961906662080e-02
4.130056026609759101e+03 1.129061990701578644e+00 3.404222579224944895e-02
4.134186082636369974e+03 1.135501665715148212e+00 3.353185990107950681e-02
4.138320268719007800e+03 1.095247266133893005e+00 3.687665243570024953e-02
4.142458588987728035e+03 1.101331986837514432e+00 3.714131402815927518e-02
4.146601047576717065e+03 1.086317453229891150e+00 3.532996193782298594e-02
4.150747648624294925e+03 1.118590285715579835e+00 3.708708728694874723e-02
4.154898396272920763e+03 1.103838789985108981e+00 3.662410163585262668e-02
4.159053294669195566e+03 1.086459436162221515e+00 3.708792639873773750e-02
4.163212347963865795e+03 1.095905728309258143e+00 3.796183136419931797e-02
4.167375560311830668e+03 1.106733953533037829e+00 3.914158684358367418e-02
4.171542935872143971e+03 1.104330101203601089e+00 3.840266509193333844e-02
4.175714478808017702e+03 1.103964520630604795e+00 3.842552666873180062e-02
4.179890193286827525e+03 1.073080297142218642e+00 3.870806810920313784e-02
4.184070083480115500e+03 1.043252901718141112e+00 3.919622348985426358e-02
4.188254153563597356e+03 1.014468314126432347e+00 3.914916406647540870e-02
4.192442407717161586e+03 9.937345151640000207e-01 3.779843169928100155e-02
4.196634850124880359e+03 9.561203419781745261e-01 3.750860268048038237e-02
4.200831484975006788e+03 9.319838992154397816e-01 3.788361944476056897e-02
4.205032316459983122e+03 9.357692480861649065e-01 3.838236093180957126e-02
4.209237348776444378e+03 9.530931608052296555e-01 3.559647675957950536e-02
4.213446586125221984e+03 9.519316684146509333e-01 3.694166356787884076e-02
4.217660032711349231e+03 9.491548643525540285e-01 3.438195372188457971e-02
4.221877692744061278e+03 9.819567717960109299e-01 3.528644498811460417e-02
4.226099570436806971e+03 1.026924932697909076e+00 3.403865306646652183e-02
4.230325670007245208e+03 1.066950378695631363e+00 3.115453608634610044e-02
4.234555995677254032e+03 1.097287056935317251e+00 3.058969599531836947e-02
4.238790551672932452e+03 1.088662690725633375e+00 3.068615328624818214e-02
4.243029342224606808e+03 1.071186150183462304e+00 3.011258516004206715e-02
4.247272371566832589e+03 1.070951931399540591e+00 2.891339245347415710e-02
4.251519643938400804e+03 1.052548627606352261e+00 2.804702804511250216e-02
4.255771163582340705e+03 1.016371629425646628e+00 2.748844737595380547e-02
4.260026934745924336e+03 9.848748131296233277e-01 2.656202740944552110e-02
4.264286961680671993e+03 9.602960234561794817e-01 2.647625027124879751e-02
4.268551248642354039e+03 9.285162690008404995e-01 2.575982362870175499e-02
4.272819799890998183e+03 9.129251478474482706e-01 2.546212891216260640e-02
4.277092619690890388e+03 8.999187771957559701e-01 2.634577725310296298e-02
4.281369712310583054e+03 8.944605562441342306e-01 2.606763401468606065e-02
4.285651082022895025e+03 9.086214345279155502e-01 2.496311444569117993e-02
4.289936733104918858e+03 9.152270946319071010e-01 2.486777805743965383e-02
4.294226669838025373e+03 8.901046632743250253e-01 2.695174914287336645e-02
4.298520896507864563e+03 8.972896447774340034e-01 2.703178349401036754e-02
4.302819417404373780e+03 9.264089813431692910e-01 2.782639816078446432e-02
4.307122236821779552e+03 9.196952809511002025e-01 2.814312936785010044e-02
4.311429359058603040e+03 9.272513558749411189e-01 2.720648985636243272e-02
4.315740788417662770e+03 9.629029344990397421e-01 2.776245140860095564e-02
4.320056529206081905e+03 1.006811454763252511e+00 2.792615550842536543e-02
4.324376585735290064e+03 1.062210531913199363e+00 3.041060295847927003e-02
4.328700962321026054e+03 1.116956489863940138e+00 3.326888175126676422e-02
4.333029663283348782e+03 1.146294111894635925e+00 3.327663587416810481e-02
4.337362692946633615e+03 1.158819289722304413e+00 3.396039720115434646e-02
4.341700055639581478e+03 1.171124039536123762e+00 3.475933369743883922e-02
4.346041755695222491e+03 1.148377360523753499e+00 3.487929278633391389e-02
