# starting wavelength: 3632.812
# ending wavelength: 7363.770
# wav flux eflux
3.634076169573760581e+03 7.573627974622094694e-01 2.972204258564042356e-01
3.637710245743335690e+03 7.477403035891961869e-01 2.176770418202974566e-01
3.641347955989080219e+03 7.532732167608107154e-01 1.623856002781716712e-01
3.644989303945070333e+03 7.761582283310016761e-01 1.327629424920848400e-01
3.648634293249016537e+03 7.786032191682416004e-01 1.028008988949414282e-01
3.652282927542266862e+03 7.778260612240330829e-01 8.144536358184155389e-02
3.655935210469810499e+03 7.698080429961438043e-01 6.972359453858484324e-02
3.659591145680281443e+03 7.736659227376654346e-01 5.849343396558889796e-02
3.663250736825963031e+03 7.760911092055261529e-01 4.948461547192226778e-02
3.666913987562790226e+03 7.578981363533201510e-01 4.726310349302046548e-02
3.670580901550354156e+03 7.379489113979356141e-01 4.263428851777587014e-02
3.674251482451905758e+03 7.217988501020441428e-01 3.854350322257139166e-02
3.677925733934358959e+03 7.217695360033281604e-01 3.578668792682875022e-02
3.681603659668294313e+03 7.171182621537119939e-01 3.326435649284464197e-02
3.685285263327964003e+03 7.202958369509094849e-01 3.148310463617969707e-02
3.688970548591293209e+03 7.210893517969751976e-01 3.009255763356288860e-02
3.692659519139885560e+03 7.316935581851301551e-01 2.896847885065784861e-02
3.696352178659026777e+03 7.399900371071840288e-01 2.813939975724960227e-02
3.700048530837686940e+03 7.531020251706207480e-01 2.773543296681271059e-02
3.703748579368525952e+03 7.600926164323364986e-01 2.671607489968818444e-02
3.707452327947895355e+03 7.746833072379510909e-01 2.684544556766694026e-02
3.711159780275844696e+03 7.925771142858210050e-01 2.795352694018398906e-02
3.714870940056121526e+03 8.334609020599460516e-01 2.603308713561941837e-02
3.718585810996179134e+03 8.444175218039166042e-01 2.610453132677924976e-02
3.722304396807176545e+03 8.556783330441629642e-01 2.593929407528013098e-02
3.726026701203984885e+03 8.467938215659935874e-01 2.666705645928724860e-02
3.729752727905190113e+03 8.492935037011621890e-01 2.679162266151118368e-02
3.733482480633096657e+03 8.509022523233630286e-01 2.772926350484196042e-02
3.737215963113731050e+03 8.359031649519443885e-01 2.819376840264299980e-02
3.740953179076846027e+03 8.347564037061138142e-01 2.838261809933317545e-02
3.744694132255923705e+03 8.418943541049629387e-01 2.906220172578210040e-02
3.748438826388181042e+03 8.438273527210681246e-01 2.913522449872193651e-02
3.752187265214570289e+03 8.457694250982314976e-01 2.950336476317739001e-02
3.755939452479786269e+03 8.425818924458950976e-01 2.973218898801532548e-02
3.759695391932267285e+03 8.235363677191817056e-01 3.001488384163938233e-02
3.763455087324201031e+03 8.170503281033147935e-01 3.014008468140201222e-02
3.767218542411526414e+03 8.118090539997065980e-01 3.036841807812450458e-02
3.770985760953939007e+03 7.897157155577260168e-01 3.105711084103481359e-02
3.774756746714894234e+03 7.804405145481635442e-01 3.065662567940883806e-02
3.778531503461610555e+03 7.987634466384326837e-01 3.047012827759856129e-02
3.782310034965073100e+03 8.348945475055216114e-01 2.923143554160801544e-02
3.786092345000039586e+03 8.704311687187110680e-01 2.726128342858092149e-02
3.789878437345040766e+03 8.857421328300060237e-01 2.695958251748417633e-02
3.793668315782387253e+03 8.873506251589625693e-01 2.646299174451640854e-02
3.797461984098170888e+03 8.976403216624562198e-01 2.647320751503626224e-02
3.801259446082270188e+03 9.064301166142341160e-01 2.572402094918588983e-02
3.805060705528353537e+03 9.034466263129945496e-01 2.571869970170646835e-02
3.808865766233883278e+03 9.014776321934854231e-01 2.614001955947747174e-02
3.812674632000118436e+03 8.935398002881559387e-01 2.577373559351752580e-02
3.816487306632119726e+03 8.904871418359394664e-01 2.595444751118629670e-02
3.820303793938753188e+03 8.855475247509468906e-01 2.551369212974724868e-02
3.824124097732693372e+03 8.844925868788277024e-01 2.589078825757051144e-02
3.827948221830427428e+03 8.951849729048675375e-01 2.563089265282793988e-02
3.831776170052258749e+03 9.108529219171177527e-01 2.530119428007560761e-02
3.835607946222312421e+03 9.295557170669216385e-01 2.531927487730733020e-02
