# starting wavelength: 3632.812
# ending wavelength: 7344.727
# wav flux eflux
3.634076169573760581e+03 3.409062659389028860e-01 3.591471163849900838e-01
3.637710245743335690e+03 3.516897587696132810e-01 2.637400546917000321e-01
3.641347955989080219e+03 3.461228530862974218e-01 1.961710574962404197e-01
3.644989303945070333e+03 3.562642518080180176e-01 1.510422977827479418e-01
3.648634293249016537e+03 3.514075185270329471e-01 1.183296421070161725e-01
3.652282927542266862e+03 3.293075770583766548e-01 9.883902467364213962e-02
3.655935210469810499e+03 3.185942358293464283e-01 9.114763679209192393e-02
3.659591145680281443e+03 3.393908254525231927e-01 7.611627657345186593e-02
3.663250736825963031e+03 3.613232364276641739e-01 6.458499071999680707e-02
3.666913987562790226e+03 3.633894315299842637e-01 5.999763735489400257e-02
3.670580901550354156e+03 3.619677085503766323e-01 5.360459402865077466e-02
3.674251482451905758e+03 3.666795617732117041e-01 4.775346713669244292e-02
3.677925733934358959e+03 3.655514922216611673e-01 4.395567950987385591e-02
3.681603659668294313e+03 3.703291583786281205e-01 4.102482977755653182e-02
3.685285263327964003e+03 3.962155605534741221e-01 3.918849844355463269e-02
3.688970548591293209e+03 4.290874937966818736e-01 3.843564574434911452e-02
3.692659519139885560e+03 4.525432643192560667e-01 3.715423278882619418e-02
3.696352178659026777e+03 4.666561042421707439e-01 3.622249584401635719e-02
3.700048530837686940e+03 4.872308653875795925e-01 3.535282265710993493e-02
3.703748579368525952e+03 5.096992694501867316e-01 3.481706981653497762e-02
3.707452327947895355e+03 5.339313996086538783e-01 3.510294687311466683e-02
3.711159780275844696e+03 5.500127880614577025e-01 3.482372319684429868e-02
3.714870940056121526e+03 5.793684364828604050e-01 3.501186927625663664e-02
3.718585810996179134e+03 5.992950192016582855e-01 3.472090665308623370e-02
3.722304396807176545e+03 5.942462223077501493e-01 3.537439187449630679e-02
3.726026701203984885e+03 6.084996894228771325e-01 3.532401980200413488e-02
3.729752727905190113e+03 6.007306463684571884e-01 3.576098130536675690e-02
3.733482480633096657e+03 6.050367027827942001e-01 3.556363870041380493e-02
3.737215963113731050e+03 5.992507132222132382e-01 3.587073041602738266e-02
3.740953179076846027e+03 5.998326623334628849e-01 3.620825427799691937e-02
3.744694132255923705e+03 5.922140156710472558e-01 3.613363222813321951e-02
3.748438826388181042e+03 5.654199131786386001e-01 3.488853263308321767e-02
3.752187265214570289e+03 5.595736194198733804e-01 3.554871168462934994e-02
3.755939452479786269e+03 5.504467824206457083e-01 3.604048031288774323e-02
3.759695391932267285e+03 5.529997103569072037e-01 3.615505426045449028e-02
3.763455087324201031e+03 5.498755038218322566e-01 3.553471509412234330e-02
3.767218542411526414e+03 5.486099596891962360e-01 3.576990413320816492e-02
3.770985760953939007e+03 5.364800045854225541e-01 3.562703234027722599e-02
3.774756746714894234e+03 5.352051737993120950e-01 3.526070648625589943e-02
3.778531503461610555e+03 5.604888891691595099e-01 3.364557503132562660e-02
3.782310034965073100e+03 6.125096983916288318e-01 3.130472548370490105e-02
3.786092345000039586e+03 6.607539465872985796e-01 2.870439640336302362e-02
3.789878437345040766e+03 6.645252048857164251e-01 2.875469685434827588e-02
3.793668315782387253e+03 6.690604667622485069e-01 2.883194874962594773e-02
3.797461984098170888e+03 6.749165739834613875e-01 2.931078076412690220e-02
3.801259446082270188e+03 6.613974225425551801e-01 2.969905333759570443e-02
3.805060705528353537e+03 6.590668684025698942e-01 2.997394171015818620e-02
3.808865766233883278e+03 6.607537081258026967e-01 2.942370667157852976e-02
3.812674632000118436e+03 6.422109807741109844e-01 2.949363684304651123e-02
3.816487306632119726e+03 6.119143158459404708e-01 2.759017130851128610e-02
3.820303793938753188e+03 5.819845259342142363e-01 2.805219668925086965e-02
3.824124097732693372e+03 5.618657117409567858e-01 2.698379759654659371e-02
3.827948221830427428e+03 5.607069614999562468e-01 2.736926090872247863e-02
3.831776170052258749e+03 5.617716389544227251e-01 2.754483280626427930e-02
3.835607946222312421e+03 5.631385686891479114e-01 2.730130705564804208e-02
3.839443554168536139e+03 5.679140750982435426e-01 2.749882077900187363e-02
3.843282997722705659e+03 6.049797246588280997e-01 2.866260266407857568e-02
3.847126280720429804e+03 6.146674442527235716e-01 2.960600587029815420e-02
3.850973407001151372e+03 6.272810271432031071e-01 2.921941350699993473e-02
3.854824380408153957e+03 6.512154770046493235e-01 2.760734278963306379e-02
3.858679204788563311e+03 6.611064311924580439e-01 2.707011033309651357e-02
3.862537883993353262e+03 6.526107512303515046e-01 2.740745345737377603e-02
3.866400421877347981e+03 6.402528952051971256e-01 2.840526852520934564e-02
3.870266822299226533e+03 6.415529543581425242e-01 2.748985078697583143e-02
3.874137089121526969e+03 6.247635487015849032e-01 2.795002469825935698e-02
3.878011226210649966e+03 6.008908802656701686e-01 2.915768577396445072e-02
3.881889237436861549e+03 5.621613295920728781e-01 2.337429287357160532e-02
3.885771126674299921e+03 5.672238185833303747e-01 2.441096939756706025e-02
3.889656897800975457e+03 5.927154410637324178e-01 2.679965107810701117e-02
3.893546554698777527e+03 6.061038021883183857e-01 2.696115323016146786e-02
3.897440101253477678e+03 6.142086198508620587e-01 2.723152774366796938e-02
3.901337541354732366e+03 6.442025793725361105e-01 2.659753486589967394e-02
3.905238878896088409e+03 6.562112318861115234e-01 2.665050815373493781e-02
3.909144117774985716e+03 6.826582678683064120e-01 2.461422460243239962e-02
3.913053261892762293e+03 7.085072875398167325e-01 2.424902979343079509e-02
3.916966315154656058e+03 7.271091437944279257e-01 2.433876051123145395e-02
3.920883281469812118e+03 7.357516329888500461e-01 2.516841077998247661e-02
3.924804164751283224e+03 7.530161442337188760e-01 2.563779791616972378e-02
3.928728968916035683e+03 7.623144967131754157e-01 2.582566124690246698e-02
3.932657697884953450e+03 7.683000700150728335e-01 2.987402158615632200e-02
3.936590355582839493e+03 7.457859837274137815e-01 2.951116726292252537e-02
3.940526945938423523e+03 7.172670022575549087e-01 3.053467765837691167e-02
3.944467472884363360e+03 6.925718059045093966e-01 3.038575328959291014e-02
3.948411940357249023e+03 6.502823530385946071e-01 3.141574771798764237e-02
3.952360352297607733e+03 6.272178344842821440e-01 3.203746370157310730e-02
3.956312712649906643e+03 5.956196415397236876e-01 3.249061161057664043e-02
3.960269025362557841e+03 5.762011148775094682e-01 3.277461780590656265e-02
3.964229294387921527e+03 5.816173660365248077e-01 3.237450196334168417e-02
3.968193523682310570e+03 5.751745136374427636e-01 3.012750364213706566e-02
3.972161717205994591e+03 5.973584814939136844e-01 3.105640360029884514e-02
3.976133878923201792e+03 6.454778772085639771e-01 3.118810998244930105e-02
3.980110012802126221e+03 6.941086659448404417e-01 2.946555889107142084e-02
3.984090122814929600e+03 7.459179574873175955e-01 2.908964419232874105e-02
3.988074212937745870e+03 7.934206113630402069e-01 2.935427635806378208e-02
3.992062287150684824e+03 8.468784499467737481e-01 2.860015414372549941e-02
3.996054349437837118e+03 8.778345774226935516e-01 2.885192281113200391e-02
4.000050403787276082e+03 8.805559195178175314e-01 2.869619659593545397e-02
4.004050454191064546e+03 8.492697429977420498e-01 2.595885119765347152e-02
4.008054504645257111e+03 8.452932238241895879e-01 2.582860490393805442e-02
4.012062559149903791e+03 8.491607365557264364e-01 2.634715668913970021e-02
4.016074621709055009e+03 8.643302303230367967e-01 2.366268938927467910e-02
4.020090696330765240e+03 8.572929999952173530e-01 2.322744061141987157e-02
4.024110787027097558e+03 8.338254406514653549e-01 2.438568014982983242e-02
4.028134897814125907e+03 8.481174748401045793e-01 2.350944693695111373e-02
4.032163032711941469e+03 8.556400848156849870e-01 2.387926647246378653e-02
4.036195195744654484e+03 8.565014378967944486e-01 2.410241976735562341e-02
4.040231390940400615e+03 8.343404857608187619e-01 2.440228256871249807e-02
4.044271622331342314e+03 8.292574399460480583e-01 2.430160237913143659e-02
4.048315893953675186e+03 8.215386391545472788e-01 2.414840487157062995e-02
4.052364209847629809e+03 8.267176819744345151e-01 2.365737931719496048e-02
4.056416574057479011e+03 8.382905536813111125e-01 2.372061010484229418e-02
4.060472990631537868e+03 8.370151211998767549e-01 2.276909414050105537e-02
4.064533463622170530e+03 8.578756346421044787e-01 2.377662025862404063e-02
