# starting wavelength: 3681.903
# ending wavelength: 7463.277
# wav flux eflux
3.685285263327964003e+03 2.171217042440254374e+00 1.141185380350131645e-01
3.688970548591293209e+03 2.157021787280974046e+00 8.947867280031054915e-02
3.692659519139885560e+03 2.151637674738541950e+00 6.970681561714299479e-02
3.696352178659026777e+03 2.134508080021138898e+00 5.661682414334205660e-02
3.700048530837686940e+03 2.127239065314135313e+00 4.459970489203283345e-02
3.703748579368525952e+03 2.125209220919593633e+00 3.606157087226843222e-02
3.707452327947895355e+03 2.123935821658328393e+00 2.951839370963264819e-02
3.711159780275844696e+03 2.125442050169871422e+00 2.478200179022585492e-02
3.714870940056121526e+03 2.129595704955935531e+00 2.129232772971728638e-02
3.718585810996179134e+03 2.133377381043723542e+00 1.838820777403901013e-02
3.722304396807176545e+03 2.129601400673768907e+00 1.736546731641006383e-02
3.726026701203984885e+03 2.130470419819836092e+00 1.575945220797196275e-02
3.729752727905190113e+03 2.134618347825203433e+00 1.471729736682816231e-02
3.733482480633096657e+03 2.131201253317897670e+00 1.384448278454271375e-02
3.737215963113731050e+03 2.127127733880790128e+00 1.318208191811206381e-02
3.740953179076846027e+03 2.121785273525917503e+00 1.258249385012548058e-02
3.744694132255923705e+03 2.115208978281316377e+00 1.220086687224559464e-02
3.748438826388181042e+03 2.109003764823632388e+00 1.189083435794155603e-02
3.752187265214570289e+03 2.100031166255921899e+00 1.196617129382028175e-02
3.755939452479786269e+03 2.094763371647076600e+00 1.196405197457560410e-02
3.759695391932267285e+03 2.080855624701098083e+00 1.175833593644016670e-02
3.763455087324201031e+03 2.061991944963615708e+00 1.123870684064829512e-02
3.767218542411526414e+03 2.051089403410874201e+00 1.124395683400135001e-02
3.770985760953939007e+03 2.038331329155643079e+00 1.128451615089542601e-02
3.774756746714894234e+03 2.029321305227522299e+00 1.152685685510447186e-02
3.778531503461610555e+03 2.018414987854889375e+00 1.142313596126346385e-02
3.782310034965073100e+03 2.004932506268877201e+00 1.155461545483451279e-02
3.786092345000039586e+03 1.992311266818552529e+00 1.143758311279576695e-02
3.789878437345040766e+03 1.984842783250552856e+00 1.117215897213499030e-02
3.793668315782387253e+03 1.977306636158979058e+00 1.104360681384212485e-02
3.797461984098170888e+03 1.967059302903604756e+00 1.107715735276009611e-02
3.801259446082270188e+03 1.956327493769242531e+00 1.095889072552898996e-02
3.805060705528353537e+03 1.941884726567139063e+00 1.126181112524066857e-02
3.808865766233883278e+03 1.932111075421792279e+00 1.111069233750708665e-02
3.812674632000118436e+03 1.919620261220952084e+00 1.175551721898902141e-02
3.816487306632119726e+03 1.913146328737007629e+00 1.176207793450523113e-02
3.820303793938753188e+03 1.908942624785062048e+00 1.167506379726030406e-02
3.824124097732693372e+03 1.903019673142299251e+00 1.058595721424330019e-02
3.827948221830427428e+03 1.911119014490282986e+00 1.074330230350040508e-02
3.831776170052258749e+03 1.918194971941692861e+00 1.227341930147156021e-02
3.835607946222312421e+03 1.923635827257115238e+00 1.255745124591818584e-02
3.839443554168536139e+03 1.926442497294627465e+00 1.245864588974093627e-02
