# starting wavelength: 3681.903
# ending wavelength: 7463.277
# wav flux eflux
3.685285263327964003e+03 1.866522352906692106e+00 1.469251385166383816e-01
3.688970548591293209e+03 1.848243353114699339e+00 1.091001053924893910e-01
3.692659519139885560e+03 1.835848023986119015e+00 8.245405168763825232e-02
3.696352178659026777e+03 1.825422605016340016e+00 6.365392343738014713e-02
3.700048530837686940e+03 1.818874668484840695e+00 4.974202061047118539e-02
3.703748579368525952e+03 1.815486617580341910e+00 4.222787577217251148e-02
3.707452327947895355e+03 1.813213850394002291e+00 3.439201688550524993e-02
3.711159780275844696e+03 1.812354330321492846e+00 2.835925491542792137e-02
3.714870940056121526e+03 1.813860554022685090e+00 2.423650552936241695e-02
3.718585810996179134e+03 1.816114403774472530e+00 2.103114034685660272e-02
3.722304396807176545e+03 1.820407211329007291e+00 1.863246216508393505e-02
3.726026701203984885e+03 1.820048023797388614e+00 1.683734817866399183e-02
3.729752727905190113e+03 1.814002191627903660e+00 1.591198520823077292e-02
3.733482480633096657e+03 1.809714895773092191e+00 1.496168451378788317e-02
3.737215963113731050e+03 1.809905282940168947e+00 1.419625878138918232e-02
3.740953179076846027e+03 1.808735263034158658e+00 1.347254772820035557e-02
3.744694132255923705e+03 1.805641340366911818e+00 1.299512662538403369e-02
3.748438826388181042e+03 1.802562795961220710e+00 1.266987406196430285e-02
3.752187265214570289e+03 1.793693988251497062e+00 1.252521011042611113e-02
3.755939452479786269e+03 1.785378460416636726e+00 1.248257191267446511e-02
3.759695391932267285e+03 1.774364452489438193e+00 1.215438771598298211e-02
3.763455087324201031e+03 1.771354943884467570e+00 1.169196899055308971e-02
3.767218542411526414e+03 1.760671406339271217e+00 1.193437177160264206e-02
3.770985760953939007e+03 1.760394006734092409e+00 1.160099625479513348e-02
3.774756746714894234e+03 1.763817183410553824e+00 1.193479713434658293e-02
3.778531503461610555e+03 1.757127213187350989e+00 1.190005974029325307e-02
3.782310034965073100e+03 1.745205372832122626e+00 1.177987203455785163e-02
3.786092345000039586e+03 1.731813655871477398e+00 1.137363007712382558e-02
3.789878437345040766e+03 1.726219735762276830e+00 1.115134183975282668e-02
3.793668315782387253e+03 1.719951206758603357e+00 1.105402794863403516e-02
3.797461984098170888e+03 1.709736983923242359e+00 1.085615727750729141e-02
3.801259446082270188e+03 1.703501564938277424e+00 1.100969045655171216e-02
3.805060705528353537e+03 1.698877846374072131e+00 1.122875668386087017e-02
3.808865766233883278e+03 1.695417545984066798e+00 1.107717483693539118e-02
3.812674632000118436e+03 1.691421231078148457e+00 1.099871041234996329e-02
3.816487306632119726e+03 1.688773804698354697e+00 1.103517570596577319e-02
3.820303793938753188e+03 1.681920850843190873e+00 1.075168693494657664e-02
3.824124097732693372e+03 1.680497112438219753e+00 1.070077030579921588e-02
3.827948221830427428e+03 1.682095153290454448e+00 1.072756603559010466e-02
3.831776170052258749e+03 1.687200510325685743e+00 1.117433887069479645e-02
3.835607946222312421e+03 1.695899197736723707e+00 1.111070018648554342e-02
3.839443554168536139e+03 1.697576478694951652e+00 1.098661871239891077e-02
3.843282997722705659e+03 1.701085609964343437e+00 1.062225032764032955e-02
3.847126280720429804e+03 1.701500685663298373e+00 1.093249068941570118e-02
3.850973407001151372e+03 1.697679117215628475e+00 1.161670032723964227e-02
3.854824380408153957e+03 1.698366899450407086e+00 1.180250992721183778e-02
3.858679204788563311e+03 1.703326413977615861e+00 1.186993602187449114e-02
3.862537883993353262e+03 1.717073599259356875e+00 1.223283488412730755e-02
3.866400421877347981e+03 1.722127014538951340e+00 1.224917194725235955e-02
3.870266822299226533e+03 1.724262207704536864e+00 1.251738852768038458e-02
3.874137089121526969e+03 1.728130085108917857e+00 1.233966189230809377e-02
3.878011226210649966e+03 1.734150688282902086e+00 1.232162309899992488e-02
3.881889237436861549e+03 1.741416468390881489e+00 1.237465006681669547e-02
3.885771126674299921e+03 1.755930026681600697e+00 1.337660644532279869e-02
3.889656897800975457e+03 1.769432377425980363e+00 1.365654500009312947e-02
