# starting wavelength: 3721.494
# ending wavelength: 7462.783
# wav flux eflux
3.722304396807176545e+03 -1.325441452528097752e-01 7.433371228173826228e-01
3.726026701203984885e+03 -1.321650681565494367e-01 5.392107034407410682e-01
3.729752727905190113e+03 -1.102645689191867340e-01 3.998802959619512376e-01
3.733482480633096657e+03 -4.726246500019654073e-02 3.052823327366259165e-01
3.737215963113731050e+03 4.913024841674717980e-03 2.353930294370141230e-01
3.740953179076846027e+03 7.398764343898178719e-02 1.886773460840384387e-01
3.744694132255923705e+03 1.461581607019348805e-01 1.536811038113314321e-01
3.748438826388181042e+03 1.984764895458113187e-01 1.272908844983884347e-01
3.752187265214570289e+03 2.346278066019649999e-01 1.138384511104876817e-01
3.755939452479786269e+03 2.830597942912986276e-01 9.926096745071237570e-02
3.759695391932267285e+03 3.197939243379391283e-01 8.613181284960505502e-02
3.763455087324201031e+03 3.461329283233547938e-01 7.804130227215919091e-02
3.767218542411526414e+03 3.540381196638065497e-01 7.192308962772736569e-02
3.770985760953939007e+03 3.800432235691135752e-01 6.660044349981701639e-02
3.774756746714894234e+03 3.993619046463857680e-01 6.222858401906879861e-02
3.778531503461610555e+03 4.105611493909994691e-01 5.922737708756909553e-02
3.782310034965073100e+03 4.121520721707269685e-01 5.718030038489252398e-02
3.786092345000039586e+03 4.362462741082337447e-01 5.517423214859301650e-02
3.789878437345040766e+03 4.475090584992969522e-01 5.384881311792515807e-02
3.793668315782387253e+03 4.248039548860652603e-01 5.328512324455844662e-02
3.797461984098170888e+03 4.119586235096377447e-01 5.176612026381796627e-02
3.801259446082270188e+03 4.275822814259838123e-01 4.994416755526933510e-02
3.805060705528353537e+03 4.700269686544583103e-01 4.656567894365640226e-02
3.808865766233883278e+03 4.826014005444084765e-01 4.680666455673215126e-02
3.812674632000118436e+03 4.812881112146307760e-01 4.712036551469706014e-02
3.816487306632119726e+03 4.645658275166387741e-01 4.790304104448799699e-02
3.820303793938753188e+03 4.640756214504720978e-01 4.731461585047126717e-02
3.824124097732693372e+03 4.596076408424588644e-01 4.663693286130459609e-02
3.827948221830427428e+03 4.764565749003753514e-01 4.521383576362215939e-02
3.831776170052258749e+03 4.617412568343094992e-01 4.466165452256656843e-02
3.835607946222312421e+03 4.423627424487394655e-01 4.497992173225883600e-02
3.839443554168536139e+03 4.302575561691626693e-01 4.567865806078199448e-02
3.843282997722705659e+03 3.878211757544438587e-01 4.928267656797940405e-02
3.847126280720429804e+03 3.504505470886927765e-01 4.745480415393707463e-02
3.850973407001151372e+03 3.349636030107588924e-01 4.741194021492957378e-02
3.854824380408153957e+03 3.276393979853430283e-01 4.789289548883424869e-02
3.858679204788563311e+03 3.288084139179884846e-01 4.802179959919844476e-02
3.862537883993353262e+03 3.475390053619000774e-01 4.776605825330269145e-02
3.866400421877347981e+03 3.382559681043640909e-01 4.806601717263560281e-02
3.870266822299226533e+03 3.494535753673256306e-01 4.794792785047773120e-02
3.874137089121526969e+03 3.459178673195840714e-01 4.664898338778609294e-02
3.878011226210649966e+03 3.622437156763524957e-01 4.720262358130695307e-02
3.881889237436861549e+03 4.188196929109953004e-01 5.241054263453352735e-02
3.885771126674299921e+03 4.636425929127858669e-01 4.783289154564455276e-02
3.889656897800975457e+03 4.723082391760340393e-01 4.978347845933464577e-02
3.893546554698777527e+03 4.880055095145132138e-01 4.954639525412497109e-02
3.897440101253477678e+03 4.996863519514657681e-01 5.194267933454978919e-02
3.901337541354732366e+03 5.350048878750752746e-01 5.197950057179609451e-02
3.905238878896088409e+03 5.651367133065425818e-01 5.350650200757427893e-02
3.909144117774985716e+03 6.011246172400583898e-01 5.442850652497755598e-02
3.913053261892762293e+03 6.243895911117379738e-01 5.380236522545356337e-02
3.916966315154656058e+03 5.970611684244107042e-01 5.356519029244505986e-02
3.920883281469812118e+03 5.834747734276303222e-01 5.359870783514839726e-02
3.924804164751283224e+03 5.878300696209661780e-01 5.488443981731792876e-02
3.928728968916035683e+03 5.947230933185634338e-01 5.555128799192118189e-02
3.932657697884953450e+03 5.406546436378196763e-01 5.778119889061084785e-02
3.936590355582839493e+03 5.072064114587530037e-01 5.858464362042501566e-02
3.940526945938423523e+03 4.981578031306457266e-01 5.776670802200696564e-02
3.944467472884363360e+03 4.807946831929983955e-01 5.939552052131914089e-02
3.948411940357249023e+03 4.764379028371043545e-01 5.991911299119293682e-02
3.952360352297607733e+03 4.890466940194445611e-01 6.056848426888687686e-02
3.956312712649906643e+03 5.315335627826125453e-01 6.403568826978527084e-02
3.960269025362557841e+03 5.522216573855315280e-01 6.458269519879314413e-02
3.964229294387921527e+03 5.594262257325773868e-01 6.517992456258681067e-02
3.968193523682310570e+03 5.811522097224121053e-01 6.456923604506197012e-02
3.972161717205994591e+03 6.290203141667660702e-01 6.471718650573256293e-02
3.976133878923201792e+03 6.324122580368665147e-01 6.532433518849489751e-02
3.980110012802126221e+03 6.637415413560032729e-01 6.534683433090143767e-02
3.984090122814929600e+03 6.890448542779483709e-01 6.617343632327385428e-02
3.988074212937745870e+03 7.033390555190628390e-01 6.241314707782814886e-02
3.992062287150684824e+03 7.058614900729184294e-01 6.287197996369127406e-02
3.996054349437837118e+03 6.513226742491284860e-01 6.220718276906447852e-02
4.000050403787276082e+03 6.138327213282031014e-01 6.026666295927538691e-02
4.004050454191064546e+03 5.637001174157119099e-01 5.514254241480848195e-02
4.008054504645257111e+03 5.899795578715398836e-01 5.961217277204754195e-02
4.012062559149903791e+03 5.706341104524815799e-01 5.896247659112253958e-02
4.016074621709055009e+03 5.456067884489843589e-01 5.859792834232668834e-02
4.020090696330765240e+03 5.437306252053502043e-01 5.935684856220600075e-02
4.024110787027097558e+03 5.635446951102049962e-01 5.733534010421308114e-02
4.028134897814125907e+03 6.013807380189950536e-01 5.488439635414157913e-02
4.032163032711941469e+03 6.088381535586260274e-01 5.510923071652434890e-02
4.036195195744654484e+03 6.368488063792229203e-01 5.550136457170518067e-02
4.040231390940400615e+03 6.486210104791200193e-01 5.566062674735799271e-02
4.044271622331342314e+03 6.245209924227893561e-01 5.416402461408567626e-02
4.048315893953675186e+03 6.526053301625213132e-01 5.682303938379047736e-02
4.052364209847629809e+03 6.859927030424433081e-01 5.248839662103572251e-02
4.056416574057479011e+03 6.856044468971861372e-01 5.283810823407768947e-02
4.060472990631537868e+03 6.575350732291478373e-01 5.270788748521085948e-02
4.064533463622170530e+03 6.500045985159460527e-01 5.327470411961986174e-02
4.068597997085794304e+03 6.345474681039791065e-01 5.187876761203551179e-02
4.072666595082881486e+03 6.419931700559505794e-01 5.094729942826678459e-02
4.076739261677965715e+03 6.327598514801487939e-01 5.104294286387260626e-02
4.080816000939644709e+03 6.192593190328822272e-01 5.024079566063963109e-02
4.084896816940585722e+03 6.132095050409896997e-01 4.906022648489149346e-02
4.088981713757527814e+03 6.014087913605626889e-01 4.941009162463925325e-02
4.093070695471286854e+03 6.138056036302959040e-01 4.745868922746940277e-02
4.097163766166759160e+03 6.262704905483010842e-01 4.485992171066881945e-02
4.101260929932927866e+03 6.043238480237962396e-01 4.385271957157749895e-02
4.105362190862862008e+03 6.208049752904752916e-01 4.371298381162603414e-02
4.109467553053726078e+03 6.439009175372040206e-01 4.636066983259364699e-02
4.113577020606780934e+03 6.215373641348687084e-01 4.752051868902498755e-02
4.117690597627389252e+03 6.125448637273573915e-01 4.618645286076167311e-02
4.121808288225018259e+03 6.238187281125265882e-01 4.607216383158743017e-02
4.125930096513244280e+03 6.223989005404688690e-01 4.632136503106887293e-02
4.130056026609759101e+03 6.266366175162343399e-01 4.667562281581694172e-02
4.134186082636369974e+03 6.572489189733008441e-01 4.509311225297384790e-02
4.138320268719007800e+03 6.533022157103105521e-01 4.441817133259309824e-02
4.142458588987728035e+03 6.791929063527084587e-01 4.297313886956975054e-02
4.146601047576717065e+03 7.195556122799716681e-01 4.295719605744908326e-02
4.150747648624294925e+03 7.180027078455846201e-01 4.290436330800433129e-02
4.154898396272920763e+03 7.030624969959207160e-01 4.378231524082058096e-02
4.159053294669195566e+03 6.983949701245177888e-01 4.512469053661941759e-02
4.163212347963865795e+03 7.268790602504994203e-01 4.635298262902897565e-02
4.167375560311830668e+03 7.649400352689543769e-01 4.571908180668802363e-02
4.171542935872143971e+03 7.671299025483803158e-01 4.547582032179329353e-02
4.175714478808017702e+03 7.342256348234171837e-01 4.605823467463848048e-02
4.179890193286827525e+03 7.006681318193005437e-01 4.711122038746541618e-02
4.184070083480115500e+03 6.801173590702671579e-01 4.702119088974882066e-02
4.188254153563597356e+03 6.432444380744701817e-01 4.805052926562413534e-02
4.192442407717161586e+03 6.488664344983898769e-01 4.722450500013726515e-02
4.196634850124880359e+03 6.211074147837561954e-01 4.471765049835133704e-02
4.200831484975006788e+03 6.181674560174924560e-01 4.618986218327458121e-02
4.205032316459983122e+03 6.174386441676258386e-01 4.534385666157800254e-02
4.209237348776444378e+03 6.196399755293521272e-01 4.634641377227308179e-02
