# starting wavelength: 3219.368
# ending wavelength: 10276.680
# wav flux eflux
3.220109578953289656e+03 3.032770762029234568e+00 1.492239336530131466e-01
3.223329688532243836e+03 3.055467377777372651e+00 1.443376792493283323e-01
3.226553018220777176e+03 3.020395949207600683e+00 1.373645316356228441e-01
3.229779571238999324e+03 3.008292545758899372e+00 1.339215391361891494e-01
3.233009350810239084e+03 3.028971346930722230e+00 1.346803150082707123e-01
3.236242360161050783e+03 3.074053352305418763e+00 1.321884371738615005e-01
3.239478602521212906e+03 3.103749826643605658e+00 1.335397238973425049e-01
3.242718081123734919e+03 3.166464557943788449e+00 1.273509334856794961e-01
3.245960799204859995e+03 3.245904337190111288e+00 1.173276053049930323e-01
3.249206760004065927e+03 3.334844226842032189e+00 1.147241294373010784e-01
3.252455966764071036e+03 3.397785147881806633e+00 1.124146620195918822e-01
3.255708422730835991e+03 3.453828832682152239e+00 1.116761322098330095e-01
3.258964131153567905e+03 3.455993291424323210e+00 1.045797642676657563e-01
3.262223095284722604e+03 3.509379193006139097e+00 1.027462573501511656e-01
3.265485318380008266e+03 3.550664617272637713e+00 1.018058958638487638e-01
3.268750803698389518e+03 3.564370652829780273e+00 9.559675133348534415e-02
3.272019554502088795e+03 3.537863170551674763e+00 8.859936241762693399e-02
3.275291574056592253e+03 3.601055616738754406e+00 7.059816400010392179e-02
3.278566865630649772e+03 3.614186378283430034e+00 6.718413266629409686e-02
3.281845432496281319e+03 3.644078765734189318e+00 6.572254410290725990e-02
3.285127277928778767e+03 3.666550985998156431e+00 6.513260173938618947e-02
3.288412405206708627e+03 3.675761532495823491e+00 6.317891725934443592e-02
3.291700817611916591e+03 3.657224379355329180e+00 5.929670982139762653e-02
3.294992518429529355e+03 3.637361255535598747e+00 5.909566955314444342e-02
3.298287510947960072e+03 3.616798728950671116e+00 5.861563734808959703e-02
3.301585798458909267e+03 3.594059081063102568e+00 5.686910122421335451e-02
3.304887384257369376e+03 3.601860089369311346e+00 5.448126647727810634e-02
3.308192271641627485e+03 3.605689179162172131e+00 4.963460198560149667e-02
3.311500463913270323e+03 3.585602533832267902e+00 4.835547384936981358e-02
