# starting wavelength: 3098.814
# ending wavelength: 10276.680
# wav flux eflux
3.100100024849151396e+03 3.265374712117039113e+00 8.359502558773861114e-02
3.103200124874001631e+03 3.222193183368313729e+00 7.627336720543741178e-02
3.106303324998876633e+03 3.259176673747819830e+00 8.638817843245738537e-02
3.109409628323876859e+03 3.274830899297174192e+00 8.774574745283933441e-02
3.112519037952201415e+03 3.246770869353414302e+00 8.362411680900304345e-02
3.115631556990154877e+03 3.210679510446965423e+00 8.091770877762738401e-02
3.118747188547145925e+03 3.166580785314990987e+00 7.833359041829679459e-02
3.121865935735694165e+03 3.175910418808213009e+00 7.584334436333196872e-02
3.124987801671431043e+03 3.173971465096552702e+00 7.446612709932828866e-02
3.128112789473103476e+03 3.149802209959119192e+00 7.417728759055321197e-02
3.131240902262577492e+03 3.177209381889852580e+00 7.151893963992693448e-02
3.134372143164840963e+03 3.239461655984241961e+00 7.581244324756961084e-02
3.137506515308006783e+03 3.250953418741377110e+00 7.898801728295469504e-02
3.140644021823316052e+03 3.240553736746735858e+00 7.826892242332957050e-02
3.143784665845140353e+03 3.198927080291624758e+00 8.087437810014119766e-02
3.146928450510986750e+03 3.138028703739650815e+00 8.670195315251362500e-02
3.150075378961498700e+03 3.120708228471256174e+00 8.645571425634188123e-02
3.153225454340461056e+03 3.116588655037640265e+00 8.570031987833684473e-02
3.156378679794802792e+03 3.090835994876920623e+00 8.515703739850090381e-02
3.159535058474598372e+03 3.000815429691290781e+00 9.610584720743917120e-02
3.162694593533074112e+03 2.925817329916808873e+00 1.126490805291456565e-01
3.165857288126608182e+03 2.918908620887622263e+00 1.143835547334602215e-01
3.169023145414736064e+03 2.954962474404274175e+00 1.167584135072797930e-01
3.172192168560151458e+03 2.956156592902526636e+00 1.186070210162530753e-01
3.175364360728712654e+03 2.951039329836322445e+00 1.176100367605723701e-01
3.178539725089442527e+03 2.935228379372169183e+00 1.165725920611869193e-01
3.181718264814533086e+03 2.907173883372177858e+00 1.149452662691187732e-01
3.184899983079348658e+03 2.901831462977968457e+00 1.128123965950517255e-01
3.188084883062429071e+03 2.894507321187406390e+00 1.113378545038250650e-01
