# starting wavelength: 3376.938
# ending wavelength: 7181.560
# wav flux eflux
3.378363449485920228e+03 1.500459060254425991e-01 1.697981936609850584e-01
3.381741812935407324e+03 1.990223175762144137e-01 1.274036254943868574e-01
3.385123554748343849e+03 2.179503000262718038e-01 9.441996854249702642e-02
3.388508678303093347e+03 2.084550079976050796e-01 7.470601629103318375e-02
3.391897186981397681e+03 1.844002590520351925e-01 6.153982025098243130e-02
3.395289084168380214e+03 1.699744447558687033e-01 4.936353641206128740e-02
3.398684373252549449e+03 1.634776569672704849e-01 3.987012312731686575e-02
3.402083057625803121e+03 1.558660518312668664e-01 3.336439672540815471e-02
3.405485140683430018e+03 1.443779897162273396e-01 2.801263278907265356e-02
3.408890625824114522e+03 1.365853149137218059e-01 2.454760269351068114e-02
3.412299516449939802e+03 1.279089278837402532e-01 2.138694589187023487e-02
3.415711815966390986e+03 1.242935221644228816e-01 1.965852502122403256e-02
3.419127527782358356e+03 1.273531879111357012e-01 1.834468245961166227e-02
3.422546655310141887e+03 1.311080062834460991e-01 1.706946133504212010e-02
3.425969201965453522e+03 1.339765030919041477e-01 1.607405200931233402e-02
3.429395171167419903e+03 1.277953122990515278e-01 1.564570049712875680e-02
3.432824566338588284e+03 1.354650504595068250e-01 1.538990756888987226e-02
3.436257390904928343e+03 1.442831315640127066e-01 1.498994261603231459e-02
3.439693648295834464e+03 1.449567632791186056e-01 1.460443736852304331e-02
3.443133341944131189e+03 1.472039089337612849e-01 1.422622694783052567e-02
3.446576475286076402e+03 1.473727725687440371e-01 1.416299704708388202e-02
3.450023051761363604e+03 1.503232931929289751e-01 1.404794125051599292e-02
3.453473074813126004e+03 1.543841934606145216e-01 1.377563500098518204e-02
3.456926547887940615e+03 1.542740148312974902e-01 1.381963437271007365e-02
3.460383474435829612e+03 1.527785486192829167e-01 1.340658960696783017e-02
3.463843857910266706e+03 1.510900716448395353e-01 1.248938480263299920e-02
3.467307701768178049e+03 1.518563053694917120e-01 1.228491347123386070e-02
3.470775009469947236e+03 1.548651854415927509e-01 1.225977662365308751e-02
3.474245784479418489e+03 1.588550592516115856e-01 1.220827408142044664e-02
3.477720030263898934e+03 1.676028814310967507e-01 1.232363866098710840e-02
3.481197750294164052e+03 1.784029889508914057e-01 1.188572275065255882e-02
3.484678948044459503e+03 1.876711298869022382e-01 1.172791365895020990e-02
3.488163626992504760e+03 1.868072527331522681e-01 1.236543536343034412e-02
3.491651790619498570e+03 1.953963528724995125e-01 1.225473821015956796e-02
3.495143442410119405e+03 2.000818514216021748e-01 1.222252016979908165e-02
3.498638585852530468e+03 1.982070813092605410e-01 1.233444141545476068e-02
3.502137224438384237e+03 2.001431232770415902e-01 1.221417231552668868e-02
3.505639361662823831e+03 1.987053645615775299e-01 1.188525690208220610e-02
3.509145001024487556e+03 2.050856709272810274e-01 1.159152464390939691e-02
3.512654146025513455e+03 2.096805089395055444e-01 1.132434457178107395e-02
3.516166800171540217e+03 2.082759191761607009e-01 1.131227034467333255e-02
3.519682966971712631e+03 1.983660614178935355e-01 1.119135137943390486e-02
3.523202649938685681e+03 1.935973647023968847e-01 1.107065004657987323e-02
3.526725852588625457e+03 1.933168827172429272e-01 1.123331037395309748e-02
3.530252578441215064e+03 1.875061600450348420e-01 1.087209900141572656e-02
3.533782831019657806e+03 1.863667715848695006e-01 1.098348268811460797e-02
3.537316613850678550e+03 1.838602151081286107e-01 1.078778453897761593e-02
3.540853930464530094e+03 1.801322724829123867e-01 1.073863097863364015e-02
3.544394784394995895e+03 1.718785312791671072e-01 1.060565116654919871e-02
3.547939179179392340e+03 1.641592097170019304e-01 1.005092838972363421e-02
3.551487118358572843e+03 1.590120002570513946e-01 9.935721264459716068e-03
3.555038605476932389e+03 1.461979038627206351e-01 1.021222466396642936e-02
3.558593644082410719e+03 1.379649076743788561e-01 1.021446190691389921e-02
3.562152237726494150e+03 1.286802459710636448e-01 1.037406554180617980e-02
3.565714389964221937e+03 1.255685125235748711e-01 1.029536132209646869e-02
3.569280104354187188e+03 1.161432908225600857e-01 9.917484018683904098e-03
3.572849384458542772e+03 1.108626738764296182e-01 9.893538669780826619e-03
3.576422233843002232e+03 9.978940434148692029e-02 1.057320834028322235e-02
3.579998656076846601e+03 9.504064019963623378e-02 1.073937568438743800e-02
3.583578654732924406e+03 1.026436166906041780e-01 1.090747685403982079e-02
3.587162233387658489e+03 1.125021408673602397e-01 1.075854291277697494e-02
3.590749395621047370e+03 1.232154442292813373e-01 1.078329227596365979e-02
3.594340145016669794e+03 1.397845372569285760e-01 1.077280954990249458e-02
3.597934485161687462e+03 1.651827890159438261e-01 1.030390278142763634e-02
3.601532419646850485e+03 1.978611363593795747e-01 1.100381636322298774e-02
3.605133952066498296e+03 2.223066837967565545e-01 1.103042323266340691e-02
3.608739086018566013e+03 2.522598939588233113e-01 1.096662178556784273e-02
3.612347825104585809e+03 2.779395985015237214e-01 1.049145835899574671e-02
3.615960172929691907e+03 3.012676592151453114e-01 1.023639275039683362e-02
3.619576133102622407e+03 3.175879824838797605e-01 1.030464068775613362e-02
3.623195709235726554e+03 3.252786124532330847e-01 1.029094601270856731e-02
3.626818904944963379e+03 3.362885772892424963e-01 1.017352859193442274e-02
3.630445723849909427e+03 3.405103075304201643e-01 1.013365803599644913e-02
3.634076169573760581e+03 3.345218690735387579e-01 1.037875363921549228e-02
3.637710245743335690e+03 3.320793918461071303e-01 1.038756733604854522e-02
3.641347955989080219e+03 3.193440456469079369e-01 1.096170885223344410e-02
3.644989303945070333e+03 3.060885415953439326e-01 1.054892225938975497e-02
3.648634293249016537e+03 2.908426261844448968e-01 9.998118725673105223e-03
3.652282927542266862e+03 2.763903437849185574e-01 9.463742749201357884e-03
3.655935210469810499e+03 2.660136348632894943e-01 9.395558625196734695e-03
3.659591145680281443e+03 2.578735797385812156e-01 9.507210632935940084e-03
3.663250736825963031e+03 2.581495678316141351e-01 8.465350458734130501e-03
3.666913987562790226e+03 2.580428640296233977e-01 8.398185121054434557e-03
3.670580901550354156e+03 2.544748136349175849e-01 8.223273702826753087e-03
3.674251482451905758e+03 2.528648678544689332e-01 7.879038922428525590e-03
3.677925733934358959e+03 2.593812822064330281e-01 7.553764533529166297e-03
3.681603659668294313e+03 2.568916237585401885e-01 7.181212112668692270e-03
3.685285263327964003e+03 2.560483929153171689e-01 7.039470412393188971e-03
3.688970548591293209e+03 2.565669511496032618e-01 7.138127414893099230e-03
3.692659519139885560e+03 2.586262497926522519e-01 6.683616206029504084e-03
3.696352178659026777e+03 2.549296820695889920e-01 6.682920179811164402e-03
3.700048530837686940e+03 2.467477312693767688e-01 6.609157742798628214e-03
3.703748579368525952e+03 2.293589539358969198e-01 6.617384427194691540e-03
3.707452327947895355e+03 2.165531852226137977e-01 6.655784822809029770e-03
3.711159780275844696e+03 1.988286172079675729e-01 6.523082220511030802e-03
3.714870940056121526e+03 1.874643712655994221e-01 6.241349854108763084e-03
3.718585810996179134e+03 1.643309621181903712e-01 6.212922434098158524e-03
3.722304396807176545e+03 1.456467335930899665e-01 6.170033943818244160e-03
3.726026701203984885e+03 1.285428113446880904e-01 5.417237980314124242e-03
