# starting wavelength: 3384.347
# ending wavelength: 9115.434
# wav flux eflux
3.385123554748343849e+03 4.914806224879104235e+00 1.853161095154455928e+00
3.388508678303093347e+03 4.552493064065150641e+00 1.391956229413069623e+00
3.391897186981397681e+03 4.335467148246158864e+00 1.023463528727695415e+00
3.395289084168380214e+03 4.194328598299521538e+00 7.770344527306973781e-01
3.398684373252549449e+03 4.061486098045810067e+00 6.027250189200246133e-01
3.402083057625803121e+03 3.976023714442185497e+00 4.798290860464823893e-01
3.405485140683430018e+03 3.895142377002532630e+00 3.991513796945181936e-01
3.408890625824114522e+03 3.802861140405888296e+00 3.228604728225044629e-01
3.412299516449939802e+03 3.729785999288374843e+00 2.715525321160939809e-01
3.415711815966390986e+03 3.683983759722159856e+00 2.342834493280894770e-01
3.419127527782358356e+03 3.649168756337298092e+00 2.024779682196134745e-01
3.422546655310141887e+03 3.616907551071407045e+00 1.816326216546871597e-01
3.425969201965453522e+03 3.626842243660762133e+00 1.660553791105358612e-01
3.429395171167419903e+03 3.631556614467171151e+00 1.543965441677357942e-01
3.432824566338588284e+03 3.678210544962699835e+00 1.469175045364400356e-01
3.436257390904928343e+03 3.713060591018182421e+00 1.387310702264772100e-01
3.439693648295834464e+03 3.733717517058065205e+00 1.354142895557902404e-01
3.443133341944131189e+03 3.739206145442428575e+00 1.298659289962420804e-01
3.446576475286076402e+03 3.779544484854598263e+00 1.253777012981936723e-01
3.450023051761363604e+03 3.800633639947971876e+00 1.305650913156300996e-01
3.453473074813126004e+03 3.795074766109969300e+00 1.279662772846179575e-01
3.456926547887940615e+03 3.798462571308967917e+00 1.257714499743343706e-01
3.460383474435829612e+03 3.814593927120025096e+00 1.260372983760065513e-01
3.463843857910266706e+03 3.861191429139016140e+00 1.230077526862380921e-01
3.467307701768178049e+03 3.841545337481096833e+00 1.227305210258693435e-01
3.470775009469947236e+03 3.841670657011428069e+00 1.209333499254522798e-01
3.474245784479418489e+03 3.919841114003461247e+00 9.593891045458481648e-02
3.477720030263898934e+03 3.902860109185877224e+00 9.096899360984815608e-02
3.481197750294164052e+03 3.898859288067495488e+00 8.708107441920054370e-02
3.484678948044459503e+03 3.838081768617865208e+00 7.873773084679790146e-02
3.488163626992504760e+03 3.783556648594978089e+00 7.577198146686309199e-02
3.491651790619498570e+03 3.743088488178123896e+00 7.577005422530326550e-02
3.495143442410119405e+03 3.704202677016275480e+00 7.575417871638688572e-02
3.498638585852530468e+03 3.653536151397679177e+00 8.145397445189707375e-02
3.502137224438384237e+03 3.602252850502572823e+00 7.707380822577267199e-02
3.505639361662823831e+03 3.579051368268636235e+00 8.002478342534354028e-02
3.509145001024487556e+03 3.540762175264701828e+00 7.827342820238296361e-02
3.512654146025513455e+03 3.547498140133402700e+00 8.182945406375849440e-02
3.516166800171540217e+03 3.545841343918166189e+00 8.175167530021139328e-02
3.519682966971712631e+03 3.535897231900332560e+00 8.485207942955511062e-02
3.523202649938685681e+03 3.538789520985382353e+00 8.398484514352239083e-02
3.526725852588625457e+03 3.502462863197485898e+00 8.529746983857054710e-02
3.530252578441215064e+03 3.465859018377744682e+00 8.718146360083460500e-02
3.533782831019657806e+03 3.457422148376818161e+00 8.693047407755231937e-02
3.537316613850678550e+03 3.435865371398024504e+00 8.302781795685805488e-02
3.540853930464530094e+03 3.414201871047772396e+00 8.677510176093596039e-02
3.544394784394995895e+03 3.372849189467716169e+00 8.525140308870747530e-02
3.547939179179392340e+03 3.365758781952899792e+00 8.336026829218250167e-02
3.551487118358572843e+03 3.344870801437748398e+00 8.358380520628831689e-02
3.555038605476932389e+03 3.311810927977516084e+00 9.210491071778832695e-02
3.558593644082410719e+03 3.332169278136573265e+00 9.761617036754895171e-02
3.562152237726494150e+03 3.271211250497997547e+00 1.038967138151422331e-01
3.565714389964221937e+03 3.271031957017167535e+00 1.081362579500437654e-01
3.569280104354187188e+03 3.276656932530972899e+00 1.039044237249349689e-01
3.572849384458542772e+03 3.265679250872214112e+00 1.045074349181223522e-01
3.576422233843002232e+03 3.254733105756874689e+00 1.085647704985099465e-01
3.579998656076846601e+03 3.252030354458401717e+00 1.122180094234268705e-01
3.583578654732924406e+03 3.238695119376542308e+00 1.102292231990605886e-01
3.587162233387658489e+03 3.136525395406749350e+00 1.142803151092610520e-01
3.590749395621047370e+03 3.118928623172021020e+00 1.151877731040518299e-01
3.594340145016669794e+03 3.107219972285729881e+00 1.119846980285531951e-01
3.597934485161687462e+03 3.048373634455095793e+00 1.079219778722673578e-01
3.601532419646850485e+03 3.026204882936357698e+00 1.105338362067615071e-01
3.605133952066498296e+03 2.949842424848398537e+00 1.188104173873226477e-01
3.608739086018566013e+03 2.878745353138854046e+00 1.214972179008655534e-01
3.612347825104585809e+03 2.805783795839542183e+00 1.176915608263538193e-01
3.615960172929691907e+03 2.754839097275383342e+00 1.155337673984301178e-01
3.619576133102622407e+03 2.736354219447877600e+00 1.143184086858657356e-01
3.623195709235726554e+03 2.731235504073580955e+00 1.157406343080848998e-01
3.626818904944963379e+03 2.731365569853644093e+00 1.207921791364613140e-01
3.630445723849909427e+03 2.776201281207307581e+00 1.261135626741886062e-01
3.634076169573760581e+03 2.755940110598042114e+00 1.291242245223893359e-01
3.637710245743335690e+03 2.792263186594593272e+00 1.340045306940585157e-01
3.641347955989080219e+03 2.827090843963743882e+00 1.345506726192658153e-01
3.644989303945070333e+03 2.896254632063872680e+00 1.294257362605225614e-01
3.648634293249016537e+03 2.920841298903968930e+00 1.230727200734375998e-01
3.652282927542266862e+03 2.974285366095138716e+00 1.260597756055319985e-01
3.655935210469810499e+03 3.010113226575977130e+00 1.243478587861976681e-01
3.659591145680281443e+03 3.017327117228076006e+00 1.261676682344384237e-01
