# starting wavelength: 3491.017
# ending wavelength: 9309.380
# wav flux eflux
3.491651790619498570e+03 5.826670428995666118e-01 1.035418299294754263e+00
3.495143442410119405e+03 5.819738690922967583e-01 7.362215009668353627e-01
3.498638585852530468e+03 6.037784465163895664e-01 5.570883009342598724e-01
3.502137224438384237e+03 6.699466152057770296e-01 4.364709774032326517e-01
3.505639361662823831e+03 6.985124265574433888e-01 3.367164246848857179e-01
3.509145001024487556e+03 7.039626803681122702e-01 2.636236497759844588e-01
3.512654146025513455e+03 7.021285018895148111e-01 2.124746024646085585e-01
3.516166800171540217e+03 6.840341669166664085e-01 1.824467133422867093e-01
3.519682966971712631e+03 6.519290118000740097e-01 1.535004242267380137e-01
3.523202649938685681e+03 6.212470748904859175e-01 1.291966148808758597e-01
3.526725852588625457e+03 6.421570282896464921e-01 1.322074983284310667e-01
3.530252578441215064e+03 6.467454329136298474e-01 1.187215776551687474e-01
3.533782831019657806e+03 6.450729676636971499e-01 1.077393972333282879e-01
3.537316613850678550e+03 6.495223501005578104e-01 9.936140566960090237e-02
3.540853930464530094e+03 6.663582495948663365e-01 9.314872304020607729e-02
3.544394784394995895e+03 6.736557081983548523e-01 8.970498877346927413e-02
3.547939179179392340e+03 7.059164519010850958e-01 8.765964494367499416e-02
3.551487118358572843e+03 7.289979903263361649e-01 8.485235975425876875e-02
3.555038605476932389e+03 7.361987005413787033e-01 8.117633183576487832e-02
3.558593644082410719e+03 7.586872638500929966e-01 8.127233894658862645e-02
3.562152237726494150e+03 7.466056467059530855e-01 8.022443819600291737e-02
3.565714389964221937e+03 7.430616497702264844e-01 7.865767056952994996e-02
3.569280104354187188e+03 7.674703848429130781e-01 7.766808442390485401e-02
3.572849384458542772e+03 7.616490237815852771e-01 7.789316726109880851e-02
3.576422233843002232e+03 7.676850304483447962e-01 7.488290954213608352e-02
3.579998656076846601e+03 7.825263100871198141e-01 7.610882525851345171e-02
3.583578654732924406e+03 7.459145102996449506e-01 8.270331892824270281e-02
3.587162233387658489e+03 7.058240205830582648e-01 8.977903987636932925e-02
3.590749395621047370e+03 7.545439450572842821e-01 9.406234033469806910e-02
3.594340145016669794e+03 7.642419668887983075e-01 9.393718027479250332e-02
3.597934485161687462e+03 7.517524556313541773e-01 9.089157584294010883e-02
3.601532419646850485e+03 7.384872389346180954e-01 8.354446956581808303e-02
3.605133952066498296e+03 7.480855639107359956e-01 8.616617438959670028e-02
3.608739086018566013e+03 7.641736970970955944e-01 8.405223459496920235e-02
3.612347825104585809e+03 7.492907850427922289e-01 8.296023763397944450e-02
3.615960172929691907e+03 7.700464448925183891e-01 8.284194300571487424e-02
3.619576133102622407e+03 8.030954940582131218e-01 8.005983591474732930e-02
3.623195709235726554e+03 8.482344379474537899e-01 8.129877144125120803e-02
3.626818904944963379e+03 8.427093459419087162e-01 7.820661242320280093e-02
3.630445723849909427e+03 8.520599130687850353e-01 8.072019174432470967e-02
3.634076169573760581e+03 8.568277153988257400e-01 7.881496292686927807e-02
3.637710245743335690e+03 8.479728816522122958e-01 7.867136388077304587e-02
3.641347955989080219e+03 7.958212225091156888e-01 8.584193963005162797e-02
3.644989303945070333e+03 7.575401050236812983e-01 8.505328104954479329e-02
3.648634293249016537e+03 7.356898151421712440e-01 8.440031145562094939e-02
3.652282927542266862e+03 7.114216005826360378e-01 8.573131109660077354e-02
3.655935210469810499e+03 6.728812031391659954e-01 8.396997712614723275e-02
3.659591145680281443e+03 6.533608022695166495e-01 8.083123752460406874e-02
3.663250736825963031e+03 6.442294717746362975e-01 8.049822659784244827e-02
3.666913987562790226e+03 6.366415235990408039e-01 8.031001141784908925e-02
3.670580901550354156e+03 6.403653159332659550e-01 8.354145232655688091e-02
3.674251482451905758e+03 6.000245051022414788e-01 9.812892830389806365e-02
3.677925733934358959e+03 6.803425271825052079e-01 1.117268620815472652e-01
3.681603659668294313e+03 7.154848369389275042e-01 1.127694077132784661e-01
3.685285263327964003e+03 7.379515436808079532e-01 1.176425621133806304e-01
3.688970548591293209e+03 8.102770583495495504e-01 1.134700241153016459e-01
3.692659519139885560e+03 8.382402445718537543e-01 1.084227430950642640e-01
3.696352178659026777e+03 8.773626623995013363e-01 1.116607228822495551e-01
3.700048530837686940e+03 9.253984141529632002e-01 1.087538396179571071e-01
3.703748579368525952e+03 8.936936502258968629e-01 1.091614752328931570e-01
3.707452327947895355e+03 8.799751338681722768e-01 1.090034216483940221e-01
3.711159780275844696e+03 8.763903386377260851e-01 1.090630485207299410e-01
3.714870940056121526e+03 9.046507730553021709e-01 1.019053428404287365e-01
3.718585810996179134e+03 8.843651444017469609e-01 1.006784555784113744e-01
3.722304396807176545e+03 8.381184890769683982e-01 1.076602588556616891e-01
3.726026701203984885e+03 8.112592063605243986e-01 1.103102911891159221e-01
3.729752727905190113e+03 7.544687238129493823e-01 1.041526241258018959e-01
3.733482480633096657e+03 7.332497307882193116e-01 1.004175058871142195e-01
