# starting wavelength: 3314.234
# ending wavelength: 9455.315
# wav flux eflux
3.314811964377184722e+03 2.317537318805953817e+00 4.266461186041767828e-01
3.318126776341563072e+03 2.392518542507106716e+00 3.008036289153781517e-01
3.321444903117905596e+03 2.410899792727191127e+00 2.239024269717111160e-01
3.324766348021024896e+03 2.399214512424335144e+00 1.719527192497466439e-01
3.328091114369046863e+03 2.361121184944255713e+00 1.325700675850770283e-01
3.331419205483417045e+03 2.309333393700503390e+00 1.050007551122150301e-01
3.334750624688901553e+03 2.249325604302293780e+00 8.367888647407277503e-02
3.338085375313591612e+03 2.192647434955530716e+00 8.586003748141524117e-02
3.341423460688906289e+03 2.144000684872973572e+00 7.073106930948473703e-02
3.344764884149596128e+03 2.125686675042058660e+00 7.719439214982010133e-02
3.348109649033746791e+03 2.110411264973348189e+00 7.073954009097850604e-02
3.351457758682781787e+03 2.089465322732251717e+00 6.274341570899757969e-02
3.354809216441465651e+03 2.072759355736707221e+00 5.732811132072288679e-02
3.358164025657908041e+03 2.074965633410510435e+00 5.498996078477983579e-02
3.361522189683567376e+03 2.065759279679401761e+00 5.212319189429281963e-02
3.364883711873251741e+03 2.061780172017175339e+00 4.926501619371381063e-02
3.368248595585126168e+03 2.057812924634374596e+00 4.677310819669305147e-02
3.371616844180712633e+03 2.055878232008351958e+00 4.612597404410333918e-02
3.374988461024894150e+03 2.059639732720946359e+00 4.448255698385483736e-02
3.378363449485920228e+03 2.075720664065730414e+00 4.364828283663125391e-02
3.381741812935407324e+03 2.078144314197815756e+00 4.365246166381048926e-02
3.385123554748343849e+03 2.106792881855541921e+00 3.450664735946631922e-02
3.388508678303093347e+03 2.104570013517610416e+00 3.594891755175023268e-02
3.391897186981397681e+03 2.111017169850423425e+00 3.601838687481929285e-02
3.395289084168380214e+03 2.103761315640556795e+00 3.587411140558222078e-02
3.398684373252549449e+03 2.104821656775496930e+00 3.601719412805021170e-02
3.402083057625803121e+03 2.090143727460316292e+00 3.312683221446811183e-02
3.405485140683430018e+03 2.092589739394978388e+00 3.186878719936383358e-02
3.408890625824114522e+03 2.104750624739680109e+00 3.272178793078520803e-02
3.412299516449939802e+03 2.096651563222120096e+00 3.110253044258475333e-02
3.415711815966390986e+03 2.094355506474208095e+00 3.108214575332179236e-02
3.419127527782358356e+03 2.086336929449106314e+00 3.100226333127168582e-02
3.422546655310141887e+03 2.087501051084927450e+00 3.114468775913863119e-02
3.425969201965453522e+03 2.096298820574753918e+00 3.202405204573143677e-02
3.429395171167419903e+03 2.101099063592718696e+00 3.072287955694797193e-02
3.432824566338588284e+03 2.117273222441330649e+00 3.093742881547707074e-02
3.436257390904928343e+03 2.132621665637808750e+00 3.074291859142738725e-02
3.439693648295834464e+03 2.140284439812227824e+00 3.088166333769144442e-02
3.443133341944131189e+03 2.140192762711980556e+00 3.015312059957522134e-02
3.446576475286076402e+03 2.145074848576085103e+00 3.161226010191159341e-02
3.450023051761363604e+03 2.129701385784774637e+00 2.933178264912359237e-02
3.453473074813126004e+03 2.136682311984861471e+00 3.403529276691083516e-02
3.456926547887940615e+03 2.132123704362828498e+00 3.397093978518076623e-02
3.460383474435829612e+03 2.137483600217624069e+00 3.252267049224872447e-02
3.463843857910266706e+03 2.142248025233384201e+00 3.108382299369834290e-02
3.467307701768178049e+03 2.143198753564825587e+00 3.112321430153708671e-02
3.470775009469947236e+03 2.129897394913743636e+00 3.459523423529667352e-02
3.474245784479418489e+03 2.118651709634689073e+00 3.461921077265436852e-02
3.477720030263898934e+03 2.131163225145142004e+00 3.604658209265172719e-02
3.481197750294164052e+03 2.140553891653856677e+00 3.464007851107270969e-02
3.484678948044459503e+03 2.148398949833576044e+00 3.380635357091001103e-02
3.488163626992504760e+03 2.157974472429483370e+00 3.518018407870227710e-02
3.491651790619498570e+03 2.187180747828720406e+00 3.766164672858283990e-02
3.495143442410119405e+03 2.210844990952967493e+00 3.803584305179047442e-02
3.498638585852530468e+03 2.236253485077756231e+00 3.911133742085685233e-02
3.502137224438384237e+03 2.243171910306467787e+00 4.102524900046124190e-02
3.505639361662823831e+03 2.249573080719269313e+00 4.119753208600095834e-02
3.509145001024487556e+03 2.252342344816411934e+00 3.936311666945818688e-02
3.512654146025513455e+03 2.256412516969061866e+00 4.113969787982284937e-02
3.516166800171540217e+03 2.256850112471566305e+00 4.116036509081973105e-02
3.519682966971712631e+03 2.264420357594276734e+00 4.086111218665467587e-02
3.523202649938685681e+03 2.259029780367664664e+00 4.087676847154332604e-02
3.526725852588625457e+03 2.254328587682791429e+00 4.145795063959703541e-02
3.530252578441215064e+03 2.241593903241885677e+00 4.220590383757372166e-02
3.533782831019657806e+03 2.221651024209589931e+00 4.261720448510213088e-02
3.537316613850678550e+03 2.205697456325109940e+00 4.123191693973780186e-02
3.540853930464530094e+03 2.176852581607135573e+00 3.909649654602741220e-02
3.544394784394995895e+03 2.152218301218709495e+00 3.909594233841022504e-02
3.547939179179392340e+03 2.140893018666788272e+00 4.032774118657150159e-02
3.551487118358572843e+03 2.144133056235104196e+00 3.875339838083635691e-02
3.555038605476932389e+03 2.146174593889494275e+00 3.936383631182692466e-02
3.558593644082410719e+03 2.140092972987798436e+00 4.008932169506636972e-02
3.562152237726494150e+03 2.163210872474488067e+00 4.250820464075336785e-02
3.565714389964221937e+03 2.181984027531848724e+00 4.222801009384663518e-02
3.569280104354187188e+03 2.230077514460088839e+00 2.410073376948030158e-02
3.572849384458542772e+03 2.249061871819816094e+00 2.351412582238052509e-02
3.576422233843002232e+03 2.272197211617392298e+00 2.140606827886844254e-02
3.579998656076846601e+03 2.278054406940206889e+00 2.157853517668748000e-02
3.583578654732924406e+03 2.286649270762130648e+00 2.151092112129730782e-02
3.587162233387658489e+03 2.280919297847194827e+00 2.337715927021922005e-02
3.590749395621047370e+03 2.276008329796592733e+00 2.283063936150174500e-02
3.594340145016669794e+03 2.272422814820875825e+00 2.350164636928959994e-02
3.597934485161687462e+03 2.273512413197527504e+00 2.259980721191467978e-02
3.601532419646850485e+03 2.272678416979548643e+00 2.263034753319871986e-02
3.605133952066498296e+03 2.268543436552032500e+00 2.385003789036447414e-02
3.608739086018566013e+03 2.263713981686376275e+00 2.392062194829406782e-02
3.612347825104585809e+03 2.254178615178970446e+00 2.287584463491328796e-02
3.615960172929691907e+03 2.238324145805478338e+00 2.163802556927600651e-02
3.619576133102622407e+03 2.226459485714837427e+00 2.268595407956188262e-02
3.623195709235726554e+03 2.211979987284523830e+00 2.266151662843108802e-02
3.626818904944963379e+03 2.211207151416476169e+00 2.059367622985008514e-02
3.630445723849909427e+03 2.208127882666793607e+00 2.059835334605839702e-02
3.634076169573760581e+03 2.204146610266571660e+00 2.078704399474278625e-02
3.637710245743335690e+03 2.210635349184598475e+00 1.840482089300651825e-02
3.641347955989080219e+03 2.206260244635535717e+00 1.901974888211860684e-02
3.644989303945070333e+03 2.205614945120976778e+00 1.901294450836056929e-02
3.648634293249016537e+03 2.201989039881225629e+00 1.868267596858897567e-02
3.652282927542266862e+03 2.186268590451009519e+00 1.518416542506876091e-02
3.655935210469810499e+03 2.184187044855981252e+00 1.603678179694444789e-02
3.659591145680281443e+03 2.189291923364919512e+00 1.568900130009009963e-02
3.663250736825963031e+03 2.189057605852156030e+00 1.506556629848354936e-02
3.666913987562790226e+03 2.196429122189019978e+00 1.528246274104588624e-02
3.670580901550354156e+03 2.202629933019429220e+00 1.589338842056060158e-02
3.674251482451905758e+03 2.211236908013056723e+00 1.769182806914756587e-02
3.677925733934358959e+03 2.214522369999160301e+00 1.730769488345912377e-02
3.681603659668294313e+03 2.219301643295485071e+00 1.653864167239280786e-02
3.685285263327964003e+03 2.219252296312419048e+00 1.685477415374653579e-02
3.688970548591293209e+03 2.200879488701591224e+00 1.698012503914638968e-02
3.692659519139885560e+03 2.173247955091013317e+00 2.513130726367438644e-02
3.696352178659026777e+03 2.165871721940415551e+00 2.515238457700705657e-02
3.700048530837686940e+03 2.156993828773452915e+00 2.523356547251115814e-02
