# starting wavelength: 3326.436
# ending wavelength: 9490.126
# wav flux eflux
3.328091114369046863e+03 2.032756948976503164e+00 1.412812437892569661e-01
3.331419205483417045e+03 2.096704856971643771e+00 1.129492408128259379e-01
3.334750624688901553e+03 2.105498274776926415e+00 1.469640267221251073e-01
3.338085375313591612e+03 2.121507658994227441e+00 1.128998021602068969e-01
3.341423460688906289e+03 2.131125153073925915e+00 8.923344965311358346e-02
3.344764884149596128e+03 2.128603414586795584e+00 7.182956136430278249e-02
3.348109649033746791e+03 2.117923067568684647e+00 5.742417257905742256e-02
3.351457758682781787e+03 2.106548807196425788e+00 4.951694630229082350e-02
3.354809216441465651e+03 2.098040862303651277e+00 4.395988348748414154e-02
3.358164025657908041e+03 2.087004038872096956e+00 3.733578815657767613e-02
3.361522189683567376e+03 2.073858001269134999e+00 3.338420933359231846e-02
3.364883711873251741e+03 2.067694852349057921e+00 3.050187006042824264e-02
3.368248595585126168e+03 2.060276486816984054e+00 2.789336066109354695e-02
3.371616844180712633e+03 2.060103598949069692e+00 2.642990333625991686e-02
3.374988461024894150e+03 2.061918217741243620e+00 2.521681935728418283e-02
3.378363449485920228e+03 2.061529206371862877e+00 2.435145846345203313e-02
3.381741812935407324e+03 2.064064093388521037e+00 2.325656613761619210e-02
3.385123554748343849e+03 2.073817763921102841e+00 2.320011373772077820e-02
3.388508678303093347e+03 2.079147647638917462e+00 2.311880136597030053e-02
3.391897186981397681e+03 2.095058124423501589e+00 2.198151551177233640e-02
3.395289084168380214e+03 2.109782391493000731e+00 2.258607123597435387e-02
3.398684373252549449e+03 2.124444025212488985e+00 2.309528746731802015e-02
3.402083057625803121e+03 2.142667673201011258e+00 2.308809763035590476e-02
3.405485140683430018e+03 2.152682009486951653e+00 2.376475703354744354e-02
3.408890625824114522e+03 2.157474653663617126e+00 2.376878918887110476e-02
3.412299516449939802e+03 2.165177728891976905e+00 2.473447205791976314e-02
3.415711815966390986e+03 2.172080195167231942e+00 2.368237092346055228e-02
3.419127527782358356e+03 2.173701159497583912e+00 2.467010011338804584e-02
3.422546655310141887e+03 2.168924972143846830e+00 2.374781223850340808e-02
3.425969201965453522e+03 2.155548181787775075e+00 2.445549384867576337e-02
3.429395171167419903e+03 2.151629315724843394e+00 2.533800016710374345e-02
3.432824566338588284e+03 2.133560117407756973e+00 2.782720944190244031e-02
3.436257390904928343e+03 2.115941671994291617e+00 2.983162777781828146e-02
3.439693648295834464e+03 2.107000790630039422e+00 3.118941236736684844e-02
3.443133341944131189e+03 2.088203290125447253e+00 2.982248205377513450e-02
3.446576475286076402e+03 2.083371671171233785e+00 2.869446736360290601e-02
3.450023051761363604e+03 2.075591559255156149e+00 2.955136105151865908e-02
3.453473074813126004e+03 2.061195736538076417e+00 2.600519912612663312e-02
3.456926547887940615e+03 2.081467905290070863e+00 2.488286401084316077e-02
3.460383474435829612e+03 2.087937098703189331e+00 2.490032707835385800e-02
