# starting wavelength: 3270.536
# ending wavelength: 9358.463
# wav flux eflux
3.272019554502088795e+03 7.625883168400030554e-01 1.465195850566386737e-01
3.275291574056592253e+03 7.693135554152820133e-01 1.090733622243637985e-01
3.278566865630649772e+03 7.780612436208844684e-01 8.284500790331052189e-02
3.281845432496281319e+03 7.840085888537851044e-01 6.500851684026445754e-02
3.285127277928778767e+03 7.981864564918148552e-01 5.052123858609168516e-02
3.288412405206708627e+03 8.124231766373717356e-01 3.981080361887460312e-02
3.291700817611916591e+03 8.262567012721937498e-01 3.306415543818744252e-02
3.294992518429529355e+03 8.369151506134723251e-01 2.754790520894573325e-02
3.298287510947960072e+03 8.453366101507000518e-01 2.283867399064482689e-02
3.301585798458909267e+03 8.439225774032925731e-01 2.387424742102563918e-02
3.304887384257369376e+03 8.344003604811400798e-01 2.605697376438528834e-02
3.308192271641627485e+03 8.314274398264501764e-01 2.319342518757427224e-02
3.311500463913270323e+03 8.232848266912780044e-01 2.174817007553326784e-02
3.314811964377184722e+03 8.195099298073527105e-01 2.034505888369418647e-02
3.318126776341563072e+03 8.266578600007574718e-01 2.148652167160242793e-02
3.321444903117905596e+03 8.273599760504993794e-01 2.077831416767959849e-02
3.324766348021024896e+03 8.222358803306644148e-01 2.033010880127192332e-02
3.328091114369046863e+03 8.253225179386964871e-01 2.191744897031313449e-02
3.331419205483417045e+03 8.127210979874799346e-01 2.146177390069368973e-02
3.334750624688901553e+03 8.033560701258043446e-01 2.248868805566423684e-02
3.338085375313591612e+03 7.904171832511079909e-01 2.205930031802826041e-02
3.341423460688906289e+03 7.736190199139763024e-01 2.196820991064533588e-02
3.344764884149596128e+03 7.684386663314620725e-01 2.280780875444281264e-02
3.348109649033746791e+03 7.628554770125173246e-01 2.295635276635187363e-02
3.351457758682781787e+03 7.559377932729235416e-01 2.199342908887126982e-02
3.354809216441465651e+03 7.502338077336383471e-01 2.304783549158365141e-02
3.358164025657908041e+03 7.409981685385462757e-01 2.305114329086670535e-02
3.361522189683567376e+03 7.383792145893111059e-01 2.220691989947400774e-02
3.364883711873251741e+03 7.384812352739651420e-01 2.296617464765481065e-02
3.368248595585126168e+03 7.273281934878991217e-01 2.395655196681750407e-02
3.371616844180712633e+03 7.274195245538714882e-01 2.296282013710326808e-02
3.374988461024894150e+03 7.278792514584135898e-01 2.400975328068220144e-02
3.378363449485920228e+03 7.397303489968221069e-01 2.458069080412393290e-02
3.381741812935407324e+03 7.391828264381858915e-01 2.459857341964031760e-02
3.385123554748343849e+03 7.447867509646370898e-01 2.455240329612819183e-02
3.388508678303093347e+03 7.456211432291663943e-01 2.406160837779056441e-02
3.391897186981397681e+03 7.521951642174597996e-01 2.404358666380034676e-02
3.395289084168380214e+03 7.603379336772999597e-01 2.403419882529504378e-02
3.398684373252549449e+03 7.744401266331388811e-01 2.391739073195658233e-02
3.402083057625803121e+03 7.924860918550555855e-01 2.343631813758416740e-02
3.405485140683430018e+03 8.100205074308461928e-01 2.391911394255537282e-02
3.408890625824114522e+03 8.288844120384833980e-01 2.420837702313675607e-02
3.412299516449939802e+03 8.524016562793832463e-01 2.394764002048745122e-02
3.415711815966390986e+03 8.678092657411274891e-01 2.356338074607023519e-02
3.419127527782358356e+03 8.688757904951904809e-01 2.317374086406228523e-02
3.422546655310141887e+03 8.596451751069864589e-01 2.431737042064799695e-02
3.425969201965453522e+03 8.506640861760350614e-01 2.329703789459556043e-02
3.429395171167419903e+03 8.397599502783914538e-01 2.369625263659914938e-02
3.432824566338588284e+03 8.413675193232098559e-01 2.312322465121613782e-02
3.436257390904928343e+03 8.441091067713331064e-01 2.338452620110417421e-02
3.439693648295834464e+03 8.406907776504163321e-01 2.347655008321100287e-02
3.443133341944131189e+03 8.422657773417692173e-01 2.259911089322775776e-02
3.446576475286076402e+03 8.390348400927218897e-01 2.253458808178346318e-02
3.450023051761363604e+03 8.232761825514746112e-01 2.034947905387367653e-02
3.453473074813126004e+03 8.145137987437589544e-01 1.999111929601092227e-02
3.456926547887940615e+03 8.076999175125516572e-01 1.998652214532941479e-02
3.460383474435829612e+03 7.985241238010423181e-01 1.974397513829287062e-02
3.463843857910266706e+03 7.931405812159728619e-01 1.987684399948757771e-02
3.467307701768178049e+03 7.898666830250663518e-01 2.087285351769839134e-02
3.470775009469947236e+03 7.875562644090574604e-01 1.995033253808948387e-02
3.474245784479418489e+03 7.871394319279307883e-01 2.004105578245233416e-02
3.477720030263898934e+03 7.921463395504417804e-01 2.095190443249961287e-02
3.481197750294164052e+03 7.906932814358768047e-01 1.982282372751441313e-02
3.484678948044459503e+03 7.975025439170081443e-01 1.893539542283305399e-02
3.488163626992504760e+03 8.097949457830251330e-01 1.931403091418950821e-02
3.491651790619498570e+03 8.288589417623680733e-01 1.821349475937035153e-02
3.495143442410119405e+03 8.363915243239454789e-01 1.788704239193986481e-02
3.498638585852530468e+03 8.460107806724526114e-01 1.786401509792248654e-02
3.502137224438384237e+03 8.584421534162890444e-01 1.891353384473086485e-02
3.505639361662823831e+03 8.666824972187628928e-01 1.898325502313448487e-02
3.509145001024487556e+03 8.723291863938259505e-01 1.903172800182724791e-02
3.512654146025513455e+03 8.731368371814854923e-01 1.864406658859420543e-02
