# starting wavelength: 3172.026
# ending wavelength: 9259.952
# wav flux eflux
3.172192168560151458e+03 7.374153876518105832e-01 8.315406796667157430e-01
3.175364360728712654e+03 7.880979239229960465e-01 6.887868580441982580e-01
3.178539725089442527e+03 7.675825453561982981e-01 5.022639618769426662e-01
3.181718264814533086e+03 7.608762649287893476e-01 3.844887712730205021e-01
3.184899983079348658e+03 7.537925463252054259e-01 2.928483898593658430e-01
3.188084883062429071e+03 7.809279651704419400e-01 2.457613190040570383e-01
3.191272967945492383e+03 7.760645623900216394e-01 1.955360712391136235e-01
3.194464240913438971e+03 7.733678682196754028e-01 1.603184950939589293e-01
3.197658705154353811e+03 7.753689924103169817e-01 1.317751624062666882e-01
3.200856363859509202e+03 8.015440880217322706e-01 1.215149401366586446e-01
3.204057220223369768e+03 8.249847054202881225e-01 1.063574752128213924e-01
3.207261277443593826e+03 8.446613495131709559e-01 9.389343654788111226e-02
3.210468538721038840e+03 8.500671642784430881e-01 8.592846781963921210e-02
3.213679007259760965e+03 8.566607222739102134e-01 7.903018800913985675e-02
3.216892686267021418e+03 8.699172433079871425e-01 7.447185501223242687e-02
3.220109578953289656e+03 8.760786034914843645e-01 6.974689812684588264e-02
3.223329688532243836e+03 8.868587874828890438e-01 6.796780814575684171e-02
3.226553018220777176e+03 9.315473785973111820e-01 7.284100374139283740e-02
3.229779571238999324e+03 9.296619894735711487e-01 6.915344040858999175e-02
3.233009350810239084e+03 9.249081895596242830e-01 6.923741695765779636e-02
3.236242360161050783e+03 9.054376615451706911e-01 6.931362402497244501e-02
3.239478602521212906e+03 8.803103974363344353e-01 7.258864123690175751e-02
3.242718081123734919e+03 8.721562660947080881e-01 7.262740828618914624e-02
3.245960799204859995e+03 8.781486333703663050e-01 7.285860433333894715e-02
3.249206760004065927e+03 8.488008691278803308e-01 7.250503828896076586e-02
3.252455966764071036e+03 8.289358586487387548e-01 7.250401923438011542e-02
3.255708422730835991e+03 7.632759612955124506e-01 6.925605882698993021e-02
3.258964131153567905e+03 7.400913605513487203e-01 7.230931388157874062e-02
3.262223095284722604e+03 7.154889722743131841e-01 7.161249043639897338e-02
3.265485318380008266e+03 7.183318225398298562e-01 7.246723249341038842e-02
3.268750803698389518e+03 6.869141465662857993e-01 7.521887671050955793e-02
