# starting wavelength: 3249.480
# ending wavelength: 9551.503
# wav flux eflux
3.252455966764071036e+03 3.731128915018221637e+00 2.119887301386713385e-01
3.255708422730835991e+03 3.807769691660846334e+00 1.575248411200318166e-01
3.258964131153567905e+03 3.854935228922273804e+00 1.199267673642341048e-01
3.262223095284722604e+03 3.875151347194810469e+00 9.330209872953307282e-02
3.265485318380008266e+03 3.862714837578189453e+00 7.738907259633202862e-02
3.268750803698389518e+03 3.843506486965365454e+00 6.243431354435179798e-02
3.272019554502088795e+03 3.817650679312701634e+00 5.122475981431626191e-02
3.275291574056592253e+03 3.786994229861498251e+00 4.226398734298363741e-02
3.278566865630649772e+03 3.756825786026395164e+00 3.725249931026956146e-02
3.281845432496281319e+03 3.725265028591897121e+00 3.204271480291100843e-02
3.285127277928778767e+03 3.702005811595272533e+00 2.909201564181857283e-02
3.288412405206708627e+03 3.689327586398916115e+00 2.805794008905368453e-02
3.291700817611916591e+03 3.675567941062201971e+00 2.652349083782686370e-02
3.294992518429529355e+03 3.670020573677553077e+00 2.576452399643369695e-02
3.298287510947960072e+03 3.654475143172700502e+00 2.444673842884791462e-02
3.301585798458909267e+03 3.640913000997833215e+00 2.340680960916171477e-02
3.304887384257369376e+03 3.633421047516764979e+00 2.252277136514420353e-02
3.308192271641627485e+03 3.632179348589231527e+00 2.207979531315690941e-02
3.311500463913270323e+03 3.634001800886528244e+00 2.148194329968473870e-02
3.314811964377184722e+03 3.648708686376516575e+00 2.244993143782760339e-02
3.318126776341563072e+03 3.660232665928734086e+00 2.166275447586396216e-02
3.321444903117905596e+03 3.677701769375389063e+00 2.118444488452822516e-02
3.324766348021024896e+03 3.697721761028892384e+00 2.057672853547970124e-02
3.328091114369046863e+03 3.716687955753146255e+00 1.989281826486634375e-02
3.331419205483417045e+03 3.726940892240861558e+00 1.951521496910540304e-02
3.334750624688901553e+03 3.733646025625751541e+00 1.944951306095436122e-02
3.338085375313591612e+03 3.729508829699313743e+00 1.870103541882810194e-02
3.341423460688906289e+03 3.743806730234531699e+00 1.916955333600218331e-02
3.344764884149596128e+03 3.737394943980999251e+00 1.944668317040897099e-02
3.348109649033746791e+03 3.734776902481271144e+00 1.896141892419790642e-02
3.351457758682781787e+03 3.742239661333099043e+00 1.905142663924713764e-02
3.354809216441465651e+03 3.742145999034124593e+00 1.850234413575879353e-02
3.358164025657908041e+03 3.747139836901874244e+00 1.874173796099345285e-02
3.361522189683567376e+03 3.745005665481871304e+00 1.879643806762430411e-02
3.364883711873251741e+03 3.737930991063931341e+00 1.886823801358408770e-02
3.368248595585126168e+03 3.739834572495202458e+00 1.981131139371217903e-02
3.371616844180712633e+03 3.732977893763038235e+00 2.021047529892405076e-02
3.374988461024894150e+03 3.716549644583869050e+00 2.101780208173729958e-02
3.378363449485920228e+03 3.708537299767938222e+00 2.102813056835632632e-02
3.381741812935407324e+03 3.694352785059365374e+00 2.106726633978093371e-02
3.385123554748343849e+03 3.685104543937152588e+00 2.153011161290685829e-02
3.388508678303093347e+03 3.661584614476733890e+00 2.470994569665515075e-02
3.391897186981397681e+03 3.640353402534073357e+00 2.495782088033664248e-02
3.395289084168380214e+03 3.636385313704516342e+00 2.551559828143434502e-02
3.398684373252549449e+03 3.635067903522582355e+00 2.674960158316687722e-02
3.402083057625803121e+03 3.628492744246422319e+00 2.711494727865711857e-02
3.405485140683430018e+03 3.624592706896322181e+00 2.665931108570508690e-02
3.408890625824114522e+03 3.627641575926850770e+00 2.739178874971160554e-02
3.412299516449939802e+03 3.631850020418719627e+00 2.768084545882848815e-02
3.415711815966390986e+03 3.631964692582087650e+00 2.783926439316944737e-02
3.419127527782358356e+03 3.616730915308449479e+00 2.776502402004120407e-02
3.422546655310141887e+03 3.616990649425994242e+00 2.788227583122624906e-02
3.425969201965453522e+03 3.617389009942253875e+00 2.843977055394007053e-02
3.429395171167419903e+03 3.615361865093236204e+00 2.832270373755166673e-02
3.432824566338588284e+03 3.617680442259312290e+00 2.834532325431255578e-02
3.436257390904928343e+03 3.609558938127338301e+00 2.864802243963732176e-02
3.439693648295834464e+03 3.619704920217975630e+00 2.886638848263184398e-02
3.443133341944131189e+03 3.618908458760937918e+00 2.929008539964581340e-02
3.446576475286076402e+03 3.611614945892360318e+00 2.930277580674094107e-02
3.450023051761363604e+03 3.596450750138624031e+00 2.937579686287705369e-02
3.453473074813126004e+03 3.579959592450326245e+00 3.006971736084701127e-02
3.456926547887940615e+03 3.560698741975454773e+00 3.043277767454386981e-02
3.460383474435829612e+03 3.540228899825200060e+00 3.041651167830095731e-02
3.463843857910266706e+03 3.512660105372574559e+00 2.906677196146583916e-02
3.467307701768178049e+03 3.500429207667840270e+00 2.948846776286820001e-02
3.470775009469947236e+03 3.485656060006544266e+00 2.885536598609896378e-02
3.474245784479418489e+03 3.490397016977323297e+00 2.884609747067494109e-02
3.477720030263898934e+03 3.488845509333941663e+00 2.889905621522877166e-02
3.481197750294164052e+03 3.495068971660116652e+00 2.852112549930661822e-02
3.484678948044459503e+03 3.497574330752284855e+00 2.780598462926322720e-02
3.488163626992504760e+03 3.499624343199143617e+00 2.823055656132039681e-02
3.491651790619498570e+03 3.526306186391600761e+00 2.909933878884355188e-02
3.495143442410119405e+03 3.530554974606233909e+00 2.969519653995518482e-02
3.498638585852530468e+03 3.509913462380668037e+00 2.956797945666897118e-02
3.502137224438384237e+03 3.511543725050538800e+00 2.961546778338331951e-02
3.505639361662823831e+03 3.529471485428857580e+00 2.976292588550141088e-02
3.509145001024487556e+03 3.540095032864611468e+00 2.729772004316623896e-02
3.512654146025513455e+03 3.540935979687984680e+00 2.770158718747242621e-02
3.516166800171540217e+03 3.534095709800425311e+00 2.773630772581589868e-02
3.519682966971712631e+03 3.523405713712136844e+00 2.785438086182259743e-02
3.523202649938685681e+03 3.522351036860549733e+00 2.862836980397922421e-02
3.526725852588625457e+03 3.527679405672410784e+00 2.950095905114313508e-02
3.530252578441215064e+03 3.516771581057202667e+00 2.872703205854355846e-02
3.533782831019657806e+03 3.518148116187405972e+00 2.867262553538143383e-02
3.537316613850678550e+03 3.508422295073077013e+00 2.904598400799937585e-02
3.540853930464530094e+03 3.492109191079599828e+00 2.907560653206392454e-02
3.544394784394995895e+03 3.477089976646736247e+00 2.923384715376693352e-02
3.547939179179392340e+03 3.484045634385673829e+00 2.767387306481943962e-02
3.551487118358572843e+03 3.475116212841468766e+00 2.738259196584174465e-02
3.555038605476932389e+03 3.463594078506488483e+00 2.754075695741756841e-02
3.558593644082410719e+03 3.441627239225914625e+00 3.041203249265446440e-02
3.562152237726494150e+03 3.427302718625925060e+00 3.198067302824922353e-02
3.565714389964221937e+03 3.415106226918152021e+00 3.208173950652540296e-02
3.569280104354187188e+03 3.410665504969838668e+00 3.127206496886076464e-02
3.572849384458542772e+03 3.424396853987846434e+00 3.383273330094690307e-02
3.576422233843002232e+03 3.421534372343573605e+00 3.445326171709501423e-02
3.579998656076846601e+03 3.418715901487516362e+00 3.443064270071836963e-02
3.583578654732924406e+03 3.429563864336644397e+00 3.402103870409502878e-02
3.587162233387658489e+03 3.426242202861573105e+00 3.405452893160237221e-02
3.590749395621047370e+03 3.441067472965495977e+00 3.493002831624279075e-02
3.594340145016669794e+03 3.465169702821469411e+00 3.440900328023398236e-02
3.597934485161687462e+03 3.484151580588022323e+00 3.347779499075492077e-02
3.601532419646850485e+03 3.485325384631372536e+00 3.287508295823284715e-02
3.605133952066498296e+03 3.501824223010456372e+00 3.090111021033841582e-02
3.608739086018566013e+03 3.506116720039637258e+00 3.077292972011855948e-02
3.612347825104585809e+03 3.496440751717818429e+00 3.027764854508393014e-02
3.615960172929691907e+03 3.490975135661807283e+00 3.023412364786099218e-02
3.619576133102622407e+03 3.484631187924479789e+00 2.996838211286682180e-02
3.623195709235726554e+03 3.475804180094444806e+00 3.017802225282548503e-02
3.626818904944963379e+03 3.460446837472949344e+00 3.069890084800132660e-02
