# starting wavelength: 3279.021
# ending wavelength: 9342.748
# wav flux eflux
3.281845432496281319e+03 9.596074656027392402e-01 6.854158052433098058e-01
3.285127277928778767e+03 8.434829806344373848e-01 4.937494979846637211e-01
3.288412405206708627e+03 7.402773145832319823e-01 3.699424026188413706e-01
3.291700817611916591e+03 6.490878825595232104e-01 2.814125390571584617e-01
3.294992518429529355e+03 5.614566171540906758e-01 2.221157513220273216e-01
3.298287510947960072e+03 5.178139159129013791e-01 1.753694525665370763e-01
3.301585798458909267e+03 5.005761432735296168e-01 1.500750941049222298e-01
3.304887384257369376e+03 4.613023974270429317e-01 1.227348027221317889e-01
3.308192271641627485e+03 4.251479613445223738e-01 1.050223238951609323e-01
3.311500463913270323e+03 4.038703381479769039e-01 9.087727800028927438e-02
3.314811964377184722e+03 3.764572508936261386e-01 8.068071855128325365e-02
3.318126776341563072e+03 3.506476003923115758e-01 7.228051533144520813e-02
3.321444903117905596e+03 3.503987057063556176e-01 6.803715308704171016e-02
3.324766348021024896e+03 3.576390188259958025e-01 6.319286481586584847e-02
3.328091114369046863e+03 3.684538923511163633e-01 5.864584867488462777e-02
3.331419205483417045e+03 3.877514898783634423e-01 5.613245648960994011e-02
3.334750624688901553e+03 4.309571337121580470e-01 5.542603482283674915e-02
3.338085375313591612e+03 4.392204308059318718e-01 5.262367749737556499e-02
3.341423460688906289e+03 4.459293006766479883e-01 5.135868302640621968e-02
3.344764884149596128e+03 4.435499543162289560e-01 4.912834151634589558e-02
3.348109649033746791e+03 4.582650227303183832e-01 4.782778121252050096e-02
3.351457758682781787e+03 4.665708197096355425e-01 4.653161074996171181e-02
3.354809216441465651e+03 4.850505454329316901e-01 4.417842080284559159e-02
3.358164025657908041e+03 4.919912181658360195e-01 4.403139370446697981e-02
3.361522189683567376e+03 4.825802948363287492e-01 4.199940315451083234e-02
3.364883711873251741e+03 4.584261791639757666e-01 4.134595435415017867e-02
3.368248595585126168e+03 4.549179979788562367e-01 4.054452380325663380e-02
3.371616844180712633e+03 4.516031162478297833e-01 3.969090628266788712e-02
3.374988461024894150e+03 4.251139373968931268e-01 3.793366241450176618e-02
3.378363449485920228e+03 4.139545129448866101e-01 3.720682111940420284e-02
3.381741812935407324e+03 3.975658899308066041e-01 3.634623680316608624e-02
3.385123554748343849e+03 3.925343305273518157e-01 3.424744380632603613e-02
3.388508678303093347e+03 3.822167654657380176e-01 3.282757361519196559e-02
3.391897186981397681e+03 3.635329397363650239e-01 3.115213048102385626e-02
3.395289084168380214e+03 3.683119271969689246e-01 3.062049735119641916e-02
3.398684373252549449e+03 3.685542782375765825e-01 3.014124657081326125e-02
3.402083057625803121e+03 3.661701215772057982e-01 2.956194187316764019e-02
3.405485140683430018e+03 3.646579075746501086e-01 2.841764697300863673e-02
3.408890625824114522e+03 3.693849596834714588e-01 2.767227419564116317e-02
3.412299516449939802e+03 3.839110884344406061e-01 2.671824206519330183e-02
3.415711815966390986e+03 4.090643333424586192e-01 2.633724004122865725e-02
3.419127527782358356e+03 4.183280286318940555e-01 2.507747346037499797e-02
3.422546655310141887e+03 4.201962878881435604e-01 2.441769041601411783e-02
3.425969201965453522e+03 4.354164342176211067e-01 2.340063140958982546e-02
3.429395171167419903e+03 4.422796116468307726e-01 2.303008454214371462e-02
3.432824566338588284e+03 4.455900572170225504e-01 2.200332220385058102e-02
3.436257390904928343e+03 4.375045677988202431e-01 2.022836248930119998e-02
3.439693648295834464e+03 4.257160834172372676e-01 2.148432361103232158e-02
3.443133341944131189e+03 4.408747536700867720e-01 2.142619485509457064e-02
3.446576475286076402e+03 4.299768379876151014e-01 2.097987087564759032e-02
3.450023051761363604e+03 4.286248772913663352e-01 2.084740775088461673e-02
3.453473074813126004e+03 4.324303637736029993e-01 2.046213112136772289e-02
3.456926547887940615e+03 4.261241168386468714e-01 1.941054171968978337e-02
3.460383474435829612e+03 4.084101524981421094e-01 1.970380791743371260e-02
3.463843857910266706e+03 3.884943157703003580e-01 1.973244293379458614e-02
3.467307701768178049e+03 3.801006543396491244e-01 1.896883411275031642e-02
3.470775009469947236e+03 3.663964145735532085e-01 1.879156758899218349e-02
3.474245784479418489e+03 3.659601753307745176e-01 1.888264274806908741e-02
3.477720030263898934e+03 3.583705561892514546e-01 1.763927071554629439e-02
3.481197750294164052e+03 3.540706372936426871e-01 1.708199028579841100e-02
3.484678948044459503e+03 3.509139427834562786e-01 1.625475504142567112e-02
3.488163626992504760e+03 3.529583867469764935e-01 1.560504215605375625e-02
