# starting wavelength: 3773.090
# ending wavelength: 9169.590
# wav flux eflux
3.774756746714894234e+03 1.343281677418180164e+00 4.051566625372834407e-01
3.778531503461610555e+03 1.407631476776867396e+00 2.955470146733575887e-01
3.782310034965073100e+03 1.450807187843759616e+00 2.195510809457156542e-01
3.786092345000039586e+03 1.441967890225226423e+00 1.889473359330675339e-01
3.789878437345040766e+03 1.432525379183061665e+00 1.966803624894933322e-01
3.793668315782387253e+03 1.405176200021009514e+00 3.713873388701847689e-01
3.797461984098170888e+03 1.501628752552122137e+00 3.406463847387777300e-01
3.801259446082270188e+03 1.612670005004610108e+00 4.028928319879456210e-01
3.805060705528353537e+03 1.513731620113969445e+00 5.032666124318437850e-01
3.808865766233883278e+03 1.396085022591518232e+00 4.366892927408494995e-01
3.812674632000118436e+03 1.296642629440193151e+00 3.817694275225829714e-01
3.816487306632119726e+03 1.253652844866596228e+00 3.416068089343986536e-01
3.820303793938753188e+03 1.292062987701379617e+00 3.178683393883840469e-01
3.824124097732693372e+03 1.392388388541455413e+00 2.996645109565551079e-01
3.827948221830427428e+03 1.461438413122172708e+00 2.823782670938794759e-01
3.831776170052258749e+03 1.577268262942431942e+00 2.722327647608315249e-01
3.835607946222312421e+03 1.700261668715547181e+00 2.644136470120900806e-01
3.839443554168536139e+03 1.827696632157807421e+00 2.588875934814947599e-01
3.843282997722705659e+03 1.979412679439138678e+00 2.510705796403224221e-01
3.847126280720429804e+03 2.107129612204501345e+00 2.529644951668307828e-01
3.850973407001151372e+03 2.243555302856796718e+00 2.581910344304564897e-01
3.854824380408153957e+03 2.344344480290056154e+00 2.589702168790932735e-01
3.858679204788563311e+03 2.432052369516803481e+00 2.580139186482204305e-01
3.862537883993353262e+03 2.526508479699746346e+00 2.544411219269709923e-01
3.866400421877347981e+03 2.558084081538473775e+00 2.539189746694888172e-01
3.870266822299226533e+03 2.579657973367774026e+00 2.528175192314121023e-01
3.874137089121526969e+03 2.584864422256816230e+00 2.587075735036721280e-01
3.878011226210649966e+03 2.542060642008212135e+00 2.605554538973394729e-01
3.881889237436861549e+03 2.457325547978234770e+00 2.584494331199309602e-01
3.885771126674299921e+03 2.393371670780490845e+00 2.660666055172782318e-01
3.889656897800975457e+03 2.305726257064729445e+00 2.664002467769439608e-01
3.893546554698777527e+03 2.214708287256254238e+00 2.661135629496287902e-01
3.897440101253477678e+03 2.120558324995160948e+00 2.648388815847830258e-01
3.901337541354732366e+03 2.004460533015711476e+00 2.625362762570270792e-01
3.905238878896088409e+03 1.807845526624277444e+00 2.651357281466481530e-01
3.909144117774985716e+03 1.642348406838898045e+00 2.614158819647032228e-01
3.913053261892762293e+03 1.506655710691768402e+00 2.584657836240455975e-01
3.916966315154656058e+03 1.415154124880864339e+00 2.556024512932649206e-01
3.920883281469812118e+03 1.412769512401423011e+00 2.571246927596062548e-01
3.924804164751283224e+03 1.480744376042720356e+00 2.554909387257248143e-01
3.928728968916035683e+03 1.719601043537214657e+00 2.199992252218774536e-01
3.932657697884953450e+03 1.920824335800112692e+00 1.732851816898265396e-01
3.936590355582839493e+03 1.883791809098838588e+00 1.194705587911007449e-01
3.940526945938423523e+03 1.871070528025732482e+00 1.012987072744405415e-01
3.944467472884363360e+03 1.924416577846746135e+00 1.023221284982369084e-01
3.948411940357249023e+03 1.987650980794884115e+00 1.046674051816673112e-01
3.952360352297607733e+03 2.046073609775715063e+00 9.905515202053717660e-02
3.956312712649906643e+03 2.089731528573881114e+00 9.534366182518071164e-02
3.960269025362557841e+03 2.074659030556932571e+00 9.644478394783563557e-02
3.964229294387921527e+03 2.058053989218960655e+00 9.702203394713541929e-02
3.968193523682310570e+03 2.039547947585990784e+00 9.698960612943065274e-02
3.972161717205994591e+03 2.001686490043414146e+00 9.880412141685766814e-02
3.976133878923201792e+03 1.956028612415344314e+00 1.019062390065291479e-01
3.980110012802126221e+03 1.932432581479811340e+00 1.048851011095506269e-01
3.984090122814929600e+03 1.898408168784051053e+00 1.026990000152518401e-01
3.988074212937745870e+03 1.861828784566820438e+00 1.048866458783213745e-01
3.992062287150684824e+03 1.831566399951155555e+00 1.040626587611179071e-01
3.996054349437837118e+03 1.815158853395250960e+00 1.038147689464079260e-01
4.000050403787276082e+03 1.789098994565762490e+00 1.019968271437379226e-01
4.004050454191064546e+03 1.795410180380023979e+00 1.084959903762803962e-01
4.008054504645257111e+03 1.788965459186951712e+00 1.178579759805818833e-01
4.012062559149903791e+03 1.753501455726920177e+00 1.181221118761906497e-01
4.016074621709055009e+03 1.724995704797154916e+00 1.163418191023627146e-01
4.020090696330765240e+03 1.775291723319685211e+00 1.112619961120697720e-01
4.024110787027097558e+03 1.839003770694434214e+00 9.974254649292410568e-02
4.028134897814125907e+03 1.900773435532566502e+00 8.986714160467032531e-02
4.032163032711941469e+03 1.893921794625895938e+00 7.732725983781241208e-02
4.036195195744654484e+03 1.904432745965036089e+00 7.559649507752957964e-02
4.040231390940400615e+03 1.910268072062485167e+00 7.678231496271631373e-02
4.044271622331342314e+03 1.930922249757936138e+00 7.892613720439686786e-02
4.048315893953675186e+03 1.918503065407374919e+00 7.989525339976469298e-02
4.052364209847629809e+03 1.906443832748702993e+00 7.914095584343533440e-02
4.056416574057479011e+03 1.907188990255359817e+00 8.210127525133367743e-02
4.060472990631537868e+03 1.892451486616315570e+00 8.199074770901595977e-02
4.064533463622170530e+03 1.877239985740021488e+00 7.971968182826837113e-02
4.068597997085794304e+03 1.875982425091497596e+00 8.074933568619571678e-02
4.072666595082881486e+03 1.859099728735561063e+00 8.081634870718447383e-02
4.076739261677965715e+03 1.865628603427288867e+00 8.127696416262278345e-02
4.080816000939644709e+03 1.846882602367706072e+00 7.909496598636865661e-02
4.084896816940585722e+03 1.829899446275154329e+00 8.111116928642396473e-02
4.088981713757527814e+03 1.792924756523825991e+00 8.046841095730591920e-02
4.093070695471286854e+03 1.727694665092920134e+00 7.749941853417278981e-02
4.097163766166759160e+03 1.671984220133455379e+00 7.820770894762675562e-02
4.101260929932927866e+03 1.622259077969519847e+00 7.773131868734729777e-02
4.105362190862862008e+03 1.548877581214379351e+00 7.723545160850601998e-02
4.109467553053726078e+03 1.503907090262631030e+00 7.534304704647308559e-02
4.113577020606780934e+03 1.478995671456689642e+00 7.566613814616027223e-02
