# starting wavelength: 3736.480
# ending wavelength: 9080.630
# wav flux eflux
3.737215963113731050e+03 4.688796825512416833e-01 4.222351232496355244e-01
3.740953179076846027e+03 4.009306644234332251e-01 3.076085732908525605e-01
3.744694132255923705e+03 3.734378860529107280e-01 2.390804113350327720e-01
3.748438826388181042e+03 3.547819565212034232e-01 1.809976016669911369e-01
3.752187265214570289e+03 3.420995886045494205e-01 1.393019686037422211e-01
3.755939452479786269e+03 3.343847047346913404e-01 1.111140376263149571e-01
3.759695391932267285e+03 3.362928808464870079e-01 8.921067776054912579e-02
3.763455087324201031e+03 3.459837625168826758e-01 7.574075943597333160e-02
3.767218542411526414e+03 3.662814081617313811e-01 6.430484989746577951e-02
3.770985760953939007e+03 3.842952996402050903e-01 5.503609756755186572e-02
3.774756746714894234e+03 4.031383977912315619e-01 4.958827334274426568e-02
3.778531503461610555e+03 4.097491112850867312e-01 4.544584469573682839e-02
3.782310034965073100e+03 4.153859359820114561e-01 4.153227737357862576e-02
3.786092345000039586e+03 4.254906906932002242e-01 3.851906380136517483e-02
3.789878437345040766e+03 4.249840597029393430e-01 3.631115128322891933e-02
3.793668315782387253e+03 4.128865096535830892e-01 3.479477449274179929e-02
3.797461984098170888e+03 3.936916219952463214e-01 3.585897814986305221e-02
3.801259446082270188e+03 3.732807223624197146e-01 3.754736779096449345e-02
3.805060705528353537e+03 3.620193321058598479e-01 3.735759235977474668e-02
3.808865766233883278e+03 3.450032496463564802e-01 3.819305283577095061e-02
3.812674632000118436e+03 3.405487078878638441e-01 3.748746893957469878e-02
3.816487306632119726e+03 3.145413535803768812e-01 3.657952497658637642e-02
3.820303793938753188e+03 3.083906645162307614e-01 3.511999317815266836e-02
3.824124097732693372e+03 3.163396026911966530e-01 3.680384045011028671e-02
3.827948221830427428e+03 3.405203654329959084e-01 3.923319545492091193e-02
3.831776170052258749e+03 3.455216734062029338e-01 3.867171148917031287e-02
3.835607946222312421e+03 3.560358152270252652e-01 3.874017376083293412e-02
3.839443554168536139e+03 3.631484263244571520e-01 3.953979902401167507e-02
3.843282997722705659e+03 3.608241059513561111e-01 3.952696033327406100e-02
3.847126280720429804e+03 3.678774824684191147e-01 3.865952963286637539e-02
3.850973407001151372e+03 3.768791170915964384e-01 3.905093307143517323e-02
3.854824380408153957e+03 3.724436517364295707e-01 3.822652183002177295e-02
3.858679204788563311e+03 3.886877882977702314e-01 3.766806634118620434e-02
3.862537883993353262e+03 4.028778870773663257e-01 3.662594849304260519e-02
3.866400421877347981e+03 4.151620938337650668e-01 3.550938792349754569e-02
3.870266822299226533e+03 4.285160742603836836e-01 3.602580043869207937e-02
3.874137089121526969e+03 4.284993914258440895e-01 3.535255670971352432e-02
3.878011226210649966e+03 4.356045734410500803e-01 3.562587092639410424e-02
3.881889237436861549e+03 4.162908114850700780e-01 3.364519494201179822e-02
3.885771126674299921e+03 4.099210948137265720e-01 3.352021817662328290e-02
3.889656897800975457e+03 3.979454841659278430e-01 3.330443785757072894e-02
3.893546554698777527e+03 3.793011800451484006e-01 3.352590529218078125e-02
3.897440101253477678e+03 3.762751114858204904e-01 3.356724849169607366e-02
3.901337541354732366e+03 3.825738725117341366e-01 3.383616875496383430e-02
3.905238878896088409e+03 3.827462431672647436e-01 3.385407797165844446e-02
3.909144117774985716e+03 3.886080729328181826e-01 3.377053372774633383e-02
3.913053261892762293e+03 4.056310422012187611e-01 3.415886596149068921e-02
3.916966315154656058e+03 4.194649311156758431e-01 3.149439487870467347e-02
3.920883281469812118e+03 4.354101073278886513e-01 2.914634926207137697e-02
3.924804164751283224e+03 4.366505935937879390e-01 3.181787005257175061e-02
3.928728968916035683e+03 4.385999684462587034e-01 3.210282671133746907e-02
3.932657697884953450e+03 4.246696465579716806e-01 2.881563234708734572e-02
3.936590355582839493e+03 4.283680465366417889e-01 2.871358776605242163e-02
