# starting wavelength: 3722.940
# ending wavelength: 9047.710
# wav flux eflux
3.726026701203984885e+03 2.658226772307373587e+00 3.852880252887787016e-01
3.729752727905190113e+03 2.659458053263063171e+00 3.138022341066904475e-01
3.733482480633096657e+03 2.641934998306219917e+00 2.377026193200969528e-01
3.737215963113731050e+03 2.626421116830982783e+00 1.820249747517196648e-01
3.740953179076846027e+03 2.603145833904693340e+00 1.439323569619271048e-01
3.744694132255923705e+03 2.589716683688306986e+00 1.143529732894593975e-01
3.748438826388181042e+03 2.580216274878500915e+00 9.566994088025115861e-02
3.752187265214570289e+03 2.575448936940059941e+00 7.957737582147390853e-02
3.755939452479786269e+03 2.568835411182460948e+00 6.850614999304584229e-02
3.759695391932267285e+03 2.565691516747294454e+00 5.900505857326927839e-02
3.763455087324201031e+03 2.579837550251661060e+00 5.514781826989073599e-02
3.767218542411526414e+03 2.604230461271888952e+00 5.212025441218794131e-02
3.770985760953939007e+03 2.612759907251859026e+00 4.777073471988069198e-02
3.774756746714894234e+03 2.614133837682867334e+00 4.451728499994331290e-02
3.778531503461610555e+03 2.599787945757823682e+00 4.374233791874240773e-02
3.782310034965073100e+03 2.583166979936209806e+00 4.357279801294226818e-02
3.786092345000039586e+03 2.574721576757858177e+00 4.147458065890534396e-02
3.789878437345040766e+03 2.567775341275112755e+00 4.036825438670108707e-02
3.793668315782387253e+03 2.568409239367452912e+00 3.962947122642970083e-02
3.797461984098170888e+03 2.564599832008665814e+00 4.043149951176506357e-02
3.801259446082270188e+03 2.567925499638931797e+00 3.988196002936238160e-02
3.805060705528353537e+03 2.547081583843124442e+00 4.021318639788439703e-02
3.808865766233883278e+03 2.537670702548469048e+00 4.073658994080823353e-02
3.812674632000118436e+03 2.517403485972964816e+00 4.241215003382690918e-02
3.816487306632119726e+03 2.515870235158388368e+00 4.332185896320311924e-02
3.820303793938753188e+03 2.515827360552012948e+00 4.206037075727827451e-02
3.824124097732693372e+03 2.524299665042256002e+00 4.163492188840490354e-02
3.827948221830427428e+03 2.520996413535718794e+00 4.268681867131309676e-02
3.831776170052258749e+03 2.532271811498000069e+00 4.337067961534944033e-02
3.835607946222312421e+03 2.547549540580356542e+00 4.032002324447658131e-02
3.839443554168536139e+03 2.568426781503913237e+00 3.729555386941341144e-02
3.843282997722705659e+03 2.575414684290178169e+00 3.732091420072854854e-02
3.847126280720429804e+03 2.581492503192382326e+00 3.742216600307293750e-02
3.850973407001151372e+03 2.591795369110484692e+00 3.774566674157264767e-02
3.854824380408153957e+03 2.591373351523252655e+00 3.732944620193365953e-02
3.858679204788563311e+03 2.575993510216667115e+00 3.927446693797104899e-02
3.862537883993353262e+03 2.582890039020576012e+00 4.108303267449748414e-02
3.866400421877347981e+03 2.613192645255124180e+00 4.386292808949609351e-02
3.870266822299226533e+03 2.627719868811722037e+00 4.634620950898829528e-02
3.874137089121526969e+03 2.643746109692838520e+00 4.655881684330767656e-02
3.878011226210649966e+03 2.646481976357718313e+00 4.663282123900917842e-02
3.881889237436861549e+03 2.623197658815528133e+00 4.752043420215978919e-02
3.885771126674299921e+03 2.610032915315382063e+00 4.754128713655297878e-02
3.889656897800975457e+03 2.592457199424532899e+00 4.729809782236912841e-02
3.893546554698777527e+03 2.570515278446297458e+00 4.608904539134038580e-02
3.897440101253477678e+03 2.553647616250193764e+00 4.740206890427231534e-02
3.901337541354732366e+03 2.543199268618486109e+00 4.891825023735180827e-02
3.905238878896088409e+03 2.541336413777512515e+00 4.947450135803280885e-02
3.909144117774985716e+03 2.546862399516818254e+00 5.078037372393921778e-02
3.913053261892762293e+03 2.523390512182582146e+00 5.144025532562332415e-02
3.916966315154656058e+03 2.508331984137268211e+00 5.096605665632571169e-02
3.920883281469812118e+03 2.487334419935915975e+00 5.315856915262362481e-02
3.924804164751283224e+03 2.464348721713811585e+00 5.311086678484850526e-02
3.928728968916035683e+03 2.447662019281795942e+00 5.273985814819279888e-02
3.932657697884953450e+03 2.421746433372137464e+00 5.205043395377941667e-02
3.936590355582839493e+03 2.403816448944717798e+00 5.153130804541634913e-02
3.940526945938423523e+03 2.406047585850114690e+00 5.025903818996038663e-02
3.944467472884363360e+03 2.403628210120289488e+00 4.928420409169002175e-02
3.948411940357249023e+03 2.423205253222083577e+00 4.813066934864704965e-02
3.952360352297607733e+03 2.450720573666891777e+00 4.913418746611635662e-02
3.956312712649906643e+03 2.478989484431388224e+00 4.760248700721539383e-02
3.960269025362557841e+03 2.502699060449401713e+00 4.779623470505742211e-02
3.964229294387921527e+03 2.525468801719761736e+00 4.881043046907088817e-02
3.968193523682310570e+03 2.529643521682353402e+00 4.883240415021741776e-02
3.972161717205994591e+03 2.531235807765682910e+00 4.869942962798974595e-02
3.976133878923201792e+03 2.525240089062811943e+00 4.874802201786548883e-02
3.980110012802126221e+03 2.499608925311234575e+00 4.848252764747448817e-02
3.984090122814929600e+03 2.472301718397102555e+00 4.628409229499948901e-02
3.988074212937745870e+03 2.454421350319099027e+00 4.440499384049104159e-02
3.992062287150684824e+03 2.448519783036243957e+00 4.048318340972651558e-02
3.996054349437837118e+03 2.425362200995017758e+00 4.096760316766880766e-02
4.000050403787276082e+03 2.400682661476510216e+00 4.173407684700146392e-02
4.004050454191064546e+03 2.359408548146628259e+00 3.951904554529806629e-02
4.008054504645257111e+03 2.330805940904716156e+00 3.908168754244462778e-02
4.012062559149903791e+03 2.291752425058723563e+00 3.670481477907056034e-02
4.016074621709055009e+03 2.264441072133484223e+00 3.573655746093591656e-02
4.020090696330765240e+03 2.249361594516564811e+00 3.280625642432431072e-02
4.024110787027097558e+03 2.256101825052474030e+00 2.647245810235864666e-02
4.028134897814125907e+03 2.265383843049672219e+00 2.113210992664670343e-02
4.032163032711941469e+03 2.253075968346336833e+00 2.274350705833335512e-02
4.036195195744654484e+03 2.230542463401878006e+00 2.533534824310755898e-02
4.040231390940400615e+03 2.229057481195935164e+00 2.547431299765437127e-02
4.044271622331342314e+03 2.250420194067478619e+00 2.768834850121285399e-02
