# starting wavelength: 3742.740
# ending wavelength: 9095.830
# wav flux eflux
3.744694132255923705e+03 6.531767146521170186e-01 3.645299431959450054e-01
3.748438826388181042e+03 5.949128364639048039e-01 2.657490087905541309e-01
3.752187265214570289e+03 5.966182280058368592e-01 2.007541102812941680e-01
3.755939452479786269e+03 6.310703172978794351e-01 1.518973727017575159e-01
3.759695391932267285e+03 6.754995717826095536e-01 1.210756031594535514e-01
3.763455087324201031e+03 7.392907037529981018e-01 1.003379347545138023e-01
3.767218542411526414e+03 8.233505087303109038e-01 8.070951176337341770e-02
3.770985760953939007e+03 9.062664115615528537e-01 6.629138787338122174e-02
3.774756746714894234e+03 9.601616395031632445e-01 7.694190396470915183e-02
3.778531503461610555e+03 9.905349461007071366e-01 7.374564706668255976e-02
3.782310034965073100e+03 9.967561766815089541e-01 7.180346657823860612e-02
3.786092345000039586e+03 1.001863565203802153e+00 6.490070093778164961e-02
3.789878437345040766e+03 1.003682785454358406e+00 5.935742103538686060e-02
3.793668315782387253e+03 9.919385024284695929e-01 5.535149312912920200e-02
3.797461984098170888e+03 9.673118546310784938e-01 5.454162386318858746e-02
3.801259446082270188e+03 9.400063419641884188e-01 5.455166665753306832e-02
3.805060705528353537e+03 9.273331533689772588e-01 5.274552003091254743e-02
3.808865766233883278e+03 9.188048245141556825e-01 5.132642490533818186e-02
3.812674632000118436e+03 9.134584207666520683e-01 4.912893449309288507e-02
3.816487306632119726e+03 9.105929169594149108e-01 4.769077425893084726e-02
3.820303793938753188e+03 8.871927041869187569e-01 4.291903936812459935e-02
3.824124097732693372e+03 8.961817718890068285e-01 4.397215879144922290e-02
3.827948221830427428e+03 9.106351915563667410e-01 4.416816327336704068e-02
3.831776170052258749e+03 9.457488355198621077e-01 5.069999400756980412e-02
3.835607946222312421e+03 9.663179140117214017e-01 5.079531173945886491e-02
3.839443554168536139e+03 9.852966801645931527e-01 4.962140417363036099e-02
3.843282997722705659e+03 1.019054366064761963e+00 4.770503373219636689e-02
3.847126280720429804e+03 1.042432507588180401e+00 4.635188978723270986e-02
3.850973407001151372e+03 1.059984867952408427e+00 4.563683397869885972e-02
3.854824380408153957e+03 1.053791894029009857e+00 4.805632997347605156e-02
3.858679204788563311e+03 1.049639565652991546e+00 5.122369218577242644e-02
3.862537883993353262e+03 1.063683654359998787e+00 5.237770460001899692e-02
3.866400421877347981e+03 1.080482551709904593e+00 5.192042943058916560e-02
3.870266822299226533e+03 1.085710782841477595e+00 5.297036791203126732e-02
3.874137089121526969e+03 1.067506304849385357e+00 5.362117878426176515e-02
3.878011226210649966e+03 1.040380945622202846e+00 5.318778025230053857e-02
3.881889237436861549e+03 1.004312510760478228e+00 5.282316731645594898e-02
3.885771126674299921e+03 9.549389391032889751e-01 5.133154259713441914e-02
