# starting wavelength: 4201.380
# ending wavelength: 9364.530
# wav flux eflux
4.205032316459983122e+03 2.730465358082719174e+00 7.336117916732867172e-01
4.209237348776444378e+03 2.498756497679105237e+00 5.885228897715787388e-01
4.213446586125221984e+03 2.407520709003145409e+00 4.452368487899951988e-01
4.217660032711349231e+03 2.356951637494788976e+00 3.454824347124869077e-01
4.221877692744061278e+03 2.381412592685105079e+00 2.727620289677887278e-01
4.226099570436806971e+03 2.426844628163066453e+00 2.276019455258853352e-01
4.230325670007245208e+03 2.451311966509160722e+00 1.884321171395258732e-01
4.234555995677254032e+03 2.465661726886011262e+00 1.574449975594288398e-01
4.238790551672932452e+03 2.500797914287764101e+00 1.368989806590265590e-01
4.243029342224606808e+03 2.544546005266668409e+00 1.219794540838780444e-01
4.247272371566832589e+03 2.562920161958550214e+00 1.093238769793070941e-01
4.251519643938400804e+03 2.589005227313232016e+00 9.853881928202719298e-02
4.255771163582340705e+03 2.589011878995048921e+00 9.086389050128823586e-02
4.260026934745924336e+03 2.607690912397830463e+00 8.481596743290763241e-02
4.264286961680671993e+03 2.628663325373895798e+00 8.060666340404167018e-02
4.268551248642354039e+03 2.642623875519626964e+00 7.775223193654066944e-02
4.272819799890998183e+03 2.624608541173605758e+00 7.568526186292580393e-02
4.277092619690890388e+03 2.622948025176592424e+00 7.352283644195624357e-02
4.281369712310583054e+03 2.618891805235514347e+00 7.181300324701210547e-02
4.285651082022895025e+03 2.590224832327350679e+00 7.258826318370442676e-02
4.289936733104918858e+03 2.535398714878973614e+00 7.517709759683210979e-02
4.294226669838025373e+03 2.454454988144984195e+00 7.526639305212051712e-02
4.298520896507864563e+03 2.417648905922356928e+00 7.587623881860867947e-02
4.302819417404373780e+03 2.431822313224786480e+00 7.622151648785102651e-02
4.307122236821779552e+03 2.465202608679851970e+00 7.645765476130948757e-02
4.311429359058603040e+03 2.541192446582491105e+00 7.933712478197960105e-02
4.315740788417662770e+03 2.576455575042436941e+00 7.711004010710732770e-02
4.320056529206081905e+03 2.643673013293724061e+00 7.645134875723977319e-02
4.324376585735290064e+03 2.651982234347421752e+00 7.555487782045908207e-02
4.328700962321026054e+03 2.700490808438505308e+00 7.515415721773158197e-02
4.333029663283348782e+03 2.722728383624133386e+00 7.355704478178984318e-02
4.337362692946633615e+03 2.790358350117220443e+00 7.361087495884867382e-02
4.341700055639581478e+03 2.902057431695407086e+00 8.076452690034664761e-02
4.346041755695222491e+03 2.987555905878053863e+00 7.793202291216107247e-02
4.350387797450919606e+03 3.035788064162125988e+00 7.789130551542700065e-02
4.354738185248371337e+03 3.060604571726136314e+00 7.871126111788430413e-02
4.359092923433621763e+03 3.059842261448619816e+00 7.960480617511009327e-02
4.363452016357056891e+03 3.065081570985469739e+00 7.896118466702262140e-02
4.367815468373414660e+03 3.072272432806525178e+00 7.930344565162933401e-02
4.372183283841789489e+03 3.051063762863769568e+00 7.758287797255707108e-02
4.376555467125633186e+03 3.002124726015774403e+00 7.745426655279245842e-02
4.380932022592760404e+03 2.973227555158304725e+00 7.728928618645959647e-02
4.385312954615354101e+03 2.916906135496461161e+00 7.766369492694386034e-02
4.389698267569970994e+03 2.876159872471469647e+00 7.762194006207413788e-02
4.394087965837542470e+03 2.761570672650440983e+00 7.460363711636193440e-02
4.398482053803381859e+03 2.707794644246847238e+00 7.346742264836486624e-02
4.402880535857186260e+03 2.676837911942565817e+00 7.355568504291647158e-02
4.407283416393044718e+03 2.674305824107772622e+00 7.538509807453340483e-02
4.411690699809440048e+03 2.635334375159162246e+00 7.598141150084872231e-02
