# starting wavelength: 5024.240
# ending wavelength: 9849.170
# wav flux eflux
5.028856077479077612e+03 1.509073434181913864e+00 1.672664485746833407e-01
5.033884933556558281e+03 1.492785097258504834e+00 1.255632230106504266e-01
5.038918818490116792e+03 1.482205908123411131e+00 9.434368245432972477e-02
5.043957737308608557e+03 1.483115408501447297e+00 7.233266118574237236e-02
5.049001695045918495e+03 1.487147523524439574e+00 5.650380441694310973e-02
5.054050696740966487e+03 1.493809099747328561e+00 4.796139944169144909e-02
5.059104747437709193e+03 1.493323315743741775e+00 4.490119513693872216e-02
5.064163852185148244e+03 1.485223428783586375e+00 3.837400292045366201e-02
5.069228016037335692e+03 1.473038603552588865e+00 3.367948299489133962e-02
5.074297244053374015e+03 1.453429440477268741e+00 3.033147284677760458e-02
5.079371541297429758e+03 1.436767547612554763e+00 2.696009600876005455e-02
5.084450912838728073e+03 1.421055841228674455e+00 2.428966619058451834e-02
5.089535363751569093e+03 1.409161354880293926e+00 2.255164282635154643e-02
5.094624899115322478e+03 1.392013123565141397e+00 2.110905710953120754e-02
5.099719524014439230e+03 1.377417694367026213e+00 2.008359266656713563e-02
5.104819243538455339e+03 1.358923527163245160e+00 1.982569740280902201e-02
5.109924062781995417e+03 1.349493577596056815e+00 1.914785398799078234e-02
5.115033986844779065e+03 1.339862000175439549e+00 1.879426487060599851e-02
5.120149020831625421e+03 1.329013431886211016e+00 1.871694805936000017e-02
5.125269169852458617e+03 1.324015803091637578e+00 1.924609726446074170e-02
5.130394439022313236e+03 1.312629264043184696e+00 1.903475611704547391e-02
5.135524833461337039e+03 1.310633034215916481e+00 1.912969359416314546e-02
5.140660358294800062e+03 1.309789154714493087e+00 1.913266696823116841e-02
5.145801018653096435e+03 1.307354904926521177e+00 1.930862476390485943e-02
5.150946819671751655e+03 1.315805094784900042e+00 1.904534567459660946e-02
5.156097766491425318e+03 1.324344743919528833e+00 1.939211240114641077e-02
5.161253864257918394e+03 1.335895922393182111e+00 1.937419130000618203e-02
5.166415118122177773e+03 1.338033827704264711e+00 1.950709816776999284e-02
5.171581533240301724e+03 1.352106883913096969e+00 1.960862578686793645e-02
5.176753114773543530e+03 1.359736315911900473e+00 1.977218015493335118e-02
5.181929867888318768e+03 1.360135693511151045e+00 2.000060824698221204e-02
5.187111797756208944e+03 1.370076774776314732e+00 2.047687479185049397e-02
5.192298909553966951e+03 1.377873196792320343e+00 2.055528517265365479e-02
5.197491208463522526e+03 1.375064366848711916e+00 1.956607413328937881e-02
5.202688699671987706e+03 1.378168149980559143e+00 2.015875002337828154e-02
5.207891388371661378e+03 1.387580236148004298e+00 2.039243763849648769e-02
5.213099279760034733e+03 1.397623736859168408e+00 2.007515507939756916e-02
5.218312379039796724e+03 1.406297115967067413e+00 2.013058235451495315e-02
5.223530691418837705e+03 1.410496532988925411e+00 2.073464414717337764e-02
5.228754222110258524e+03 1.406842415977845873e+00 2.144520736470785158e-02
5.233982976332370527e+03 1.397385105444444608e+00 2.087932267804503209e-02
5.239216959308704645e+03 1.412344161774259144e+00 1.984381764273145457e-02
5.244456176268015042e+03 1.400736052154206268e+00 1.821553922648612087e-02
5.249700632444284565e+03 1.397910555051040893e+00 1.871635619713708093e-02
5.254950333076731113e+03 1.404814679082151185e+00 1.862176325778319708e-02
5.260205283409809454e+03 1.403508645300317381e+00 1.920024087411303579e-02
5.265465488693221232e+03 1.398819100342817645e+00 1.943873748044880681e-02
5.270730954181915877e+03 1.395223741825838415e+00 1.969073723521900035e-02
5.276001685136099695e+03 1.402786789139659485e+00 1.863024823501934976e-02
5.281277686821237694e+03 1.411134399870473732e+00 1.919319937054831879e-02
5.286558964508059944e+03 1.429642709014423252e+00 2.045334272374781104e-02
5.291845523472569766e+03 1.440665452008316194e+00 1.996100500782352696e-02
5.297137368996044643e+03 1.442268783349767380e+00 2.043923570149219424e-02
5.302434506365042580e+03 1.437847458472457873e+00 2.054133365772269071e-02
5.307736940871409388e+03 1.426177628652555596e+00 2.152862010504040524e-02
5.313044677812282316e+03 1.424063338181404959e+00 2.127618715039637440e-02
5.318357722490096421e+03 1.416808580517106231e+00 2.012884020079983363e-02
5.323676080212588204e+03 1.396423257259314266e+00 2.039588095023886494e-02
5.328999756292802886e+03 1.386561360696761724e+00 2.188440654719979450e-02
5.334328756049097137e+03 1.374215242155051087e+00 2.152041537590243525e-02
5.339663084805148173e+03 1.356493248168231247e+00 2.072174093951070079e-02
5.345002747889954662e+03 1.350437670197824902e+00 2.113690953573826858e-02
5.350347750637846730e+03 1.350282261160135278e+00 2.172991559184572763e-02
5.355698098388485960e+03 1.352479536342655608e+00 2.209280836852921259e-02
5.361053796486876308e+03 1.352861677864747758e+00 2.227475872502110085e-02
5.366414850283365013e+03 1.361028444115538028e+00 2.278603850131428327e-02
5.371781265133649867e+03 1.363479177020387123e+00 2.348565097920744804e-02
5.377153046398785591e+03 1.358369673529877808e+00 2.401405264360723449e-02
5.382530199445186554e+03 1.359154389905101290e+00 2.446436890760464097e-02
5.387912729644633146e+03 1.385970092342271309e+00 2.442123271185691127e-02
5.393300642374279960e+03 1.380103817858864490e+00 2.464180725784960099e-02
5.398693943016655794e+03 1.371465043167023667e+00 2.514849403291967780e-02
5.404092636959673655e+03 1.347457432945089018e+00 2.370750226111132189e-02
5.409496729596635305e+03 1.324951174476603821e+00 2.340521096885724711e-02
5.414906226326233991e+03 1.301387007891751546e+00 2.418471024981594386e-02
5.420321132552561721e+03 1.295718214206082797e+00 2.365617883978455085e-02
5.425741453685116539e+03 1.276718908517807671e+00 2.361209647747433346e-02
5.431167195138803436e+03 1.251689137591167178e+00 2.591505861063532132e-02
5.436598362333943442e+03 1.232602999038643787e+00 2.516383583815001712e-02
5.442034960696279086e+03 1.223867206244887651e+00 2.606826195618688544e-02
5.447476995656978033e+03 1.217264802983647698e+00 2.642861591264508009e-02
5.452924472652636723e+03 1.219325305650585944e+00 2.611356384267428735e-02
5.458377397125291282e+03 1.242033527042657903e+00 2.587960125716349744e-02
5.463835774522417523e+03 1.260923926271450224e+00 2.621435475835541193e-02
5.469299610296941864e+03 1.276971023229302560e+00 2.619558593167171240e-02
5.474768909907241323e+03 1.293889996365424233e+00 2.632833726533622548e-02
5.480243678817149885e+03 1.316168754524662532e+00 2.684129857821347317e-02
5.485723922495968509e+03 1.343748573509985000e+00 2.534942708970923386e-02
5.491209646418466946e+03 1.361619738603640828e+00 2.572586888775662065e-02
5.496700856064887375e+03 1.354034404087892440e+00 2.514231191440184296e-02
5.502197556920953502e+03 1.337195053757004093e+00 2.313391554655001847e-02
5.507699754477876013e+03 1.338656743490694856e+00 2.233387683132034493e-02
5.513207454232356213e+03 1.316504786081967193e+00 2.007700507953819741e-02
5.518720661686590574e+03 1.300673547280292830e+00 2.031097375083447745e-02
5.524239382348278923e+03 1.289041822607678744e+00 2.183760554985265598e-02
5.529763621730628984e+03 1.281656959741226842e+00 2.166292795993319392e-02
5.535293385352360929e+03 1.288865264026263890e+00 2.077735582181751070e-02
5.540828678737715563e+03 1.273310526016125932e+00 2.053702627831330285e-02
5.546369507416455235e+03 1.254004155684800725e+00 2.006947168879287882e-02
5.551915876923872929e+03 1.242112352117955121e+00 2.013285608348359609e-02
5.557467792800798634e+03 1.231271865364972573e+00 1.997760676101000346e-02
5.563025260593602070e+03 1.229566304365256491e+00 1.972103989082046871e-02
5.568588285854197238e+03 1.223397550358032548e+00 1.932915330097194004e-02
5.574156874140053333e+03 1.200954589753133295e+00 1.936581329441913399e-02
5.579731031014194741e+03 1.198644855142567467e+00 1.899009204111654081e-02
5.585310762045211050e+03 1.176682991881263796e+00 2.079550541601005165e-02
5.590896072807257951e+03 1.167006091363184561e+00 2.052914101401217065e-02
5.596486968880067252e+03 1.168906231895115555e+00 2.167289305346340594e-02
5.602083455848949598e+03 1.154236227730580211e+00 2.149828365738735633e-02
5.607685539304799931e+03 1.153724415214687049e+00 2.221592209711175867e-02
5.613293224844106589e+03 1.157761873416443876e+00 2.203842384947640731e-02
5.618906518068952209e+03 1.166274105865248378e+00 2.189477826536086885e-02
5.624525424587023736e+03 1.172426809754661070e+00 2.244981975807504998e-02
5.630149950011612418e+03 1.170503803704745271e+00 2.040926171137969272e-02
5.635780099961625638e+03 1.192285193081847661e+00 2.083051355458625034e-02
5.641415880061589633e+03 1.217606015078449344e+00 2.164802242071240876e-02
5.647057295941652228e+03 1.220866507878439311e+00 2.134842627037090643e-02
5.652704353237596479e+03 1.214527153291594441e+00 2.131643471665678816e-02
5.658357057590835211e+03 1.213147608628837082e+00 2.194836556593389790e-02
5.664015414648428305e+03 1.215623946784209153e+00 2.301161328360667654e-02
5.669679430063079053e+03 1.216774672012919112e+00 2.297393003504201794e-02
5.675349109493143260e+03 1.216311253952465421e+00 2.274076887363416649e-02
5.681024458602638333e+03 1.207644436194066584e+00 2.265013101452887159e-02
5.686705483061243285e+03 1.206761217172777956e+00 2.288295366414398735e-02
5.692392188544306009e+03 1.200535263669201047e+00 2.351123432585200401e-02
5.698084580732852373e+03 1.190875444636259051e+00 2.275736236444067875e-02
5.703782665313587131e+03 1.177405533880751642e+00 2.318845723854567539e-02
5.709486447978903016e+03 1.174546191610417400e+00 2.258186408053349664e-02
5.715195934426883468e+03 1.175596009225176042e+00 2.288880127349464041e-02
5.720911130361312644e+03 1.171398221111588978e+00 2.267558191545704718e-02
5.726632041491675409e+03 1.188870425698348665e+00 2.557008132460415403e-02
5.732358673533169167e+03 1.199210822206526306e+00 2.546851810034285457e-02
5.738091032206703858e+03 1.212443262630110929e+00 2.680450830751693672e-02
5.743829123238912871e+03 1.221132976822927541e+00 2.618303330041417409e-02
5.749572952362153046e+03 1.235721993866322421e+00 2.328091631228521724e-02
5.755322525314517407e+03 1.232182875563216040e+00 2.323187849877297526e-02
5.761077847839834249e+03 1.209404550408702317e+00 2.460398220016750750e-02
5.766838925687675328e+03 1.179962891429228389e+00 2.458273317921380943e-02
5.772605764613364954e+03 1.155230948737733687e+00 2.493242556590453962e-02
5.778378370377980900e+03 1.116471819243888053e+00 2.271906661740682315e-02
5.784156748748360769e+03 1.080305152055953677e+00 2.198531840736244955e-02
5.789940905497111089e+03 1.058112527511684497e+00 2.152355328370225696e-02
5.795730846402610041e+03 1.056074611235246152e+00 2.225156019799063439e-02
5.801526577249013826e+03 1.070741428947047380e+00 2.061451057914012036e-02
5.807328103826264851e+03 1.095403630965201103e+00 2.351862325465519168e-02
5.813135431930093546e+03 1.119409598911407455e+00 2.236265498869141957e-02
5.818948567362025642e+03 1.145932671225322164e+00 2.246173496594823168e-02
5.824767515929389447e+03 1.157332429561880760e+00 2.210580478933613091e-02
5.830592283445320390e+03 1.154570922588523230e+00 2.442075668288612098e-02
5.836422875728768304e+03 1.170728629212313798e+00 2.369862419030248704e-02
5.842259298604498326e+03 1.196680055723336578e+00 2.314759569143079454e-02
5.848101557903105459e+03 1.215084884712080537e+00 2.555775677749977035e-02
5.853949659461010015e+03 1.220214923756102854e+00 2.576505789349149006e-02
5.859803609120473084e+03 1.236082324335237681e+00 2.602341615614475745e-02
5.865663412729595620e+03 1.242248563744188683e+00 2.499015672293777510e-02
5.871529076142326630e+03 1.236628730340339155e+00 2.532448044478064625e-02
5.877400605218471355e+03 1.239482534385291990e+00 2.552424491757275885e-02
5.883278005823691274e+03 1.248454071385147968e+00 2.555945336574381999e-02
5.889161283829516833e+03 1.257218291439797353e+00 2.552217004288583058e-02
5.895050445113348360e+03 1.251987727291097530e+00 2.388313919569254665e-02
5.900945495558464245e+03 1.266872166234530583e+00 2.560019167024995754e-02
5.906846441054024581e+03 1.268889088879670890e+00 2.593457980581450814e-02
5.912753287495080258e+03 1.273465178585552859e+00 2.638399096209306446e-02
5.918666040782577511e+03 1.279391341415863970e+00 2.606978495178572525e-02
5.924584706823361557e+03 1.270323265168657123e+00 2.559148248695384056e-02
5.930509291530187511e+03 1.271957857082335996e+00 2.469702244838749283e-02
5.936439800821719473e+03 1.266744351354349707e+00 2.489500763972588362e-02
5.942376240622543264e+03 1.251611908565461340e+00 2.303885851395790635e-02
5.948318616863167335e+03 1.250013613760444953e+00 2.269304541539050521e-02
5.954266935480032771e+03 1.268741333326582454e+00 2.449207685049549499e-02
5.960221202415515108e+03 1.273028677024920174e+00 2.497055159465448593e-02
5.966181423617932523e+03 1.250806494188823725e+00 2.347049820277002236e-02
5.972147605041552197e+03 1.254750439831601394e+00 2.214454403768209914e-02
5.978119752646595771e+03 1.249163398877001230e+00 2.230830469588184276e-02
5.984097872399243897e+03 1.239041731675645019e+00 2.366032451924037980e-02
5.990081970271645332e+03 1.229765121993110499e+00 2.325704623775521132e-02
5.996072052241918755e+03 1.225625656150205689e+00 2.293026999331012478e-02
6.002068124294162772e+03 1.204314334971873679e+00 2.154525721587996490e-02
6.008070192418459555e+03 1.189823601428042554e+00 2.200268150085784441e-02
6.014078262610879392e+03 1.188607879006358559e+00 2.166050330139111454e-02
6.020092340873492503e+03 1.179303678572205083e+00 2.174677696641714661e-02
6.026112433214368139e+03 1.183222638407218197e+00 1.883155293340089617e-02
6.032138545647584579e+03 1.175108275529410218e+00 2.016188047424651020e-02
6.038170684193233683e+03 1.164675569794324073e+00 1.913574068713858045e-02
6.044208854877429076e+03 1.157115684505357844e+00 1.903431060950670425e-02
6.050253063732308874e+03 1.145424291592432420e+00 1.761901042649040988e-02
6.056303316796042964e+03 1.137641556599448878e+00 1.785232658491088531e-02
6.062359620112841185e+03 1.145560780439610182e+00 2.024445989104896662e-02
6.068421979732956061e+03 1.160320208685826193e+00 1.670245225217305632e-02
6.074490401712690982e+03 1.154000077992412887e+00 1.951306869316881895e-02
6.080564892114405666e+03 1.159022494040864659e+00 1.968842491960946101e-02
6.086645457006521610e+03 1.160647459908986878e+00 2.151476711270072437e-02
6.092732102463530282e+03 1.159624516237973912e+00 2.266301994703221606e-02
6.098824834565995843e+03 1.162307725208565401e+00 2.329765657298292492e-02
6.104923659400564247e+03 1.149281573858799810e+00 2.321477137083888601e-02
6.111028583059966877e+03 1.154064875476392915e+00 2.322203296442824569e-02
6.117139611643028729e+03 1.166682370769704269e+00 2.474768843938683280e-02
6.123256751254673873e+03 1.170457473591772990e+00 2.501667953365540459e-02
6.129380008005929994e+03 1.184753732351505384e+00 2.592063299645870275e-02
6.135509388013938405e+03 1.182706655544683461e+00 2.562587540850905232e-02
6.141644897401954040e+03 1.172465284317553147e+00 2.651117565773608922e-02
6.147786542299358189e+03 1.142472586188982397e+00 2.772406368853319591e-02
6.153934328841659408e+03 1.127406680472783140e+00 2.783107520526491990e-02
6.160088263170503524e+03 1.115978239285638773e+00 2.804129557046090501e-02
6.166248351433675452e+03 1.093588821089471308e+00 2.780128488063587575e-02
6.172414599785111022e+03 1.088848114009134393e+00 2.763436812855798660e-02
6.178587014384898794e+03 1.082040679769412206e+00 2.767256147144277895e-02
6.184765601399285515e+03 1.067845600316682741e+00 2.784526726557635598e-02
6.190950367000687038e+03 1.064177740387306503e+00 2.686042440001226370e-02
6.197141317367689226e+03 1.084358844359430751e+00 2.602057773739238286e-02
6.203338458685059777e+03 1.099328037703803496e+00 2.602594403561740016e-02
6.209541797143746408e+03 1.121252151290908605e+00 2.492824237992965694e-02
6.215751338940892310e+03 1.148730958337457864e+00 2.406800744214119062e-02
6.221967090279835247e+03 1.171488357046074569e+00 2.385282733150773105e-02
6.228189057370116643e+03 1.184988199280172738e+00 2.359979832317418702e-02
6.234417246427488863e+03 1.206077282337059131e+00 2.381581404374746164e-02
6.240651663673918847e+03 1.209467490915261179e+00 2.350399338500566357e-02
6.246892315337594482e+03 1.209240035078048559e+00 2.336985180920086655e-02
6.253139207652934601e+03 1.214473694194850406e+00 2.179348611874547953e-02
6.259392346860589896e+03 1.208917857296290199e+00 2.086499990344738154e-02
6.265651739207452010e+03 1.204637586471869914e+00 2.004109737406869346e-02
6.271917390946661726e+03 1.170916071003945458e+00 2.090578992202355574e-02
6.278189308337610782e+03 1.172158910803276166e+00 2.064854833900618691e-02
6.284467497645950061e+03 1.181620021225401995e+00 2.231848221273967717e-02
6.290751965143597772e+03 1.186729044155766744e+00 2.169621536359768108e-02
6.297042717108744000e+03 1.193417730713268954e+00 2.316484630798772149e-02
6.303339759825854344e+03 1.184969151628422201e+00 2.228600050595683918e-02
6.309643099585682648e+03 1.187183271637217929e+00 2.139661419791357572e-02
6.315952742685270096e+03 1.171488385757397443e+00 2.292194106116690958e-02
6.322268695427957937e+03 1.152648010508786180e+00 2.350158447737882295e-02
6.328590964123387494e+03 1.136646701920295266e+00 2.230592274872145175e-02
6.334919555087512890e+03 1.130398421852780055e+00 2.219933161856944490e-02
6.341254474642602872e+03 1.137325537280401866e+00 2.240381609335783189e-02
6.347595729117247174e+03 1.135636105486635294e+00 2.252543022872152342e-02
6.353943324846366522e+03 1.134987724678944376e+00 2.284585501578384470e-02
6.360297268171215364e+03 1.145456160043720528e+00 2.172608663659031727e-02
6.366657565439388236e+03 1.144705664944040580e+00 2.218659168056164380e-02
6.373024223004829764e+03 1.156770854113196911e+00 2.237721167860933988e-02
6.379397247227837397e+03 1.176531942306410672e+00 2.079852313465954325e-02
6.385776644475066860e+03 1.194735507717267220e+00 2.085026862882045917e-02
6.392162421119543978e+03 1.186559286427431470e+00 1.606215496368468276e-02
6.398554583540665590e+03 1.193783769473490075e+00 1.673416104148922265e-02
6.404953138124208635e+03 1.213973133879327593e+00 1.677576969163827383e-02
6.411358091262334710e+03 1.246282964134418414e+00 1.752351214986199585e-02
6.417769449353599157e+03 1.291034178670716903e+00 1.908366125091214699e-02
6.424187218802954703e+03 1.328927216349361284e+00 1.799462682721084464e-02
6.430611406021760558e+03 1.369374853922257662e+00 1.926179071377449870e-02
6.437042017427784231e+03 1.397059758473086388e+00 2.080703682035969088e-02
6.443479059445214261e+03 1.428930399476440849e+00 2.106109792252593843e-02
6.449922538504661134e+03 1.479754229701915502e+00 2.141962974805752817e-02
6.456372461043168187e+03 1.542533833878985794e+00 2.239814609718071212e-02
6.462828833504213435e+03 1.599791074709069116e+00 2.242470330570349099e-02
6.469291662337719572e+03 1.649041460427974615e+00 2.282659082218409241e-02
6.475760954000059428e+03 1.705778081386699396e+00 2.402638238430792814e-02
6.482236714954061426e+03 1.756462544364893574e+00 2.344884281002725807e-02
6.488718951669017770e+03 1.795377745050795282e+00 2.403741009089636199e-02
6.495207670620688987e+03 1.839828011928733797e+00 2.571381369943026227e-02
6.501702878291312118e+03 1.846085090845051013e+00 2.572495809769627037e-02
6.508204581169605262e+03 1.801489798074908055e+00 5.935614159152181185e-02
6.514712785750777584e+03 1.755243394171737137e+00 8.129473309517279422e-02
6.521227498536530220e+03 1.917312112971288007e+00 2.964558228547920296e-02
6.527748726035069012e+03 1.942380390174991867e+00 3.213155013400144366e-02
6.534276474761106329e+03 1.982197375806537210e+00 3.400395912854849850e-02
6.540810751235869247e+03 2.104497141412474015e+00 6.394231863530629167e-02
6.547351561987107743e+03 2.521317474020956961e+00 9.644650235205408373e-02
6.553898913549096505e+03 3.038834152005196465e+00 1.172254348278532338e-01
6.560452812462647671e+03 3.326206414690504598e+00 1.087715259031988846e-01
6.567013265275112644e+03 3.253487660886468014e+00 1.150772334186151158e-01
6.573580278540390282e+03 2.868964941198416607e+00 1.207777495010078223e-01
6.580153858818932349e+03 2.305880657685655866e+00 9.033082796232475009e-02
6.586734012677753526e+03 1.899451286865486699e+00 9.022636442821112268e-02
6.593320746690433225e+03 1.739710664018328856e+00 6.897064616478380816e-02
6.599914067437126505e+03 1.638515677060528475e+00 5.490595958214169320e-02
6.606513981504565891e+03 1.431015213286458199e+00 2.163037805066475236e-02
6.613120495486072286e+03 1.374912836942899119e+00 2.792446450679256925e-02
6.619733615981560433e+03 1.401467608986191937e+00 2.631999299783130755e-02
6.626353349597544366e+03 1.428802307941708705e+00 2.628160804029503958e-02
6.632979702947143778e+03 1.394111089021122130e+00 3.512079890538385984e-02
6.639612682650093120e+03 1.338539653692540465e+00 2.499440512759900160e-02
6.646252295332745234e+03 1.338191054954487536e+00 2.395325451873413919e-02
6.652898547628080451e+03 1.331041595283444678e+00 2.403690131465145013e-02
6.659551446175711135e+03 1.312741592987415329e+00 2.317128108886611776e-02
6.666210997621888964e+03 1.277361239327742481e+00 2.240199128289174085e-02
6.672877208619513112e+03 1.244262395051850545e+00 2.339683646401789427e-02
6.679550085828134797e+03 1.221369379415658818e+00 2.488907851322141179e-02
6.686229635913964557e+03 1.219237285541800331e+00 2.529620627648413236e-02
6.692915865549881346e+03 1.231323912929861875e+00 2.426643861318304729e-02
6.699608781415433441e+03 1.240233453795498653e+00 2.167647520279578771e-02
6.706308390196851178e+03 1.222908108600426091e+00 2.096902685749591280e-02
6.713014698587049679e+03 1.204437940537119278e+00 2.146932475210631963e-02
6.719727713285638856e+03 1.195969483774879327e+00 2.146748866579594253e-02
6.726447440998927050e+03 1.189942197059379758e+00 2.074333211005370201e-02
6.733173888439928305e+03 1.178708246577529373e+00 2.061465402189864224e-02
6.739907062328370557e+03 1.153330118126423054e+00 1.956936285646351109e-02
6.746646969390701088e+03 1.136907260111348128e+00 1.974345837247646826e-02
6.753393616360093802e+03 1.127813428046998467e+00 2.010505866797284574e-02
6.760147009976456502e+03 1.104624080444678080e+00 1.973160600615487398e-02
6.766907156986434529e+03 1.093549591736962867e+00 1.959615508981019799e-02
6.773674064143423493e+03 1.075977531380112984e+00 1.871445877187539325e-02
6.780447738207569273e+03 1.067970825633546506e+00 1.878112882448150153e-02
6.787228185945778932e+03 1.081321903698570397e+00 1.799758935576710461e-02
6.794015414131727084e+03 1.085166360505204430e+00 1.735126461213809534e-02
6.800809429545861349e+03 1.067675160283377611e+00 1.783073000565013957e-02
6.807610238975408720e+03 1.049618472613514930e+00 1.709995467794617890e-02
6.814417849214386479e+03 1.049653751054447692e+00 1.622971265843424840e-02
6.821232267063603103e+03 1.039298704620298830e+00 1.840162793275886000e-02
6.828053499330669183e+03 1.039772156302958050e+00 1.804100187266524657e-02
6.834881552830001965e+03 1.022463610911989562e+00 1.784573673225845619e-02
6.841716434382834450e+03 1.014936426528565860e+00 1.618995972469281300e-02
6.848558150817219939e+03 1.031964349128464020e+00 1.775126741361909496e-02
6.855406708968039311e+03 1.037317054770579450e+00 1.857288988916211414e-02
6.862262115677009206e+03 1.046313173612426928e+00 1.785722058698147041e-02
6.869124377792688392e+03 1.049386739984950134e+00 1.785902809571469213e-02
6.875993502170483225e+03 1.034323747196640664e+00 1.834007367830685006e-02
6.882869495672656740e+03 1.016801233264405413e+00 1.872180944269561179e-02
6.889752365168331380e+03 1.004354879265192624e+00 1.880756284926855468e-02
6.896642117533501732e+03 9.865182133666808850e-01 1.875560343095509716e-02
6.903538759651037253e+03 9.653279286186898789e-01 1.846542330012249100e-02
6.910442298410691365e+03 9.443796358860010454e-01 1.795139112184683527e-02
6.917352740709104182e+03 9.447477872484536521e-01 1.746727152745393419e-02
6.924270093449815249e+03 9.481207044286104058e-01 1.833782618276543624e-02
6.931194363543267173e+03 9.603466405225021818e-01 1.891335856863611206e-02
6.938125557906812901e+03 9.747061703962369705e-01 1.853195039557637910e-02
6.945063683464722089e+03 9.898357338208191303e-01 1.799014318840293572e-02
6.952008747148189286e+03 1.004093745403880300e+00 1.807844459645772603e-02
6.958960755895339389e+03 1.014159446240092022e+00 1.741811340283190221e-02
6.965919716651237650e+03 1.020638306349998192e+00 1.764733153691547957e-02
6.972885636367890584e+03 1.014742720671281573e+00 1.841927546241224969e-02
6.979858522004260521e+03 1.018152507208934798e+00 1.944249485494707955e-02
6.986838380526267429e+03 1.017716495472081872e+00 2.098850077441568110e-02
6.993825218906796181e+03 1.030451847115038566e+00 2.025281496936754549e-02
7.000819044125705659e+03 1.048636846397519529e+00 1.985509523477718696e-02
7.007819863169833297e+03 1.065321917356498727e+00 2.084601665393831862e-02
7.014827683033005087e+03 1.082891230683190598e+00 2.140152380687589118e-02
7.021842510716041033e+03 1.086961937316516247e+00 2.133543294988459599e-02
7.028864353226758794e+03 1.094619774720721583e+00 1.985109518784686222e-02
7.035893217579988232e+03 1.089491278282371578e+00 2.036531507800995108e-02
7.042929110797570502e+03 1.082068995736317651e+00 2.080976359133033388e-02
7.049972039908370789e+03 1.062411581874697530e+00 2.053807319418652494e-02
7.057022011948281033e+03 1.046154565243244683e+00 2.071232082522423551e-02
7.064079033960231754e+03 1.037072696231449376e+00 2.050677570545234724e-02
7.071143112994193871e+03 1.018725223300198879e+00 2.057332565359044213e-02
7.078214256107190522e+03 9.976818179458416536e-01 2.082898627714655990e-02
7.085292470363300708e+03 9.762350104114863036e-01 2.035940415118873970e-02
7.092377762833665656e+03 9.523925814625473496e-01 2.142423410352794003e-02
7.099470140596501551e+03 9.511268820782692313e-01 2.018943015130709312e-02
7.106569610737100447e+03 9.501979467469554574e-01 1.956752511270699879e-02
7.113676180347840273e+03 9.583078849391803988e-01 1.949417890902652856e-02
7.120789856528190285e+03 9.551247322772563608e-01 1.796252151675322914e-02
7.127910646384721076e+03 9.576455140010585732e-01 1.752479418502900232e-02
7.135038557031108212e+03 9.643127058168649013e-01 1.788819817794903497e-02
7.142173595588141325e+03 9.689233063101673205e-01 1.759333830644734323e-02
7.149315769183732300e+03 9.706259456681950448e-01 1.772374244862623058e-02
7.156465084952918005e+03 9.785767043115863872e-01 1.781927734458046975e-02
7.163621550037873021e+03 9.946225091797930018e-01 1.772708455218668586e-02
7.170785171587913283e+03 1.012324154605168447e+00 1.888096296312835251e-02
7.177955956759504261e+03 1.040189902241578368e+00 2.174186963838384279e-02
7.185133912716265513e+03 1.036286862612659787e+00 2.165866515592041602e-02
7.192319046628984324e+03 1.023187520091477731e+00 2.253049732274447700e-02
7.199511365675615707e+03 1.000226631651696785e+00 2.377970789302072396e-02
7.206710877041294225e+03 9.991878043118715969e-01 2.359453550963013652e-02
7.213917587918337631e+03 9.785264150718891996e-01 2.369272933030073386e-02
7.221131505506257781e+03 9.757939285525787376e-01 2.420848461996374934e-02
7.228352637011767001e+03 9.451033117515852400e-01 2.387850399374613977e-02
7.235580989648780815e+03 9.212068074052440769e-01 2.304921810472819466e-02
7.242816570638432495e+03 9.129576555841806274e-01 2.273983682184105293e-02
7.250059387209073066e+03 9.191554791571251437e-01 2.328912115563923704e-02
7.257309446596284033e+03 9.444410770606228578e-01 2.469223549265314385e-02
7.264566756042882844e+03 9.666585085706124181e-01 2.404206795728449850e-02
7.271831322798928340e+03 9.803799555031129653e-01 2.287779853600128629e-02
7.279103154121729858e+03 9.874831674689182881e-01 2.242795061625414699e-02
7.286382257275853590e+03 9.835320766592098307e-01 2.226391257072828436e-02
7.293668639533132591e+03 9.749233681107835059e-01 2.076890520211436414e-02
7.300962308172667690e+03 9.648943549716353374e-01 2.035520045996635011e-02
7.308263270480842948e+03 9.624027842512726805e-01 2.046786712049669318e-02
7.315571533751325660e+03 9.704024792050532922e-01 1.988899254858330495e-02
7.322887105285079997e+03 9.836169105690018011e-01 2.019317070677508624e-02
7.330209992390367006e+03 9.977688703186106123e-01 2.051707069912594647e-02
7.337540202382760071e+03 9.873917511561935978e-01 1.966692832896534127e-02
7.344877742585144915e+03 9.877523834150147009e-01 1.990626312117932048e-02
7.352222620327733239e+03 9.867154284369888950e-01 1.973952126930520259e-02
7.359574842948062724e+03 9.945415057440289974e-01 1.861867632651209928e-02
