# starting wavelength: 3590.205
# ending wavelength: 7667.628
# wav flux eflux
3.590749395621047370e+03 4.974459594329855960e+00 2.978308727208313078e-01
3.594340145016669794e+03 4.998320428268118398e+00 2.197329533129593060e-01
3.597934485161687462e+03 5.025682497622550038e+00 1.661217452944846185e-01
3.601532419646850485e+03 5.051503050712876863e+00 1.246052194849163325e-01
3.605133952066498296e+03 5.059817319435118144e+00 9.731803940516742246e-02
3.608739086018566013e+03 5.081517438272196152e+00 9.177911547389996927e-02
3.612347825104585809e+03 5.082613476791061125e+00 9.242192685876617075e-02
3.615960172929691907e+03 5.056486479083759811e+00 7.445300814725946958e-02
3.619576133102622407e+03 5.023979918198741679e+00 6.244163261927787589e-02
3.623195709235726554e+03 5.002884650958733914e+00 5.964293707043642062e-02
3.626818904944963379e+03 4.987600288844758367e+00 5.484247137886772566e-02
3.630445723849909427e+03 4.963179064682440966e+00 4.876969454680127325e-02
3.634076169573760581e+03 4.940742966532528868e+00 4.409209524631037269e-02
3.637710245743335690e+03 4.919953332130952539e+00 4.091395365371432863e-02
3.641347955989080219e+03 4.906088719237481577e+00 3.844037860723867328e-02
3.644989303945070333e+03 4.902967907970750439e+00 3.802342283931610389e-02
3.648634293249016537e+03 4.909466059546930161e+00 4.106430600316612889e-02
3.652282927542266862e+03 4.905353130952873286e+00 4.125978054870294703e-02
3.655935210469810499e+03 4.883781154911744693e+00 4.112771109577217227e-02
3.659591145680281443e+03 4.865985492238808163e+00 4.031537327387635372e-02
3.663250736825963031e+03 4.855257592021207991e+00 3.766136432579154925e-02
3.666913987562790226e+03 4.823935754794179687e+00 3.833925099156336447e-02
3.670580901550354156e+03 4.789724469001987117e+00 3.839970303987631783e-02
3.674251482451905758e+03 4.764398152862990621e+00 3.948235396843045864e-02
3.677925733934358959e+03 4.740079692832895653e+00 3.859676677048106547e-02
3.681603659668294313e+03 4.699512521453036662e+00 4.071930649370886224e-02
3.685285263327964003e+03 4.655978970127150340e+00 4.183380267327844321e-02
3.688970548591293209e+03 4.631229878659612886e+00 4.159929056706668932e-02
3.692659519139885560e+03 4.592911216065805213e+00 4.139996077679427428e-02
3.696352178659026777e+03 4.555640645894531993e+00 4.147936610664221951e-02
3.700048530837686940e+03 4.527113395507367244e+00 3.994715992403533728e-02
3.703748579368525952e+03 4.493673744239941925e+00 3.875281031508481799e-02
3.707452327947895355e+03 4.458500569878856901e+00 3.789384010151274768e-02
3.711159780275844696e+03 4.434509277032441688e+00 3.955430335463293312e-02
3.714870940056121526e+03 4.400555423973544933e+00 4.087386161250793071e-02
3.718585810996179134e+03 4.378002990999902977e+00 4.025088306129245147e-02
3.722304396807176545e+03 4.351950741757386609e+00 3.870425252175360015e-02
3.726026701203984885e+03 4.326592741993022351e+00 3.731987354397561796e-02
3.729752727905190113e+03 4.302740626338838581e+00 3.408726893462929453e-02
3.733482480633096657e+03 4.268573799741566255e+00 3.343281364892976976e-02
3.737215963113731050e+03 4.226885876813283538e+00 3.354400741023285532e-02
3.740953179076846027e+03 4.173419758183791295e+00 3.261604498537036545e-02
3.744694132255923705e+03 4.134566623120795370e+00 3.232586177243492592e-02
3.748438826388181042e+03 4.098434237369169786e+00 3.147867811092706219e-02
3.752187265214570289e+03 4.047156686662505720e+00 3.126677503879511655e-02
3.755939452479786269e+03 3.986700050735501488e+00 2.580014873785041810e-02
3.759695391932267285e+03 3.936270045412638918e+00 2.213349086792387732e-02
3.763455087324201031e+03 3.902565803588447402e+00 2.292745193208661075e-02
3.767218542411526414e+03 3.880251227037484707e+00 2.451249219417336866e-02
3.770985760953939007e+03 3.862152175104119678e+00 2.239347756400752662e-02
3.774756746714894234e+03 3.841626460519807829e+00 2.202958085347461389e-02
3.778531503461610555e+03 3.820609054901523916e+00 2.213843136508051451e-02
3.782310034965073100e+03 3.814098442492532826e+00 2.197771935374601832e-02
3.786092345000039586e+03 3.806617682698024474e+00 2.182929978398840884e-02
3.789878437345040766e+03 3.811319743882436217e+00 2.084048925078974684e-02
3.793668315782387253e+03 3.817174739275027040e+00 2.011509844165489114e-02
3.797461984098170888e+03 3.812670257977677668e+00 1.900511288079664504e-02
3.801259446082270188e+03 3.805513820228440203e+00 1.900912295749202993e-02
3.805060705528353537e+03 3.804335070815222153e+00 1.929182726533245490e-02
3.808865766233883278e+03 3.787987469908669969e+00 1.767324709410748179e-02
3.812674632000118436e+03 3.788391450420350637e+00 1.915443934379190347e-02
3.816487306632119726e+03 3.788265793025312966e+00 1.885143109228105615e-02
3.820303793938753188e+03 3.778726540954636004e+00 1.862573951728652491e-02
3.824124097732693372e+03 3.765706205411102570e+00 1.871901923871908263e-02
3.827948221830427428e+03 3.747449158710047801e+00 1.944854374081642426e-02
3.831776170052258749e+03 3.733533483233360872e+00 2.006036672417955621e-02
3.835607946222312421e+03 3.711412399152413499e+00 2.217333567308739720e-02
3.839443554168536139e+03 3.699601979841428356e+00 2.213554943432080938e-02
3.843282997722705659e+03 3.691301682188034228e+00 2.183490631734433599e-02
3.847126280720429804e+03 3.677986286166526675e+00 2.032985204802080503e-02
3.850973407001151372e+03 3.677457956664166527e+00 2.200082210361593849e-02
3.854824380408153957e+03 3.671683330013557178e+00 2.284759006846063742e-02
3.858679204788563311e+03 3.673324290421592142e+00 2.613734296058627810e-02
3.862537883993353262e+03 3.665241292123203820e+00 2.686514603164845069e-02
3.866400421877347981e+03 3.651071405814060533e+00 2.642641425448974402e-02
3.870266822299226533e+03 3.641059188716564865e+00 2.336153036176009251e-02
3.874137089121526969e+03 3.618047742970364133e+00 2.815649715354470728e-02
3.878011226210649966e+03 3.595435734643240178e+00 3.000045263707006721e-02
3.881889237436861549e+03 3.572829034323318442e+00 3.025485669805062089e-02
3.885771126674299921e+03 3.558458488257041807e+00 2.922462547585438081e-02
3.889656897800975457e+03 3.554460800980204560e+00 2.950033738429692215e-02
3.893546554698777527e+03 3.551184957864356839e+00 2.955679405384411054e-02
3.897440101253477678e+03 3.555055310969300830e+00 3.125742940512321599e-02
3.901337541354732366e+03 3.560554019867599340e+00 3.445090207263110105e-02
3.905238878896088409e+03 3.558206721422020546e+00 3.456888526231591263e-02
3.909144117774985716e+03 3.561661065265163462e+00 3.153932799293791139e-02
3.913053261892762293e+03 3.562982008245467291e+00 2.777986193694161401e-02
3.916966315154656058e+03 3.551160423776938746e+00 2.783625968813970356e-02
3.920883281469812118e+03 3.526013348347452059e+00 3.330209552986829885e-02
3.924804164751283224e+03 3.502612150913864131e+00 3.425853550946642706e-02
3.928728968916035683e+03 3.477890917169175200e+00 3.031872986975359813e-02
3.932657697884953450e+03 3.459317816118764988e+00 2.898734243006022976e-02
3.936590355582839493e+03 3.433048792320606779e+00 2.840635427809226621e-02
3.940526945938423523e+03 3.407231233697153971e+00 2.484463881554763165e-02
3.944467472884363360e+03 3.399020758793958041e+00 2.472501833731911153e-02
3.948411940357249023e+03 3.411236302369635709e+00 2.313492544197218864e-02
3.952360352297607733e+03 3.436116865929620179e+00 2.215685109144974185e-02
3.956312712649906643e+03 3.460686389200992696e+00 2.016752491005501663e-02
3.960269025362557841e+03 3.478068434945123411e+00 1.895293717975593886e-02
3.964229294387921527e+03 3.472644100296947034e+00 1.937956429860731439e-02
3.968193523682310570e+03 3.464212307281985037e+00 2.038578630569208225e-02
3.972161717205994591e+03 3.433861687546917896e+00 2.578480864002415107e-02
3.976133878923201792e+03 3.403868882414804897e+00 2.580071310068852986e-02
3.980110012802126221e+03 3.378224339824711819e+00 2.423597801246550956e-02
3.984090122814929600e+03 3.352986348492354107e+00 2.425576159508874979e-02
3.988074212937745870e+03 3.329496360118727072e+00 2.363862462607537948e-02
3.992062287150684824e+03 3.303251977828619790e+00 2.354861713293757500e-02
3.996054349437837118e+03 3.277033623270383611e+00 2.475003615250171915e-02
4.000050403787276082e+03 3.245374778590031983e+00 2.459246136853429285e-02
4.004050454191064546e+03 3.207467245048835736e+00 2.417341663703417506e-02
4.008054504645257111e+03 3.169944969816907765e+00 2.387326662771219882e-02
4.012062559149903791e+03 3.140135266461028696e+00 2.191206636615194991e-02
4.016074621709055009e+03 3.111384382548495253e+00 2.029668892666436700e-02
4.020090696330765240e+03 3.063754581483836059e+00 2.047243213852298349e-02
4.024110787027097558e+03 3.010827228617742435e+00 1.886832394803790794e-02
4.028134897814125907e+03 2.967513018307057049e+00 1.599737871129812763e-02
4.032163032711941469e+03 2.943915619719671639e+00 1.670946822981369054e-02
4.036195195744654484e+03 2.934644421364778655e+00 1.826531883912577148e-02
4.040231390940400615e+03 2.933045959862102148e+00 1.562616524316540537e-02
4.044271622331342314e+03 2.929310919384325640e+00 1.556399151931479527e-02
4.048315893953675186e+03 2.909981710196769544e+00 1.513018361918228201e-02
4.052364209847629809e+03 2.893349115097233692e+00 1.524092217981972211e-02
4.056416574057479011e+03 2.882748642380415394e+00 1.352192025277154826e-02
4.060472990631537868e+03 2.864956106681545656e+00 1.365205955854674989e-02
4.064533463622170530e+03 2.844052525996553893e+00 1.292227370826342682e-02
4.068597997085794304e+03 2.822097449399278979e+00 1.523038015462561609e-02
4.072666595082881486e+03 2.807044988262908713e+00 1.403500046831598035e-02
4.076739261677965715e+03 2.806866923614689036e+00 1.669428993710167855e-02
4.080816000939644709e+03 2.804968532947259785e+00 1.681310347916194561e-02
4.084896816940585722e+03 2.800343832504001540e+00 1.640088351530851613e-02
4.088981713757527814e+03 2.811606666005902255e+00 1.800290790788837414e-02
4.093070695471286854e+03 2.822749285302212474e+00 1.458523152157966546e-02
4.097163766166759160e+03 2.814657625784965145e+00 1.487206965750424194e-02
4.101260929932927866e+03 2.798222312095786979e+00 1.558512799365885555e-02
4.105362190862862008e+03 2.774976733531549833e+00 1.591650423838979547e-02
4.109467553053726078e+03 2.750081617740582463e+00 1.584286336608307574e-02
4.113577020606780934e+03 2.726215411192784988e+00 1.541157624760869371e-02
4.117690597627389252e+03 2.699777917558912055e+00 1.484798612379154698e-02
4.121808288225018259e+03 2.679710799482145855e+00 1.518968937912994373e-02
4.125930096513244280e+03 2.653087502083170346e+00 1.471322141166190277e-02
4.130056026609759101e+03 2.629920793525724498e+00 1.464454484865523876e-02
4.134186082636369974e+03 2.621412686498333144e+00 1.592514419040949245e-02
4.138320268719007800e+03 2.610084858757816484e+00 1.461482973540879048e-02
4.142458588987728035e+03 2.590304875800270690e+00 1.561542438457341059e-02
4.146601047576717065e+03 2.568782790097350777e+00 1.446079501862876544e-02
4.150747648624294925e+03 2.553732254553116920e+00 1.457252090944678204e-02
4.154898396272920763e+03 2.538854494581672672e+00 1.411511852577946105e-02
4.159053294669195566e+03 2.516781419104507922e+00 1.304176837966533782e-02
4.163212347963865795e+03 2.499378892200665003e+00 1.171821882466223159e-02
4.167375560311830668e+03 2.495710679469623994e+00 1.128460371370570807e-02
4.171542935872143971e+03 2.493905481116274636e+00 1.099748234466044888e-02
4.175714478808017702e+03 2.483032988877336589e+00 1.127853572822339404e-02
4.179890193286827525e+03 2.477186205869413183e+00 1.145869917690786957e-02
4.184070083480115500e+03 2.475892065033961309e+00 1.144485750323449152e-02
4.188254153563597356e+03 2.475465534232311082e+00 1.142147501930805206e-02
4.192442407717161586e+03 2.479385949764565389e+00 1.177190770988355804e-02
4.196634850124880359e+03 2.481416726049417321e+00 1.234487450714010642e-02
4.200831484975006788e+03 2.475646127326193380e+00 1.233751428963780414e-02
4.205032316459983122e+03 2.461098422114497808e+00 1.340889696573638670e-02
