# starting wavelength: 3541.024
# ending wavelength: 8976.855
# wav flux eflux
3.544394784394995895e+03 4.244595743822510703e-01 1.640966907622088966e-01
3.547939179179392340e+03 3.887525241257882014e-01 1.211309869236733283e-01
3.551487118358572843e+03 3.760867944311103717e-01 9.126581165150311759e-02
3.555038605476932389e+03 3.841766852313730496e-01 7.476937859901548744e-02
3.558593644082410719e+03 3.958139215905748243e-01 6.150346682268074266e-02
3.562152237726494150e+03 4.049011227821920911e-01 5.028501550199042380e-02
3.565714389964221937e+03 4.100747018423905876e-01 4.070307499967863035e-02
3.569280104354187188e+03 4.174826160655180085e-01 3.355901995560894857e-02
3.572849384458542772e+03 4.271980826459309544e-01 2.887749986993273787e-02
3.576422233843002232e+03 4.406699884648513921e-01 2.563724984090274411e-02
3.579998656076846601e+03 4.509005011228424120e-01 2.253592400516373981e-02
3.583578654732924406e+03 4.516093211518207307e-01 2.210425557578058614e-02
3.587162233387658489e+03 4.586201801379056753e-01 2.004672363226369172e-02
3.590749395621047370e+03 4.647786439838289541e-01 1.856183272960770445e-02
3.594340145016669794e+03 4.675360827112357565e-01 1.742667931476315352e-02
3.597934485161687462e+03 4.659832403085044095e-01 1.676221660583751549e-02
3.601532419646850485e+03 4.575602084276593207e-01 1.755746980811668384e-02
3.605133952066498296e+03 4.561060310567402465e-01 1.700516225381435223e-02
3.608739086018566013e+03 4.549986173911950704e-01 1.624111684818027590e-02
3.612347825104585809e+03 4.481662153956827987e-01 1.597532574419879836e-02
3.615960172929691907e+03 4.436686299367176844e-01 1.592933356384933913e-02
3.619576133102622407e+03 4.369423406769902818e-01 1.524165464379265492e-02
3.623195709235726554e+03 4.377844246959520791e-01 1.486535186313720988e-02
3.626818904944963379e+03 4.454197134448704687e-01 1.535202124330667037e-02
3.630445723849909427e+03 4.421544435535125217e-01 1.522059744569383144e-02
3.634076169573760581e+03 4.397541345269778135e-01 1.542157946329961518e-02
3.637710245743335690e+03 4.393102102080611582e-01 1.524131970235326899e-02
3.641347955989080219e+03 4.505714128839141686e-01 1.634168317815924351e-02
3.644989303945070333e+03 4.605833596762602400e-01 1.601173550489041336e-02
3.648634293249016537e+03 4.662378891834508821e-01 1.619691407537575401e-02
3.652282927542266862e+03 4.640182874133593205e-01 1.598283859245862651e-02
3.655935210469810499e+03 4.600175497176148820e-01 1.589779241753229433e-02
3.659591145680281443e+03 4.590646972624278788e-01 1.569289071824069709e-02
3.663250736825963031e+03 4.603465024112723403e-01 1.531520093290652564e-02
3.666913987562790226e+03 4.551638594990147224e-01 1.512194554769314379e-02
3.670580901550354156e+03 4.470013846046206329e-01 1.682308276236329017e-02
3.674251482451905758e+03 4.423266098564098137e-01 1.776943517279322426e-02
3.677925733934358959e+03 4.394680617648554222e-01 1.926366337042017401e-02
3.681603659668294313e+03 4.441715262846123169e-01 1.858661525928337332e-02
3.685285263327964003e+03 4.534697712974531392e-01 1.748617066717806159e-02
3.688970548591293209e+03 4.731776985077651432e-01 1.760052522651240486e-02
3.692659519139885560e+03 4.879826261654560682e-01 1.803036762441502169e-02
3.696352178659026777e+03 5.042632821530954601e-01 1.800042730046584952e-02
