# starting wavelength: 3188.064
# ending wavelength: 8284.001
# wav flux eflux
3.188084883062429071e+03 4.256690234451381283e-01 3.035656910001245934e-01
3.191272967945492383e+03 4.674959753453985511e-01 2.169340154910515406e-01
3.194464240913438971e+03 4.908978836667839407e-01 1.608016798287660865e-01
3.197658705154353811e+03 4.923147073429389176e-01 1.210298526140227288e-01
3.200856363859509202e+03 4.757355995604128918e-01 9.636341321358482537e-02
3.204057220223369768e+03 4.598253305344269792e-01 7.551467594500896330e-02
3.207261277443593826e+03 4.434976264604457707e-01 6.097520306772939019e-02
3.210468538721038840e+03 4.314318772197106022e-01 5.053814987738438486e-02
3.213679007259760965e+03 4.240029061108432362e-01 4.226075883523990745e-02
3.216892686267021418e+03 4.170031900420002047e-01 3.548815155753974604e-02
3.220109578953289656e+03 4.180515617316765686e-01 3.179830844116152827e-02
3.223329688532243836e+03 4.216969177137616098e-01 2.837885651557324473e-02
3.226553018220777176e+03 4.243944820756267999e-01 2.549901226654302522e-02
3.229779571238999324e+03 4.209121365689911243e-01 2.364111974833171814e-02
3.233009350810239084e+03 4.149364740731938395e-01 2.252976016857949002e-02
3.236242360161050783e+03 4.200660969006831946e-01 2.139146830573353600e-02
3.239478602521212906e+03 4.256341703067525462e-01 2.024656845024977100e-02
3.242718081123734919e+03 4.287219826485862417e-01 1.957218174905599878e-02
3.245960799204859995e+03 4.400494829662678353e-01 1.915251456313353876e-02
3.249206760004065927e+03 4.475749610600886497e-01 1.826713353402119322e-02
3.252455966764071036e+03 4.546056030661087544e-01 1.763418971336241578e-02
3.255708422730835991e+03 4.558830178983083181e-01 1.810828546911774639e-02
3.258964131153567905e+03 4.595603095719937303e-01 1.784955874017288974e-02
3.262223095284722604e+03 4.593210426580001116e-01 1.652579136715570662e-02
3.265485318380008266e+03 4.731790607233204993e-01 1.753981836977773490e-02
3.268750803698389518e+03 4.781223211405207785e-01 1.770188568074402766e-02
3.272019554502088795e+03 4.761754328590953045e-01 1.735150255365674327e-02
3.275291574056592253e+03 4.828942304053649992e-01 1.782589122517835856e-02
3.278566865630649772e+03 4.815938276508578419e-01 1.767478842925012533e-02
3.281845432496281319e+03 4.824559964797960898e-01 1.639988669332356069e-02
3.285127277928778767e+03 4.803246229923705535e-01 1.623627235890322262e-02
3.288412405206708627e+03 4.781562252877366581e-01 1.612919257279317453e-02
3.291700817611916591e+03 4.701180818677207496e-01 1.552021958043988195e-02
3.294992518429529355e+03 4.684611485551549714e-01 1.493195240068209001e-02
3.298287510947960072e+03 4.594600908286472496e-01 1.457874698531347671e-02
3.301585798458909267e+03 4.532854116543982848e-01 1.465530451825951958e-02
3.304887384257369376e+03 4.434914385219289601e-01 1.472340230030526505e-02
3.308192271641627485e+03 4.385595347948518796e-01 1.478678173245879558e-02
3.311500463913270323e+03 4.208024744434105124e-01 1.411731540928376667e-02
