# starting wavelength: 6191.129
# ending wavelength: 6885.816
# wav flux eflux
6.197141317367689226e+03 9.853795985200223262e-01 3.547412135014735290e-02
6.203338458685059777e+03 1.003084043919479473e+00 2.651955285270754525e-02
6.209541797143746408e+03 1.021764763252610786e+00 1.984757242175978764e-02
6.215751338940892310e+03 1.038755539645456416e+00 1.512760651504073579e-02
6.221967090279835247e+03 1.050839602664142669e+00 1.153818624735608762e-02
6.228189057370116643e+03 1.058899084836053550e+00 9.111813080424876685e-03
6.234417246427488863e+03 1.062520747101002083e+00 7.369107968696242753e-03
6.240651663673918847e+03 1.060347175992889968e+00 6.344731535819876471e-03
6.246892315337594482e+03 1.053744489082127922e+00 5.809082791661997376e-03
6.253139207652934601e+03 1.044250540649692693e+00 5.584701966140050849e-03
6.259392346860589896e+03 1.027599796938647003e+00 5.656162254383655802e-03
6.265651739207452010e+03 1.000642148724978364e+00 5.616539669819430210e-03
6.271917390946661726e+03 9.844427009431844233e-01 5.479849515179865960e-03
6.278189308337610782e+03 9.736103951519983202e-01 5.226273351335589124e-03
6.284467497645950061e+03 9.700635788622207212e-01 5.120996395648175735e-03
6.290751965143597772e+03 9.797502155784376665e-01 5.067303178602414540e-03
6.297042717108744000e+03 9.924278947316511612e-01 4.453538268166665030e-03
6.303339759825854344e+03 1.002878716161325956e+00 4.110711769128421941e-03
6.309643099585682648e+03 1.004318504795503664e+00 4.043803232479288752e-03
6.315952742685270096e+03 9.954168423298851431e-01 4.051385357807009945e-03
6.322268695427957937e+03 9.898636662238713413e-01 3.848586838345540752e-03
6.328590964123387494e+03 9.860019502130467073e-01 3.551251070049932495e-03
6.334919555087512890e+03 9.836904034253900475e-01 3.128663101848133069e-03
6.341254474642602872e+03 9.853228350165658123e-01 3.012363286547897496e-03
6.347595729117247174e+03 9.896495131898306319e-01 2.995308997607924999e-03
6.353943324846366522e+03 9.978928492049506938e-01 3.037668024614179063e-03
6.360297268171215364e+03 1.007441681130710087e+00 2.985650835297052295e-03
6.366657565439388236e+03 1.013025148469726799e+00 3.012419885529243370e-03
6.373024223004829764e+03 1.022259312908961881e+00 3.444053784465921347e-03
6.379397247227837397e+03 1.026681328269892113e+00 3.807438786271611416e-03
6.385776644475066860e+03 1.031418247369859653e+00 3.948733147179614260e-03
6.392162421119543978e+03 1.037259897254086294e+00 4.231968733730064568e-03
6.398554583540665590e+03 1.037917274578037397e+00 4.524215304294181700e-03
6.404953138124208635e+03 1.031075769313963608e+00 4.616119078301398476e-03
6.411358091262334710e+03 1.033270877893127437e+00 4.815043124952352038e-03
6.417769449353599157e+03 1.039939225953284474e+00 4.942990854832577524e-03
6.424187218802954703e+03 1.057723436012008911e+00 4.792319340434927390e-03
6.430611406021760558e+03 1.076474098606197138e+00 4.965606712007654237e-03
6.437042017427784231e+03 1.063310259422505011e+00 5.079129638899250281e-03
6.443479059445214261e+03 1.055293866270387237e+00 5.019714301399718324e-03
6.449922538504661134e+03 1.044889252577379191e+00 4.919169583193516194e-03
6.456372461043168187e+03 1.039212389785364010e+00 4.945578062638953873e-03
6.462828833504213435e+03 1.025750413614214596e+00 4.812875663012263459e-03
6.469291662337719572e+03 1.016682882421235945e+00 4.681268835185252268e-03
6.475760954000059428e+03 1.015062990548772248e+00 4.619937412981947426e-03
6.482236714954061426e+03 1.019464551734267088e+00 4.668024085099750815e-03
6.488718951669017770e+03 1.029043959228570726e+00 4.892492383798104430e-03
6.495207670620688987e+03 1.048954232670379128e+00 4.850450186665119200e-03
6.501702878291312118e+03 1.052662349399296371e+00 7.220774030763121333e-03
6.508204581169605262e+03 1.052985114320915683e+00 9.835617392729614078e-03
6.514712785750777584e+03 1.074872232180698273e+00 1.576681997660529452e-02
6.521227498536530220e+03 1.117889900778826773e+00 9.304561739045055443e-03
6.527748726035069012e+03 1.157136993514582102e+00 7.341152405101787279e-03
6.534276474761106329e+03 1.191743999417856248e+00 1.319548884420752161e-02
6.540810751235869247e+03 1.191875930827403618e+00 2.775055670717552561e-02
6.547351561987107743e+03 1.423287513980413532e+00 3.141595094252405684e-02
6.553898913549096505e+03 1.940868467165000943e+00 3.958303380161494467e-02
6.560452812462647671e+03 2.500518433770546167e+00 4.628290468668888602e-02
6.567013265275112644e+03 2.803327678412429691e+00 4.273567872350308300e-02
6.573580278540390282e+03 2.641632890571272263e+00 4.625174107480903296e-02
6.580153858818932349e+03 2.113327230556194092e+00 4.565038630458144453e-02
6.586734012677753526e+03 1.529690281045678724e+00 3.455817145139090246e-02
6.593320746690433225e+03 1.225995665082280306e+00 3.281913479269605444e-02
6.599914067437126505e+03 1.191028086164836353e+00 6.706325386521739054e-03
6.606513981504565891e+03 1.115665634820123708e+00 4.535490234549783770e-03
6.613120495486072286e+03 1.069098078132549867e+00 4.347991411616861090e-03
6.619733615981560433e+03 1.034630654088233070e+00 4.234063800767800742e-03
6.626353349597544366e+03 1.004204725816754795e+00 4.164354149111339047e-03
6.632979702947143778e+03 9.447556202555447147e-01 5.758722486477963788e-03
6.639612682650093120e+03 9.556017374945523501e-01 3.561842316769659508e-03
6.646252295332745234e+03 9.556661005042644819e-01 2.697901630835401222e-03
6.652898547628080451e+03 9.565456784833999970e-01 2.159072107596421517e-03
6.659551446175711135e+03 9.593105505230956620e-01 1.868972089885544965e-03
6.666210997621888964e+03 9.624067526980156773e-01 1.723923994221339623e-03
6.672877208619513112e+03 9.662848402531704073e-01 1.739450296681235159e-03
6.679550085828134797e+03 9.688686246587877582e-01 1.879367382830103182e-03
6.686229635913964557e+03 9.707367215402050720e-01 2.109753133944837229e-03
6.692915865549881346e+03 9.713632246418535399e-01 2.423925405515538201e-03
6.699608781415433441e+03 9.707163528303908162e-01 2.789013097816090206e-03
6.706308390196851178e+03 9.683183730268030143e-01 3.153233196550261821e-03
6.713014698587049679e+03 9.650901078427680524e-01 3.506731560838108070e-03
6.719727713285638856e+03 9.587223220136877888e-01 3.784242376436724401e-03
6.726447440998927050e+03 9.558226046034811185e-01 4.032776879209588883e-03
6.733173888439928305e+03 9.478027640722411773e-01 4.080623430992383512e-03
6.739907062328370557e+03 9.460411992717439045e-01 4.002193150142521923e-03
6.746646969390701088e+03 9.446199743417978967e-01 3.675555148601016529e-03
6.753393616360093802e+03 9.459923145443598358e-01 3.049022825361923528e-03
6.760147009976456502e+03 9.422867762718847295e-01 2.688631412318036405e-03
6.766907156986434529e+03 9.409533821559512567e-01 2.487902943204202844e-03
6.773674064143423493e+03 9.404020223248156229e-01 2.411791188720890846e-03
6.780447738207569273e+03 9.368770981349292537e-01 2.241619638613995703e-03
6.787228185945778932e+03 9.354172176962145535e-01 2.022021536260366990e-03
6.794015414131727084e+03 9.355023783230729251e-01 1.824400659136931127e-03
6.800809429545861349e+03 9.362939390793898475e-01 1.679108336599121308e-03
6.807610238975408720e+03 9.363983042171930560e-01 1.579743002044574568e-03
6.814417849214386479e+03 9.370086287626397947e-01 1.550966317153605221e-03
6.821232267063603103e+03 9.382669790349492667e-01 1.731879877266458449e-03
6.828053499330669183e+03 9.407822992793670736e-01 2.012041144051641278e-03
6.834881552830001965e+03 9.442408882921478064e-01 2.632888409276112462e-03
6.841716434382834450e+03 9.487981595539906055e-01 3.681043334765666305e-03
6.848558150817219939e+03 9.546291316065100840e-01 5.249252162912347065e-03
6.855406708968039311e+03 9.619286188966341689e-01 7.486588267353176673e-03
6.862262115677009206e+03 9.709114238516719508e-01 1.063051022764110835e-02
6.869124377792688392e+03 9.818125301916543757e-01 1.501411532330578988e-02
6.875993502170483225e+03 9.948872974855865747e-01 2.105823878707316701e-02
6.882869495672656740e+03 1.010911393962673932e+00 2.925433700911487037e-02
