# starting wavelength: 3607.900
# ending wavelength: 9360.180
# wav flux eflux
3.608739086018566013e+03 1.057994778843393657e+00 3.484304232640386134e-01
3.612347825104585809e+03 1.099725192514006578e+00 2.712198955373931186e-01
3.615960172929691907e+03 1.107798707461818744e+00 2.011466146349812356e-01
3.619576133102622407e+03 1.095619093017014212e+00 1.554251503629765774e-01
3.623195709235726554e+03 1.095495218665200055e+00 1.198774175654102186e-01
3.626818904944963379e+03 1.094690860932671983e+00 9.416499770893256571e-02
3.630445723849909427e+03 1.095428268533595650e+00 7.600329913886763600e-02
3.634076169573760581e+03 1.091593520852748522e+00 6.255324802502207349e-02
3.637710245743335690e+03 1.087432357756578538e+00 5.245315887434044005e-02
3.641347955989080219e+03 1.085942613928665867e+00 4.490479778904932912e-02
3.644989303945070333e+03 1.084584675824030731e+00 3.916743768793918418e-02
3.648634293249016537e+03 1.084745152706092730e+00 3.510449885620055971e-02
3.652282927542266862e+03 1.073786394672766376e+00 3.227318269198182349e-02
3.655935210469810499e+03 1.069438984544508697e+00 2.972920577994789954e-02
3.659591145680281443e+03 1.070478087066885298e+00 2.828144799562937531e-02
3.663250736825963031e+03 1.058970277125827586e+00 2.696414780406404185e-02
3.666913987562790226e+03 1.053344102035302710e+00 2.574867202497777008e-02
3.670580901550354156e+03 1.043620218997480364e+00 2.526788696197335496e-02
3.674251482451905758e+03 1.041477154196527088e+00 2.446573924637105227e-02
3.677925733934358959e+03 1.039270565380913336e+00 2.411969001205366975e-02
3.681603659668294313e+03 1.033192065667277060e+00 2.409160793952673865e-02
3.685285263327964003e+03 1.031573431996710033e+00 2.356767680700202691e-02
3.688970548591293209e+03 1.024747797165009633e+00 2.417894406185206596e-02
3.692659519139885560e+03 1.008261351266609429e+00 2.349375347375034714e-02
3.696352178659026777e+03 1.005985548368842242e+00 2.336169066545576434e-02
3.700048530837686940e+03 1.003709611619372000e+00 2.331987963357308111e-02
3.703748579368525952e+03 1.002818846118918694e+00 2.366048519925952748e-02
3.707452327947895355e+03 9.922270777606794212e-01 2.212110208431249114e-02
3.711159780275844696e+03 9.892296371120670173e-01 2.164444136654420162e-02
3.714870940056121526e+03 9.937783345486834730e-01 2.088627071353347034e-02
3.718585810996179134e+03 1.003323648887184172e+00 1.978575073974083581e-02
3.722304396807176545e+03 1.008973134967536822e+00 1.962299724029560599e-02
3.726026701203984885e+03 1.007041364891329671e+00 1.853046032889080208e-02
3.729752727905190113e+03 1.012398218694172014e+00 1.712486835424974554e-02
3.733482480633096657e+03 1.015318746895427893e+00 1.687765272701054545e-02
3.737215963113731050e+03 1.008832518025722713e+00 1.579235576885246184e-02
3.740953179076846027e+03 1.008940605649544020e+00 1.580514066201900089e-02
3.744694132255923705e+03 1.011143451365625445e+00 1.569800505468470220e-02
3.748438826388181042e+03 1.022107425241556955e+00 1.486398993608587654e-02
3.752187265214570289e+03 1.022664495192680212e+00 1.455632240452536981e-02
3.755939452479786269e+03 1.027221013125095173e+00 1.365438083882787416e-02
3.759695391932267285e+03 1.024503043818729253e+00 1.376423876673107428e-02
3.763455087324201031e+03 1.020135882717259301e+00 1.370704451305159582e-02
3.767218542411526414e+03 1.018771734245144334e+00 1.358491212225393895e-02
3.770985760953939007e+03 1.017605223644424184e+00 1.342209205157337756e-02
3.774756746714894234e+03 1.021109174776648976e+00 1.303872041299550949e-02
3.778531503461610555e+03 1.023538355437907388e+00 1.328116048832676983e-02
3.782310034965073100e+03 1.017747770846370914e+00 1.298799738091367152e-02
3.786092345000039586e+03 1.010944417420484243e+00 1.307590957356290738e-02
3.789878437345040766e+03 1.008260220739299440e+00 1.295653457800348407e-02
3.793668315782387253e+03 9.992165054118447021e-01 1.224673609630945459e-02
3.797461984098170888e+03 9.960785993912886216e-01 1.234896912980383045e-02
3.801259446082270188e+03 9.905713651762511063e-01 1.245228178245401905e-02
3.805060705528353537e+03 9.972046527751422529e-01 1.208807676644779901e-02
3.808865766233883278e+03 9.988045938141156821e-01 1.201811368011002253e-02
3.812674632000118436e+03 1.001040645860159950e+00 1.204925840824170105e-02
3.816487306632119726e+03 9.969951142689102985e-01 1.125945971343585497e-02
3.820303793938753188e+03 9.967342449353886469e-01 1.120392144872573749e-02
3.824124097732693372e+03 1.000855401637047892e+00 1.117360316724887170e-02
3.827948221830427428e+03 1.003986076767691360e+00 1.123560026821689324e-02
3.831776170052258749e+03 1.005865651476350431e+00 1.121283937843699056e-02
3.835607946222312421e+03 1.012153028559632073e+00 1.176170002216759061e-02
3.839443554168536139e+03 1.013481336512075393e+00 1.162803528299446304e-02
3.843282997722705659e+03 1.016299835599287382e+00 1.150532795808345554e-02
3.847126280720429804e+03 1.012723075329847955e+00 1.171221440567833325e-02
3.850973407001151372e+03 1.010020472336127462e+00 1.190024710786758907e-02
3.854824380408153957e+03 1.007802479521684225e+00 1.138644712871250339e-02
3.858679204788563311e+03 1.002115832058957157e+00 1.197615996105818453e-02
3.862537883993353262e+03 9.944203512356961649e-01 1.182219325368258703e-02
3.866400421877347981e+03 9.871832564627550655e-01 1.179412951930755571e-02
3.870266822299226533e+03 9.801808669432005017e-01 1.211174842118889830e-02
3.874137089121526969e+03 9.733556880093372499e-01 1.232273115850439707e-02
3.878011226210649966e+03 9.685707345269979340e-01 1.195628701950119006e-02
3.881889237436861549e+03 9.728523888939158981e-01 1.308751830828459688e-02
3.885771126674299921e+03 9.758876815358534795e-01 1.384623192643421284e-02
3.889656897800975457e+03 9.815451526479449518e-01 1.430425719840042534e-02
3.893546554698777527e+03 9.858585420794936383e-01 1.428786606074991875e-02
3.897440101253477678e+03 9.895585947984562036e-01 1.307637425248890130e-02
3.901337541354732366e+03 9.863871803130247473e-01 1.335578646514181192e-02
3.905238878896088409e+03 9.851433577433618138e-01 1.346856330922172225e-02
3.909144117774985716e+03 9.841268854559803714e-01 1.347060148694101053e-02
3.913053261892762293e+03 9.763814326166745383e-01 1.492416908811025275e-02
3.916966315154656058e+03 9.749644259733603047e-01 1.472759321183502758e-02
3.920883281469812118e+03 9.833314395360100990e-01 1.477199992947019272e-02
3.924804164751283224e+03 9.844695502124389819e-01 1.444032591308921053e-02
3.928728968916035683e+03 9.898666309132136965e-01 1.460019038746999433e-02
3.932657697884953450e+03 9.928884553929132606e-01 1.450862682206277045e-02
3.936590355582839493e+03 9.907832609902229581e-01 1.465242729717025107e-02
3.940526945938423523e+03 9.919284790788596151e-01 1.455429553195024608e-02
3.944467472884363360e+03 9.908144891704011581e-01 1.457733560552798742e-02
3.948411940357249023e+03 9.961106363033896960e-01 1.404792513834701891e-02
3.952360352297607733e+03 1.000427788055579192e+00 1.391048227812115984e-02
3.956312712649906643e+03 1.005767305003986367e+00 1.377806345083484527e-02
3.960269025362557841e+03 1.009595987776251258e+00 1.374561682863690952e-02
3.964229294387921527e+03 1.016763257990818348e+00 1.355874908331467649e-02
3.968193523682310570e+03 1.020318862720773545e+00 1.317239698538693292e-02
3.972161717205994591e+03 1.024199801422396749e+00 1.310800266593170789e-02
3.976133878923201792e+03 1.021076007430174792e+00 1.291175852588243717e-02
3.980110012802126221e+03 1.013640377274504178e+00 1.186406998003046269e-02
3.984090122814929600e+03 1.011154776247102260e+00 1.094003342693790175e-02
3.988074212937745870e+03 1.018126628700047220e+00 1.117950951764630670e-02
3.992062287150684824e+03 1.032556025677349609e+00 1.119835885733150120e-02
3.996054349437837118e+03 1.041876192120740674e+00 1.048151423201592464e-02
4.000050403787276082e+03 1.046777222321455314e+00 9.938929635699729828e-03
4.004050454191064546e+03 1.045708831850935994e+00 1.076059275927574235e-02
4.008054504645257111e+03 1.050817146834795546e+00 1.070439270886564508e-02
4.012062559149903791e+03 1.046709425979936103e+00 1.167157649313158539e-02
4.016074621709055009e+03 1.037312910205841598e+00 1.051501544169605555e-02
