# starting wavelength: 3414.441
# ending wavelength: 8470.343
# wav flux eflux
3.415711815966390986e+03 1.372646476844918695e+00 6.429918813638636488e-01
3.419127527782358356e+03 1.314957100954696312e+00 4.650263213117130645e-01
3.422546655310141887e+03 1.263683477121708254e+00 3.526063982684238263e-01
3.425969201965453522e+03 1.217137503112418528e+00 2.648084786111937206e-01
3.429395171167419903e+03 1.177897150725837783e+00 2.060888437593484113e-01
3.432824566338588284e+03 1.166110673563993450e+00 1.632728008626262717e-01
3.436257390904928343e+03 1.155460415053896073e+00 1.316673152970155025e-01
3.439693648295834464e+03 1.146482303703612482e+00 1.096563111053042994e-01
3.443133341944131189e+03 1.137317432496808056e+00 9.051963758962845719e-02
3.446576475286076402e+03 1.124518211851152749e+00 7.862952949784467183e-02
3.450023051761363604e+03 1.115949795477138906e+00 6.882118792492009085e-02
3.453473074813126004e+03 1.116339168594017384e+00 6.160438541959914471e-02
3.456926547887940615e+03 1.120425013966448002e+00 5.609380816353814331e-02
3.460383474435829612e+03 1.120986179824275730e+00 5.220208603996866897e-02
3.463843857910266706e+03 1.147659828716449892e+00 5.350093112019976838e-02
3.467307701768178049e+03 1.150884068284291795e+00 5.058051812674241310e-02
3.470775009469947236e+03 1.132555251450950706e+00 4.959563649839053567e-02
3.474245784479418489e+03 1.110174618139762037e+00 4.970600088125261273e-02
3.477720030263898934e+03 1.108019627147895703e+00 4.781276627294118314e-02
3.481197750294164052e+03 1.097230549465201488e+00 4.910403275731309997e-02
3.484678948044459503e+03 1.087925995433076887e+00 4.866500522614380930e-02
3.488163626992504760e+03 1.077664076936235560e+00 4.823407022579819653e-02
3.491651790619498570e+03 1.061087823547789188e+00 4.795577573950818989e-02
3.495143442410119405e+03 1.042151864300969288e+00 4.601615679618246968e-02
3.498638585852530468e+03 1.025857654507716710e+00 4.605698810287432027e-02
3.502137224438384237e+03 1.011090696053082549e+00 4.563918205930569266e-02
3.505639361662823831e+03 9.944346408464124210e-01 4.555760780827209505e-02
3.509145001024487556e+03 9.874857962939945777e-01 4.434963193266172610e-02
3.512654146025513455e+03 9.801681256509486850e-01 4.421921757423011995e-02
3.516166800171540217e+03 9.540324043660232123e-01 3.843633373168420242e-02
3.519682966971712631e+03 9.431998574385995759e-01 3.941003292403563729e-02
3.523202649938685681e+03 9.332697511330795281e-01 3.905333484761160795e-02
3.526725852588625457e+03 9.322356821997571652e-01 3.661005417284651092e-02
3.530252578441215064e+03 9.239950653869760666e-01 3.675189359110122428e-02
3.533782831019657806e+03 9.007706849114129888e-01 3.264626085036624603e-02
3.537316613850678550e+03 9.049049936434172547e-01 3.332058359860389646e-02
3.540853930464530094e+03 9.083889543651345599e-01 3.409614984040020003e-02
3.544394784394995895e+03 9.167798987777899811e-01 3.319111701643684409e-02
3.547939179179392340e+03 9.198261663653359843e-01 3.351410888370937730e-02
3.551487118358572843e+03 9.261606952891441313e-01 3.429203801361453002e-02
3.555038605476932389e+03 9.520863564068381413e-01 3.394807179193112812e-02
3.558593644082410719e+03 9.671050072321598634e-01 3.344508482127920429e-02
3.562152237726494150e+03 9.846198420910086124e-01 3.447611763189917938e-02
3.565714389964221937e+03 9.964358042469065868e-01 3.297161155564416746e-02
3.569280104354187188e+03 1.016132137863165363e+00 3.236220527295299854e-02
3.572849384458542772e+03 1.039546720828014914e+00 3.243898951360876803e-02
3.576422233843002232e+03 1.075931709987704155e+00 3.414444726789694212e-02
3.579998656076846601e+03 1.109780510623942451e+00 3.294302710025315967e-02
3.583578654732924406e+03 1.151155623497742919e+00 2.726422089645726132e-02
3.587162233387658489e+03 1.167047368768932003e+00 2.812590456417673676e-02
3.590749395621047370e+03 1.170861086607517976e+00 2.753182624780965357e-02
3.594340145016669794e+03 1.166577068847273413e+00 2.794746261549830788e-02
3.597934485161687462e+03 1.165006024108176108e+00 2.664873944921036450e-02
3.601532419646850485e+03 1.153417422216397314e+00 2.626525040231270092e-02
3.605133952066498296e+03 1.140823096203900988e+00 2.588905844336919504e-02
3.608739086018566013e+03 1.128396424844297918e+00 2.665970573947075428e-02
3.612347825104585809e+03 1.095571588871479873e+00 2.894212743427311205e-02
3.615960172929691907e+03 1.067167777796376393e+00 2.991208179330728106e-02
3.619576133102622407e+03 1.037438492564259684e+00 2.760686671717648213e-02
3.623195709235726554e+03 1.002742598016063358e+00 2.380543128830225202e-02
3.626818904944963379e+03 9.844871073641000558e-01 2.398346399361183517e-02
3.630445723849909427e+03 9.812493731426503718e-01 2.621281808345117537e-02
3.634076169573760581e+03 9.626249343509380996e-01 2.713879921968250647e-02
3.637710245743335690e+03 9.452175547758716601e-01 2.686174113234750249e-02
3.641347955989080219e+03 9.306238467680931770e-01 2.662384231464154025e-02
3.644989303945070333e+03 9.219472562767780932e-01 2.642691376184421945e-02
3.648634293249016537e+03 9.207955232235954801e-01 2.593705747281910973e-02
3.652282927542266862e+03 9.317255499870285007e-01 2.166564142696800546e-02
3.655935210469810499e+03 9.346921496496610748e-01 2.174866925963623437e-02
3.659591145680281443e+03 9.373551691916831574e-01 2.176532441188363740e-02
3.663250736825963031e+03 9.472578968602753946e-01 2.182882902632701794e-02
3.666913987562790226e+03 9.687963016160054952e-01 2.148301545499190987e-02
3.670580901550354156e+03 9.744027858039406853e-01 2.100650664123806730e-02
3.674251482451905758e+03 9.893436848986442156e-01 2.381166034113658611e-02
3.677925733934358959e+03 9.888490224970156728e-01 2.392104628077812434e-02
3.681603659668294313e+03 9.628405439226133122e-01 3.529395656392409625e-02
3.685285263327964003e+03 9.733146814114355116e-01 3.657487137257667276e-02
3.688970548591293209e+03 9.745854864201476397e-01 3.767873630285457215e-02
3.692659519139885560e+03 9.914787056289868783e-01 3.633307069542114631e-02
3.696352178659026777e+03 1.022908155942946484e+00 3.633138355690905541e-02
3.700048530837686940e+03 1.059348919782684639e+00 3.763573658651714338e-02
3.703748579368525952e+03 1.099242857646834937e+00 3.989626674028879522e-02
3.707452327947895355e+03 1.133818346327154059e+00 3.989042087553684029e-02
3.711159780275844696e+03 1.169261756264535546e+00 3.936227663754929273e-02
3.714870940056121526e+03 1.202219782113500557e+00 4.034380086981501773e-02
3.718585810996179134e+03 1.228139842912902235e+00 4.050422441727082740e-02
3.722304396807176545e+03 1.250800903119470231e+00 4.000197187097076501e-02
3.726026701203984885e+03 1.262856942286848083e+00 4.005918044330020883e-02
3.729752727905190113e+03 1.265507580073507166e+00 4.152781646144772243e-02
3.733482480633096657e+03 1.277394548590534029e+00 4.113777982574848974e-02
3.737215963113731050e+03 1.294636455118920448e+00 4.033161872210705434e-02
3.740953179076846027e+03 1.294376462328684863e+00 4.155568323839301664e-02
3.744694132255923705e+03 1.291655086649737605e+00 4.105152453102648563e-02
3.748438826388181042e+03 1.281291973607527224e+00 4.035110699465069284e-02
3.752187265214570289e+03 1.257430085317937429e+00 3.949085278016652156e-02
3.755939452479786269e+03 1.234930741873120796e+00 3.776513748638040541e-02
3.759695391932267285e+03 1.225812008705008394e+00 3.941125749836820596e-02
3.763455087324201031e+03 1.215048634809543282e+00 3.901458867098114153e-02
3.767218542411526414e+03 1.207933142669492366e+00 3.730859391144543402e-02
3.770985760953939007e+03 1.209355324278843291e+00 3.499771928422124728e-02
3.774756746714894234e+03 1.221883485201718411e+00 2.885667151169042308e-02
3.778531503461610555e+03 1.205614735685673899e+00 3.101399097725724210e-02
3.782310034965073100e+03 1.168983360230116730e+00 2.782960844298145928e-02
3.786092345000039586e+03 1.157744768611979946e+00 2.647969056014973926e-02
3.789878437345040766e+03 1.161786554976401487e+00 2.923486170522758554e-02
3.793668315782387253e+03 1.169005788955669090e+00 3.147134336388573289e-02
3.797461984098170888e+03 1.172103259910639794e+00 3.092630561660914684e-02
3.801259446082270188e+03 1.177414194504577738e+00 3.033322644694337947e-02
3.805060705528353537e+03 1.182803138976044277e+00 3.181257021419652692e-02
3.808865766233883278e+03 1.191035409912732934e+00 3.193897039525225162e-02
3.812674632000118436e+03 1.213390408481884508e+00 3.000022342679031437e-02
3.816487306632119726e+03 1.234598187496070087e+00 2.974182445515210702e-02
