# starting wavelength: 3472.178
# ending wavelength: 9124.759
# wav flux eflux
3.474245784479418489e+03 -9.444322822617099433e-01 1.262532369454189007e+00
3.477720030263898934e+03 -8.419212345321603896e-01 9.465047206689725101e-01
3.481197750294164052e+03 -7.026978264005406816e-01 7.083013735725715021e-01
3.484678948044459503e+03 -5.383864750497653340e-01 5.393463375528065873e-01
3.488163626992504760e+03 -2.812336806730158512e-01 4.673876676660345675e-01
3.491651790619498570e+03 -1.244953183868853785e-01 3.694431511412316627e-01
3.495143442410119405e+03 3.672473050502056413e-02 3.058615315213364938e-01
3.498638585852530468e+03 1.742321706548655147e-01 2.573349849680804935e-01
3.502137224438384237e+03 3.003363646471300941e-01 2.228881567582421674e-01
3.505639361662823831e+03 4.383283456387511712e-01 1.966997994344189538e-01
3.509145001024487556e+03 4.947572248363123482e-01 1.874983249978833255e-01
3.512654146025513455e+03 6.417832434126067298e-01 1.840294784741451362e-01
3.516166800171540217e+03 6.517138747773589813e-01 1.749800423608002808e-01
3.519682966971712631e+03 6.628353538614535356e-01 1.647581952261929772e-01
3.523202649938685681e+03 7.148342650240755436e-01 1.552609469327660696e-01
3.526725852588625457e+03 7.154809723645411124e-01 1.482707477282485808e-01
3.530252578441215064e+03 7.249533739170586077e-01 1.421133851024730665e-01
3.533782831019657806e+03 7.540504651514047252e-01 1.393372560285584261e-01
3.537316613850678550e+03 7.705381038465807242e-01 1.342902537622025494e-01
3.540853930464530094e+03 7.203719920998643556e-01 1.341357939934631205e-01
3.544394784394995895e+03 6.402267139533743823e-01 1.401998742552900412e-01
3.547939179179392340e+03 5.800436027817716944e-01 1.420597811212584161e-01
3.551487118358572843e+03 5.492258420782407669e-01 1.415565609057452545e-01
3.555038605476932389e+03 5.505493921040418570e-01 1.396140315712029734e-01
3.558593644082410719e+03 5.060240762973908790e-01 1.389030137811357868e-01
3.562152237726494150e+03 4.898226850543573874e-01 1.381707640607051923e-01
3.565714389964221937e+03 4.709639722686533858e-01 1.371652084524155046e-01
3.569280104354187188e+03 4.753494348305665751e-01 1.357830817255557543e-01
3.572849384458542772e+03 4.588065423261045161e-01 1.304920919759662290e-01
3.576422233843002232e+03 4.841355008052220521e-01 1.299089417318146922e-01
3.579998656076846601e+03 4.876413723386416321e-01 1.316281887585615540e-01
3.583578654732924406e+03 5.033460949053371047e-01 1.292651070779262945e-01
3.587162233387658489e+03 5.104961372346288329e-01 1.281050835119925124e-01
3.590749395621047370e+03 5.187071895002725030e-01 1.302918639754286900e-01
3.594340145016669794e+03 5.533237333610512287e-01 1.308426130630245543e-01
3.597934485161687462e+03 6.151051646439744669e-01 1.269282020613616002e-01
3.601532419646850485e+03 5.936806459742310915e-01 1.286365842407551086e-01
3.605133952066498296e+03 6.118743161294146748e-01 1.301945634568941468e-01
3.608739086018566013e+03 5.960083904071936667e-01 1.272021643460499452e-01
3.612347825104585809e+03 6.371650435507437704e-01 1.261573815262165277e-01
