# starting wavelength: 3973.501
# ending wavelength: 9089.623
# wav flux eflux
3.976133878923201792e+03 2.788652681974950753e-01 2.814161514135832265e-02
3.980110012802126221e+03 2.865473384547260194e-01 2.063586466136173997e-02
3.984090122814929600e+03 2.937403691499433367e-01 1.600319894081878372e-02
3.988074212937745870e+03 2.982681020571230079e-01 1.230426651118073957e-02
3.992062287150684824e+03 3.016001000345571170e-01 9.952176452884549385e-03
3.996054349437837118e+03 3.028379731179486334e-01 8.100897712287134789e-03
4.000050403787276082e+03 3.024239320754478211e-01 6.715012976766251453e-03
4.004050454191064546e+03 3.008833919025104553e-01 5.696142622218725721e-03
4.008054504645257111e+03 2.992096256989310032e-01 4.794693601743824952e-03
4.012062559149903791e+03 2.984502906042112436e-01 4.288731613992969802e-03
4.016074621709055009e+03 2.989485037990094463e-01 4.048216856181663208e-03
4.020090696330765240e+03 3.000720037736817614e-01 3.747516900541961096e-03
4.024110787027097558e+03 3.026163302567931312e-01 3.619511963799300520e-03
4.028134897814125907e+03 3.057426498127610026e-01 3.593947767244147235e-03
4.032163032711941469e+03 3.091315173014350659e-01 3.543977225204541451e-03
4.036195195744654484e+03 3.123585622027896247e-01 3.440477944210334864e-03
4.040231390940400615e+03 3.161418946692856058e-01 3.368829054438256688e-03
4.044271622331342314e+03 3.195110213933288756e-01 3.345382781536602405e-03
4.048315893953675186e+03 3.227001299931635536e-01 3.357570333483436871e-03
4.052364209847629809e+03 3.264387112264519053e-01 3.417362257010101746e-03
4.056416574057479011e+03 3.304894951134489944e-01 3.266697612079796833e-03
4.060472990631537868e+03 3.340733561619046998e-01 3.349252340029492889e-03
4.064533463622170530e+03 3.368684100335004317e-01 3.374884889464639399e-03
4.068597997085794304e+03 3.394901389464158870e-01 3.221744704333332019e-03
4.072666595082881486e+03 3.430509320208502411e-01 2.704024047996359675e-03
4.076739261677965715e+03 3.431953609595181920e-01 2.787382147703465485e-03
4.080816000939644709e+03 3.416026216212562638e-01 3.099957927853601650e-03
4.084896816940585722e+03 3.381080663786226181e-01 3.327486234544880205e-03
4.088981713757527814e+03 3.339469591126715819e-01 3.563817058107791955e-03
4.093070695471286854e+03 3.287846683280992721e-01 3.589307310390486231e-03
4.097163766166759160e+03 3.257369762412372638e-01 3.571740778481112804e-03
4.101260929932927866e+03 3.225852247533836370e-01 3.696806440808557588e-03
4.105362190862862008e+03 3.208816403619281221e-01 3.736956310677229214e-03
4.109467553053726078e+03 3.191955905477512623e-01 3.696712487835674202e-03
4.113577020606780934e+03 3.149739847440989338e-01 3.240693992863810918e-03
4.117690597627389252e+03 3.153278453042355212e-01 3.318355572258285292e-03
4.121808288225018259e+03 3.186815506816798593e-01 3.298305937886968683e-03
4.125930096513244280e+03 3.217545027717815809e-01 3.371310856780272355e-03
4.130056026609759101e+03 3.268063252714314970e-01 3.157679506014493369e-03
4.134186082636369974e+03 3.301556545596615599e-01 3.132535807728514376e-03
4.138320268719007800e+03 3.323605132214814684e-01 3.183632331388397234e-03
