# starting wavelength: 3468.434
# ending wavelength: 9089.754
# wav flux eflux
3.470775009469947236e+03 3.520693954734892550e+00 2.137491288592715394e-02
3.474245784479418489e+03 3.533719444526783882e+00 2.017968612503192455e-02
3.477720030263898934e+03 3.543238466390649322e+00 1.923555392785005272e-02
3.481197750294164052e+03 3.544730897472042397e+00 1.854169555299936892e-02
3.484678948044459503e+03 3.549166679093180399e+00 1.816430823488639212e-02
3.488163626992504760e+03 3.552896810786942972e+00 1.774292318029819376e-02
3.491651790619498570e+03 3.540911008313964992e+00 1.809452908830481294e-02
3.495143442410119405e+03 3.526167895443587774e+00 1.829641827292347381e-02
3.498638585852530468e+03 3.511024592881455852e+00 1.836006240952174975e-02
3.502137224438384237e+03 3.494646065151442382e+00 1.856753124112357073e-02
3.505639361662823831e+03 3.484060276463076367e+00 1.809260953241508332e-02
3.509145001024487556e+03 3.472435088995891483e+00 1.800956477319123894e-02
3.512654146025513455e+03 3.457793385500908645e+00 1.772838959619667254e-02
3.516166800171540217e+03 3.454772849267904178e+00 1.687209156609577668e-02
3.519682966971712631e+03 3.444436718446909129e+00 1.676650491131150347e-02
3.523202649938685681e+03 3.431212615647884601e+00 1.660804941737428764e-02
3.526725852588625457e+03 3.430560537219966122e+00 1.690631477784736506e-02
3.530252578441215064e+03 3.418172280157968590e+00 1.684602439009013491e-02
3.533782831019657806e+03 3.411242932644654058e+00 1.678255856872541002e-02
3.537316613850678550e+03 3.406667808700723832e+00 1.679371407435725078e-02
3.540853930464530094e+03 3.394169145987612879e+00 1.659206807919376761e-02
3.544394784394995895e+03 3.382890664273732195e+00 1.631048233629524280e-02
3.547939179179392340e+03 3.380687862351531958e+00 1.648499249273923523e-02
3.551487118358572843e+03 3.373542298814767637e+00 1.662591292971056164e-02
3.555038605476932389e+03 3.368696007955582772e+00 1.664646852592887097e-02
3.558593644082410719e+03 3.368383941715340057e+00 1.668997480442635864e-02
3.562152237726494150e+03 3.372764763641970198e+00 1.670352757665263116e-02
3.565714389964221937e+03 3.388797456910045192e+00 1.734390697790610253e-02
3.569280104354187188e+03 3.392493227651433241e+00 1.747778742850664147e-02
3.572849384458542772e+03 3.399427926953714874e+00 1.722008465268488886e-02
3.576422233843002232e+03 3.413918630291756795e+00 1.721772963205860790e-02
3.579998656076846601e+03 3.414407819789725629e+00 1.714487806771283762e-02
3.583578654732924406e+03 3.414142586946343982e+00 1.760551969881113399e-02
3.587162233387658489e+03 3.420036322392027817e+00 1.758568505735486065e-02
3.590749395621047370e+03 3.414550020657057594e+00 1.714185051837590831e-02
3.594340145016669794e+03 3.407136976922462424e+00 1.695940989077560773e-02
3.597934485161687462e+03 3.399761785477019682e+00 1.674198231856110358e-02
3.601532419646850485e+03 3.387384399145817682e+00 1.693181243011110046e-02
3.605133952066498296e+03 3.373619570384669863e+00 1.703241269359473398e-02
3.608739086018566013e+03 3.362854734195854789e+00 1.692050962849967616e-02
3.612347825104585809e+03 3.341551495585861176e+00 1.699260703838737299e-02
3.615960172929691907e+03 3.317529863874838281e+00 1.592758335145196685e-02
