# starting wavelength: 3182.677
# ending wavelength: 8055.940
# wav flux eflux
3.184899983079348658e+03 9.061299413976260375e-01 5.365791565539134167e-01
3.188084883062429071e+03 9.520122270644065798e-01 5.146864318235091496e-01
3.191272967945492383e+03 9.821329058266773382e-01 3.910851322365286320e-01
3.194464240913438971e+03 9.950835304053053942e-01 2.942756590664017957e-01
3.197658705154353811e+03 1.003318073721305215e+00 2.310511272968775176e-01
3.200856363859509202e+03 9.889477550150564955e-01 1.823972105283758471e-01
3.204057220223369768e+03 9.688942038464551931e-01 1.505816206269431079e-01
3.207261277443593826e+03 9.546013314800483318e-01 1.261611778060943712e-01
3.210468538721038840e+03 9.416736056334303884e-01 1.051299445984840569e-01
3.213679007259760965e+03 9.243746393546693474e-01 9.193682645135858866e-02
3.216892686267021418e+03 9.423800785652528544e-01 8.986532085748982768e-02
3.220109578953289656e+03 9.431550425364949586e-01 8.056536681881122652e-02
3.223329688532243836e+03 9.825588113213976627e-01 8.161947882645258223e-02
3.226553018220777176e+03 9.892117375919559086e-01 7.683298045349511163e-02
3.229779571238999324e+03 9.971917113585682113e-01 7.191927705528790293e-02
3.233009350810239084e+03 9.814860236530302817e-01 7.024983270827953041e-02
3.236242360161050783e+03 9.879093899575643878e-01 6.899762701300410361e-02
3.239478602521212906e+03 9.979059032827152231e-01 6.575201950906149617e-02
3.242718081123734919e+03 1.000779838344016959e+00 6.292675598435426565e-02
3.245960799204859995e+03 1.039232501755883664e+00 5.729838042956576089e-02
3.249206760004065927e+03 1.035825229168540584e+00 5.392584317912592351e-02
3.252455966764071036e+03 1.057634121302571284e+00 5.509544599237264917e-02
3.255708422730835991e+03 1.069126433798519571e+00 5.586254723167167341e-02
3.258964131153567905e+03 1.063093156635029235e+00 5.582164356187623716e-02
3.262223095284722604e+03 1.051341018506725344e+00 5.615933440582775160e-02
3.265485318380008266e+03 1.042519086699907671e+00 5.601550182255274346e-02
3.268750803698389518e+03 1.007548582809270954e+00 5.740271937496980309e-02
3.272019554502088795e+03 9.934427153204337113e-01 5.997003105889336938e-02
3.275291574056592253e+03 9.809205710766223385e-01 5.725268314629117228e-02
3.278566865630649772e+03 9.604908173557287210e-01 5.821368444483947940e-02
3.281845432496281319e+03 9.500225605187684330e-01 6.085233130344398084e-02
3.285127277928778767e+03 9.586484784474786913e-01 6.193832635738763526e-02
3.288412405206708627e+03 9.480860900814436221e-01 5.910765298098884929e-02
3.291700817611916591e+03 9.254864915652720736e-01 5.961088511585385663e-02
3.294992518429529355e+03 9.151755978621917142e-01 5.926880515289805612e-02
3.298287510947960072e+03 9.124695300812296628e-01 5.698952704187586205e-02
3.301585798458909267e+03 9.082180308741617525e-01 5.952669622779595965e-02
3.304887384257369376e+03 9.282979957033866691e-01 5.222407114177449183e-02
3.308192271641627485e+03 8.987836116162200017e-01 5.765047839217563724e-02
3.311500463913270323e+03 9.034664649088769428e-01 5.759183893556255734e-02
3.314811964377184722e+03 9.022525217676959919e-01 5.639365551260987902e-02
3.318126776341563072e+03 9.281820508082933019e-01 5.992091273617424635e-02
3.321444903117905596e+03 9.256446711578382169e-01 6.238627419782277750e-02
3.324766348021024896e+03 9.281767805307551411e-01 5.933906935467870430e-02
3.328091114369046863e+03 9.320791259652660976e-01 5.961013176370186240e-02
3.331419205483417045e+03 9.578584461050749788e-01 5.528193860512296831e-02
3.334750624688901553e+03 9.572472858322857991e-01 5.293145952247491071e-02
3.338085375313591612e+03 9.787799194674270398e-01 4.878768433845355468e-02
3.341423460688906289e+03 9.766321457019823127e-01 5.060691474736547790e-02
3.344764884149596128e+03 9.603825155781988698e-01 4.712841108648753441e-02
3.348109649033746791e+03 9.546752262838139602e-01 4.722840265748946137e-02
3.351457758682781787e+03 9.373483033332093983e-01 4.900058482791769948e-02
3.354809216441465651e+03 9.258832357007442670e-01 4.731320547766435652e-02
3.358164025657908041e+03 9.293540857843453074e-01 4.895508369580035130e-02
3.361522189683567376e+03 9.276640550465823365e-01 4.651014055336329805e-02
3.364883711873251741e+03 9.363103408998346699e-01 4.477815617484250110e-02
3.368248595585126168e+03 9.366935481250222573e-01 4.649547123975526774e-02
3.371616844180712633e+03 9.456952955423032492e-01 4.673692991522683526e-02
