# starting wavelength: 3220.736
# ending wavelength: 7186.743
# wav flux eflux
3.223329688532243836e+03 3.104448520463549688e+00 1.022111392033772548e+00
3.226553018220777176e+03 2.874534939619090235e+00 7.719507675376997557e-01
3.229779571238999324e+03 2.694194377088385384e+00 6.053755918898717781e-01
3.233009350810239084e+03 2.809806867668951824e+00 6.771559318398957528e-01
3.236242360161050783e+03 2.825431679077393010e+00 5.447994858771483262e-01
3.239478602521212906e+03 2.801309263662662641e+00 4.302616299668834965e-01
3.242718081123734919e+03 2.788737815833539635e+00 3.488535539886284398e-01
3.245960799204859995e+03 2.786468935110022471e+00 2.901400935896910616e-01
3.249206760004065927e+03 2.768520557590753661e+00 2.527823460200884220e-01
3.252455966764071036e+03 2.764118239963261559e+00 2.159900697917386814e-01
3.255708422730835991e+03 2.814879105136676163e+00 1.988310670390765755e-01
3.258964131153567905e+03 2.887447729679067709e+00 1.866299502217190764e-01
3.262223095284722604e+03 2.892276214082267316e+00 1.720373363447583737e-01
3.265485318380008266e+03 2.886011264270388121e+00 1.613402945172887903e-01
3.268750803698389518e+03 2.906439810679523728e+00 1.544530541487643405e-01
3.272019554502088795e+03 2.898976188191514591e+00 1.479018969353382285e-01
3.275291574056592253e+03 2.916791003931992865e+00 1.407961340658422933e-01
3.278566865630649772e+03 2.935461880951175662e+00 1.346767581487707532e-01
3.281845432496281319e+03 2.933813989965151858e+00 1.368611810877626289e-01
3.285127277928778767e+03 2.989927644420340869e+00 1.374156344543566444e-01
3.288412405206708627e+03 2.985520901612977340e+00 1.326521663790475869e-01
3.291700817611916591e+03 2.973450472855174276e+00 1.273377100388521643e-01
3.294992518429529355e+03 2.992052144126002844e+00 1.248079066326772263e-01
3.298287510947960072e+03 2.985900524191256178e+00 1.289175803519018448e-01
3.301585798458909267e+03 3.004315127019714815e+00 1.268917873762091253e-01
3.304887384257369376e+03 2.974322138055019771e+00 1.284981466770371561e-01
3.308192271641627485e+03 2.965354197673128578e+00 1.273043409156705830e-01
3.311500463913270323e+03 2.912749236120765861e+00 1.248567722049745282e-01
3.314811964377184722e+03 2.905506723507384148e+00 1.281913490255671695e-01
3.318126776341563072e+03 2.854345329257347519e+00 1.289965643430960041e-01
3.321444903117905596e+03 2.857866997700949430e+00 1.281867954679405119e-01
3.324766348021024896e+03 2.852889999018239919e+00 1.270907872280674367e-01
3.328091114369046863e+03 2.819416729773399410e+00 1.289646049362779823e-01
3.331419205483417045e+03 2.807825169606694704e+00 1.282729454141969261e-01
3.334750624688901553e+03 2.784475019329665457e+00 1.268232474067424453e-01
3.338085375313591612e+03 2.776387059189054263e+00 1.248734112654235062e-01
3.341423460688906289e+03 2.799541815532548661e+00 1.135318646470019205e-01
3.344764884149596128e+03 2.826332123161035881e+00 1.154254853230148453e-01
3.348109649033746791e+03 2.790280371174906460e+00 9.595786458599235569e-02
3.351457758682781787e+03 2.798536486294947778e+00 9.490704160652861654e-02
3.354809216441465651e+03 2.798491299840666802e+00 9.081297653704882566e-02
3.358164025657908041e+03 2.793634291351787535e+00 9.062967226027690559e-02
3.361522189683567376e+03 2.781380414032584625e+00 9.198324596414043930e-02
3.364883711873251741e+03 2.817264917413657699e+00 1.030420848592139421e-01
3.368248595585126168e+03 2.868526481999269517e+00 8.639218798437373059e-02
3.371616844180712633e+03 2.873542253007363989e+00 8.132197288501422094e-02
3.374988461024894150e+03 2.794220743104473659e+00 9.191793031245630574e-02
3.378363449485920228e+03 2.762832366081347413e+00 9.347996445704702395e-02
3.381741812935407324e+03 2.740635114585201038e+00 9.280095497332040144e-02
3.385123554748343849e+03 2.701288299851592800e+00 9.199808642473165932e-02
3.388508678303093347e+03 2.668882961848065172e+00 9.124147683810450438e-02
3.391897186981397681e+03 2.636297662240842055e+00 9.014239056664984096e-02
3.395289084168380214e+03 2.605248312234726971e+00 9.019040969805029728e-02
3.398684373252549449e+03 2.546740221979313379e+00 8.765026209523316125e-02
