# starting wavelength: 3514.001
# ending wavelength: 8899.387
# wav flux eflux
3.516166800171540217e+03 1.058161551879297502e+00 5.870647328879226023e-01
3.519682966971712631e+03 1.024497021706161748e+00 5.464487850188872731e-01
3.523202649938685681e+03 9.880129737234398801e-01 4.153552062595622374e-01
3.526725852588625457e+03 9.585653493782396728e-01 3.135996855124271732e-01
3.530252578441215064e+03 9.191593600054646096e-01 2.434393767092162264e-01
3.533782831019657806e+03 8.821906032030797373e-01 1.921201163179254157e-01
3.537316613850678550e+03 8.491545687238459816e-01 1.594498699427786270e-01
3.540853930464530094e+03 8.340120507542410078e-01 1.374218859766460077e-01
3.544394784394995895e+03 8.277537766979921052e-01 1.143079059640566691e-01
3.547939179179392340e+03 8.272433706455647462e-01 9.921485362619572590e-02
3.551487118358572843e+03 8.293525051033222573e-01 8.684060059878595528e-02
3.555038605476932389e+03 8.318377286480891364e-01 7.839626047639955408e-02
3.558593644082410719e+03 8.285214236181862590e-01 7.235138677937331952e-02
3.562152237726494150e+03 8.369439375561800176e-01 6.792893196033662762e-02
3.565714389964221937e+03 8.711454847453088401e-01 6.701921940791065457e-02
3.569280104354187188e+03 8.643542467391006623e-01 6.495498916510905607e-02
3.572849384458542772e+03 8.759444937536412512e-01 6.368549584827751242e-02
3.576422233843002232e+03 9.051605183811948230e-01 6.339067844268850282e-02
3.579998656076846601e+03 8.934206224437490906e-01 6.439674703569145398e-02
3.583578654732924406e+03 9.012839357614318425e-01 6.716645237773341548e-02
3.587162233387658489e+03 9.064991097371266626e-01 6.739718368917924085e-02
3.590749395621047370e+03 9.205548429500037821e-01 6.440754948241798894e-02
3.594340145016669794e+03 9.444929131865085203e-01 6.621077443439613019e-02
3.597934485161687462e+03 9.623722042237733421e-01 6.730707390659464162e-02
3.601532419646850485e+03 9.617974639594203401e-01 6.982842402890186706e-02
3.605133952066498296e+03 9.655083010866997162e-01 6.667350587324057110e-02
3.608739086018566013e+03 9.555968581280931406e-01 7.302139875528634860e-02
3.612347825104585809e+03 9.570030100623188041e-01 7.509275541280827082e-02
3.615960172929691907e+03 9.776283622033369314e-01 7.222329807048401273e-02
3.619576133102622407e+03 9.934576771103932336e-01 7.316411169100611733e-02
3.623195709235726554e+03 1.009862279869047974e+00 7.613789712675160526e-02
3.626818904944963379e+03 1.015159246602523657e+00 7.529551873271649043e-02
3.630445723849909427e+03 1.014065504401787221e+00 7.188841636158324611e-02
3.634076169573760581e+03 1.037793462264932076e+00 7.250960643278930862e-02
3.637710245743335690e+03 1.064301693865690623e+00 7.217702699072857386e-02
3.641347955989080219e+03 1.056182970972322721e+00 7.069811027011999038e-02
3.644989303945070333e+03 1.089649337488729053e+00 6.916360958401633618e-02
3.648634293249016537e+03 1.073574685115376903e+00 6.360633519955892490e-02
3.652282927542266862e+03 1.099581380847881373e+00 6.813606039344809184e-02
3.655935210469810499e+03 1.096280436697650407e+00 6.792616859574514276e-02
3.659591145680281443e+03 1.084077790964212751e+00 6.813976854756836898e-02
3.663250736825963031e+03 1.086945852228894616e+00 7.098561087166120609e-02
3.666913987562790226e+03 1.086633895361524438e+00 6.787152393802099726e-02
3.670580901550354156e+03 1.029012393002786130e+00 9.948910708529475067e-02
3.674251482451905758e+03 1.026823501685617757e+00 1.025793095368086189e-01
3.677925733934358959e+03 1.017414957364086714e+00 1.007274735468450672e-01
3.681603659668294313e+03 1.016584980526105575e+00 1.032915933971500361e-01
3.685285263327964003e+03 1.039780724416691893e+00 1.038794192710011388e-01
3.688970548591293209e+03 1.134178156697391415e+00 1.120987160101348246e-01
3.692659519139885560e+03 1.227640178900697876e+00 1.226309565516981587e-01
3.696352178659026777e+03 1.286377849853740596e+00 1.225849180769027907e-01
3.700048530837686940e+03 1.398729973265786963e+00 1.234519201071254818e-01
