# starting wavelength: 3459.784
# ending wavelength: 8749.369
# wav flux eflux
3.460383474435829612e+03 6.681846866483225345e-01 1.685374876350956397e+00
3.463843857910266706e+03 1.581817386961331007e+00 1.234043270631683953e+00
3.467307701768178049e+03 2.192652251210945646e+00 9.379271260445315450e-01
3.470775009469947236e+03 2.550874378447774760e+00 7.097353584868494325e-01
3.474245784479418489e+03 2.784251691718495181e+00 5.490108425540594084e-01
3.477720030263898934e+03 2.879564566155230043e+00 4.343235899600824124e-01
3.481197750294164052e+03 2.898436841975027711e+00 3.623917849545650327e-01
3.484678948044459503e+03 2.885380583206009764e+00 2.928622727836774908e-01
3.488163626992504760e+03 2.855037205249431942e+00 2.629853032006269076e-01
3.491651790619498570e+03 2.823166752172082905e+00 2.351388226712532170e-01
3.495143442410119405e+03 2.759674459473428598e+00 2.029592636523481208e-01
3.498638585852530468e+03 2.713257257002000156e+00 1.839599129889804008e-01
3.502137224438384237e+03 2.674753924367389679e+00 1.703808113996441442e-01
3.505639361662823831e+03 2.605562465455975474e+00 1.579383303149886064e-01
3.509145001024487556e+03 2.558648854966793618e+00 1.476106125239025901e-01
3.512654146025513455e+03 2.498930486015397356e+00 1.423556226778781852e-01
3.516166800171540217e+03 2.485008800994810141e+00 1.384639241878727334e-01
3.519682966971712631e+03 2.466539899757798082e+00 1.335723841198752093e-01
3.523202649938685681e+03 2.427019473984263875e+00 1.330081336049190044e-01
3.526725852588625457e+03 2.527043460480759673e+00 4.187463987779674324e-02
3.530252578441215064e+03 2.528174144557806979e+00 4.059451113927106669e-02
3.533782831019657806e+03 2.505588644464219694e+00 3.897779048353490483e-02
3.537316613850678550e+03 2.495957605246234667e+00 3.880254686022843735e-02
3.540853930464530094e+03 2.507367888142419510e+00 3.553263325874692069e-02
3.544394784394995895e+03 2.504301227250207429e+00 3.543229786671829584e-02
3.547939179179392340e+03 2.484664214841015628e+00 3.610375984339142530e-02
3.551487118358572843e+03 2.491602634331885113e+00 3.743028364603432495e-02
3.555038605476932389e+03 2.487035082522675911e+00 3.735911243411764449e-02
3.558593644082410719e+03 2.494775950649767537e+00 3.579941085167771819e-02
3.562152237726494150e+03 2.488189883234576794e+00 3.735906042832595753e-02
3.565714389964221937e+03 2.478850430295592933e+00 3.648421537261624381e-02
3.569280104354187188e+03 2.460709697629396953e+00 3.493983649769401983e-02
3.572849384458542772e+03 2.452966245785591415e+00 3.578366228284706602e-02
3.576422233843002232e+03 2.432442928864218423e+00 3.745074767598238069e-02
3.579998656076846601e+03 2.408234368676394066e+00 3.860042266375350584e-02
3.583578654732924406e+03 2.398196415597879216e+00 4.019763281692501772e-02
3.587162233387658489e+03 2.399756878793436687e+00 4.019423139945460521e-02
3.590749395621047370e+03 2.390636816864447844e+00 4.028702644741927880e-02
3.594340145016669794e+03 2.386756147041605214e+00 4.023454175496410379e-02
3.597934485161687462e+03 2.373195239440192950e+00 3.812164087003717255e-02
3.601532419646850485e+03 2.366392206060467629e+00 3.672431507410700569e-02
3.605133952066498296e+03 2.359171559388979045e+00 3.674148063947885873e-02
3.608739086018566013e+03 2.357043770273276273e+00 3.651238554002096681e-02
3.612347825104585809e+03 2.373295380709314895e+00 3.575435870725363757e-02
3.615960172929691907e+03 2.375884811599279889e+00 3.659844645774140010e-02
3.619576133102622407e+03 2.386668575690225946e+00 3.854249415156223851e-02
3.623195709235726554e+03 2.378326282710726769e+00 3.815813008757512614e-02
3.626818904944963379e+03 2.373778566197596085e+00 3.900965571673470356e-02
3.630445723849909427e+03 2.352830900807053371e+00 3.913257029106963214e-02
3.634076169573760581e+03 2.314914627616913023e+00 4.399244952244556889e-02
3.637710245743335690e+03 2.309794735124392151e+00 4.551402208304450997e-02
3.641347955989080219e+03 2.285204014344972556e+00 4.666299772124841289e-02
3.644989303945070333e+03 2.270853525337302781e+00 4.505580262274421627e-02
3.648634293249016537e+03 2.265984594377957961e+00 4.709961652121855830e-02
3.652282927542266862e+03 2.249855293998956451e+00 4.783631166953659919e-02
3.655935210469810499e+03 2.259273118508318134e+00 4.831699911445830331e-02
