# starting wavelength: 3399.625
# ending wavelength: 8610.368
# wav flux eflux
3.402083057625803121e+03 1.679404057949695384e+00 1.154541473304075749e+00
3.405485140683430018e+03 1.661600476511021718e+00 8.548301366807580237e-01
3.408890625824114522e+03 1.671671363896719109e+00 6.497174974559933869e-01
3.412299516449939802e+03 1.731171392682959276e+00 5.044467059560908684e-01
3.415711815966390986e+03 1.754531614722605326e+00 3.924090246695638995e-01
3.419127527782358356e+03 1.765647283308530158e+00 3.098923991773104292e-01
3.422546655310141887e+03 1.772998651169536810e+00 2.520408897170643425e-01
3.425969201965453522e+03 1.780100577749572199e+00 2.133515333637543698e-01
3.429395171167419903e+03 1.786809122025814878e+00 1.778853996453180764e-01
3.432824566338588284e+03 1.788062873943091935e+00 1.544805428547087744e-01
3.436257390904928343e+03 1.781358413870735014e+00 1.366358545824397364e-01
3.439693648295834464e+03 1.771832703126845709e+00 1.225600743502351098e-01
3.443133341944131189e+03 1.729695519474255150e+00 1.152287305356839014e-01
3.446576475286076402e+03 1.710349838837860403e+00 1.085093766829755696e-01
3.450023051761363604e+03 1.653977490960856445e+00 1.063842887634391804e-01
3.453473074813126004e+03 1.626985097261997915e+00 1.004511639666057637e-01
3.456926547887940615e+03 1.614040970944881970e+00 9.867521426724978895e-02
3.460383474435829612e+03 1.602956498829207321e+00 9.386683994755253002e-02
3.463843857910266706e+03 1.620450058533697391e+00 9.250581859365135384e-02
3.467307701768178049e+03 1.599878624266346527e+00 9.499164600210857623e-02
3.470775009469947236e+03 1.617154261980131791e+00 9.348790415122554265e-02
3.474245784479418489e+03 1.625711456668840871e+00 8.959916649246332798e-02
3.477720030263898934e+03 1.619319718703048361e+00 9.317556073669790162e-02
3.481197750294164052e+03 1.652145424864455814e+00 9.248035638310071749e-02
3.484678948044459503e+03 1.661352363472111460e+00 9.323745895192624145e-02
3.488163626992504760e+03 1.657151218904193923e+00 9.299727883589935240e-02
3.491651790619498570e+03 1.644996347889063015e+00 9.222874020058187405e-02
3.495143442410119405e+03 1.634099738772707200e+00 9.638677190401236106e-02
3.498638585852530468e+03 1.623549917477673521e+00 9.191836277560337665e-02
3.502137224438384237e+03 1.632472750283296525e+00 8.388283253336081824e-02
3.505639361662823831e+03 1.666946901039107809e+00 7.929702489173660884e-02
3.509145001024487556e+03 1.642118129629309031e+00 7.269835279772897396e-02
3.512654146025513455e+03 1.632447076589941259e+00 6.920425733977970950e-02
3.516166800171540217e+03 1.589291820702939617e+00 6.506188469519225137e-02
3.519682966971712631e+03 1.555821285365664552e+00 6.760105834303035965e-02
