# starting wavelength: 3101.166
# ending wavelength: 6919.311
# wav flux eflux
3.103200124874001631e+03 -2.717103513807704318e-01 2.149710602664489212e+00
3.106303324998876633e+03 -2.874610182673415643e-02 1.535643743520862747e+00
3.109409628323876859e+03 1.207760696095948327e-02 1.179902022625642033e+00
3.112519037952201415e+03 5.504189598866656569e-02 8.947300017456586430e-01
3.115631556990154877e+03 7.964146048708076187e-02 6.953279221273807043e-01
3.118747188547145925e+03 7.161133561102435430e-02 5.509564642465333284e-01
3.121865935735694165e+03 7.446431208836100379e-02 4.495057826331431694e-01
3.124987801671431043e+03 5.528662963368552452e-02 3.733363780768099716e-01
3.128112789473103476e+03 5.474892318111151956e-02 3.184983370803488589e-01
3.131240902262577492e+03 5.332841470012939650e-02 2.709484419805628930e-01
3.134372143164840963e+03 5.724511609258910172e-02 2.387069476254360667e-01
3.137506515308006783e+03 9.193807283623114945e-02 2.164306041995018581e-01
3.140644021823316052e+03 1.373678235085821764e-01 1.995720126795054172e-01
3.143784665845140353e+03 1.540555123662785963e-01 1.874048041516642449e-01
3.146928450510986750e+03 2.587325654426683164e-01 1.911649041152056472e-01
3.150075378961498700e+03 2.345528147547719100e-01 1.823907209705381838e-01
3.153225454340461056e+03 2.630390480904359340e-01 1.750690390349313452e-01
3.156378679794802792e+03 1.904036944064634307e-01 1.765536344902370325e-01
3.159535058474598372e+03 1.706043582270412029e-01 1.812551167357029647e-01
3.162694593533074112e+03 1.100807684695619265e-01 1.812887847468672431e-01
3.165857288126608182e+03 1.104613698879372413e-01 1.793367476750714895e-01
3.169023145414736064e+03 1.634309725022298210e-01 1.771525618658608414e-01
3.172192168560151458e+03 1.753043536200119823e-01 1.755119569673521118e-01
3.175364360728712654e+03 1.999184138156337165e-01 1.803439218654684373e-01
3.178539725089442527e+03 1.595203988375116788e-01 1.629946851950027920e-01
3.181718264814533086e+03 1.501934959267557657e-01 1.616538255125994639e-01
3.184899983079348658e+03 1.443347012966878506e-01 1.538439348772236703e-01
3.188084883062429071e+03 1.158817728610451736e-01 1.546041566225900277e-01
3.191272967945492383e+03 1.417803242462533087e-01 1.509783914019315887e-01
3.194464240913438971e+03 1.557279809437772389e-01 1.494032702251777145e-01
3.197658705154353811e+03 1.974237004656041183e-01 1.474294570183456721e-01
3.200856363859509202e+03 2.418768765220200567e-01 1.492148936693938333e-01
3.204057220223369768e+03 2.733095788313652519e-01 1.503215695699329502e-01
3.207261277443593826e+03 3.084937870711285113e-01 1.486748401115325635e-01
3.210468538721038840e+03 3.081745409317247497e-01 1.449310948637709262e-01
3.213679007259760965e+03 2.363481718830715561e-01 1.362676510352318349e-01
3.216892686267021418e+03 2.332032493955859820e-01 1.333512032155918237e-01
3.220109578953289656e+03 2.575041064098995691e-01 1.347770131823205486e-01
3.223329688532243836e+03 2.397695925097819702e-01 1.312292485412935583e-01
3.226553018220777176e+03 2.326017624206245804e-01 1.288752807981495552e-01
3.229779571238999324e+03 2.192902483511240119e-01 1.267151807991320211e-01
3.233009350810239084e+03 1.805002471050389801e-01 1.174139317191214560e-01
3.236242360161050783e+03 1.565815141813273192e-01 1.210374284649121529e-01
3.239478602521212906e+03 1.370659785794240415e-01 1.187526374138092866e-01
3.242718081123734919e+03 1.295078098118919718e-01 1.192570217789746118e-01
3.245960799204859995e+03 1.447943673643566354e-01 1.195243559635444236e-01
3.249206760004065927e+03 1.685190158638948388e-01 1.138394160288190848e-01
3.252455966764071036e+03 2.083465020087171549e-01 9.800168483294001420e-02
3.255708422730835991e+03 1.439684410450169372e-01 1.126128366128731628e-01
3.258964131153567905e+03 1.389605720761049323e-01 1.126531067451947421e-01
3.262223095284722604e+03 1.663724215685035424e-01 1.082620137535466875e-01
3.265485318380008266e+03 1.034811134260437138e-01 9.898951334781538880e-02
3.268750803698389518e+03 8.916647379309879107e-02 9.996673943732420353e-02
3.272019554502088795e+03 1.001437779287355639e-01 9.880754224834981114e-02
3.275291574056592253e+03 1.436944174421261322e-01 9.695140432879101322e-02
3.278566865630649772e+03 1.596855209408820642e-01 9.556491137979356010e-02
3.281845432496281319e+03 2.099062758065247392e-01 1.022303002853967302e-01
3.285127277928778767e+03 1.873836342979904868e-01 1.005821365863718980e-01
3.288412405206708627e+03 2.108943214378048991e-01 9.672253978128576846e-02
3.291700817611916591e+03 2.247078047226163111e-01 9.601339257607478805e-02
3.294992518429529355e+03 1.982122442665190942e-01 9.908528403846944554e-02
3.298287510947960072e+03 2.393085981221322878e-01 9.573786308869688955e-02
3.301585798458909267e+03 2.798825941094096881e-01 9.108974903674733892e-02
3.304887384257369376e+03 2.983250327259322487e-01 8.860490952400162934e-02
3.308192271641627485e+03 2.571895455900581884e-01 8.921879712737369739e-02
3.311500463913270323e+03 2.649585312782528623e-01 8.525370958473472982e-02
3.314811964377184722e+03 2.778596637025830263e-01 8.922993971598171259e-02
3.318126776341563072e+03 2.481880217925920284e-01 9.276750639389631792e-02
3.321444903117905596e+03 1.781224661641987450e-01 9.716872431836952317e-02
3.324766348021024896e+03 1.245004978905906584e-01 1.008478711612230683e-01
3.328091114369046863e+03 9.990840708141968118e-02 9.734838826128058842e-02
