# starting wavelength: 3104.724
# ending wavelength: 8518.518
# wav flux eflux
3.106303324998876633e+03 3.152969779579361198e+00 1.375073296229039899e-01
3.109409628323876859e+03 3.071460442679992298e+00 1.356996681603075683e-01
3.112519037952201415e+03 2.985073119086073756e+00 1.322176737202236940e-01
3.115631556990154877e+03 2.955707338138936713e+00 1.300501314208802606e-01
3.118747188547145925e+03 2.957869408011733370e+00 1.264562839986012044e-01
3.121865935735694165e+03 2.815880469410313225e+00 1.271940401193347170e-01
3.124987801671431043e+03 2.738569604477313124e+00 1.239080689087903309e-01
3.128112789473103476e+03 2.758486596044879224e+00 1.226460472794687756e-01
3.131240902262577492e+03 2.756763000387377982e+00 1.206877927881207235e-01
3.134372143164840963e+03 2.710072758950496929e+00 1.188882144194268603e-01
3.137506515308006783e+03 2.638917457247372589e+00 1.156783727277781448e-01
3.140644021823316052e+03 2.619271056054248259e+00 1.131716588974935878e-01
3.143784665845140353e+03 2.578521338242194982e+00 1.130157049940561514e-01
3.146928450510986750e+03 2.578107737672410416e+00 1.119077718782865161e-01
3.150075378961498700e+03 2.590787719557786417e+00 1.098908046666396687e-01
3.153225454340461056e+03 2.547718802453207587e+00 1.078747377735738006e-01
3.156378679794802792e+03 2.560566063119575020e+00 1.039216689702267826e-01
3.159535058474598372e+03 2.555716618775423665e+00 1.023664439233643308e-01
3.162694593533074112e+03 2.580489479860333724e+00 1.014828781516407263e-01
3.165857288126608182e+03 2.537138943964110549e+00 1.011963350379610077e-01
3.169023145414736064e+03 2.623363911719013952e+00 9.809763148997825699e-02
3.172192168560151458e+03 2.654312010863407068e+00 9.771953535988053829e-02
3.175364360728712654e+03 2.597122077374603766e+00 8.730272392474466847e-02
3.178539725089442527e+03 2.623102081979136191e+00 8.735091549435569647e-02
3.181718264814533086e+03 2.657755283729986928e+00 8.500529336391796087e-02
3.184899983079348658e+03 2.708332523218529353e+00 8.572202526571555403e-02
3.188084883062429071e+03 2.713524083738818149e+00 8.589077813865897415e-02
3.191272967945492383e+03 2.694697420397409893e+00 8.479046471363167747e-02
3.194464240913438971e+03 2.700465994429541272e+00 8.325673848056872051e-02
3.197658705154353811e+03 2.725317932220733486e+00 8.300630672451293768e-02
3.200856363859509202e+03 2.744342520734259772e+00 8.099957175309029089e-02
3.204057220223369768e+03 2.764579418876589756e+00 7.907528792494883385e-02
3.207261277443593826e+03 2.762036775628385676e+00 7.654368046228585132e-02
3.210468538721038840e+03 2.744321971949988725e+00 7.751507239278261630e-02
3.213679007259760965e+03 2.715784900347023356e+00 7.743357714568914474e-02
3.216892686267021418e+03 2.666195744177279892e+00 7.664406152145611384e-02
3.220109578953289656e+03 2.647024616491776783e+00 7.739943482549722920e-02
3.223329688532243836e+03 2.611557298784954462e+00 7.824989210791312433e-02
3.226553018220777176e+03 2.538973452620199467e+00 7.382396935580880226e-02
3.229779571238999324e+03 2.488514080649802285e+00 7.299086415954690599e-02
3.233009350810239084e+03 2.444210116317663939e+00 7.294923775698146373e-02
3.236242360161050783e+03 2.404209565032463303e+00 7.267984202872056210e-02
3.239478602521212906e+03 2.376791013977480826e+00 7.356837706608472527e-02
3.242718081123734919e+03 2.338061923852943202e+00 7.279090739434530832e-02
3.245960799204859995e+03 2.385720778874446335e+00 7.274077038287371511e-02
3.249206760004065927e+03 2.368744552426243377e+00 7.226048760057171561e-02
3.252455966764071036e+03 2.357338065729984056e+00 7.054361048599770700e-02
3.255708422730835991e+03 2.365908979708848392e+00 7.015366633723900402e-02
3.258964131153567905e+03 2.423393250406707278e+00 7.017494858731328222e-02
3.262223095284722604e+03 2.466688023591023793e+00 7.076906016632854290e-02
3.265485318380008266e+03 2.492112911660778529e+00 6.891521974371145332e-02
