# starting wavelength: 3351.856
# ending wavelength: 8079.709
# wav flux eflux
3.354809216441465651e+03 3.177646875447895258e+00 5.436010477440713640e-01
3.358164025657908041e+03 3.091655377263565541e+00 4.221503416876927206e-01
3.361522189683567376e+03 3.069124202063977513e+00 3.240376047735191167e-01
3.364883711873251741e+03 3.085473355895206993e+00 2.617741769614431169e-01
3.368248595585126168e+03 3.075348749327251774e+00 2.045768180502436917e-01
3.371616844180712633e+03 3.075164412147584070e+00 1.626186154243836890e-01
3.374988461024894150e+03 3.077592793253888015e+00 1.404681816893992574e-01
3.378363449485920228e+03 3.066262317414818916e+00 1.158565088921395259e-01
3.381741812935407324e+03 3.059162821573798485e+00 9.955983668337063663e-02
3.385123554748343849e+03 3.049034644247240244e+00 8.575449505930436700e-02
3.388508678303093347e+03 3.029118825650009228e+00 7.704834174719987772e-02
3.391897186981397681e+03 3.024794451573718845e+00 6.946631222507276826e-02
3.395289084168380214e+03 3.023947950626072689e+00 6.358930745300724052e-02
3.398684373252549449e+03 3.036024600977195842e+00 6.058510964761554263e-02
3.402083057625803121e+03 3.023638824661805558e+00 5.783090935944301680e-02
3.405485140683430018e+03 3.024508876078265462e+00 5.521624861663877726e-02
3.408890625824114522e+03 3.039663142641503946e+00 5.482580625952985370e-02
3.412299516449939802e+03 3.035566453600608394e+00 5.221894898155490100e-02
3.415711815966390986e+03 3.033619845437551810e+00 5.186951125393108458e-02
3.419127527782358356e+03 3.035497868049838122e+00 5.111608346735541097e-02
3.422546655310141887e+03 3.015173021526813990e+00 5.442391932880736444e-02
3.425969201965453522e+03 3.007915921809104720e+00 4.949507750296605613e-02
3.429395171167419903e+03 2.997051855172844448e+00 4.828366983690089015e-02
3.432824566338588284e+03 3.011093606941567913e+00 4.451718504650260116e-02
3.436257390904928343e+03 3.018753241791065189e+00 4.502698589323336081e-02
3.439693648295834464e+03 3.049929778248071433e+00 4.678566588151630151e-02
3.443133341944131189e+03 3.071357234105405176e+00 4.693101567150246428e-02
3.446576475286076402e+03 3.067729246098912288e+00 4.728087918055365324e-02
3.450023051761363604e+03 3.050868248980882935e+00 4.744793109316522428e-02
3.453473074813126004e+03 3.045460866146314949e+00 4.829717988002701912e-02
3.456926547887940615e+03 3.047424690187422680e+00 4.701959613976990082e-02
3.460383474435829612e+03 3.034852573858253688e+00 4.689171077377900926e-02
3.463843857910266706e+03 3.027001288203150953e+00 4.649450720433163237e-02
3.467307701768178049e+03 3.021091707291350570e+00 4.631141586254811787e-02
3.470775009469947236e+03 3.020648277258230596e+00 4.619129819721966984e-02
3.474245784479418489e+03 3.010104561423910585e+00 4.596288983916760329e-02
3.477720030263898934e+03 3.005001952714995817e+00 4.531003746045703107e-02
3.481197750294164052e+03 3.005300054998525372e+00 4.442477088914942307e-02
3.484678948044459503e+03 2.973425319539521716e+00 4.504701352112354396e-02
3.488163626992504760e+03 2.973316478338758007e+00 4.527601313428591262e-02
3.491651790619498570e+03 2.952574169722136155e+00 4.623031733617313788e-02
3.495143442410119405e+03 2.930211272227179364e+00 4.601179949379798767e-02
3.498638585852530468e+03 2.919616835292476509e+00 4.421913129199659537e-02
3.502137224438384237e+03 2.907983582613894669e+00 4.403910097491144787e-02
3.505639361662823831e+03 2.880232478935734974e+00 4.342527953017394360e-02
3.509145001024487556e+03 2.874736574150355661e+00 4.415729825209207399e-02
3.512654146025513455e+03 2.868379420099341104e+00 4.292491276483430956e-02
3.516166800171540217e+03 2.862192934975642089e+00 4.368068198017983211e-02
3.519682966971712631e+03 2.869289720540485700e+00 4.390487137434499060e-02
3.523202649938685681e+03 2.874001519884406441e+00 4.320200925935396841e-02
3.526725852588625457e+03 2.881571459043850592e+00 4.162334673863495732e-02
3.530252578441215064e+03 2.860411587671449318e+00 4.218430939314372213e-02
3.533782831019657806e+03 2.854786316757686127e+00 4.264974521155525528e-02
3.537316613850678550e+03 2.834778891343364027e+00 4.195668519770730936e-02
3.540853930464530094e+03 2.820486473625845925e+00 3.882985753137488394e-02
