# starting wavelength: 2956.120
# ending wavelength: 9623.738
# wav flux eflux
2.957835826999721121e+03 1.567934491967275079e+00 4.043365308718712137e-01
2.960793662826721629e+03 1.470476253802592392e+00 3.853726773339267719e-01
2.963754456489549284e+03 1.479401376443323146e+00 3.746501313763729302e-01
2.966718210946040017e+03 1.519591634113037770e+00 3.493746005261845200e-01
2.969684929156986982e+03 1.396870184182414487e+00 3.404254604155606545e-01
2.972654614086145102e+03 1.481112605227158374e+00 3.378242308782452574e-01
2.975627268700231980e+03 1.467943352291936066e+00 3.311354286607191555e-01
2.978602895968933353e+03 1.507619807041387983e+00 3.197169868072356480e-01
2.981581498864903097e+03 1.611148339883230030e+00 3.118197605021350571e-01
2.984563080363769132e+03 1.479401014956312377e+00 3.118646367552577181e-01
2.987547643444133882e+03 1.646317584055603245e+00 3.091395482701655428e-01
2.990535191087578823e+03 1.710171413654912875e+00 3.063901977958767842e-01
2.993525726278667662e+03 1.878565888767232295e+00 2.947192053779519316e-01
2.996519252004947248e+03 1.976508864721508330e+00 2.946607626145821834e-01
2.999515771256953030e+03 2.027996520419449222e+00 2.900613936038979879e-01
3.002515287028211333e+03 2.125769379282842930e+00 2.887164594143011298e-01
3.005517802315240260e+03 2.173965687024485671e+00 2.820540857820092451e-01
3.008523320117556523e+03 2.117301099593516867e+00 2.836914012738653845e-01
3.011531843437674979e+03 2.068788354150641329e+00 2.769514757568206642e-01
3.014543375281113640e+03 2.010435262120091160e+00 2.690699717619888243e-01
3.017557918656395941e+03 2.001431005628404147e+00 2.644934174003260030e-01
3.020575476575053472e+03 1.964006794854172844e+00 2.538743354046830158e-01
3.023596052051629158e+03 1.910652947556873205e+00 2.491382725261206410e-01
3.026619648103681811e+03 1.918168477547968820e+00 2.422135495383633541e-01
3.029646267751786581e+03 1.821357087940035813e+00 2.393463134913528523e-01
3.032675914019539505e+03 1.796649360299530374e+00 2.337483139515585395e-01
3.035708589933559779e+03 1.631008743876154909e+00 2.338949720597663373e-01
3.038744298523494763e+03 1.459675127025622299e+00 2.260635115781845506e-01
3.041783042822019070e+03 1.373124182995458131e+00 2.209573934029634423e-01
3.044824825864842296e+03 1.246047945992091011e+00 2.229382853407362586e-01
3.047869650690708113e+03 1.247943992696214366e+00 2.178299759765890131e-01
3.050917520341399722e+03 1.286379108610922639e+00 2.125940084134432806e-01
3.053968437861742132e+03 1.278452386966098198e+00 2.029382550344983882e-01
3.057022406299604881e+03 1.250659594129516439e+00 1.957209384946801134e-01
3.060079428705905229e+03 1.253006349241896800e+00 1.919245124942167424e-01
3.063139508134612242e+03 1.229825698912817566e+00 1.888614292150118945e-01
3.066202647642748161e+03 1.306544364666582192e+00 1.880524826705784192e-01
3.069268850290391583e+03 1.456851033312825949e+00 1.921911568558822836e-01
3.072338119140682920e+03 1.497523773170383210e+00 1.940022558162945165e-01
3.075410457259824852e+03 1.437377504814786322e+00 1.908288670603815185e-01
