# starting wavelength: 3626.438
# ending wavelength: 7330.376
# wav flux eflux
3.626818904944963379e+03 6.587374253088580378e-01 1.714892115362179059e-01
3.630445723849909427e+03 5.955939542266531772e-01 1.373428556076737583e-01
3.634076169573760581e+03 5.759072923752807105e-01 1.035473341547760995e-01
3.637710245743335690e+03 5.674520903751405498e-01 7.852881923354756988e-02
3.641347955989080219e+03 5.629930366104510808e-01 6.044764388373029956e-02
3.644989303945070333e+03 5.626021044043773012e-01 4.800409245522367641e-02
3.648634293249016537e+03 5.629068817492850485e-01 3.903091703115006000e-02
3.652282927542266862e+03 5.644726779784627890e-01 3.211810662777683789e-02
3.655935210469810499e+03 5.695347312269987139e-01 2.870128893674062792e-02
3.659591145680281443e+03 5.815748834558935876e-01 2.719453415856325912e-02
3.663250736825963031e+03 5.840572633417581150e-01 2.438096888561116712e-02
3.666913987562790226e+03 5.408140782433505933e-01 3.588853864264374138e-02
3.670580901550354156e+03 5.106931722882707136e-01 3.563904887388807952e-02
3.674251482451905758e+03 4.880869947811754539e-01 3.383309785132756348e-02
3.677925733934358959e+03 4.821382766905109030e-01 3.176948589445595383e-02
3.681603659668294313e+03 4.765116997227740736e-01 3.027446169966728495e-02
3.685285263327964003e+03 4.835225979164905485e-01 2.922551079004686442e-02
3.688970548591293209e+03 4.958424578208714406e-01 2.858619191111241853e-02
3.692659519139885560e+03 5.182810810161327941e-01 2.878524622481337669e-02
3.696352178659026777e+03 5.237801998830745598e-01 2.902685787861387576e-02
3.700048530837686940e+03 5.376639303605197373e-01 2.955213803051110616e-02
3.703748579368525952e+03 5.529051797765807130e-01 2.988078340043960959e-02
3.707452327947895355e+03 5.753463263595953725e-01 3.019365895497501395e-02
3.711159780275844696e+03 5.915830841888076730e-01 3.063956762593375224e-02
3.714870940056121526e+03 6.154295013964080630e-01 3.019995363524926799e-02
3.718585810996179134e+03 6.381503812920427121e-01 2.981874036224009192e-02
3.722304396807176545e+03 6.522076539553484098e-01 2.987166480957244297e-02
3.726026701203984885e+03 6.539851197692654328e-01 2.979752006181650426e-02
3.729752727905190113e+03 6.524227029283353740e-01 3.082288142343697981e-02
3.733482480633096657e+03 6.498634133938451241e-01 3.130456733430853761e-02
3.737215963113731050e+03 6.394663395514175175e-01 3.209386094596301114e-02
3.740953179076846027e+03 6.311594862655818261e-01 3.201878934287080702e-02
3.744694132255923705e+03 6.300891384177926824e-01 3.206433838001295639e-02
3.748438826388181042e+03 6.300831138854579017e-01 3.225284810946335567e-02
3.752187265214570289e+03 6.214660359710509896e-01 3.253108753832539835e-02
3.755939452479786269e+03 6.002988959596247120e-01 3.264609909451969549e-02
3.759695391932267285e+03 5.793708672636953549e-01 3.154285004018551192e-02
3.763455087324201031e+03 5.583282353809083665e-01 3.085197775675069601e-02
3.767218542411526414e+03 5.491874972601302751e-01 3.067514937709471881e-02
3.770985760953939007e+03 5.417265310284531399e-01 3.099012300969144346e-02
3.774756746714894234e+03 5.481757462496903432e-01 3.127923841961268575e-02
3.778531503461610555e+03 5.730261896899262464e-01 2.972833637073455174e-02
3.782310034965073100e+03 6.165704370000624213e-01 2.690424511221302731e-02
3.786092345000039586e+03 6.608241923337658807e-01 2.330781935618665701e-02
3.789878437345040766e+03 6.641616319576324479e-01 2.079934228245731292e-02
3.793668315782387253e+03 6.566872984449306783e-01 1.846070103208826904e-02
3.797461984098170888e+03 6.597683800995716163e-01 1.842602912921809805e-02
3.801259446082270188e+03 6.497659988468981185e-01 1.871083242635806707e-02
3.805060705528353537e+03 6.323334694290870805e-01 1.883769956335465748e-02
3.808865766233883278e+03 6.257775357097093982e-01 1.885410291897537255e-02
3.812674632000118436e+03 6.186848514732525839e-01 1.923610960203010756e-02
3.816487306632119726e+03 6.055110759274754395e-01 1.898103393730277491e-02
3.820303793938753188e+03 5.973493274361366678e-01 1.882672899161187685e-02
3.824124097732693372e+03 5.873164965361999945e-01 1.859944737691886923e-02
3.827948221830427428e+03 5.838489885677802249e-01 1.895420496573554936e-02
3.831776170052258749e+03 5.794169282604546556e-01 1.930018109291577535e-02
3.835607946222312421e+03 5.897531585346357241e-01 1.937718535861778293e-02
3.839443554168536139e+03 5.999816019515580301e-01 1.927405368056574544e-02
3.843282997722705659e+03 6.072240681741907231e-01 1.896414691633687907e-02
3.847126280720429804e+03 6.212721566046488508e-01 1.972319016981108689e-02
3.850973407001151372e+03 6.384040133364157210e-01 2.053608170485008919e-02
3.854824380408153957e+03 6.644081207138886613e-01 1.943653292439582320e-02
3.858679204788563311e+03 6.907403402243184054e-01 1.618208529523539399e-02
3.862537883993353262e+03 7.085716209697605628e-01 1.471353553340843875e-02
3.866400421877347981e+03 7.149107828897280914e-01 1.483501587815197302e-02
3.870266822299226533e+03 7.061794889170752709e-01 1.692406514290939815e-02
3.874137089121526969e+03 6.942821777145273821e-01 1.841792183414963854e-02
3.878011226210649966e+03 6.750545311169094953e-01 1.672428005361422873e-02
3.881889237436861549e+03 6.576877463583470362e-01 1.442084196206816667e-02
3.885771126674299921e+03 6.411542144712613078e-01 1.353263841057085297e-02
3.889656897800975457e+03 6.492784620941615126e-01 1.419787954188787837e-02
3.893546554698777527e+03 6.670240025502182091e-01 1.622010668378861056e-02
3.897440101253477678e+03 6.963037992295479928e-01 1.905332443904048795e-02
3.901337541354732366e+03 7.131952075724719009e-01 1.983489759205774375e-02
3.905238878896088409e+03 7.203568771677543170e-01 1.998968490886857130e-02
3.909144117774985716e+03 7.291128888075398828e-01 1.880661265495116655e-02
3.913053261892762293e+03 7.293217957454417588e-01 1.956400888403394059e-02
3.916966315154656058e+03 7.339870639235207550e-01 1.931103855671022218e-02
3.920883281469812118e+03 7.275807099760633889e-01 2.159171905770024269e-02
3.924804164751283224e+03 7.192705015967536530e-01 2.171876380397949266e-02
3.928728968916035683e+03 7.184698253749450814e-01 2.117174490032572992e-02
3.932657697884953450e+03 7.147846973908732471e-01 2.133121811024350778e-02
3.936590355582839493e+03 7.161546664996485401e-01 2.264158876232240727e-02
3.940526945938423523e+03 7.123625425175321713e-01 2.291821045253427530e-02
3.944467472884363360e+03 7.077205466503521114e-01 2.304103502298038633e-02
3.948411940357249023e+03 6.908305302333149767e-01 2.376135369611858880e-02
3.952360352297607733e+03 6.778768887437635060e-01 2.374626214247763101e-02
3.956312712649906643e+03 6.740864526994456707e-01 2.372583499974393467e-02
3.960269025362557841e+03 6.654961323019210617e-01 2.426240380510930744e-02
3.964229294387921527e+03 6.525991252491993855e-01 2.471867738192133623e-02
3.968193523682310570e+03 6.514157251749960187e-01 2.470649904839217897e-02
3.972161717205994591e+03 6.445639642418010684e-01 2.168873579251890879e-02
3.976133878923201792e+03 6.518747329586975781e-01 2.067523680365582553e-02
3.980110012802126221e+03 6.820011243017056746e-01 2.088010048403617092e-02
3.984090122814929600e+03 7.299304546115847891e-01 2.065124839210918245e-02
3.988074212937745870e+03 7.877100841306857726e-01 1.815621758858344467e-02
3.992062287150684824e+03 8.404224082587271605e-01 1.664491078785979017e-02
3.996054349437837118e+03 8.838757993967191195e-01 1.591389012070268741e-02
4.000050403787276082e+03 9.126456414789775318e-01 1.632856405054271959e-02
4.004050454191064546e+03 9.241989847728415697e-01 1.415571509452196418e-02
4.008054504645257111e+03 9.169675990602673687e-01 1.089610437111655436e-02
4.012062559149903791e+03 9.245246455013418352e-01 1.133811772235005996e-02
4.016074621709055009e+03 9.274926319499272598e-01 1.127999327373737162e-02
4.020090696330765240e+03 9.237010579536704125e-01 1.158888405717441172e-02
4.024110787027097558e+03 9.242142505281172316e-01 1.112624370277914831e-02
4.028134897814125907e+03 9.240658541539709114e-01 1.068142486019483736e-02
4.032163032711941469e+03 9.195125101177396010e-01 9.569421104967834601e-03
4.036195195744654484e+03 9.260939945618903435e-01 9.580694323843447560e-03
4.040231390940400615e+03 9.296917604308266858e-01 9.472063086844615884e-03
4.044271622331342314e+03 9.325507350128277029e-01 8.602433736827324456e-03
4.048315893953675186e+03 9.468298906972516527e-01 1.077833599811575324e-02
4.052364209847629809e+03 9.377324542625086190e-01 1.212943207838813008e-02
4.056416574057479011e+03 9.273332904924984632e-01 1.374189650386109518e-02
4.060472990631537868e+03 9.234860821971728750e-01 1.337140434566788487e-02
4.064533463622170530e+03 9.265894153833873492e-01 1.333641161487740708e-02
4.068597997085794304e+03 9.289119029609309575e-01 1.417788136832079902e-02
4.072666595082881486e+03 9.265668806514123501e-01 1.429180440713413887e-02
4.076739261677965715e+03 9.162498604239796007e-01 1.450240664932714307e-02
4.080816000939644709e+03 8.979630811476571051e-01 1.395683276048750691e-02
4.084896816940585722e+03 8.715628748880308585e-01 1.402526474134314916e-02
4.088981713757527814e+03 8.369787344253161177e-01 1.552808043238327815e-02
4.093070695471286854e+03 8.101027797338281600e-01 1.580201442681709173e-02
4.097163766166759160e+03 7.908866924338388005e-01 1.506077650437496855e-02
4.101260929932927866e+03 7.804407768532413137e-01 1.542272497854567555e-02
4.105362190862862008e+03 7.667126275735343111e-01 1.517887807518309568e-02
4.109467553053726078e+03 7.664891593443323714e-01 1.453199208714660122e-02
4.113577020606780934e+03 7.824711328760141082e-01 1.483684265937478854e-02
4.117690597627389252e+03 8.104196584320743080e-01 1.543069929884737998e-02
4.121808288225018259e+03 8.420964685073690781e-01 1.536264450788265776e-02
4.125930096513244280e+03 8.857160611643042358e-01 1.123772175240173726e-02
4.130056026609759101e+03 9.018309538393943781e-01 1.079295664714387780e-02
4.134186082636369974e+03 9.070431362494841832e-01 1.150290716069623902e-02
4.138320268719007800e+03 9.176286487807143732e-01 1.157504689580912682e-02
4.142458588987728035e+03 9.261066352664442114e-01 1.093559296444315126e-02
4.146601047576717065e+03 9.360381668057733417e-01 1.089762024631696184e-02
4.150747648624294925e+03 9.420800546081673499e-01 1.117162076253002366e-02
4.154898396272920763e+03 9.449323184111374507e-01 1.080904126763882617e-02
4.159053294669195566e+03 9.408490645195748403e-01 1.100426393603166388e-02
4.163212347963865795e+03 9.393015050567847801e-01 1.124194185523374676e-02
4.167375560311830668e+03 9.381029282226592825e-01 1.122477417238440696e-02
4.171542935872143971e+03 9.350652571248506684e-01 1.097668711255600157e-02
4.175714478808017702e+03 9.281210900088449067e-01 1.117108129267315939e-02
