# starting wavelength: 3375.211
# ending wavelength: 8438.027
# wav flux eflux
3.378363449485920228e+03 1.622892425460744414e+00 1.364679660524823035e+00
3.381741812935407324e+03 1.197288476848715755e+00 9.893633052376867854e-01
3.385123554748343849e+03 1.021968903723747379e+00 8.039108282794501514e-01
3.388508678303093347e+03 9.019659378315303400e-01 6.238963398419854478e-01
3.391897186981397681e+03 7.973946093863060192e-01 4.988392452576254077e-01
3.395289084168380214e+03 7.757509167427532049e-01 4.115946169804457488e-01
3.398684373252549449e+03 8.332969269603163198e-01 3.307939634366558468e-01
3.402083057625803121e+03 9.396415067015989608e-01 2.866980475413851148e-01
3.405485140683430018e+03 1.020320162941283693e+00 2.591968188890523273e-01
3.408890625824114522e+03 1.064764953297095973e+00 2.406666750388230525e-01
3.412299516449939802e+03 1.017735759882325564e+00 2.624149783541138703e-01
3.415711815966390986e+03 1.007615144233080517e+00 2.438150929417451929e-01
3.419127527782358356e+03 1.044579993695534226e+00 2.246128122693946128e-01
3.422546655310141887e+03 1.080969225164291281e+00 2.097731703289689442e-01
3.425969201965453522e+03 1.100272929343218298e+00 1.985285536396669548e-01
3.429395171167419903e+03 1.115022612757583298e+00 1.898352315285687097e-01
3.432824566338588284e+03 1.168889674780861920e+00 1.823222226525411938e-01
3.436257390904928343e+03 1.201370553254503815e+00 1.809990267448525203e-01
3.439693648295834464e+03 1.193897780632775740e+00 1.747482637407549999e-01
3.443133341944131189e+03 1.202314304279549884e+00 1.691209248574310486e-01
3.446576475286076402e+03 1.150096807254858744e+00 1.593957697985731448e-01
3.450023051761363604e+03 1.197954370237568789e+00 1.551416448597142672e-01
3.453473074813126004e+03 1.220684878335577705e+00 1.578008451331454065e-01
3.456926547887940615e+03 1.230999549385844549e+00 1.620615491586242518e-01
3.460383474435829612e+03 1.213150946938839070e+00 1.620853137564313429e-01
3.463843857910266706e+03 1.148575549831682086e+00 1.586971807684393609e-01
3.467307701768178049e+03 1.117303473060171637e+00 1.585964537368124427e-01
3.470775009469947236e+03 1.097203948684113861e+00 1.565463626192528657e-01
3.474245784479418489e+03 1.107699462620306718e+00 1.530606828820977594e-01
3.477720030263898934e+03 1.103465988070506887e+00 1.529985926469255297e-01
3.481197750294164052e+03 1.084140713210048235e+00 1.581621937810223644e-01
3.484678948044459503e+03 1.040387641098634797e+00 1.602962824834217870e-01
3.488163626992504760e+03 9.833417193659689248e-01 1.608452899537411718e-01
3.491651790619498570e+03 9.286491117628926650e-01 1.616395200356905981e-01
3.495143442410119405e+03 8.867249799572268776e-01 1.557209496042496755e-01
3.498638585852530468e+03 8.902783393855163707e-01 1.581792607622106162e-01
3.502137224438384237e+03 8.799039764021191479e-01 1.639567532131748218e-01
3.505639361662823831e+03 8.597452353671660719e-01 1.625344206815333703e-01
3.509145001024487556e+03 8.056398902420530694e-01 1.523067285588557696e-01
3.512654146025513455e+03 8.052494977658707365e-01 1.538168865969123111e-01
3.516166800171540217e+03 8.590005281413027882e-01 1.428956670592575751e-01
3.519682966971712631e+03 9.316766639677367401e-01 1.219560349011318823e-01
3.523202649938685681e+03 1.018074403310266218e+00 1.012293752071622560e-01
3.526725852588625457e+03 1.017045630836683756e+00 1.026274544838878811e-01
3.530252578441215064e+03 1.010268784950161036e+00 1.032745205684967998e-01
3.533782831019657806e+03 9.383146390041675611e-01 9.262699166358366598e-02
3.537316613850678550e+03 9.298437476628120812e-01 9.261121283794544745e-02
3.540853930464530094e+03 9.388970128875215870e-01 9.263185351855687810e-02
3.544394784394995895e+03 9.090636916877733453e-01 8.953000999081808797e-02
3.547939179179392340e+03 8.885804183327014050e-01 8.957966012773778408e-02
3.551487118358572843e+03 8.430689928481697182e-01 8.826239751464436123e-02
3.555038605476932389e+03 8.306745521626658357e-01 8.760276086026921871e-02
3.558593644082410719e+03 8.166826138836602578e-01 8.890464923002525111e-02
3.562152237726494150e+03 7.547153254869275463e-01 8.386671300830102205e-02
3.565714389964221937e+03 7.179482764740369172e-01 8.313353433410777815e-02
3.569280104354187188e+03 7.254203800391638701e-01 8.262894589054409211e-02
3.572849384458542772e+03 7.529300272516292747e-01 8.095292588030388037e-02
3.576422233843002232e+03 7.660882292377078073e-01 8.082666590918013982e-02
3.579998656076846601e+03 7.597764022166217934e-01 8.303399925356221012e-02
3.583578654732924406e+03 7.762931061247493325e-01 8.309865906484614761e-02
3.587162233387658489e+03 8.337363058518174608e-01 9.060274173716371948e-02
3.590749395621047370e+03 9.312844751931492748e-01 8.703873344466359074e-02
3.594340145016669794e+03 9.862216189196693072e-01 8.508919316134423705e-02
3.597934485161687462e+03 9.903678400767419454e-01 8.521728227430354352e-02
3.601532419646850485e+03 9.559763647108149298e-01 8.243383049555282061e-02
3.605133952066498296e+03 9.462958959564767847e-01 8.458433490680471178e-02
3.608739086018566013e+03 1.017343221459290348e+00 8.974686023901683185e-02
3.612347825104585809e+03 1.084606205182305549e+00 8.975485378052686092e-02
3.615960172929691907e+03 1.085881399541082981e+00 9.303238789374235207e-02
3.619576133102622407e+03 1.088727756694946480e+00 9.460786949728536288e-02
3.623195709235726554e+03 1.081647452046713198e+00 9.611121838556453689e-02
3.626818904944963379e+03 1.087626848249235945e+00 9.971963170163600232e-02
3.630445723849909427e+03 1.090238768810497527e+00 9.948488264388505309e-02
3.634076169573760581e+03 1.098086300359923051e+00 1.006102256487985541e-01
3.637710245743335690e+03 1.073112543379618478e+00 1.001983100494545226e-01
3.641347955989080219e+03 1.044886283487300727e+00 9.714654005073260212e-02
3.644989303945070333e+03 1.028977934915715098e+00 9.732073982835984238e-02
