# starting wavelength: 3089.676
# ending wavelength: 8779.201
# wav flux eflux
3.090818294420186248e+03 4.113050487804559840e-01 1.210043574291105040e-01
3.093909112714607545e+03 3.915422706685660059e-01 8.986072896397072352e-02
3.097003021827323209e+03 3.817046103249573941e-01 7.668795993924817922e-02
3.100100024849151396e+03 3.849591015375909975e-01 5.973872724952585672e-02
3.103200124874001631e+03 3.841879624993342901e-01 4.610675808298875245e-02
3.106303324998876633e+03 3.844885047514201015e-01 3.627794855368497023e-02
3.109409628323876859e+03 3.879687381668535107e-01 2.898156184375995023e-02
3.112519037952201415e+03 3.919084376513872758e-01 2.372967721318086642e-02
3.115631556990154877e+03 3.957393870292231219e-01 2.050346284844430447e-02
3.118747188547145925e+03 3.986791347437968480e-01 1.743306265960187229e-02
3.121865935735694165e+03 4.047744654309715084e-01 1.581859362930833693e-02
3.124987801671431043e+03 4.105104945272868289e-01 1.400268998674725207e-02
3.128112789473103476e+03 4.176984107493932896e-01 1.271299244013345160e-02
3.131240902262577492e+03 4.204743886144814424e-01 1.286220845272037679e-02
3.134372143164840963e+03 4.298235465745766093e-01 1.258409966668630649e-02
3.137506515308006783e+03 4.357333170839123304e-01 1.187237445471369356e-02
3.140644021823316052e+03 4.398661960349252720e-01 1.139265925526619129e-02
3.143784665845140353e+03 4.406455147504279024e-01 1.087280769813440094e-02
3.146928450510986750e+03 4.382305461708557170e-01 1.062444613635924948e-02
3.150075378961498700e+03 4.376632438403343928e-01 1.034048336836278226e-02
3.153225454340461056e+03 4.312913886285477671e-01 1.056098620340525755e-02
3.156378679794802792e+03 4.343099090315783450e-01 1.074334481295582608e-02
3.159535058474598372e+03 4.292690838104187279e-01 1.089722039232405605e-02
3.162694593533074112e+03 4.289814714854290334e-01 1.078109238027234913e-02
3.165857288126608182e+03 4.250732536071927803e-01 1.069443998685195435e-02
3.169023145414736064e+03 4.245248018228900411e-01 1.042414872281471547e-02
3.172192168560151458e+03 4.238226867851475621e-01 1.034733915742136641e-02
3.175364360728712654e+03 4.228491173768038625e-01 1.043624675524884755e-02
3.178539725089442527e+03 4.184610554973984820e-01 1.012592784798317831e-02
3.181718264814533086e+03 4.189396795576912358e-01 1.005375023200089611e-02
3.184899983079348658e+03 4.229840572412538746e-01 1.005404114509604770e-02
3.188084883062429071e+03 4.243772302127460927e-01 1.001016932395147781e-02
3.191272967945492383e+03 4.289745022418291476e-01 1.023421120781336374e-02
3.194464240913438971e+03 4.314498237787047774e-01 1.004026188583394090e-02
3.197658705154353811e+03 4.373840631944300172e-01 1.030933145023687873e-02
3.200856363859509202e+03 4.411598399532981607e-01 1.008468336296952823e-02
3.204057220223369768e+03 4.427109980318234550e-01 9.894396469006368211e-03
3.207261277443593826e+03 4.453645258741057988e-01 9.546357268100392687e-03
3.210468538721038840e+03 4.420488554078523813e-01 9.663125682144198605e-03
3.213679007259760965e+03 4.451101279611384132e-01 9.146998213939995861e-03
3.216892686267021418e+03 4.456221285700427415e-01 8.955371645836679440e-03
3.220109578953289656e+03 4.445590861673661132e-01 8.863774876524883536e-03
3.223329688532243836e+03 4.446949073775474659e-01 8.763442224549484669e-03
3.226553018220777176e+03 4.437162413775090353e-01 8.759669967732187229e-03
3.229779571238999324e+03 4.435473173455521390e-01 8.417287164923304907e-03
3.233009350810239084e+03 4.395151575616830231e-01 8.522973322204105071e-03
3.236242360161050783e+03 4.399707180091934622e-01 8.519560162938375272e-03
3.239478602521212906e+03 4.398684578109834376e-01 8.298769713367177073e-03
3.242718081123734919e+03 4.385782863129737974e-01 8.196623406219911978e-03
3.245960799204859995e+03 4.377708482041993698e-01 7.767631798380190619e-03
3.249206760004065927e+03 4.383984913130993810e-01 7.682636432668897737e-03
3.252455966764071036e+03 4.422407517177029956e-01 7.673906610258894936e-03
3.255708422730835991e+03 4.461945015208065857e-01 7.760637066471187846e-03
3.258964131153567905e+03 4.482518116448627188e-01 7.869274244307332064e-03
3.262223095284722604e+03 4.500619448820980528e-01 7.939001738080949874e-03
3.265485318380008266e+03 4.530280366474613296e-01 7.695254142100188717e-03
3.268750803698389518e+03 4.586755156805703559e-01 7.446100133565545544e-03
3.272019554502088795e+03 4.592653837026547392e-01 7.328154569584820199e-03
3.275291574056592253e+03 4.623860497532259473e-01 7.043539588258267321e-03
3.278566865630649772e+03 4.632297505870948684e-01 6.949559212359021979e-03
3.281845432496281319e+03 4.615565094331934848e-01 7.186397890334227968e-03
3.285127277928778767e+03 4.610241556558669074e-01 6.821544321365298653e-03
3.288412405206708627e+03 4.587878184131254922e-01 6.654290282000489137e-03
3.291700817611916591e+03 4.588767298044850174e-01 6.648469394540106915e-03
3.294992518429529355e+03 4.582684972724356265e-01 6.602640433444553585e-03
3.298287510947960072e+03 4.592651012328000659e-01 6.367595721520623829e-03
3.301585798458909267e+03 4.559970984007448713e-01 6.399748220993564836e-03
3.304887384257369376e+03 4.558781314853656008e-01 6.292326368886927077e-03
3.308192271641627485e+03 4.558169619461007183e-01 6.206692681283688950e-03
3.311500463913270323e+03 4.546386489820887777e-01 6.040565837596555826e-03
3.314811964377184722e+03 4.535346212763826101e-01 6.006510053230640876e-03
3.318126776341563072e+03 4.519958499276079400e-01 6.030358396534721277e-03
3.321444903117905596e+03 4.514503126915916376e-01 5.908898806269820975e-03
3.324766348021024896e+03 4.509209539485980467e-01 5.961480130210994668e-03
3.328091114369046863e+03 4.512221228762500203e-01 5.901318868336222385e-03
3.331419205483417045e+03 4.536879743620615413e-01 5.756051891201762437e-03
3.334750624688901553e+03 4.573163733309593137e-01 5.742309077301247129e-03
3.338085375313591612e+03 4.574732335270951245e-01 5.789484423428368012e-03
3.341423460688906289e+03 4.604237910731253658e-01 5.560634816782743933e-03
3.344764884149596128e+03 4.597509884286496984e-01 5.635369914058796850e-03
3.348109649033746791e+03 4.594237563852063277e-01 5.528985191313922319e-03
3.351457758682781787e+03 4.566596532228807126e-01 5.555461153312747299e-03
3.354809216441465651e+03 4.549828052477782325e-01 5.669805245542175118e-03
3.358164025657908041e+03 4.555421124772676134e-01 5.863232148509235631e-03
3.361522189683567376e+03 4.572148526352444731e-01 5.793191298772835084e-03
3.364883711873251741e+03 4.576247162970372706e-01 5.318410790046851702e-03
3.368248595585126168e+03 4.608090753676084006e-01 5.517836355916461155e-03
3.371616844180712633e+03 4.653085252960173501e-01 5.283607327239436997e-03
3.374988461024894150e+03 4.663220437823443199e-01 5.271778848371991982e-03
3.378363449485920228e+03 4.700683028434398669e-01 5.243727796535184275e-03
3.381741812935407324e+03 4.740833830404129756e-01 5.411207155681063870e-03
3.385123554748343849e+03 4.800215355880904089e-01 5.352932010902207438e-03
3.388508678303093347e+03 4.825555734468988112e-01 5.364886539062331365e-03
3.391897186981397681e+03 4.870272190772953480e-01 5.309117938345236931e-03
3.395289084168380214e+03 4.914443260347761688e-01 5.195434000699157388e-03
3.398684373252549449e+03 4.935061794035800475e-01 5.307775073390188711e-03
3.402083057625803121e+03 4.961476304129306958e-01 5.332769534493672636e-03
3.405485140683430018e+03 4.985862708606144666e-01 5.483731780144596862e-03
3.408890625824114522e+03 4.990213299266588742e-01 5.722205800859149136e-03
3.412299516449939802e+03 5.040978880169161291e-01 5.872788060128113739e-03
3.415711815966390986e+03 5.073771440580566727e-01 6.066741163465423983e-03
3.419127527782358356e+03 5.072211788164161517e-01 5.738566073904566127e-03
3.422546655310141887e+03 5.079390106319773279e-01 5.708008291319229682e-03
3.425969201965453522e+03 5.109367192887063203e-01 5.894262441435555583e-03
3.429395171167419903e+03 5.165785026912532718e-01 6.439173788396834221e-03
3.432824566338588284e+03 5.225429690299971952e-01 6.362566237260699857e-03
3.436257390904928343e+03 5.264153014395629437e-01 6.415088554270012913e-03
3.439693648295834464e+03 5.298972021277351674e-01 6.079460436888677217e-03
3.443133341944131189e+03 5.319311269485387239e-01 6.084668997000804505e-03
3.446576475286076402e+03 5.316546340994754427e-01 6.010718002137665009e-03
3.450023051761363604e+03 5.299418287466387545e-01 5.742315880302019220e-03
3.453473074813126004e+03 5.275168259037018581e-01 5.920531792405380606e-03
3.456926547887940615e+03 5.282477838239797441e-01 5.829628652770954371e-03
3.460383474435829612e+03 5.286097924679068472e-01 5.918876941346777436e-03
3.463843857910266706e+03 5.276371779174982013e-01 6.205935736547333638e-03
3.467307701768178049e+03 5.254976446760264430e-01 6.080471133864622998e-03
3.470775009469947236e+03 5.235116637638672632e-01 5.995412038981923902e-03
3.474245784479418489e+03 5.254890017204983943e-01 5.980624111792850507e-03
3.477720030263898934e+03 5.277715747602237384e-01 5.959933958730306673e-03
3.481197750294164052e+03 5.312478324751305214e-01 6.084864155453035585e-03
3.484678948044459503e+03 5.354709678268839701e-01 6.113337954017071876e-03
3.488163626992504760e+03 5.407205843120892474e-01 6.237993618860107094e-03
