# starting wavelength: 3296.682
# ending wavelength: 9696.912
# wav flux eflux
3.298287510947960072e+03 9.542157550373494557e-01 5.011480504701485428e-01
3.301585798458909267e+03 1.052850942306309046e+00 3.718002597200156800e-01
3.304887384257369376e+03 1.096836783996776310e+00 2.820195028880865817e-01
3.308192271641627485e+03 1.105439545341112995e+00 2.193561332181928336e-01
3.311500463913270323e+03 1.099849384371551997e+00 1.807948198403701301e-01
3.314811964377184722e+03 1.104294486088713612e+00 1.443858645217848402e-01
3.318126776341563072e+03 1.114153413940973225e+00 1.266122827992899047e-01
3.321444903117905596e+03 1.100288983377894159e+00 1.052881035959780387e-01
3.324766348021024896e+03 1.086683162044327355e+00 8.923713152581852492e-02
3.328091114369046863e+03 1.069847067744490898e+00 8.157851138206979880e-02
3.331419205483417045e+03 1.046034265262151930e+00 7.226372230847157019e-02
3.334750624688901553e+03 1.025474695573059591e+00 6.440694306586994267e-02
3.338085375313591612e+03 1.006397720383949590e+00 5.937742202705122152e-02
3.341423460688906289e+03 1.009675970309933168e+00 5.572084649987071175e-02
3.344764884149596128e+03 1.014992698171394370e+00 5.308472652414423371e-02
3.348109649033746791e+03 9.982558771670222431e-01 5.157878133522442871e-02
3.351457758682781787e+03 1.024575562669623796e+00 5.093820700469827573e-02
3.354809216441465651e+03 1.045403963886127663e+00 5.040920699789006032e-02
3.358164025657908041e+03 1.075591786756841417e+00 5.057177688738381804e-02
3.361522189683567376e+03 1.094804750291721973e+00 4.955312743369315320e-02
3.364883711873251741e+03 1.112296563385585246e+00 4.905981902590969557e-02
3.368248595585126168e+03 1.141206926742504457e+00 4.801695299063792749e-02
3.371616844180712633e+03 1.170453748391129256e+00 4.569566193383053226e-02
3.374988461024894150e+03 1.218548612193788960e+00 4.777208957658095334e-02
3.378363449485920228e+03 1.248329352593817942e+00 4.873251101885940628e-02
3.381741812935407324e+03 1.265832108896549180e+00 4.822477326381471169e-02
3.385123554748343849e+03 1.271636510536264586e+00 4.864600867153390934e-02
3.388508678303093347e+03 1.272761802335363512e+00 4.884130939599293231e-02
3.391897186981397681e+03 1.260088889493466979e+00 5.047457317896397039e-02
3.395289084168380214e+03 1.260472193417506936e+00 5.158202075311114215e-02
3.398684373252549449e+03 1.266160418655288833e+00 5.262572807239093708e-02
3.402083057625803121e+03 1.278866593854144362e+00 5.273682898913110290e-02
3.405485140683430018e+03 1.291483825440026711e+00 5.193537697501462297e-02
3.408890625824114522e+03 1.286181341658333199e+00 5.116913647221006667e-02
3.412299516449939802e+03 1.305328854946287587e+00 5.115117284987691360e-02
3.415711815966390986e+03 1.294612707616242586e+00 5.009992403392515142e-02
3.419127527782358356e+03 1.301636838956969244e+00 4.847398512510587426e-02
3.422546655310141887e+03 1.315790513410914020e+00 4.775908965497800696e-02
3.425969201965453522e+03 1.330890799195537211e+00 4.808746497768637967e-02
3.429395171167419903e+03 1.374522332291556737e+00 4.954981567987868513e-02
3.432824566338588284e+03 1.408734739107244449e+00 4.785128735489699997e-02
3.436257390904928343e+03 1.448159024115748039e+00 4.588431038100514864e-02
3.439693648295834464e+03 1.479769707287080793e+00 4.702871309838273228e-02
3.443133341944131189e+03 1.495802618762690273e+00 4.653095166745000594e-02
3.446576475286076402e+03 1.540920719214129875e+00 4.482154490479164227e-02
3.450023051761363604e+03 1.582927408766827915e+00 4.480544655091502765e-02
3.453473074813126004e+03 1.608632485031090020e+00 4.292786493309125317e-02
3.456926547887940615e+03 1.638386601285660715e+00 4.237122361227306511e-02
3.460383474435829612e+03 1.660275142300851936e+00 4.233936701846005568e-02
3.463843857910266706e+03 1.686005691809093765e+00 4.230944899320990965e-02
3.467307701768178049e+03 1.704143710163973813e+00 4.212577628900231186e-02
3.470775009469947236e+03 1.725491912919160598e+00 4.133600244282930464e-02
3.474245784479418489e+03 1.759222509426261682e+00 4.085590939472058536e-02
3.477720030263898934e+03 1.773621218160520874e+00 4.169797923978874749e-02
3.481197750294164052e+03 1.786349088003932106e+00 4.030358391293918652e-02
3.484678948044459503e+03 1.821158314226409614e+00 4.082240849925163756e-02
3.488163626992504760e+03 1.860912251059461342e+00 4.188236068706496090e-02
3.491651790619498570e+03 1.914650364454621556e+00 4.312438610755065654e-02
3.495143442410119405e+03 1.948860259000680939e+00 4.043439109410278121e-02
3.498638585852530468e+03 1.985152851050722367e+00 4.018867329942397287e-02
3.502137224438384237e+03 2.011102584640686697e+00 3.978019605265400993e-02
3.505639361662823831e+03 2.050239273858871059e+00 3.998516559453230146e-02
3.509145001024487556e+03 2.099863544770615320e+00 3.957519565673928846e-02
3.512654146025513455e+03 2.159355415900044317e+00 3.977856584765841752e-02
3.516166800171540217e+03 2.185392735266544761e+00 3.949605798164868009e-02
3.519682966971712631e+03 2.238070032121191488e+00 3.925752061844330065e-02
3.523202649938685681e+03 2.283070746184101107e+00 4.032726608974071536e-02
3.526725852588625457e+03 2.336349558133209658e+00 4.257106877110278936e-02
3.530252578441215064e+03 2.365273801995991132e+00 4.186812932089722245e-02
3.533782831019657806e+03 2.365560183489881840e+00 4.279529776669444702e-02
3.537316613850678550e+03 2.379670655293992354e+00 4.173822783424208094e-02
3.540853930464530094e+03 2.376234534745099047e+00 4.229082139760737685e-02
3.544394784394995895e+03 2.382091506924878033e+00 4.189187468558392552e-02
3.547939179179392340e+03 2.369964822718784614e+00 4.083441557667211869e-02
3.551487118358572843e+03 2.369006872354441295e+00 4.050129232804983853e-02
3.555038605476932389e+03 2.369826545014990682e+00 4.096394185421474432e-02
3.558593644082410719e+03 2.358102814791268376e+00 3.860020063565357956e-02
3.562152237726494150e+03 2.342150898075002985e+00 4.008884664666434450e-02
3.565714389964221937e+03 2.336163861280752929e+00 3.990407212131150821e-02
3.569280104354187188e+03 2.341213405276129311e+00 4.008929984727985230e-02
3.572849384458542772e+03 2.356233173912145151e+00 4.130445059589606116e-02
3.576422233843002232e+03 2.369962326510445472e+00 4.105355355899339281e-02
3.579998656076846601e+03 2.392239366717562987e+00 4.057709367496580705e-02
3.583578654732924406e+03 2.419378291028059458e+00 4.060974755554836585e-02
3.587162233387658489e+03 2.428245878126677582e+00 4.110105018551662992e-02
3.590749395621047370e+03 2.445832170390128457e+00 4.062186208696892675e-02
3.594340145016669794e+03 2.470254425206791726e+00 3.963568575991095744e-02
3.597934485161687462e+03 2.489700643621030274e+00 3.814208193196892693e-02
3.601532419646850485e+03 2.502909265264314342e+00 3.769322849152632188e-02
3.605133952066498296e+03 2.506021291097412007e+00 3.663851898849509320e-02
3.608739086018566013e+03 2.509987987194596926e+00 3.633353951759567269e-02
3.612347825104585809e+03 2.516213912235409911e+00 3.695756643708570516e-02
3.615960172929691907e+03 2.518695784992044828e+00 3.808743443852899424e-02
3.619576133102622407e+03 2.487786627413344220e+00 3.936987130587221717e-02
3.623195709235726554e+03 2.468691174227181762e+00 3.953005098963158215e-02
3.626818904944963379e+03 2.436830834160916393e+00 3.753977889927708617e-02
3.630445723849909427e+03 2.427461622741261760e+00 3.540313474899780405e-02
3.634076169573760581e+03 2.409564623337457689e+00 3.510083995067384693e-02
