# starting wavelength: 3336.839
# ending wavelength: 9322.115
# wav flux eflux
3.338085375313591612e+03 8.387172589249499710e-01 5.723399169276710552e-01
3.341423460688906289e+03 8.472934579072838313e-01 4.296763503653154848e-01
3.344764884149596128e+03 8.783133409741711306e-01 3.368774147320853785e-01
3.348109649033746791e+03 8.862454235224862531e-01 2.585236478459217446e-01
3.351457758682781787e+03 8.654701400434092751e-01 2.006008833579036310e-01
3.354809216441465651e+03 8.253559537805398305e-01 1.727826421328689799e-01
3.358164025657908041e+03 8.071587185118158647e-01 1.401611556029565275e-01
3.361522189683567376e+03 7.936429435138115940e-01 1.136136283278025710e-01
3.364883711873251741e+03 7.938733188447801847e-01 9.953400074470283854e-02
3.368248595585126168e+03 8.028079397099037173e-01 8.687988111097208477e-02
3.371616844180712633e+03 8.129347902575931872e-01 7.544009128075515602e-02
3.374988461024894150e+03 8.414220025097467470e-01 6.954102955016108756e-02
3.378363449485920228e+03 8.676973734079264089e-01 6.373006187011735768e-02
3.381741812935407324e+03 9.044424406100854963e-01 6.022489361428774030e-02
3.385123554748343849e+03 9.292985218592764163e-01 5.705370172764628878e-02
3.388508678303093347e+03 9.639398093070965512e-01 5.455435506783117006e-02
3.391897186981397681e+03 9.849165385553154684e-01 5.178190079294191228e-02
3.395289084168380214e+03 1.006834434853678850e+00 5.103572882490118451e-02
3.398684373252549449e+03 1.014703779070000644e+00 5.105917523532211427e-02
3.402083057625803121e+03 1.033380454774419865e+00 5.142554813733395819e-02
3.405485140683430018e+03 1.055611506761686913e+00 5.142939659963503135e-02
3.408890625824114522e+03 1.099547101095575519e+00 5.052240813559046029e-02
3.412299516449939802e+03 1.133482640495428129e+00 4.951536425409875514e-02
3.415711815966390986e+03 1.139841442046118036e+00 5.080058102566086670e-02
3.419127527782358356e+03 1.146329765768978159e+00 4.900614586043598037e-02
3.422546655310141887e+03 1.147870805483028223e+00 4.821123755181281473e-02
3.425969201965453522e+03 1.171559527662322520e+00 4.596532516181595779e-02
3.429395171167419903e+03 1.169931839333987478e+00 4.601245912382707220e-02
3.432824566338588284e+03 1.151865775450435114e+00 5.047939151958064780e-02
3.436257390904928343e+03 1.140236117016205641e+00 4.956861180058341754e-02
3.439693648295834464e+03 1.119042462766360657e+00 5.254301799308010168e-02
3.443133341944131189e+03 1.118642035010593228e+00 4.837696816965496999e-02
3.446576475286076402e+03 1.127886368615730772e+00 4.687224881742809574e-02
3.450023051761363604e+03 1.156050704442733501e+00 4.883974279278040231e-02
3.453473074813126004e+03 1.198275150204255013e+00 4.859628993539088365e-02
3.456926547887940615e+03 1.249781546299841839e+00 4.764709121293544958e-02
3.460383474435829612e+03 1.300004093740040556e+00 4.762671778471126022e-02
3.463843857910266706e+03 1.346154979862984158e+00 4.674871841008981094e-02
3.467307701768178049e+03 1.404295840722997513e+00 4.674389123119160327e-02
3.470775009469947236e+03 1.458629628855114380e+00 4.832403105440297858e-02
3.474245784479418489e+03 1.541212195009883601e+00 5.202504494588661155e-02
3.477720030263898934e+03 1.614974313017990326e+00 5.000117901939517967e-02
3.481197750294164052e+03 1.706253972252127049e+00 5.890096799403340966e-02
3.484678948044459503e+03 1.779522443225404649e+00 5.938355764695363304e-02
3.488163626992504760e+03 1.851002045978465294e+00 5.981453454478793952e-02
3.491651790619498570e+03 1.903666696170835726e+00 5.903061655534055929e-02
3.495143442410119405e+03 1.964268047424979180e+00 5.892653801415033421e-02
3.498638585852530468e+03 2.010137110897164625e+00 5.765076567500740379e-02
3.502137224438384237e+03 2.028271702527576714e+00 5.711859028229596819e-02
3.505639361662823831e+03 2.068922028927445478e+00 5.755217335541396029e-02
3.509145001024487556e+03 2.075147882506325203e+00 6.066536624917895359e-02
3.512654146025513455e+03 2.045118955722186271e+00 6.457020261256575522e-02
3.516166800171540217e+03 2.018012834938815558e+00 5.460013128997960596e-02
3.519682966971712631e+03 2.021917267126740914e+00 5.443311494151337887e-02
3.523202649938685681e+03 2.009069963391304281e+00 5.079440989662562661e-02
3.526725852588625457e+03 2.013132422430811364e+00 5.091484470983159011e-02
3.530252578441215064e+03 2.009890407868836881e+00 5.222594700274657553e-02
3.533782831019657806e+03 2.027669703800393020e+00 5.092895419203397056e-02
3.537316613850678550e+03 2.048491448779122592e+00 5.321532787063426584e-02
3.540853930464530094e+03 2.078808204750668853e+00 5.294398680323853662e-02
3.544394784394995895e+03 2.106283641769735926e+00 5.224854189558662820e-02
3.547939179179392340e+03 2.132229602171061167e+00 5.006566817745781994e-02
3.551487118358572843e+03 2.170598975475601211e+00 5.626486417205581181e-02
3.555038605476932389e+03 2.198041465851177989e+00 5.759571392316206045e-02
3.558593644082410719e+03 2.237018357315376349e+00 4.930728949502034830e-02
3.562152237726494150e+03 2.239463616874436180e+00 5.334859321645653990e-02
3.565714389964221937e+03 2.259723832293024870e+00 5.335392207008726045e-02
3.569280104354187188e+03 2.279676815243357080e+00 5.329765676806679647e-02
3.572849384458542772e+03 2.277978627130774036e+00 5.485089058523737182e-02
3.576422233843002232e+03 2.282561916003567060e+00 5.299691142148563183e-02
3.579998656076846601e+03 2.297212015725858869e+00 5.298211879405903546e-02
3.583578654732924406e+03 2.313082965031678206e+00 5.381989831537652841e-02
3.587162233387658489e+03 2.311283756419538538e+00 5.339213750531738439e-02
3.590749395621047370e+03 2.294810760249636150e+00 4.811801753704431084e-02
3.594340145016669794e+03 2.333409478278980487e+00 4.223378775268706031e-02
3.597934485161687462e+03 2.346962270813355289e+00 4.026568098159159781e-02
3.601532419646850485e+03 2.384400406837989372e+00 4.389589593530179162e-02
3.605133952066498296e+03 2.394478905469004104e+00 4.600132814921453761e-02
3.608739086018566013e+03 2.424212437628955996e+00 4.190895417261545491e-02
3.612347825104585809e+03 2.435555489073313762e+00 3.991837003860337213e-02
3.615960172929691907e+03 2.451892090192125728e+00 4.126244926337578611e-02
3.619576133102622407e+03 2.449623344134041592e+00 4.447822978666123722e-02
3.623195709235726554e+03 2.442380088656394221e+00 4.301834263651409251e-02
3.626818904944963379e+03 2.446986602734380067e+00 4.311505970226571505e-02
3.630445723849909427e+03 2.451705393302383573e+00 4.316507245039017532e-02
3.634076169573760581e+03 2.448831791584840989e+00 4.290417727564617423e-02
3.637710245743335690e+03 2.455899809848365312e+00 4.433329455538876501e-02
3.641347955989080219e+03 2.446944480237661423e+00 4.441677868509971011e-02
3.644989303945070333e+03 2.443800562540892063e+00 4.659824901420708126e-02
