# starting wavelength: 3325.366
# ending wavelength: 9740.893
# wav flux eflux
3.328091114369046863e+03 5.573576536498359157e-01 2.603920105388011705e-02
3.331419205483417045e+03 5.736607701833495998e-01 2.619109151279861922e-02
3.334750624688901553e+03 5.773855230337778810e-01 2.584097159293314433e-02
3.338085375313591612e+03 5.879970052990600715e-01 2.513548961381742441e-02
3.341423460688906289e+03 5.850634386827002764e-01 2.420125055097363878e-02
3.344764884149596128e+03 5.790690292208323653e-01 2.468073307070507358e-02
3.348109649033746791e+03 5.748191379908301757e-01 2.387673466003714315e-02
3.351457758682781787e+03 5.645516908903946973e-01 2.401857578781415800e-02
3.354809216441465651e+03 5.631526744626603742e-01 2.375426215671317884e-02
3.358164025657908041e+03 5.572982676434641292e-01 2.445803319322308392e-02
3.361522189683567376e+03 5.704602739898047004e-01 2.581985686795882154e-02
3.364883711873251741e+03 5.823906950186086284e-01 2.549241149560891456e-02
3.368248595585126168e+03 5.877656840962134366e-01 2.526560766409349790e-02
3.371616844180712633e+03 5.985657386691327631e-01 2.438173768478629072e-02
3.374988461024894150e+03 6.022387119711962722e-01 2.381095225660369644e-02
3.378363449485920228e+03 6.024158081006492083e-01 2.307010423818909792e-02
3.381741812935407324e+03 6.135609456599130374e-01 2.264548174212984571e-02
3.385123554748343849e+03 6.114131336166105379e-01 2.228767723984406007e-02
3.388508678303093347e+03 6.202272751230061276e-01 2.233190736461826420e-02
3.391897186981397681e+03 6.236926748015285682e-01 2.145128128714629198e-02
3.395289084168380214e+03 6.272797463235119109e-01 2.077788043185663583e-02
3.398684373252549449e+03 6.382534777142551130e-01 2.013680239299225211e-02
3.402083057625803121e+03 6.485094041601006110e-01 2.008106029996390915e-02
3.405485140683430018e+03 6.625316678905899259e-01 1.961303701199681657e-02
3.408890625824114522e+03 6.690187135874328117e-01 1.988270687679958432e-02
3.412299516449939802e+03 6.675377828072686093e-01 1.979918499473260970e-02
3.415711815966390986e+03 6.687162972483332579e-01 2.019552991425773575e-02
3.419127527782358356e+03 6.750549034551102112e-01 1.991625319648671066e-02
3.422546655310141887e+03 6.684416372317073529e-01 1.932746414939957164e-02
3.425969201965453522e+03 6.702788291465258119e-01 1.924793402427733488e-02
3.429395171167419903e+03 6.691179673057928712e-01 1.897609744583357919e-02
3.432824566338588284e+03 6.588582867708868696e-01 1.792997946064739390e-02
