# starting wavelength: 3588.977
# ending wavelength: 9077.499
# wav flux eflux
3.590749395621047370e+03 7.352632660808099407e-01 1.370482900677053584e-01
3.594340145016669794e+03 7.052587367207513447e-01 9.710101209327996752e-02
3.597934485161687462e+03 6.849951537736094220e-01 7.377128915252310903e-02
3.601532419646850485e+03 6.693844271214210995e-01 5.661810186384596405e-02
3.605133952066498296e+03 6.689399845007828471e-01 4.646300264728951690e-02
3.608739086018566013e+03 6.678287864499466986e-01 3.662631318757051530e-02
3.612347825104585809e+03 6.703729527522385157e-01 2.964379088211764254e-02
3.615960172929691907e+03 6.753928058261491341e-01 2.464422944559678877e-02
3.619576133102622407e+03 6.819118141458059279e-01 2.044427625130481804e-02
3.623195709235726554e+03 6.879937858241799153e-01 1.788548123188731659e-02
3.626818904944963379e+03 6.953954031125439972e-01 1.559648383434389558e-02
3.630445723849909427e+03 7.010303509146299517e-01 1.416665604911255226e-02
3.634076169573760581e+03 7.012450052001167888e-01 1.455909488329087086e-02
3.637710245743335690e+03 7.074532744507231463e-01 1.362813740871607164e-02
3.641347955989080219e+03 7.167610590628638034e-01 1.304090621869586492e-02
3.644989303945070333e+03 7.184032942941923627e-01 1.275815282225590402e-02
3.648634293249016537e+03 7.237288941201391879e-01 1.248700988693506042e-02
3.652282927542266862e+03 7.301061745930961244e-01 1.197907541375633697e-02
3.655935210469810499e+03 7.317920905122549113e-01 1.167871702237399667e-02
3.659591145680281443e+03 7.322902355570138910e-01 1.168487365931728320e-02
3.663250736825963031e+03 7.333934653064275722e-01 1.165858272795367717e-02
3.666913987562790226e+03 7.357927937955763831e-01 1.167507036681300625e-02
3.670580901550354156e+03 7.373088122320525795e-01 1.159608976324034285e-02
3.674251482451905758e+03 7.364223450739642018e-01 1.177561203882148723e-02
3.677925733934358959e+03 7.388481166802646216e-01 1.180158115533720339e-02
3.681603659668294313e+03 7.391340723207970864e-01 1.140983635245434134e-02
3.685285263327964003e+03 7.409037027037348455e-01 1.131533898894946516e-02
3.688970548591293209e+03 7.477325031806170141e-01 1.074328489759602580e-02
3.692659519139885560e+03 7.530902852370993106e-01 1.049018129945462896e-02
3.696352178659026777e+03 7.552261165967926182e-01 1.052654629000471069e-02
3.700048530837686940e+03 7.560161659972416404e-01 1.066656357265636894e-02
3.703748579368525952e+03 7.608543431167590354e-01 1.043425118888368502e-02
3.707452327947895355e+03 7.663327543103647388e-01 9.416112885823852557e-03
3.711159780275844696e+03 7.685634755293170306e-01 9.614116004729866480e-03
3.714870940056121526e+03 7.666877022962255150e-01 9.705424533247802507e-03
3.718585810996179134e+03 7.712947747214502492e-01 9.244873939437974267e-03
3.722304396807176545e+03 7.775502711241797371e-01 9.650447933913139029e-03
3.726026701203984885e+03 7.810028212256736602e-01 9.625932064257379170e-03
3.729752727905190113e+03 7.899504902254017580e-01 9.307634927787297036e-03
3.733482480633096657e+03 7.990173559426959615e-01 9.696728248667463301e-03
3.737215963113731050e+03 8.053146306429480594e-01 9.116847046696944026e-03
3.740953179076846027e+03 8.156348232073361570e-01 9.468698194637680324e-03
3.744694132255923705e+03 8.277449464335555618e-01 9.450236627430720973e-03
3.748438826388181042e+03 8.381374791227661492e-01 9.383121704832639645e-03
3.752187265214570289e+03 8.480941966527096865e-01 9.832751510932187869e-03
3.755939452479786269e+03 8.637462432448869132e-01 1.208745568530136295e-02
